ICVP Direct Stim Program 3.1.1+v3.1.1 - RelativeLocations
Updated at: 2022-08-09--13-44-48
Subject ID: CKT
Tester ID: mbarry
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
mbarry ; 2022-08-09--13-44-48 ; 250C-250D , 250C-250D-2503-2502 ; 200 ; 200 ; 700 ; 700 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Maybe one dark and one iridescent phosphene, no difference between first and second electrode group, except fading

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
-0.6183956,1.6213623,14.928777,0.48611382,0.7681182,0.12525757,0.39749026
-0.7290852,0.35332742,14.907707,0.6388404,0.49106732,-0.5920422,-0.014898423
-0.6180994,1.6207619,14.928672,0.48607063,0.7682575,0.12509297,0.39732563
-0.72913927,0.35305312,14.907734,0.6388234,0.4911219,-0.59201545,-0.014893867
-0.61782867,1.6211034,14.9285755,0.48611766,0.7683369,0.12502484,0.39713597
-0.7291887,0.3531459,14.907759,0.63883543,0.4911794,-0.5919547,-0.014893829
-0.6175761,1.6205068,14.928487,0.48605818,0.76846987,0.124993026,0.3969612
-0.7292384,0.35323918,14.9077835,0.63886195,0.4912347,-0.5918804,-0.0148842735
-0.61634755,1.62091,14.9284,0.4860745,0.7685753,0.12499938,0.39673516
-0.7292886,0.3533334,14.907808,0.63890356,0.49131286,-0.5917706,-0.014883009
-0.61622643,1.6202822,14.928322,0.48600036,0.7686809,0.12499612,0.39662245
-0.729339,0.35342816,14.907833,0.63897026,0.4913932,-0.5916314,-0.014900806
-0.6150268,1.6196696,14.928244,0.48589393,0.76885104,0.12501146,0.39641824
-0.729385,0.35314083,14.907855,0.63904005,0.49147516,-0.59148717,-0.014931476
-0.6150436,1.6191264,14.928176,0.48580202,0.76894903,0.12508841,0.39631632
-0.72907203,0.35287848,14.907876,0.63911825,0.49156746,-0.5913248,-0.014977684
-0.6150585,1.6186444,14.928115,0.48579884,0.7689941,0.12516844,0.39620757
-0.72878563,0.3529757,14.907895,0.6392242,0.49165663,-0.5911357,-0.014995748
-0.6139126,1.6181849,14.928058,0.48578215,0.76905596,0.12523714,0.3960863
-0.72852314,0.35274443,14.907912,0.63932693,0.49173585,-0.59095776,-0.015031698
