ICVP Direct Stim Program 3.1.1+v3.1.1 - RelativeLocations
Updated at: 2022-08-09--13-52-01
Subject ID: CKT
Tester ID: mbarry
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
mbarry ; 2022-08-09--13-52-01 ; 0D02-0D03 , 0D02-0D03-0D0B-0D0A ; 200 ; 200 ; 900 ; 900 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Moved left, forgot what they looked like, CKT reported that one phosphene appeared, followed by a repeat, followed by another repeat of that phosphene with another phosphene.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
-0.58697397,1.5747736,14.937203,0.5014452,0.7638605,0.09502308,0.3950196
-0.7876003,0.34939623,14.944286,0.6258,0.46726915,-0.6215266,-0.061145112
-0.5869334,1.5748769,14.937205,0.50151277,0.76386154,0.09501313,0.3949341
-0.7876538,0.34909374,14.944519,0.6257228,0.46718916,-0.62166363,-0.06115369
-0.5868973,1.5749688,14.937208,0.5015404,0.76384926,0.09495361,0.39493716
-0.7877046,0.34970844,14.944738,0.6255336,0.4668965,-0.62206894,-0.061202347
-0.5863102,1.5750508,14.93721,0.50162846,0.76380134,0.09497027,0.39491397
-0.7877482,0.34938133,14.944071,0.6253134,0.46667013,-0.6224459,-0.061347183
-0.5863118,1.5745971,14.937213,0.50160825,0.76377934,0.09492742,0.3949924
-0.78778595,0.34909827,14.944306,0.62507194,0.46639913,-0.62288004,-0.061461218
-0.58631337,1.5741708,14.937215,0.5016543,0.7637076,0.09489907,0.39507958
-0.78866154,0.34883076,14.94453,0.62461543,0.46603295,-0.623597,-0.061609868
-0.5863149,1.5737379,14.937218,0.5016991,0.7636727,0.09486407,0.39509854
-0.7895638,0.34950337,14.944759,0.6242824,0.46572116,-0.6241515,-0.061726585
-0.5863163,1.5744202,14.93722,0.501878,0.7634852,0.09499055,0.39520338
-0.79042447,0.3491414,14.944979,0.6239122,0.4654247,-0.6247297,-0.061858114
-0.58580947,1.5740163,14.937221,0.5018818,0.7634723,0.09497586,0.3952269
-0.7912666,0.34988376,14.945193,0.623682,0.46513477,-0.62517,-0.061911404
-0.5863188,1.5741354,14.9372225,0.50196326,0.7633525,0.094944656,0.39536244
-0.7920385,0.34942973,14.945391,0.6234446,0.46491283,-0.62556756,-0.061953034
-0.5863198,1.5742428,14.937223,0.5020106,0.7632696,0.094957314,0.39545938
-0.79276466,0.35021263,14.945577,0.6232049,0.46462828,-0.6260168,-0.06196152
-0.5868013,1.5738696,14.937224,0.50197035,0.7632061,0.09487523,0.39565265
-0.7933677,0.3497132,14.94458,0.6229565,0.46443734,-0.6263992,-0.062026154
-0.5867767,1.5734911,14.937225,0.5019711,0.7631469,0.09484296,0.39577368
-0.7939029,0.34927,14.944855,0.62267864,0.46418664,-0.6268563,-0.062074553
-0.58675456,1.5736381,14.937227,0.50207156,0.76300806,0.094845705,0.39591306
-0.79434997,0.34889966,14.943984,0.62238574,0.46387693,-0.6273726,-0.062111117
-0.5872932,1.5732361,14.937228,0.5021158,0.7629237,0.09473249,0.39604655
-0.79473996,0.34966108,14.943224,0.62207496,0.46356326,-0.627922,-0.062015947
-0.58723444,1.5728381,14.937229,0.50212806,0.76289463,0.0946515,0.39610645
-0.7950731,0.3492673,14.9425745,0.62182605,0.46322447,-0.6284144,-0.062054846
-0.5871821,1.5736086,14.936667,0.502381,0.76271814,0.09461245,0.39613506
-0.7979499,0.35010338,14.941876,0.62135136,0.46291983,-0.6291214,-0.061919708
-0.58766985,1.5742979,14.936165,0.5025349,0.76253307,0.09463393,0.39629087
-0.79928076,0.3508828,14.941227,0.62092423,0.46266422,-0.62974626,-0.061762266
-0.5881074,1.5739006,14.936222,0.50244176,0.76250756,0.09446708,0.39649788
-0.80049473,0.3515937,14.940633,0.62057936,0.4623373,-0.6303291,-0.061732344
-0.58850116,1.574508,14.935792,0.50253433,0.7623599,0.094432704,0.3966726
-0.80154103,0.350754,14.940122,0.62019795,0.46216848,-0.6308255,-0.061757565
-0.5893147,1.575056,14.935862,0.50266397,0.7621541,0.094348125,0.39692387
-0.80409294,0.34997684,14.939649,0.6197523,0.46197677,-0.63141215,-0.06167035
-0.5896453,1.5751225,14.93593,0.5025197,0.76217145,0.094303094,0.39708394
-0.804641,0.34932747,14.939253,0.61960363,0.4616485,-0.6318012,-0.06163899
-0.5899997,1.5746535,14.936005,0.5023458,0.7622675,0.09420652,0.39714256
-0.8051039,0.35038084,14.938919,0.6194848,0.46137,-0.6321381,-0.061464578
-0.5898043,1.5747463,14.936071,0.5023939,0.76222885,0.09419185,0.39715934
-0.8054939,0.35126832,14.938637,0.61942637,0.46123672,-0.6323122,-0.06126176
-0.58962864,1.5748296,14.936131,0.5024237,0.7622038,0.094140574,0.39718178
-0.8076002,0.35206807,14.938384,0.619317,0.46108153,-0.63255155,-0.061064355
-0.58995205,1.5749093,14.936189,0.5024139,0.7621451,0.09406021,0.3973258
-0.8075674,0.35271537,14.938178,0.6192693,0.46097106,-0.6326786,-0.061065916
-0.5902879,1.5749922,14.936249,0.50237995,0.762134,0.09403512,0.3973961
-0.80938834,0.3532798,14.938,0.61919606,0.4609199,-0.6328087,-0.060847227
-0.59007794,1.5750666,14.936301,0.50239766,0.7621259,0.094042376,0.39738753
-0.8090203,0.3537225,14.93786,0.61929214,0.4609223,-0.63271266,-0.060850106
-0.59040314,1.5751398,14.936354,0.50236624,0.76204044,0.09406456,0.39758566
-0.81053305,0.3522711,14.937744,0.619123,0.46126944,-0.6326151,-0.06095503
-0.5914158,1.5758653,14.936414,0.50240743,0.76186115,0.09415967,0.3978547
-0.8117751,0.35107943,14.93765,0.61916196,0.46149617,-0.6324034,-0.06103891
-0.592056,1.5759392,14.936532,0.5023329,0.76180357,0.09430513,0.39802462
-0.8136442,0.35081077,14.937508,0.61916256,0.46184275,-0.6321522,-0.06101396
-0.5923649,1.5759748,14.936588,0.5023562,0.76171607,0.094322674,0.39815855
-0.81637037,0.3498095,14.937453,0.61904997,0.46208394,-0.63208175,-0.06106005
-0.5926541,1.5767831,14.936642,0.5023793,0.7616196,0.09451976,0.39826715
-0.8126717,0.35097292,14.937412,0.6193241,0.4621864,-0.6317256,-0.06119055
-0.59293115,1.5767499,14.936693,0.5023524,0.76152146,0.09462123,0.3984647
-0.81167746,0.35185796,14.937382,0.6193242,0.4623585,-0.6316012,-0.061173268
-0.59319454,1.5767186,14.936741,0.50234306,0.7614871,0.09470248,0.3985227
-0.81264013,0.35253963,14.937358,0.61930674,0.46249127,-0.6315238,-0.06114494
-0.594435,1.5766855,14.936791,0.5022154,0.7614298,0.0946149,0.398814
-0.81010616,0.35307074,14.93734,0.6194219,0.4625848,-0.631339,-0.0611803
-0.5956858,1.5766523,14.936843,0.5022104,0.7612934,0.09460445,0.3990829
-0.81122994,0.3534891,14.9373255,0.61932874,0.46276736,-0.6313092,-0.061048724
-0.5969045,1.5766199,14.936893,0.50198007,0.76128536,0.09453106,0.39940524
-0.8106424,0.35234016,14.937314,0.6193859,0.46282372,-0.6312141,-0.061025254
-0.59805787,1.5765891,14.93694,0.5019026,0.76120305,0.094555564,0.39965364
-0.8101703,0.35282475,14.9373045,0.61945415,0.46293175,-0.6310839,-0.060860377
-0.59778816,1.5765634,14.93698,0.50184906,0.76114655,0.0945141,0.39983836
