ICVP Direct Stim Program 3.1.1+v3.1.1 - RelativeLocations
Updated at: 2022-08-09--14-22-10
Subject ID: CKT
Tester ID: mbarry
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
mbarry ; 2022-08-09--14-22-10 ; 250C-250D , 250C-250D-2503-2502 ; 200 ; 200 ; 310 ; 310 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Seem to still be appearing separately

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
-0.52808416,1.5858,14.988298,0.33331144,0.81902105,0.21053919,0.41687092
-0.75543845,0.32448646,14.956548,0.60445124,0.4772365,-0.6283329,-0.10991721
-0.52812576,1.5858145,14.9887705,0.3332674,0.8190631,0.2105604,0.41681278
-0.7566036,0.3238591,14.956541,0.60438806,0.47746858,-0.6282064,-0.10998012
-0.527511,1.5858271,14.989187,0.33323535,0.81908673,0.2106333,0.41675508
-0.75604266,0.3241007,14.956535,0.6044433,0.47769222,-0.62798053,-0.109995365
-0.5275854,1.5858382,14.989557,0.33322033,0.8190964,0.21067297,0.41672814
-0.7555534,0.32356447,14.956531,0.6045131,0.4779013,-0.6277364,-0.110096686
-0.5270636,1.5852602,14.989885,0.33314335,0.8191633,0.21068287,0.416653
-0.7551247,0.3230946,14.956526,0.60447574,0.47808424,-0.6276195,-0.11017412
-0.5271568,1.5853033,14.990177,0.3331132,0.8191957,0.21068907,0.41661045
-0.75542164,0.32335535,14.956522,0.6044264,0.4782481,-0.62754124,-0.11017988
-0.52617896,1.5848112,14.990439,0.33304048,0.8192844,0.21066363,0.41650695
-0.75504345,0.32294527,14.956518,0.60441345,0.47834507,-0.62746453,-0.11026681
-0.52630943,1.5848738,14.990674,0.33296362,0.8193432,0.21065795,0.4164555
-0.75531656,0.32258165,14.956516,0.6042809,0.478456,-0.62750673,-0.11027182
-0.5264269,1.5844511,14.990885,0.33291784,0.8194198,0.2105452,0.41639835
-0.75555956,0.32283604,14.956514,0.6035912,0.4782185,-0.62843466,-0.10979407
-0.526078,1.5840694,14.991076,0.33289975,0.8194817,0.21046774,0.41633025
-0.7564424,0.3230978,14.9565115,0.602855,0.4779684,-0.6294162,-0.1093042
-0.5257622,1.5841563,14.990817,0.33289462,0.8195335,0.21042225,0.41625533
-0.75742096,0.32263714,14.956508,0.602216,0.4777442,-0.6302857,-0.10879538
-0.5254757,1.584235,14.9905815,0.33287123,0.8195731,0.21039017,0.4162124
-0.75757253,0.3229638,14.956506,0.60177255,0.47745147,-0.63102883,-0.10822521
-0.52521515,1.5839165,14.990368,0.33286163,0.81960684,0.21034673,0.41617548
-0.7596468,0.32334375,14.956502,0.601195,0.47724703,-0.6318148,-0.10775015
-0.52534825,1.583997,14.990173,0.3328608,0.81962657,0.2103,0.41616094
-0.75961894,0.32367814,14.9565,0.60082465,0.47705254,-0.6323658,-0.10744375
-0.52511775,1.5840703,14.989995,0.3328377,0.819651,0.21028264,0.4161401
-0.76060873,0.32400984,14.956497,0.60038215,0.47690988,-0.6329378,-0.107182145
-0.5252412,1.5841374,14.989832,0.33284095,0.81965166,0.21025881,0.41614828
-0.7615666,0.3243309,14.956495,0.5998971,0.47684622,-0.6334821,-0.10696563
-0.52567214,1.5841991,14.989682,0.33285588,0.8196352,0.21025051,0.41617298
-0.7624735,0.32463485,14.956492,0.59948707,0.4767708,-0.63396263,-0.106753506
-0.52556604,1.5845945,14.989418,0.33289206,0.8196127,0.21026103,0.4161829
-0.7653348,0.32384378,14.956488,0.5988847,0.47669464,-0.6346111,-0.10662108
-0.5256539,1.5846344,14.989303,0.3328901,0.8196105,0.21026836,0.41618526
-0.76740557,0.32430783,14.956486,0.59876424,0.4765714,-0.6348452,-0.10645541
-0.5258345,1.5850077,14.989063,0.33288574,0.819599,0.21028854,0.41620106
-0.7694578,0.3222175,14.956482,0.5985752,0.47668317,-0.6348981,-0.106702685
-0.52563936,1.5847595,14.989232,0.33286205,0.8196049,0.21029021,0.41620767
-0.7693791,0.32140702,14.956481,0.59859574,0.4767428,-0.6347973,-0.106920056
-0.5254593,1.5847936,14.989125,0.33285597,0.81960386,0.21029174,0.4162138
-0.76931536,0.32224953,14.95648,0.5985385,0.47691792,-0.6347186,-0.10692607
-0.5252929,1.5845752,14.989275,0.33282316,0.81961375,0.21028458,0.4162242
-0.76926285,0.3214811,14.956479,0.5985726,0.477082,-0.6345341,-0.10709874
-0.5251389,1.5841359,14.989415,0.33274767,0.8196396,0.21025929,0.4162463
-0.7692199,0.32226488,14.956477,0.5985379,0.47718167,-0.6344784,-0.107178956
-0.52522165,1.5841795,14.989544,0.33272743,0.8196404,0.21023823,0.41627166
-0.769184,0.32153738,14.956476,0.598541,0.4773869,-0.6342944,-0.10733634
-0.5250843,1.5842202,14.989664,0.33269078,0.81965774,0.21020235,0.4162849
-0.7678431,0.32225722,14.956476,0.5986716,0.47757345,-0.63400143,-0.107508674
-0.52516013,1.5840545,14.989775,0.33261386,0.8196847,0.2101285,0.4163305
-0.7679893,0.32160163,14.956476,0.59868765,0.4778307,-0.6337628,-0.10768359
-0.5250374,1.5839003,14.989879,0.3325433,0.8197132,0.21003264,0.41637915
-0.76811016,0.32105955,14.956476,0.5988465,0.47800443,-0.63346696,-0.107769966
-0.5251101,1.5837499,14.98998,0.332449,0.81973904,0.2099222,0.41645926
-0.76947105,0.32055804,14.956476,0.5988645,0.47822288,-0.633278,-0.10781138
-0.5249691,1.5835783,14.990094,0.33234772,0.81978494,0.2097693,0.41652676
-0.7682226,0.32133016,14.956476,0.59908897,0.4784069,-0.63291585,-0.107874565
-0.52480763,1.583382,14.990226,0.33223432,0.8198393,0.20959269,0.41659918
-0.76718295,0.32197315,14.956476,0.59924424,0.47858283,-0.6326298,-0.107908994
-0.5247555,1.5832514,14.9905,0.3320328,0.81994337,0.20919085,0.416757
-0.7665328,0.32195005,14.956476,0.5994377,0.47894067,-0.6321514,-0.108050495
-0.52456653,1.5830239,14.990647,0.33194116,0.82004946,0.20890652,0.41676375
-0.7658113,0.32147244,14.956476,0.5995675,0.47912076,-0.63187814,-0.10813021
-0.5243533,1.5827671,14.990812,0.33183694,0.8201715,0.20861107,0.41675454
-0.7651949,0.32106432,14.956476,0.5996371,0.47930747,-0.6316696,-0.108135305
-0.5245338,1.5825005,14.990985,0.33183748,0.8202423,0.2083351,0.416753
-0.7646652,0.32071367,14.955604,0.5996732,0.47948003,-0.6315011,-0.108154245
-0.52392155,1.5813221,14.991425,0.3317235,0.82057416,0.20764263,0.41653588
-0.76535857,0.31936055,14.954983,0.5996314,0.47972256,-0.63134044,-0.10824877
-0.52360237,1.5809985,14.991653,0.33172855,0.8207741,0.20730297,0.4163071
-0.7641438,0.31919247,14.955099,0.59962904,0.4797495,-0.6313171,-0.108278796
-0.5232438,1.5798773,14.991912,0.33156353,0.82107806,0.20689282,0.41604313
-0.76450056,0.31904525,14.955201,0.5995749,0.47973943,-0.63137805,-0.10826728
-0.52289546,1.5795872,14.992162,0.331616,0.8212195,0.20666519,0.4158352
-0.7641395,0.3189157,14.95529,0.5995522,0.47969225,-0.6314312,-0.10829189
-0.5225602,1.5793082,14.992402,0.33161822,0.82136524,0.20648329,0.41563594
-0.7638205,0.31880125,14.955369,0.5994835,0.4796429,-0.6315342,-0.10829079
-0.52224046,1.5790418,14.992632,0.3316051,0.8214789,0.20629582,0.4155149
-0.76414686,0.3186998,14.95544,0.5994222,0.4795841,-0.63164073,-0.108269185
-0.5219111,1.5777738,14.992869,0.33147874,0.82162017,0.20622365,0.4153721
-0.7638586,0.31860954,14.955502,0.5993359,0.47953555,-0.63175476,-0.10829693
-0.52057683,1.5776258,14.993089,0.3314212,0.8217494,0.20616701,0.4151906
-0.76360124,0.3190787,14.955557,0.59929544,0.47945607,-0.63185316,-0.10829851
-0.5204221,1.5784773,14.992298,0.3316965,0.8215905,0.20631735,0.41521055
-0.7644152,0.31897664,14.955084,0.59893805,0.4793677,-0.6322574,-0.10830737
-0.52121836,1.579204,14.991623,0.3319262,0.82141477,0.20635395,0.41535637
-0.7646503,0.31888494,14.9546585,0.59859294,0.47930345,-0.63262093,-0.1083765
-0.52249146,1.578723,14.990543,0.33214834,0.8211865,0.20639408,0.41561013
-0.7662091,0.31870985,14.953848,0.59777236,0.47927612,-0.6334203,-0.108357646
-0.5230028,1.5785296,14.99011,0.33211538,0.821085,0.20648164,0.41579348
-0.76706314,0.31860563,14.953366,0.5974702,0.47919807,-0.6337676,-0.1083384
-0.5234484,1.5776051,14.989733,0.33194587,0.82106423,0.2064578,0.41598168
-0.76720417,0.31779084,14.952885,0.5971742,0.47923014,-0.6340172,-0.108368486
-0.5231201,1.5775143,14.99012,0.33178848,0.8210551,0.20643468,0.41613665
-0.7681651,0.31774098,14.952375,0.5968802,0.47929662,-0.6342583,-0.10828377
-0.52351385,1.5774343,14.990461,0.33165345,0.8210108,0.20643918,0.41632947
-0.7691495,0.3176899,14.951855,0.59664625,0.4793568,-0.63445044,-0.10818073
-0.52389944,1.576637,14.990795,0.3315263,0.8209472,0.20637244,0.41658905
-0.76913244,0.31764343,14.951381,0.5964641,0.4795601,-0.6344722,-0.108156666
-0.5234928,1.5758094,14.991141,0.33134153,0.8209108,0.20629096,0.41684803
-0.769117,0.3176012,14.95095,0.59637475,0.47967687,-0.6344722,-0.1081315
-0.5239098,1.5758562,14.991446,0.33128756,0.8208237,0.20623419,0.41709054
-0.7700564,0.3185154,14.950544,0.59626406,0.47982252,-0.63449204,-0.10797906
-0.52428055,1.5758977,14.991717,0.33124632,0.82070357,0.20620905,0.41737196
-0.7699492,0.31838545,14.95018,0.5962055,0.48003203,-0.6343908,-0.10796598
-0.5246131,1.575935,14.99196,0.3311771,0.8205843,0.20618704,0.41767222
-0.77087915,0.31825778,14.949822,0.59606963,0.4801975,-0.63442546,-0.10777658
-0.52495295,1.5751673,14.9922085,0.33108342,0.8205055,0.20602976,0.4179788
-0.7717717,0.31813526,14.94948,0.5959558,0.4803559,-0.63443345,-0.10765321
-0.52529275,1.5743997,14.992457,0.33099118,0.8204322,0.20593494,0.41824245
-0.77145725,0.3180303,14.949185,0.59594816,0.48049137,-0.6343485,-0.10759154
-0.5246806,1.5736517,14.992699,0.33080292,0.8204447,0.20594712,0.4183608
-0.7711921,0.3169168,14.949962,0.5959734,0.48061952,-0.6342379,-0.10753154
-0.52505225,1.5739069,14.992907,0.33077475,0.82038534,0.20597394,0.41848627
-0.770967,0.3169455,14.950622,0.5960195,0.48067608,-0.63416684,-0.10744186
-0.5253724,1.5741267,14.993085,0.33075228,0.82034385,0.20598555,0.4185797
-0.7707749,0.31697002,14.951184,0.59604967,0.48076314,-0.6340875,-0.10735379
-0.52565086,1.5743179,14.99324,0.33079222,0.82032084,0.20604709,0.41856298
