ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-31-07
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-31-07 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; 2 groupings of phospohenes, moved left, right next to each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.62369263,-1.4564351,-14.831745,0.2704296,0.8817688,0.16128981,0.35119417
0.919689,-0.13863467,-14.456947,0.21494919,0.82798636,-0.39546233,0.33443263
0.62377894,-1.4567982,-14.831728,0.27040637,0.8817424,0.16134478,0.3512531
0.9200018,-0.13919896,-14.456917,0.21489373,0.8279292,-0.3955595,0.3344947
0.6247127,-1.4571716,-14.831709,0.27052316,0.8816694,0.16127674,0.35137752
0.9202837,-0.13970736,-14.456888,0.21495335,0.82792366,-0.39556813,0.33445987
0.6256498,-1.4575461,-14.83169,0.27056205,0.8816438,0.1611857,0.35145357
0.9205383,-0.14016657,-14.456862,0.21502651,0.8278337,-0.39565223,0.3345361
0.6255702,-1.4569808,-14.831674,0.27047017,0.8817207,0.1611602,0.351343
0.9198183,-0.14055803,-14.456841,0.21515532,0.8277955,-0.395674,0.33452198
0.6264541,-1.4564253,-14.831657,0.2704316,0.8817519,0.16101022,0.35136333
0.92009115,-0.14089367,-14.456822,0.21524942,0.82774115,-0.39565814,0.33461466
0.6262953,-1.4568657,-14.831643,0.27062538,0.88171375,0.16091985,0.35135108
0.92033935,-0.14119902,-14.456806,0.2151358,0.827637,-0.3957803,0.33480093
0.6261576,-1.4572475,-14.831632,0.27069792,0.8817451,0.16082618,0.35125938
0.92056906,-0.14148153,-14.456791,0.21518728,0.8275075,-0.3959164,0.33492696
0.6269751,-1.457624,-14.83162,0.2708031,0.8817096,0.16077396,0.3512914
0.92077386,-0.14083679,-14.456777,0.21508384,0.8274983,-0.39597487,0.33494693
0.626769,-1.4570405,-14.831611,0.27073506,0.88174754,0.16068752,0.35128808
0.9209618,-0.14115265,-14.456764,0.21511215,0.827418,-0.39608878,0.33499247
0.6265917,-1.4565386,-14.831602,0.2706961,0.8817935,0.16056423,0.3512591
0.9211341,-0.14144227,-14.456753,0.21519315,0.82738566,-0.39609733,0.33501026
0.6264384,-1.4552869,-14.831595,0.27059492,0.8818749,0.16047865,0.3511719
0.92040914,-0.14081806,-14.456742,0.21515316,0.82743794,-0.39615414,0.3348397
0.62630504,-1.4557519,-14.83159,0.27068493,0.88186836,0.16043593,0.35113856
0.9206124,-0.14110832,-14.456734,0.21518672,0.8273579,-0.39621136,0.33494824
0.6261887,-1.456158,-14.831584,0.27073395,0.8818722,0.16044801,0.3510857
0.92000085,-0.14057234,-14.456727,0.2151382,0.8273929,-0.3962572,0.33483863
0.6253858,-1.4558134,-14.831579,0.2706863,0.8819167,0.16040918,0.3510283
0.9202161,-0.14010492,-14.456719,0.214965,0.82736826,-0.39632937,0.33492538
0.62534446,-1.4561757,-14.831574,0.27077627,0.8818805,0.16038263,0.35106197
0.9204046,-0.13969544,-14.456714,0.21483967,0.8273747,-0.39635912,0.33495462
0.6259404,-1.456496,-14.831571,0.27083,0.8818372,0.16035981,0.35113978
0.92057407,-0.13932726,-14.456709,0.21479748,0.82741714,-0.39625326,0.33500215
0.6258684,-1.4561795,-14.831567,0.2708351,0.88184017,0.16027993,0.35116464
