ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-36-48
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-36-48 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-3000-3001-3004-3005 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Moved down, above and below each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
-11.139313,-2.7394383,-17.091,0.47947448,0.82687587,0.042065226,0.29087976
-11.654101,0.9827165,-17.359074,0.12561685,0.84824854,-0.4080014,0.31341606
-11.170686,-2.7546859,-17.060032,0.47859126,0.8268465,0.041526258,0.2924909
-11.700738,1.0236679,-17.316755,0.12621264,0.84753007,-0.4077228,0.31547633
-11.207501,-2.7578375,-17.0233,0.47758082,0.8269434,0.040781274,0.2939696
-11.748234,1.048456,-17.277458,0.12682658,0.84683466,-0.40733925,0.31758606
-11.27536,-2.8036108,-16.962978,0.47644463,0.8271565,0.04025982,0.2952827
-11.82391,1.0900791,-17.210958,0.12769878,0.84611297,-0.40696225,0.3196367
-11.297586,-2.8210423,-16.942387,0.47527885,0.8274238,0.040062845,0.29643708
-11.88604,1.1151727,-17.15128,0.12840435,0.8455672,-0.40640742,0.32149884
-11.27989,-2.8148162,-17.020435,0.47373897,0.8281259,0.0405648,0.2968728
-12.025987,1.1806749,-16.970123,0.13057111,0.84419096,-0.40442532,0.32670036
-11.319778,-2.8159776,-16.993393,0.47327927,0.82829237,0.04088397,0.29709783
-12.038659,1.1547618,-16.946518,0.13181739,0.84362596,-0.403384,0.328939
-11.365613,-2.7801375,-16.972359,0.47279426,0.82844347,0.040831715,0.29745558
