ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-37-59
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-37-59 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Moved up, groups of 3, 12 3 and 9 oclock

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6324006,-1.4844326,-14.860249,0.344293,0.8532525,0.13435392,0.3679288
0.83852303,-0.09741371,-14.479198,0.1628414,0.84350777,-0.3716593,0.35191864
0.6327965,-1.483608,-14.860269,0.34427258,0.85327953,0.13421823,0.3679347
0.8383213,-0.09729874,-14.478901,0.1628435,0.84337586,-0.37177205,0.35211477
0.6331109,-1.4829534,-14.860285,0.34433904,0.8532617,0.1341279,0.36794674
0.8381467,-0.09801153,-14.479457,0.16305234,0.8431254,-0.37191164,0.35247037
0.6333639,-1.4843123,-14.860298,0.34452298,0.8532166,0.13411869,0.3678825
0.8379948,-0.09785978,-14.47994,0.16300413,0.8429536,-0.3721181,0.35268557
0.6335677,-1.485407,-14.860309,0.34468457,0.8532099,0.13399407,0.36779207
0.8378622,-0.09772719,-14.480363,0.1629451,0.8427658,-0.37233844,0.3529289
0.63192785,-1.4844471,-14.860317,0.3446663,0.8532762,0.13380587,0.36772403
0.8377457,-0.09830727,-14.480734,0.16294533,0.8426371,-0.37248814,0.35307828
0.63066095,-1.4837055,-14.860323,0.34460846,0.85337853,0.133654,0.36759594
0.8383047,-0.09815681,-14.480398,0.16285507,0.8424173,-0.3727318,0.3533869
0.6312914,-1.483126,-14.860328,0.34475338,0.8533251,0.13348378,0.36764595
0.83817065,-0.09802371,-14.480102,0.16284658,0.84203905,-0.37316138,0.35383874
0.63025,-1.4826684,-14.860331,0.34477997,0.8533261,0.13344021,0.36763462
