ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-40-12
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-40-12 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; nothing sent through TC

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.60005355,-1.517131,-14.838903,0.41920033,0.8222485,0.14536446,0.3564376
0.8723409,-0.07173541,-14.46678,0.1696824,0.8362984,-0.38799268,0.3482451
0.6004272,-1.5172385,-14.839054,0.41919783,0.8221843,0.14531158,0.3566101
0.8723881,-0.07183865,-14.466769,0.16964763,0.8361776,-0.3881172,0.34841344
0.6008489,-1.5157818,-14.839224,0.41912732,0.822169,0.14521365,0.35676828
0.8722422,-0.07174757,-14.466759,0.16954894,0.8361811,-0.3881695,0.34839457
0.60202426,-1.5160224,-14.83938,0.41918558,0.8220683,0.14519252,0.3569405
0.8722914,-0.07165832,-14.466748,0.16943279,0.8361068,-0.38831374,0.34846887
0.6023389,-1.5154074,-14.839535,0.4191983,0.822021,0.14515193,0.35705072
0.87233967,-0.07157085,-14.466739,0.16940522,0.836065,-0.3884105,0.34847465
0.6017242,-1.5138757,-14.839689,0.41912565,0.82204527,0.14510766,0.35709825
0.87257916,-0.07167738,-14.466729,0.16935296,0.8359664,-0.38853854,0.3485939
0.60207534,-1.5143183,-14.83982,0.41916028,0.82198584,0.14512257,0.35718805
0.8726216,-0.07158953,-14.46672,0.16931091,0.8359524,-0.3885871,0.3485936
0.60241336,-1.5138131,-14.839947,0.41908664,0.8219787,0.14515327,0.35727865
0.87266326,-0.07150344,-14.46671,0.16924107,0.8358699,-0.3887409,0.34865382
0.6027034,-1.5151492,-14.840056,0.41919085,0.8218861,0.14523503,0.3573361
0.8727041,-0.07161131,-14.466701,0.16926287,0.8358271,-0.38878587,0.34869573
0.60295355,-1.5146207,-14.84015,0.4191141,0.821894,0.14522254,0.35741305
0.87255186,-0.071524784,-14.466692,0.16928552,0.83585286,-0.3888038,0.34860313
0.6031879,-1.5141253,-14.840238,0.41905817,0.82190204,0.1452518,0.3574483
0.87259495,-0.07143999,-14.466683,0.16920854,0.83585584,-0.3888624,0.348568
0.602771,-1.5140661,-14.840383,0.4190586,0.8218856,0.14533025,0.35745367
0.87267846,-0.07127545,-14.466667,0.1690999,0.8358208,-0.38895294,0.34860364
0.603017,-1.5136291,-14.840448,0.41903466,0.8219068,0.14532255,0.35743606
0.87271893,-0.07119564,-14.466659,0.16911833,0.8358186,-0.38895634,0.3485963
0.6024075,-1.5132385,-14.840507,0.41901398,0.82193893,0.14531587,0.35738915
0.87295085,-0.07130966,-14.466651,0.16916664,0.83578926,-0.38895372,0.34864604
0.6026662,-1.5136875,-14.840557,0.4190472,0.8219132,0.14534907,0.35739607
0.87298596,-0.07122917,-14.466642,0.16919878,0.8358026,-0.38896182,0.34858933
0.60289186,-1.5140791,-14.840602,0.41907808,0.8219058,0.14538752,0.35736108
0.8730291,-0.07088839,-14.466633,0.16913335,0.8358388,-0.38898867,0.34850422
0.6032634,-1.5147239,-14.840674,0.41922557,0.82183486,0.14550573,0.35730308
0.87312615,-0.07067965,-14.466611,0.16916178,0.8358393,-0.389027,0.34844667
0.60277534,-1.5149903,-14.840705,0.4192626,0.8218347,0.14555737,0.35723904
0.87317944,-0.070564955,-14.4665985,0.16918956,0.8358738,-0.388978,0.34840515
