ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-47-25
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-47-25 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left, off center, program was hanging, at an angle, 1st below and to the right. dark spot

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.76592344,-1.4541174,-14.895938,0.31506366,0.8319295,0.12190181,0.44019106
0.9677481,-0.10742509,-14.559509,0.1662457,0.7669159,-0.42125434,0.45469454
0.764626,-1.4535866,-14.896503,0.3150462,0.8318854,0.12190021,0.44028738
0.9679034,-0.107824974,-14.559653,0.16655816,0.76634836,-0.42175627,0.45507178
0.7654512,-1.4531772,-14.89694,0.31494534,0.831801,0.121876955,0.44052535
0.96927536,-0.10829089,-14.559823,0.16675125,0.76573604,-0.4222165,0.45560464
0.76428646,-1.454681,-14.897295,0.3149622,0.83169323,0.12185936,0.4407216
0.9693761,-0.10874935,-14.559988,0.16699272,0.7652474,-0.422564,0.456015
0.765144,-1.4540862,-14.897571,0.3149341,0.83135134,0.12181279,0.44139916
0.97013116,-0.108543456,-14.560151,0.16685465,0.7649509,-0.42267826,0.45645693
0.7640746,-1.455372,-14.897799,0.31489515,0.8310694,0.12187518,0.4419403
0.9708699,-0.10834203,-14.56031,0.16668692,0.7647227,-0.4227592,0.45682532
0.7666218,-1.4546801,-14.897975,0.3145976,0.8305778,0.12197091,0.44304863
0.97086674,-0.10815875,-14.560456,0.1661627,0.7654507,-0.42168388,0.45679092
0.7686168,-1.4557415,-14.898112,0.3144471,0.83017576,0.12209594,0.4438738
0.9702224,-0.10799687,-14.560584,0.16570903,0.76621467,-0.4205945,0.4566792
0.77019596,-1.4550586,-14.898221,0.3141599,0.82989794,0.122175395,0.44457403
0.9690416,-0.10785335,-14.560698,0.16528225,0.7670158,-0.41949615,0.45649916
0.7714583,-1.4559594,-14.898308,0.31402025,0.82960373,0.122336775,0.44517702
0.96799093,-0.108304664,-14.560799,0.16493036,0.7678157,-0.418361,0.45632347
0.77247715,-1.4553119,-14.898378,0.31382516,0.82942015,0.12239393,0.44564074
0.96705306,-0.10815752,-14.560889,0.16448294,0.7686334,-0.41727364,0.45610395
0.77200073,-1.4560906,-14.898436,0.31371325,0.82926196,0.12254359,0.44597277
0.9656904,-0.108548306,-14.56097,0.16419712,0.76947486,-0.4161263,0.45583633
0.7728502,-1.4554893,-14.898482,0.31355053,0.8291455,0.122636415,0.4462782
0.9644662,-0.1093958,-14.561043,0.16389787,0.77026314,-0.41505525,0.45558918
0.773553,-1.4549918,-14.898521,0.3134454,0.82902426,0.12272486,0.44655293
0.963835,-0.10921611,-14.561109,0.16354929,0.77099174,-0.41414028,0.45531455
0.77413887,-1.4556967,-14.898554,0.31334317,0.8289128,0.12283356,0.44680163
0.9628167,-0.109053776,-14.561168,0.16323885,0.7717199,-0.4132531,0.45499822
0.77463055,-1.4552246,-14.899646,0.31317762,0.8288389,0.12289984,0.44703656
0.96146876,-0.108906746,-14.561221,0.16294464,0.77243394,-0.41245,0.45462075
0.775046,-1.4548259,-14.899556,0.31303257,0.8287585,0.12294379,0.44727507
0.9602449,-0.10917761,-14.56127,0.16274527,0.7730599,-0.41167784,0.45432773
0.77539915,-1.4554468,-14.900441,0.3129844,0.8286639,0.12297713,0.44747475
0.95913124,-0.1094241,-14.561314,0.16255412,0.77364844,-0.41099936,0.45400867
0.7742648,-1.4547385,-14.901848,0.31272626,0.8285582,0.12297772,0.44785067
0.9553108,-0.10962155,-14.561425,0.1621088,0.7747005,-0.40985757,0.45340562
0.77381146,-1.4544553,-14.90241,0.31260484,0.82852685,0.12295841,0.44799873
0.95282227,-0.1100592,-14.562233,0.16194706,0.77514964,-0.40933794,0.45316526
0.77419955,-1.4542093,-14.902898,0.312512,0.82845455,0.122899406,0.44821325
0.9510587,-0.110515185,-14.562245,0.16177322,0.7755325,-0.40889946,0.4529681
0.7745382,-1.4539946,-14.903324,0.31244025,0.82839,0.12282175,0.44840378
0.9493267,-0.11007186,-14.562258,0.16155007,0.77589035,-0.408509,0.4527872
0.77483517,-1.4538064,-14.903697,0.31232655,0.8283278,0.12277216,0.4486116
0.9465788,-0.10962306,-14.562269,0.16136079,0.77621603,-0.40817595,0.45259687
0.77509654,-1.4536408,-14.904025,0.31224507,0.8282411,0.122731626,0.44883937
0.94381696,-0.11028672,-14.562282,0.16117734,0.7765531,-0.40781185,0.4524122
0.7759643,-1.4528576,-14.904317,0.31213233,0.8281354,0.122539535,0.44916525
0.94360703,-0.10976389,-14.562292,0.16096015,0.7767169,-0.40759113,0.45240718
0.7767341,-1.4533728,-14.903969,0.3121078,0.82800555,0.122373044,0.4494669
0.9422686,-0.10928357,-14.562302,0.16071495,0.776864,-0.40740255,0.45241162
0.7774194,-1.4532568,-14.904234,0.31206718,0.8278965,0.12216996,0.4497512
0.9422357,-0.10886632,-14.56231,0.16051862,0.7769305,-0.40728658,0.45247155
0.7780315,-1.4531531,-14.903926,0.31201547,0.82779604,0.121982284,0.45002267
0.9422067,-0.10962711,-14.562319,0.16039562,0.77693516,-0.40719956,0.45258546
0.77857995,-1.4530604,-14.903648,0.3119789,0.8277049,0.121776134,0.4502714
0.94218105,-0.11029858,-14.5623255,0.16035925,0.77690536,-0.4071164,0.45272422
0.7790728,-1.4524841,-14.9034,0.31192324,0.82763463,0.12154246,0.45050225
0.94215846,-0.1108916,-14.562331,0.16034913,0.77683187,-0.4071089,0.45286065
0.77998525,-1.4524328,-14.903176,0.31193483,0.827529,0.121306516,0.45075175
0.9432125,-0.11031582,-14.562336,0.16040196,0.77663666,-0.40724,0.45305893
0.78036505,-1.4523864,-14.902973,0.3119303,0.82744265,0.121089816,0.45097172
0.9430827,-0.10982988,-14.562341,0.1605143,0.7764418,-0.4074114,0.4531989
0.78070915,-1.4519219,-14.90279,0.31191275,0.8273748,0.120847516,0.45117313
0.9439408,-0.110385545,-14.562345,0.1606481,0.77621955,-0.407572,0.45338786
0.78142315,-1.4515002,-14.902623,0.31189096,0.827306,0.12061574,0.4513765
0.94559383,-0.10994031,-14.562347,0.16075939,0.7759927,-0.40775725,0.4535701
0.7820731,-1.4514973,-14.902472,0.3119087,0.82722765,0.12040197,0.45156488
