ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-54-34
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-54-34 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved up, bottom group of 3 @ 12 3 and 9 oclock, right above and slightly to the left of same pattern

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7929661,-1.452501,-14.916831,0.31463695,0.8130893,0.118840106,0.47514892
0.94006395,-0.10616196,-14.548942,0.20572577,0.74636555,-0.45428574,0.4407265
0.7938296,-1.4523103,-14.917044,0.31471175,0.8129548,0.11901829,0.47528502
0.940401,-0.1094531,-14.54961,0.20605119,0.7463868,-0.4542931,0.44053084
0.79285866,-1.4521589,-14.9172125,0.31477556,0.81288064,0.11916768,0.47533193
0.94066507,-0.10723542,-14.548535,0.20600335,0.7465312,-0.4544645,0.44013163
0.79372305,-1.452032,-14.917355,0.31496418,0.81274986,0.1193025,0.4753968
0.9408742,-0.106998056,-14.547685,0.20609814,0.7466197,-0.45453724,0.4398619
0.79444474,-1.4519259,-14.917473,0.31512174,0.8126367,0.11946023,0.47544634
0.94104147,-0.105365165,-14.547004,0.20603698,0.7467615,-0.4546462,0.4395371
0.79338706,-1.4518423,-14.917566,0.3152821,0.8125737,0.11951268,0.47543463
0.94118106,-0.10541941,-14.5478525,0.20615521,0.7468978,-0.4546015,0.4392963
0.79410666,-1.4533405,-14.917641,0.31539255,0.8124612,0.11972081,0.47550112
0.9413015,-0.105466254,-14.548585,0.20618707,0.7470668,-0.4545799,0.43901634
0.7931809,-1.4530416,-14.917701,0.31544337,0.812424,0.119828045,0.475504
0.9400368,-0.10550411,-14.547815,0.20617604,0.7473202,-0.45444614,0.43872854
0.7939173,-1.4527853,-14.917752,0.3154312,0.812444,0.11989185,0.47546187
0.9402995,-0.104240976,-14.547187,0.20614475,0.7475802,-0.45437092,0.4383781
0.79454523,-1.4525666,-14.917795,0.31546786,0.8124205,0.11987619,0.47548163
0.94051665,-0.105668545,-14.547904,0.20625912,0.7477865,-0.4542056,0.43814352
0.7950781,-1.4523811,-14.917833,0.3154832,0.81245416,0.11988354,0.47541207
0.94069636,-0.10450255,-14.547323,0.20622218,0.7479996,-0.45412198,0.43788394
0.79550475,-1.4537357,-14.917862,0.3155395,0.8124651,0.11988244,0.47535637
0.9397311,-0.10464536,-14.546839,0.20628916,0.74816823,-0.45400742,0.437683
0.79585207,-1.4548384,-14.917887,0.31565437,0.8124616,0.11984967,0.47529417
0.9389205,-0.10476528,-14.547492,0.2062738,0.74832016,-0.45392415,0.4375169
0.79615057,-1.454318,-14.917908,0.3156306,0.81254345,0.11972258,0.47520205
0.93924946,-0.1048691,-14.548058,0.20634004,0.7483966,-0.45388392,0.4373967
0.79639477,-1.4553096,-14.917926,0.3157817,0.812531,0.11964788,0.47514176
0.9385446,-0.10495774,-14.54854,0.20637329,0.74846685,-0.45386338,0.4372821
0.79659694,-1.4561305,-14.91794,0.3158772,0.8125304,0.1195579,0.4751021
0.93794364,-0.10503331,-14.548016,0.20642781,0.7484961,-0.45389295,0.43717557
0.7967659,-1.4568168,-14.917952,0.3159088,0.8125417,0.11949899,0.47507653
0.9383342,-0.10510091,-14.548474,0.20649911,0.7484798,-0.45392886,0.4371324
0.79562855,-1.4561021,-14.917961,0.31587055,0.8126108,0.11936479,0.47501755
0.9386779,-0.1051604,-14.547974,0.20656234,0.7484563,-0.45396635,0.43710387
0.7959172,-1.4554831,-14.917969,0.31577146,0.8126298,0.11923246,0.47508398
0.9381029,-0.10608974,-14.548411,0.20669915,0.748415,-0.4539668,0.4371094
0.7974653,-1.4562316,-14.917976,0.315825,0.8124976,0.11906802,0.4753157
0.93847626,-0.1069791,-14.548829,0.20678225,0.74830705,-0.45401576,0.43720406
0.7975477,-1.4573925,-14.917988,0.31605798,0.8122047,0.118813306,0.47572502
0.9402072,-0.10777479,-14.549602,0.20702372,0.7478241,-0.45440295,0.4375139
0.7975799,-1.4578466,-14.917993,0.3160762,0.8120896,0.118759535,0.47592285
0.9404024,-0.10755113,-14.549948,0.2072445,0.7475746,-0.45461658,0.43761373
0.7976082,-1.4570462,-14.917996,0.31603172,0.8120015,0.118683994,0.47612154
0.94058067,-0.10842719,-14.550265,0.20754391,0.7473119,-0.45478252,0.43774816
0.79763305,-1.4563427,-14.917999,0.31602377,0.81193906,0.118583955,0.47625828
0.94073945,-0.10812337,-14.550547,0.20768498,0.74711406,-0.45497102,0.43782294
0.7976541,-1.4569125,-14.918003,0.31607178,0.811849,0.1185326,0.47639254
0.94202083,-0.10784142,-14.550808,0.20784415,0.74691004,-0.4551123,0.43794867
0.7988678,-1.457426,-14.918006,0.31612423,0.81171346,0.11853391,0.47658837
0.94322044,-0.10878106,-14.551053,0.20799848,0.7467189,-0.45518968,0.438121
0.79873693,-1.4566865,-14.918008,0.31599975,0.811728,0.1185208,0.47664946
0.9443008,-0.10838819,-14.551274,0.20806035,0.74660826,-0.45523855,0.43822935
0.7998663,-1.4560028,-14.918011,0.31595707,0.8116423,0.118475966,0.47683486
0.94401103,-0.10805552,-14.55146,0.20815833,0.7465941,-0.4551673,0.4382809
0.79960257,-1.4554174,-14.918013,0.31596655,0.81166154,0.11840042,0.47681463
0.9449899,-0.10775602,-14.551628,0.2082139,0.7465751,-0.45509976,0.43835697
0.7993841,-1.4561019,-14.918014,0.31602138,0.8116333,0.11837606,0.47683236
0.9446157,-0.10750381,-14.55177,0.20815653,0.7466668,-0.45493916,0.43839478
0.79919565,-1.455544,-14.918015,0.31600824,0.8116719,0.118288435,0.47679716
0.9442978,-0.10728955,-14.551891,0.20811082,0.74672794,-0.45480132,0.43845528
0.79903114,-1.4550569,-14.918016,0.31594324,0.8117158,0.11815873,0.4767975
0.94292724,-0.10821575,-14.551992,0.20813799,0.7468302,-0.45457083,0.43850726
0.79888713,-1.4546305,-14.918017,0.31592128,0.81172544,0.11791919,0.47685495
0.94391793,-0.10903013,-14.55208,0.20818794,0.74685,-0.45440796,0.43861866
0.7987608,-1.4542564,-14.918018,0.3158829,0.81171757,0.11790004,0.4768986
0.94370514,-0.10866652,-14.5521555,0.20814651,0.74689955,-0.45432436,0.43864056
0.7997729,-1.4550499,-14.918019,0.31595218,0.81161475,0.1177374,0.47706783
0.9435178,-0.109395646,-14.552222,0.2081632,0.7469435,-0.45418468,0.43870246
0.79954654,-1.4546334,-14.918019,0.31587133,0.8115435,0.11764663,0.47726482
0.94335675,-0.10901004,-14.552279,0.20814732,0.74693614,-0.45413414,0.4387748
0.8005014,-1.454245,-14.918019,0.31583568,0.8113972,0.11764771,0.47753695
0.9432173,-0.10867606,-14.552329,0.2080529,0.7469529,-0.4541095,0.43881664
0.80018246,-1.4539119,-14.918019,0.31568354,0.8111015,0.11759737,0.4781518
0.94412106,-0.109395064,-14.552376,0.20796613,0.7468721,-0.45420718,0.4388941
0.8010798,-1.4536043,-14.918019,0.3155036,0.81074,0.11761848,0.47887796
0.94390106,-0.10901735,-14.552416,0.20786011,0.7468512,-0.45430145,0.43888238
0.8018982,-1.4533237,-14.918021,0.31537226,0.81035906,0.11757242,0.47962
0.94473845,-0.109705605,-14.552453,0.20776239,0.746743,-0.45441014,0.43900022
0.8040793,-1.4516655,-14.918021,0.31519124,0.80999553,0.11739167,0.48039663
0.9444544,-0.10929519,-14.5524845,0.20767629,0.74665433,-0.45455348,0.4390435
0.8060554,-1.4516298,-14.918021,0.31506354,0.80960643,0.11741321,0.48113048
0.945206,-0.10892058,-14.552514,0.20760101,0.7465476,-0.45473439,0.4390733
0.8062649,-1.4515992,-14.918021,0.3149841,0.8093389,0.11726757,0.4816679
0.94591004,-0.10962799,-14.552541,0.20757346,0.7463874,-0.4548936,0.43919355
0.80799896,-1.4515723,-14.918021,0.3148896,0.8090518,0.11728952,0.4822063
0.94650793,-0.10820904,-14.552565,0.20744447,0.7463039,-0.4550918,0.4391912
0.8095122,-1.4515487,-14.918022,0.31483856,0.8087817,0.11723539,0.48270577
0.94605625,-0.108922295,-14.552585,0.2074215,0.7462125,-0.4552109,0.43923387
0.8119269,-1.4515111,-14.919744,0.3147469,0.80825245,0.11723195,0.48365185
0.94533795,-0.107528865,-14.552616,0.2074235,0.7460446,-0.4555927,0.43912226
0.8147655,-1.4514958,-14.921267,0.31471857,0.80794483,0.117202,0.48419127
0.94587725,-0.10737425,-14.552629,0.20747356,0.74589694,-0.4558614,0.43907052
0.81519926,-1.4514834,-14.920646,0.3146147,0.80776477,0.11722735,0.48455277
0.9463867,-0.10722821,-14.552641,0.20751655,0.7457314,-0.4561623,0.43901888
0.81553245,-1.4532224,-14.920169,0.31482345,0.80752987,0.1172361,0.48480654
0.9460148,-0.10710181,-14.552651,0.20756835,0.7456201,-0.45640555,0.4389308
0.8158018,-1.4529005,-14.919784,0.31476167,0.80748546,0.11717614,0.4849352
0.94649655,-0.106983796,-14.552661,0.20760298,0.7454622,-0.4566722,0.43890518
0.81602263,-1.4526365,-14.919468,0.31474793,0.8074194,0.11713477,0.4850641
0.9469532,-0.107731886,-14.5526705,0.20773827,0.74529976,-0.45689175,0.43888843
0.8162038,-1.45242,-14.919209,0.3146333,0.80744565,0.11705853,0.48511317
0.94653124,-0.10674507,-14.552678,0.2076103,0.7452571,-0.45720103,0.43869933
0.8163543,-1.4504918,-14.920742,0.3144521,0.80749667,0.11684611,0.48519704
0.946944,-0.10666269,-14.552686,0.20765583,0.745102,-0.4574502,0.43868154
0.8164769,-1.4506621,-14.92199,0.31433374,0.8074514,0.11677369,0.48536643
0.9465607,-0.10659081,-14.552691,0.20763944,0.74505365,-0.45760778,0.43860707
0.816577,-1.4508013,-14.923011,0.31432965,0.80746204,0.11661037,0.48539045
0.94695467,-0.10727511,-14.552697,0.20768096,0.7449177,-0.45779663,0.43862134
0.81666005,-1.4491584,-14.923857,0.31415516,0.80749655,0.11645952,0.48548228
0.9473294,-0.10715077,-14.552703,0.20757364,0.74480295,-0.45802113,0.43863246
0.8167287,-1.4478004,-14.924556,0.3140176,0.8075983,0.11605367,0.4854993
0.9476567,-0.10630566,-14.5519705,0.20747998,0.7447321,-0.45825708,0.4385506
0.8186886,-1.4471761,-14.925602,0.31373492,0.80790603,0.11488868,0.48544705
0.94906795,-0.10541166,-14.552092,0.20741382,0.7445533,-0.4586131,0.43851343
0.8183816,-1.4479642,-14.925979,0.31374428,0.80812114,0.114315644,0.48521826
0.95019674,-0.10544156,-14.552154,0.20735414,0.74450094,-0.45870924,0.43852997
0.81999266,-1.4467659,-14.926302,0.31356177,0.80827135,0.11378758,0.48521018
0.95124483,-0.104554854,-14.551297,0.20725459,0.74452466,-0.4587919,0.4384503
0.8194284,-1.4458234,-14.926557,0.31328797,0.80853283,0.113451414,0.48503006
0.951277,-0.104661375,-14.550561,0.20720504,0.74459916,-0.4588281,0.4383093
0.81899446,-1.4468385,-14.926753,0.31326902,0.8086584,0.11321597,0.48488793
0.9513048,-0.10475342,-14.549925,0.20718144,0.74464524,-0.45888296,0.43818474
