ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-55-36
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-55-36 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, 1st tiny dark pencil point in square pattern, to left was 2nd one rings light rings dark center

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7572206,-1.4444162,-14.917312,0.310735,0.84346384,0.12930137,0.41868097
0.9155756,-0.121612184,-14.531753,0.1997169,0.8108408,-0.4011542,0.3764648
0.7575267,-1.4440445,-14.917415,0.31084666,0.8434034,0.12922831,0.41874248
0.9163426,-0.12094358,-14.531942,0.1996053,0.81072265,-0.40122768,0.3767001
0.7577759,-1.4450494,-14.917498,0.3110183,0.8433533,0.1291844,0.41872948
0.917059,-0.121391356,-14.532121,0.19961546,0.8105447,-0.40132442,0.37697446
0.7579931,-1.444606,-14.91757,0.31106818,0.84330475,0.12909326,0.4188183
0.9166372,-0.12281423,-14.532274,0.19985956,0.81041235,-0.40127364,0.3771837
0.7569177,-1.4442426,-14.917629,0.31096536,0.84339505,0.12902029,0.41873533
0.917298,-0.12200863,-14.532411,0.1997763,0.8103255,-0.40139705,0.377283
0.7585438,-1.4439156,-14.917682,0.31102127,0.8433281,0.1289331,0.41885537
0.9178897,-0.12128742,-14.532533,0.19966516,0.8102786,-0.40144205,0.37739468
0.7586551,-1.4436293,-14.917728,0.3110291,0.84330416,0.12881047,0.41893554
0.9184337,-0.12276985,-14.532645,0.19981802,0.8101308,-0.4014163,0.37765828
0.7574985,-1.4433943,-14.917768,0.31103563,0.84333074,0.12880538,0.41887876
0.9178738,-0.120963514,-14.532741,0.19962537,0.81013924,-0.40150338,0.3776495
0.75773364,-1.4431951,-14.9178,0.31102335,0.8433157,0.12880147,0.4189193
0.9173982,-0.12136584,-14.532821,0.1997118,0.81008434,-0.4014849,0.3777413
0.7579424,-1.4430183,-14.9178295,0.31111503,0.8432595,0.128791,0.41896734
0.9179117,-0.12078975,-14.53289,0.19965309,0.8100154,-0.4015846,0.37781414
0.75812674,-1.4428623,-14.917855,0.31116295,0.84322107,0.12882356,0.41899928
