ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--15-56-32
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--15-56-32 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, fine pencil points dark, to the left were blobby not sharp

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6656542,-1.4751173,-14.889769,0.35934374,0.8336052,0.13631064,0.39672914
0.9121193,-0.113741614,-14.53307,0.21277292,0.81327426,-0.40136963,0.36361393
0.66560584,-1.4752202,-14.889757,0.3593513,0.8335743,0.1363078,0.396788
0.912215,-0.113890156,-14.5331135,0.21281114,0.81322575,-0.40141028,0.36365527
0.6657507,-1.4753212,-14.889745,0.35935676,0.8335479,0.13624261,0.39686105
0.91322863,-0.11310647,-14.5331545,0.21259879,0.8132011,-0.4015588,0.3636706
0.66583955,-1.4753249,-14.889915,0.35941285,0.8335132,0.13599466,0.39696807
0.91416156,-0.11432634,-14.533225,0.21270059,0.81301665,-0.40172935,0.36383513
0.66578746,-1.4754237,-14.889901,0.3594499,0.8335364,0.13580759,0.39694995
0.9140631,-0.11442573,-14.533256,0.212749,0.81294185,-0.40181124,0.36388347
0.66573644,-1.4753283,-14.889887,0.35949805,0.83355933,0.1355924,0.39693168
0.9139785,-0.11361837,-14.533281,0.212694,0.8129321,-0.40188196,0.3638594
0.6656864,-1.4750427,-14.890065,0.35951784,0.83362085,0.13530676,0.39688206
0.9139026,-0.113777086,-14.533304,0.21276133,0.8128901,-0.40189338,0.36390105
0.66563743,-1.4751472,-14.890048,0.35961932,0.83366996,0.13500425,0.3967899
0.9147562,-0.11485399,-14.533327,0.21287246,0.8127673,-0.4019782,0.36401665
0.6655894,-1.4750575,-14.890223,0.35972214,0.8337072,0.13465403,0.3967374
0.91460603,-0.11580013,-14.533347,0.21298803,0.8126534,-0.4020735,0.36409813
0.6655423,-1.4749695,-14.890394,0.35979652,0.8337677,0.13426293,0.3966754
0.91447663,-0.11490459,-14.533364,0.21291213,0.8125783,-0.4022433,0.3641226
0.66549623,-1.4748832,-14.890369,0.35991266,0.83382744,0.13392983,0.39655712
0.91436476,-0.11412951,-14.53338,0.21283837,0.81246006,-0.4024383,0.36421403
0.66545105,-1.4747988,-14.890346,0.3600243,0.8338871,0.13352583,0.39646667
0.9150896,-0.115064025,-14.533394,0.21306488,0.81223875,-0.40260845,0.36438727
0.6654038,-1.4747103,-14.890527,0.36015517,0.8339413,0.1331056,0.39637497
0.9149275,-0.11589219,-14.533405,0.21313731,0.81208307,-0.40276492,0.36451906
0.66534823,-1.4746063,-14.8907385,0.3602829,0.8340106,0.13260183,0.39628193
0.91478634,-0.11508435,-14.533416,0.21309829,0.8119471,-0.40295842,0.3646308
0.66528434,-1.4744868,-14.890983,0.36038363,0.83408815,0.13211592,0.39618933
0.91543657,-0.11510563,-14.533426,0.21315199,0.8117433,-0.40311882,0.3648757
0.6648057,-1.4739349,-14.891304,0.3604226,0.8342185,0.13160335,0.3960501
0.91606605,-0.11595198,-14.533436,0.21318045,0.81153303,-0.40328386,0.36514437
0.66473407,-1.4737852,-14.891647,0.36057264,0.8342542,0.13115196,0.39598796
0.91670406,-0.11680978,-14.534362,0.21320233,0.8113141,-0.4034956,0.36538404
0.6646654,-1.4736418,-14.891534,0.36080173,0.8343035,0.13065767,0.39583883
0.91826296,-0.11570804,-14.53428,0.21296178,0.8111132,-0.40376022,0.36567813
0.6645872,-1.4729518,-14.8919325,0.36092195,0.8343634,0.13017109,0.39576325
0.9187029,-0.11473322,-14.534206,0.21293066,0.81093025,-0.40394711,0.3658954
0.6645137,-1.4728268,-14.891783,0.36111024,0.8344119,0.12971453,0.39563918
0.92014825,-0.11479795,-14.534137,0.212989,0.81066597,-0.40416303,0.36620858
0.66444457,-1.4727092,-14.891643,0.36126164,0.83445424,0.12929398,0.39554942
0.9204208,-0.116857775,-14.534074,0.21318442,0.81044656,-0.40424943,0.36648503
0.6643793,-1.4725982,-14.89151,0.36145487,0.83448595,0.12885793,0.39544815
0.9217462,-0.11669014,-14.534015,0.21310587,0.81023324,-0.404461,0.3667688
0.66366494,-1.4718307,-14.891994,0.36142817,0.83460104,0.12845203,0.3953617
0.9218588,-0.116541356,-14.533961,0.21304841,0.8100857,-0.40461504,0.36695805
0.6628755,-1.4709826,-14.8925295,0.3614072,0.834688,0.12805514,0.39532608
0.921954,-0.11540495,-14.533917,0.21291786,0.80997753,-0.40476942,0.36710238
0.66208506,-1.4701333,-14.892244,0.36146978,0.8347279,0.12775384,0.39528212
0.92203945,-0.11539869,-14.533877,0.21295866,0.80979973,-0.40495244,0.36726913
0.6622696,-1.4702169,-14.892511,0.36157283,0.83456993,0.12742384,0.39562783
0.9231514,-0.11538747,-14.533806,0.2129772,0.8095975,-0.40510112,0.36754015
0.66235524,-1.4694047,-14.893069,0.361489,0.8345622,0.12715028,0.39580873
0.92423844,-0.11538253,-14.533773,0.21294615,0.8095413,-0.4051523,0.36762562
0.6624393,-1.4686075,-14.893616,0.3614128,0.83453465,0.12710887,0.39594963
0.9240659,-0.11650345,-14.534872,0.21314155,0.8095382,-0.40506038,0.3676204
0.66252047,-1.4678377,-14.894144,0.36131692,0.83454645,0.12692781,0.39607036
0.92391324,-0.11749538,-14.535844,0.21329495,0.80948615,-0.4050564,0.36765042
0.6625918,-1.4681183,-14.894608,0.36146507,0.83442223,0.12695162,0.39618933
0.923779,-0.11724424,-14.536697,0.21332304,0.80948853,-0.40507305,0.36761048
0.6626549,-1.4683665,-14.895018,0.36153683,0.8343719,0.12699273,0.3962166
0.9236653,-0.11595403,-14.53742,0.21319437,0.8095271,-0.40511185,0.36755738
0.6616886,-1.467583,-14.895423,0.36152714,0.8344001,0.12694563,0.39618114
0.9246373,-0.114813626,-14.536987,0.21304946,0.80949104,-0.40520826,0.3676146
0.66186166,-1.4668523,-14.895801,0.3615363,0.8343466,0.12691875,0.39629412
0.92443144,-0.115928605,-14.537664,0.21321006,0.80937076,-0.4052699,0.3677184
0.66200763,-1.4672561,-14.895099,0.36164865,0.83423036,0.12691388,0.39643764
0.92536676,-0.11585997,-14.53831,0.21323615,0.8092378,-0.40544677,0.3678011
0.6621359,-1.466608,-14.895485,0.3616143,0.83414835,0.12694035,0.39663318
0.92506504,-0.11580033,-14.538871,0.21319166,0.8091943,-0.40555298,0.36780512
0.66224587,-1.4670124,-14.895816,0.36162326,0.83401257,0.12695928,0.39690432
0.92480993,-0.11468394,-14.539346,0.21309935,0.80915946,-0.40567473,0.36780122
0.66234964,-1.4663875,-14.896128,0.3614976,0.8339388,0.12695925,0.39717385
0.92458856,-0.11579571,-14.539758,0.21327265,0.8090377,-0.40568635,0.36795577
0.6633939,-1.4668119,-14.896394,0.3615055,0.83373386,0.1269663,0.39759436
0.92548305,-0.115744,-14.540147,0.21320695,0.8088703,-0.40586948,0.36815986
0.6633784,-1.4662447,-14.896631,0.36137876,0.8336012,0.12699704,0.39797777
0.9262432,-0.114640124,-14.539418,0.21292573,0.8088298,-0.40600824,0.3682586
0.6643036,-1.4657366,-14.896844,0.36130664,0.8334211,0.12696564,0.39843008
0.9269481,-0.11582591,-14.539848,0.21297409,0.8085908,-0.40610677,0.3686466
0.6650967,-1.4661932,-14.897025,0.36122683,0.8332691,0.12696484,0.39882055
0.92884976,-0.11576517,-14.540266,0.21277621,0.80825645,-0.40645224,0.36911306
0.6657801,-1.4665867,-14.8971815,0.36111492,0.83311284,0.12703162,0.3992268
0.92927337,-0.113405675,-14.539457,0.2123289,0.80816025,-0.40672374,0.36928225
0.66637224,-1.4669275,-14.897318,0.36105195,0.8329414,0.12697987,0.3996578
0.9296338,-0.11474731,-14.539886,0.21247496,0.8079586,-0.40681452,0.36953932
0.6669206,-1.4656156,-14.897443,0.36079794,0.8328663,0.12693898,0.4000563
0.92996114,-0.11481871,-14.540277,0.21248622,0.8077226,-0.4070215,0.36982065
0.66796273,-1.4638811,-14.897681,0.36040032,0.83267796,0.12680462,0.40084878
0.93272066,-0.112734236,-14.538732,0.21211119,0.8071959,-0.40778762,0.37034172
0.66844565,-1.4636008,-14.897792,0.36033687,0.83251476,0.12675168,0.4012613
0.93394107,-0.11307808,-14.539313,0.21219692,0.8068845,-0.4080512,0.37068063
0.669833,-1.4633476,-14.897891,0.36029464,0.83231264,0.12669101,0.4017373
0.9350535,-0.112062804,-14.539844,0.21212058,0.8065128,-0.408602,0.37092662
0.67110056,-1.4631163,-14.897983,0.3602862,0.83213115,0.1266512,0.40213323
0.9360533,-0.1111504,-14.540319,0.21212865,0.8062318,-0.40900564,0.37108788
0.6722654,-1.4629037,-14.8980665,0.3602971,0.83197606,0.12658437,0.4024653
0.93690944,-0.113142066,-14.540729,0.2124399,0.8059502,-0.4091827,0.37132627
0.6733375,-1.4627081,-14.898144,0.3602887,0.8318642,0.1265231,0.4027233
0.93917376,-0.1149632,-14.541101,0.2126165,0.80556995,-0.40945846,0.3717461
0.67432296,-1.4625283,-14.898214,0.36036777,0.8317244,0.12653065,0.40293878
0.9396053,-0.11354849,-14.541415,0.21257488,0.80545074,-0.40969974,0.3717624
0.6752259,-1.4623636,-14.898278,0.36044475,0.83165747,0.12646662,0.40302816
