ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-08-16
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-08-16 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 500 ; 500 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right, second was pencil points, unsure about the first - too fast

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7467316,-1.4572225,-14.936856,0.35568774,0.8155741,0.094859324,0.44646034
0.92609596,-0.123515405,-14.581311,0.20440753,0.79411304,-0.39580566,0.41344893
0.74724925,-1.456228,-14.936924,0.3557879,0.8154718,0.09452207,0.44663894
0.92845106,-0.12230474,-14.581353,0.2042336,0.793744,-0.39629072,0.41377866
0.74941224,-1.4570882,-14.936981,0.35582402,0.81527054,0.09439117,0.44700515
0.9290234,-0.12129006,-14.581389,0.20421037,0.7934465,-0.39668557,0.4139824
0.7478377,-1.4561282,-14.937027,0.35574043,0.81533265,0.0942174,0.44699514
0.9310268,-0.121856794,-14.581423,0.20439012,0.7930534,-0.39691758,0.4144242
0.7481459,-1.4553701,-14.937064,0.3556782,0.81523365,0.09415677,0.4472378
0.93122977,-0.12087776,-14.5814495,0.20423092,0.79284334,-0.39724156,0.4145943
0.75001323,-1.456315,-14.937095,0.35584158,0.815091,0.09400111,0.4474005
0.9313984,-0.12006423,-14.581471,0.20450285,0.792607,-0.39738867,0.41477108
0.7499704,-1.4570726,-14.937119,0.35595304,0.81501526,0.093988635,0.44745246
0.93154544,-0.12224476,-14.582936,0.2050893,0.79217887,-0.39746544,0.4152256
0.7515696,-1.4561117,-14.937141,0.35590345,0.8150403,0.09386298,0.44747278
0.9316726,-0.12265994,-14.584203,0.20545194,0.79189587,-0.3975853,0.4154713
