ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-11-22
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-11-22 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 500 ; 500 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. went twice, nothing stayed on

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.81252563,-1.480369,-14.925663,0.33494753,0.8206979,0.10704237,0.4503412
0.9486795,-0.11754801,-14.551129,0.16365623,0.8064024,-0.394909,0.40863034
0.81832516,-1.4803443,-14.926145,0.334512,0.8194549,0.10732989,0.45285296
0.94758105,-0.11560837,-14.551398,0.16352089,0.8067654,-0.39449808,0.40836477
0.8229617,-1.4803245,-14.926531,0.33420482,0.8186323,0.10736768,0.45455533
0.94670886,-0.11406823,-14.551612,0.16336039,0.8070665,-0.39415672,0.40816364
0.8265388,-1.4803092,-14.926827,0.33403394,0.8180522,0.10745071,0.4557042
0.94600946,-0.11568168,-14.551782,0.16349953,0.8072768,-0.3938169,0.40802005
0.82922816,-1.4802978,-14.927052,0.33393994,0.81770474,0.1075737,0.45636722
0.9467965,-0.11698735,-14.55192,0.16361162,0.8073753,-0.39360172,0.4079879
0.83120644,-1.4802895,-14.929923,0.3336399,0.81759477,0.10752815,0.45679423
0.9461536,-0.1167678,-14.552033,0.16358948,0.80757207,-0.3933273,0.4078719
0.8354781,-1.4802831,-14.929256,0.33356616,0.8173353,0.10758534,0.45729867
0.9456245,-0.115366064,-14.552126,0.16350743,0.80776006,-0.39313805,0.40771496
0.8330326,-1.4802788,-14.928808,0.3333632,0.8173212,0.107655644,0.4574554
0.9463532,-0.114191554,-14.552203,0.16335568,0.80787766,-0.39302754,0.40764934
0.8366079,-1.4775983,-14.93116,0.3333241,0.81717604,0.10744202,0.45779327
0.94584763,-0.11432522,-14.552268,0.16331756,0.80799097,-0.392904,0.40755913
0.8392213,-1.4783517,-14.930164,0.333364,0.8169716,0.107522115,0.45811024
0.9454225,-0.11443764,-14.552322,0.16334794,0.80810153,-0.39268667,0.40753725
0.8384155,-1.4788722,-14.929479,0.33334038,0.8168401,0.10750928,0.45836473
0.946118,-0.115621984,-14.552372,0.16334578,0.80816805,-0.3924944,0.4075914
0.8404722,-1.4792573,-14.92897,0.3331636,0.81674427,0.107513346,0.45866302
0.9456764,-0.11559242,-14.552414,0.16328304,0.8082784,-0.39231268,0.40757278
0.8419355,-1.4821384,-14.928609,0.33336684,0.8165002,0.107614465,0.4589261
0.9443251,-0.11556734,-14.552449,0.16325855,0.8083967,-0.39213768,0.40751627
0.8404719,-1.4816566,-14.928358,0.3332656,0.8165404,0.107588165,0.4589343
0.9440996,-0.115545936,-14.551552,0.16317044,0.8084846,-0.39196664,0.40754172
0.8418767,-1.481295,-14.92817,0.33331668,0.8163934,0.10773282,0.45912474
0.94302464,-0.11464616,-14.550781,0.16311349,0.8086234,-0.39176905,0.40747917
0.8404863,-1.481041,-14.928038,0.33343056,0.8163648,0.10790243,0.459053
0.94293433,-0.11386975,-14.550117,0.16304749,0.8087165,-0.39163947,0.4074454
0.84183276,-1.4808475,-14.927937,0.33339003,0.8162874,0.10796835,0.4592046
0.9420606,-0.11399189,-14.5495405,0.16303058,0.808807,-0.39147624,0.40742928
0.8428277,-1.4830749,-14.927862,0.3336937,0.81611216,0.107959956,0.45929748
0.9420549,-0.11409831,-14.549039,0.16302136,0.80886865,-0.39136243,0.40742007
0.8435833,-1.482377,-14.927806,0.33368292,0.8161128,0.10785799,0.45932811
0.94205,-0.11490937,-14.548598,0.1631,0.80889773,-0.3912485,0.40744025
0.846623,-1.4842943,-14.927763,0.3339288,0.8159352,0.108000785,0.45943138
0.9413636,-0.11494032,-14.548213,0.16309913,0.80894196,-0.3911884,0.40741053
0.84643525,-1.485682,-14.9277315,0.3340974,0.8159322,0.1080971,0.45929158
0.9414057,-0.11561555,-14.547872,0.1631773,0.8089509,-0.39111963,0.40742746
