ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-13-16
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-13-16 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 500 ; 500 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved up

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7523065,-1.5060725,-14.884938,0.31519586,0.84283537,0.17318232,0.40036002
0.8957149,-0.14451122,-14.5272455,0.18306737,0.83104414,-0.4019578,0.33805615
0.7522554,-1.505941,-14.884831,0.31514835,0.8428411,0.17319447,0.4003801
0.89563394,-0.14406073,-14.527095,0.18301518,0.831109,-0.40187258,0.33802634
0.7522005,-1.5060102,-14.884716,0.3151161,0.84286195,0.17315991,0.40037644
0.8955605,-0.14447974,-14.526959,0.18302031,0.831153,-0.4017714,0.3380357
0.7521469,-1.5058678,-14.884813,0.3150517,0.8428956,0.17313376,0.40036747
0.89510065,-0.14446755,-14.5268345,0.18303317,0.8312313,-0.40163377,0.3379997
0.7520963,-1.505936,-14.884906,0.31505463,0.8429034,0.17312704,0.4003518
0.8950551,-0.14408302,-14.526722,0.18300876,0.83128923,-0.40155825,0.33796015
0.7519915,-1.5060774,-14.884883,0.3150818,0.8429127,0.17304344,0.40034693
0.8946385,-0.14375298,-14.5265255,0.18299077,0.8313605,-0.40144354,0.3379308
0.7516604,-1.5058935,-14.885002,0.31504902,0.84296465,0.17298253,0.40028968
0.89461476,-0.14312692,-14.526438,0.18295674,0.8313803,-0.40143204,0.3379143
0.7516078,-1.5059818,-14.885118,0.31505653,0.8429729,0.17292008,0.4002934
0.89459306,-0.14346448,-14.526664,0.18297823,0.8313785,-0.4014152,0.33792707
0.7515567,-1.5060673,-14.885229,0.3150786,0.84295493,0.17287175,0.40033472
0.89457303,-0.14319707,-14.526582,0.18297125,0.831372,-0.40142462,0.3379354
0.7517598,-1.5061463,-14.885332,0.31511736,0.84291595,0.17281713,0.4004098
0.8945546,-0.14349972,-14.52678,0.18298282,0.83135563,-0.4014293,0.3379639
0.75171006,-1.5059818,-14.885427,0.31506598,0.84289145,0.17281543,0.4005025
0.8945376,-0.14351822,-14.526702,0.18298046,0.8313312,-0.40145385,0.33799618
0.7516639,-1.5058292,-14.885515,0.3150317,0.8428994,0.1727772,0.40052935
0.89452195,-0.14353533,-14.52663,0.18297319,0.8313137,-0.40147644,0.33801642
0.7516199,-1.5059044,-14.8856,0.3150374,0.84284097,0.17279743,0.40063906
0.8945074,-0.14378652,-14.526799,0.18297786,0.83128005,-0.40149686,0.33807248
0.7517464,-1.5058398,-14.885551,0.31501544,0.8427814,0.17278643,0.40078637
0.8946938,-0.14379801,-14.526883,0.18298906,0.83121616,-0.4015297,0.33818445
0.7517064,-1.5057127,-14.885432,0.31500572,0.8427417,0.17279115,0.40087533
0.89467776,-0.14360428,-14.526821,0.18297575,0.83118623,-0.40154937,0.33824188
0.75166297,-1.505575,-14.885302,0.31501058,0.8426975,0.17279215,0.40096405
0.8946628,-0.14400032,-14.526956,0.18301748,0.83113384,-0.40156436,0.33833036
0.751825,-1.5056493,-14.88518,0.31506118,0.8426263,0.17278609,0.40107667
0.89485157,-0.14400418,-14.526891,0.183022,0.83107245,-0.40160635,0.33842868
0.75197566,-1.5057184,-14.885068,0.31514472,0.8425427,0.17278762,0.401186
0.8950704,-0.14425072,-14.526816,0.18305773,0.8309822,-0.40166563,0.33856052
0.7521233,-1.5057861,-14.884958,0.31524736,0.8424666,0.1727992,0.4012602
0.8953216,-0.14453377,-14.526731,0.18307911,0.83086866,-0.40174592,0.33873227
0.75226796,-1.5056603,-14.88485,0.31527764,0.842415,0.17277078,0.4013569
0.89556503,-0.14423867,-14.526647,0.18306202,0.830765,-0.4018448,0.33887857
0.7524098,-1.5055369,-14.884745,0.315339,0.8423564,0.17273718,0.4014461
0.89551145,-0.1448655,-14.526873,0.18319306,0.83063185,-0.40191734,0.33904815
0.7523565,-1.505416,-14.884641,0.31540596,0.84233177,0.1727149,0.4014548
0.8957684,-0.14453602,-14.526778,0.18321659,0.8304773,-0.40206936,0.33923352
0.7524966,-1.5052975,-14.884541,0.31541917,0.8423012,0.17268701,0.40152052
0.89606434,-0.1448885,-14.527036,0.18330276,0.8302986,-0.40220857,0.3394594
0.7526338,-1.5053737,-14.88444,0.31555274,0.84224474,0.17264533,0.4015519
0.8959847,-0.14486217,-14.527278,0.1834289,0.830118,-0.40235278,0.33966196
0.75257605,-1.5054483,-14.884343,0.3156258,0.8422177,0.17259929,0.40157092
0.8959119,-0.14449777,-14.5275,0.18345715,0.82997257,-0.4024932,0.3398358
0.7527117,-1.5055215,-14.884248,0.3157355,0.842155,0.17256244,0.4016321
0.8962291,-0.14528403,-14.527751,0.18364726,0.82976556,-0.4025919,0.3401216
0.75284463,-1.5055933,-14.884154,0.31581002,0.8421295,0.17248838,0.40165874
0.896135,-0.14523894,-14.527988,0.18376704,0.82962745,-0.40269947,0.34026638
0.7527827,-1.5054712,-14.884255,0.31575674,0.84217423,0.17238566,0.40165105
0.8960456,-0.14519615,-14.528213,0.18385804,0.82947975,-0.40278807,0.34047237
0.7529142,-1.5055438,-14.884354,0.31579825,0.8421567,0.17231373,0.40168595
0.89641374,-0.14609061,-14.528474,0.18406217,0.82928485,-0.40288264,0.34072497
0.753043,-1.5054228,-14.88445,0.3157356,0.84219,0.17220597,0.40171155
0.89729595,-0.14548343,-14.528742,0.18396965,0.8291025,-0.4030827,0.34098184
0.7531693,-1.5053042,-14.884544,0.31573877,0.8421945,0.17212702,0.40173352
0.89762646,-0.1449058,-14.528995,0.18397492,0.828975,-0.40319625,0.34115472
0.7531008,-1.5053802,-14.884638,0.31579956,0.84218097,0.17206307,0.40174145
0.8979794,-0.1460099,-14.529266,0.18417329,0.8287998,-0.40332088,0.34132588
0.753226,-1.5054547,-14.884729,0.31577578,0.84218746,0.17200351,0.40177205
0.89832836,-0.14589517,-14.529534,0.1842341,0.82867676,-0.4034641,0.3414226
