ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-13-41
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-13-41 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 500 ; 500 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. not 100% sure of, second tiny pencil points

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.76567096,-1.5278072,-14.910594,0.38701218,0.80455875,0.12844703,0.43175015
0.9697988,-0.141754,-14.578999,0.22359006,0.79514766,-0.42225134,0.37343204
0.7658764,-1.5284383,-14.910458,0.3872209,0.80451095,0.12834051,0.43168375
0.9699296,-0.14328831,-14.57933,0.22386575,0.79475325,-0.42228445,0.3740684
0.76606154,-1.5284318,-14.910336,0.38741335,0.80444676,0.12824951,0.43165773
0.9713161,-0.14213787,-14.57963,0.22375551,0.79448473,-0.42248985,0.3744728
0.766773,-1.528972,-14.910227,0.3876051,0.8043567,0.1281353,0.4316874
0.9725818,-0.14375535,-14.579903,0.22401653,0.79414016,-0.42250988,0.37502468
0.76689166,-1.5289373,-14.910129,0.38772985,0.80429643,0.1280362,0.43171707
0.9737182,-0.14381707,-14.580148,0.2239599,0.7939778,-0.42260477,0.37529522
0.7669983,-1.5284132,-14.910041,0.38778242,0.8042578,0.12790902,0.4317794
0.9747247,-0.14387172,-14.580365,0.22407968,0.7938789,-0.42259184,0.37544754
0.7670943,-1.5288774,-14.909962,0.38790277,0.80418783,0.12780671,0.43183196
0.9772111,-0.1454816,-14.580565,0.22420032,0.793613,-0.42262346,0.37590167
0.76718116,-1.5292968,-14.90989,0.38802606,0.8040957,0.1277238,0.43191737
0.97935367,-0.14366055,-14.580738,0.2239931,0.7935772,-0.42275003,0.3759585
0.76733124,-1.5292156,-14.910168,0.38806736,0.80393183,0.12752052,0.43224522
0.9810955,-0.1436275,-14.582607,0.22395596,0.79348236,-0.42266986,0.376271
0.76739633,-1.5287988,-14.91048,0.38798222,0.8038593,0.12739015,0.43249488
0.9809911,-0.14219199,-14.582448,0.22375825,0.79356885,-0.42258823,0.37629765
0.76745564,-1.5284188,-14.910764,0.3878699,0.8038037,0.12730089,0.43272525
0.97946054,-0.14393881,-14.583768,0.22412989,0.79351705,-0.42232808,0.37647787
0.76750994,-1.5280713,-14.911024,0.38777944,0.80373794,0.12722452,0.4329509
0.97960025,-0.14259875,-14.584833,0.2237306,0.7936322,-0.42226645,0.37654173
0.76788664,-1.5280801,-14.9112625,0.38775176,0.8036512,0.12713954,0.43316153
0.97971594,-0.14414617,-14.585715,0.2237321,0.7936012,-0.4221196,0.37677073
0.7679217,-1.5277773,-14.911481,0.3876623,0.8036033,0.12705834,0.43335432
0.97854847,-0.1428887,-14.585175,0.22352722,0.79374766,-0.42195612,0.376767
0.76826394,-1.5275295,-14.911867,0.38753182,0.80345476,0.12699336,0.43376538
0.976784,-0.14310202,-14.585415,0.22341542,0.7940104,-0.42154095,0.37674427
0.76854986,-1.5272853,-14.912037,0.38747305,0.8033795,0.12694566,0.4339711
0.97611314,-0.14322358,-14.584986,0.22328204,0.79412794,-0.4214105,0.37672168
0.76881397,-1.5270597,-14.912194,0.3874133,0.80330366,0.12692103,0.43417203
0.97554755,-0.14332609,-14.584623,0.22314805,0.7942554,-0.42123926,0.37672406
0.7690582,-1.526851,-14.912099,0.38735756,0.8032437,0.12681203,0.43436438
0.9760444,-0.14536633,-14.584315,0.22296165,0.79444885,-0.4207042,0.3770241
0.7694944,-1.5266954,-14.91237,0.3872893,0.80308306,0.12652043,0.43480712
0.9759509,-0.14519258,-14.583829,0.22243981,0.794927,-0.4199127,0.37720677
0.7694832,-1.5267304,-14.912491,0.38726404,0.8030242,0.12634854,0.43498835
0.97634166,-0.14594188,-14.583634,0.22232015,0.7949533,-0.41966617,0.3774962
0.7696686,-1.5265672,-14.912603,0.3872082,0.8029532,0.12614617,0.43522775
0.97588515,-0.14500076,-14.583465,0.2219637,0.79514915,-0.4194771,0.37750354
0.76984686,-1.5266024,-14.912711,0.38724098,0.802853,0.125922,0.43544838
0.9754873,-0.1456921,-14.583319,0.22199288,0.7952071,-0.41920838,0.3776626
0.76982933,-1.5264448,-14.912818,0.38714555,0.8028114,0.12572007,0.43566814
0.9744212,-0.14486139,-14.583191,0.22170989,0.79536456,-0.41907898,0.37764102
0.7700044,-1.5264825,-14.912923,0.3871564,0.80271786,0.12547259,0.4359021
0.974166,-0.14413114,-14.583077,0.22152379,0.7954218,-0.418937,0.37778726
0.7699837,-1.5265194,-14.913025,0.38712823,0.80263776,0.12526362,0.4361347
0.9739408,-0.1447825,-14.582978,0.22150216,0.79545534,-0.41873828,0.37794966
0.77015597,-1.5265557,-14.913124,0.3871526,0.8025089,0.12502633,0.43641824
0.97312576,-0.1441285,-14.5828905,0.22131558,0.79557943,-0.41857043,0.3779836
0.7701315,-1.5265921,-14.913225,0.38719305,0.8024293,0.12476479,0.43660346
0.972401,-0.1447165,-14.583397,0.22132325,0.79564536,-0.41832855,0.37810817
0.77010685,-1.5266291,-14.913327,0.38717985,0.8023644,0.1245837,0.43678606
0.97230995,-0.1441301,-14.583293,0.22115387,0.7957141,-0.4182146,0.3781886
0.7700816,-1.5266668,-14.913432,0.38710728,0.8023771,0.12437179,0.43688744
0.9722284,-0.14466068,-14.583728,0.22117233,0.79574734,-0.41802186,0.37832093
0.77029586,-1.5267087,-14.913548,0.38703996,0.80233186,0.12419958,0.43707922
0.9721552,-0.14413436,-14.583616,0.22104299,0.79581785,-0.41791213,0.3783695
0.7705512,-1.5264626,-14.913687,0.38692895,0.80233103,0.123971924,0.4372435
0.971613,-0.14413671,-14.583993,0.22098063,0.7958868,-0.4177682,0.37841985
0.77084726,-1.5261769,-14.913846,0.38684657,0.8023633,0.12376397,0.43731627
0.9715759,-0.14368637,-14.58388,0.22080708,0.79597664,-0.41769436,0.37841365
0.7711583,-1.5262635,-14.914014,0.38683298,0.8023892,0.12360194,0.4373265
