ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-22-09
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-22-09 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 2000 ; 2000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved up, above and below each other, little bit of space between, not a whole phosphenes worth of space. a pea apart

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.89991397,-1.477199,-14.938131,0.3265226,0.7981172,0.14856707,0.48406577
1.0749735,-0.12438385,-14.567942,0.20219028,0.76491964,-0.45027924,0.41384265
0.899501,-1.4767476,-14.93807,0.3265133,0.7981792,0.14844523,0.48400733
1.0751045,-0.12443125,-14.567482,0.20203307,0.7648147,-0.45037645,0.4140074
0.8991358,-1.4769783,-14.938017,0.32651782,0.7982408,0.14836955,0.483926
1.0752186,-0.124472566,-14.5670805,0.20194569,0.7646866,-0.45044538,0.41421178
0.89881164,-1.4765847,-14.937968,0.32650182,0.7983129,0.14827582,0.4838466
1.0753208,-0.124509595,-14.567455,0.20216368,0.7646032,-0.45043415,0.41427168
0.8985228,-1.476234,-14.938494,0.32649913,0.7983806,0.14816068,0.48377192
1.075417,-0.12454444,-14.567807,0.20230955,0.76452124,-0.45037383,0.4144173
0.89880466,-1.4764606,-14.938424,0.32655087,0.7983861,0.14809282,0.4837487
1.0755074,-0.12457718,-14.568138,0.2024409,0.76433617,-0.45043373,0.41462934
0.8985444,-1.4766638,-14.938361,0.32659268,0.79842114,0.1479637,0.4837021
1.074863,-0.12460583,-14.568428,0.20265558,0.7643051,-0.45028767,0.41474038
0.89879763,-1.4763592,-14.938792,0.3265978,0.79844326,0.14785245,0.48369622
1.0749842,-0.12531842,-14.568683,0.20282924,0.7641859,-0.45009127,0.41508812
0.8985631,-1.4765476,-14.938718,0.3266457,0.7984585,0.14778244,0.48365995
1.0750943,-0.12529318,-14.568913,0.20287992,0.7641077,-0.4500081,0.41529742
0.8983509,-1.476278,-14.939092,0.32668364,0.7985067,0.147634,0.48360014
1.0752001,-0.12526898,-14.569136,0.20294428,0.7639222,-0.44995934,0.41565996
0.8981586,-1.4764515,-14.939012,0.32673892,0.7985327,0.14752369,0.4835535
1.0753003,-0.1259551,-14.569345,0.20313755,0.763783,-0.44986415,0.41592443
0.89798385,-1.4766092,-14.938939,0.32679904,0.79855436,0.14742237,0.48350805
1.0753961,-0.12661104,-14.569546,0.20312653,0.7636675,-0.44977894,0.41623384
0.89782476,-1.4767528,-14.938872,0.32683864,0.79857653,0.14733244,0.48347205
1.0754858,-0.12648332,-14.569735,0.2030699,0.7636547,-0.4497545,0.41631144
0.89767945,-1.4768838,-14.93917,0.32685903,0.7986301,0.14719756,0.4834109
1.0755699,-0.12636378,-14.569911,0.20289393,0.7636558,-0.44974813,0.41640198
0.897887,-1.4770036,-14.939442,0.32691595,0.798648,0.14709564,0.4833738
1.0756495,-0.12702508,-14.570079,0.20301358,0.7635374,-0.44963443,0.41668338
0.89807713,-1.4771134,-14.9396925,0.3269783,0.79867524,0.14698292,0.48332095
1.075723,-0.12685774,-14.570233,0.20295458,0.7635365,-0.44961718,0.41673237
0.89794457,-1.476907,-14.93992,0.32695687,0.79872215,0.14694782,0.48326865
1.0757927,-0.1275001,-14.57038,0.2030205,0.7635884,-0.44952568,0.4167038
0.8978226,-1.4767172,-14.940132,0.3269656,0.798781,0.14687851,0.4831865
1.0758532,-0.12653832,-14.570507,0.20289883,0.7636374,-0.44958913,0.4166049
0.89771026,-1.4768196,-14.940326,0.32701445,0.798825,0.1468297,0.48309556
1.0759068,-0.1264183,-14.57062,0.20290585,0.7636959,-0.44953266,0.41655526
0.8976067,-1.476914,-14.940241,0.32705703,0.79886615,0.14681427,0.48300335
1.0759566,-0.1263066,-14.5707245,0.20286049,0.76377314,-0.44951397,0.4164559
0.89726067,-1.4770013,-14.940413,0.32705873,0.7989739,0.14683588,0.48281738
1.075302,-0.12690696,-14.570815,0.20320909,0.7640181,-0.44928148,0.41608736
0.8969406,-1.4768444,-14.940573,0.32701957,0.79909295,0.146852,0.48264197
1.0753888,-0.12610896,-14.570896,0.20335163,0.764201,-0.44921702,0.41575128
0.896644,-1.4769248,-14.940721,0.32702214,0.79917437,0.14690244,0.48248997
1.0748352,-0.12603346,-14.570968,0.20346797,0.7644421,-0.4490553,0.41542566
0.89636886,-1.4769994,-14.940643,0.32702914,0.79924464,0.14693873,0.4823577
1.0749425,-0.12656522,-14.571032,0.20368402,0.76454765,-0.44891807,0.4152739
0.8963171,-1.4768649,-14.940775,0.32703263,0.7993102,0.14694668,0.48224434
1.0750381,-0.12703893,-14.571088,0.2040601,0.764533,-0.44885692,0.41518238
0.896269,-1.4769335,-14.940897,0.32704917,0.79939467,0.14693125,0.4820979
1.0751265,-0.12747669,-14.57114,0.2043534,0.7644995,-0.44881907,0.41514057
0.8960174,-1.4768013,-14.941023,0.3270642,0.7994743,0.14692001,0.481959
1.074646,-0.12789328,-14.571755,0.20471102,0.7644777,-0.44872367,0.41510767
0.89596736,-1.4768844,-14.941162,0.32708094,0.7995332,0.14693409,0.4818456
1.0741718,-0.12830448,-14.572362,0.20497912,0.7644392,-0.44867936,0.41509423
0.89562654,-1.4769833,-14.941329,0.32711664,0.799592,0.14693113,0.48172465
1.0736622,-0.12942447,-14.573013,0.205294,0.7643396,-0.44858065,0.41522866
0.89557153,-1.4770896,-14.941508,0.32715064,0.79962933,0.1469261,0.4816412
1.073895,-0.12983827,-14.573705,0.20551877,0.7641963,-0.44859448,0.41536623
0.8955139,-1.476864,-14.941696,0.3271672,0.79968894,0.14689332,0.48154098
1.0733066,-0.13023898,-14.574373,0.205763,0.76408243,-0.44854695,0.415506
0.8954534,-1.4769937,-14.941894,0.32720384,0.79974204,0.14684924,0.48144126
1.072786,-0.12980668,-14.574965,0.2059756,0.7639486,-0.44855905,0.4156338
0.8953904,-1.4771289,-14.942099,0.32727978,0.7997734,0.14679846,0.4813531
1.0731442,-0.13117202,-14.575595,0.20629089,0.7637201,-0.44856247,0.41589344
0.89532536,-1.4772685,-14.942311,0.32731688,0.7998289,0.14674082,0.48125318
1.0725328,-0.13150722,-14.576187,0.20652087,0.7635446,-0.4485596,0.41610467
0.8952601,-1.4769595,-14.942523,0.32735896,0.7998923,0.14667365,0.48113963
1.0729567,-0.13182975,-14.576757,0.20675226,0.7633309,-0.44859076,0.41634828
0.8951939,-1.4771239,-14.9427395,0.32742977,0.79994506,0.14659037,0.4810291
1.0733582,-0.13213515,-14.577297,0.20696294,0.76306945,-0.44864058,0.41666898
0.8946718,-1.4772748,-14.942475,0.32749784,0.80002373,0.1464998,0.48087955
1.0737329,-0.13242015,-14.577801,0.20713547,0.76280445,-0.44874966,0.41695097
0.89411557,-1.4769192,-14.942711,0.32753637,0.80010426,0.14636181,0.48076123
1.0740486,-0.13158607,-14.578225,0.2071525,0.7625517,-0.44890922,0.41723293
0.894106,-1.4770901,-14.942431,0.32767788,0.80013895,0.14627169,0.48063454
1.074342,-0.13193488,-14.578619,0.2072583,0.76225454,-0.44909653,0.41752172
0.8940973,-1.4772441,-14.942181,0.32776678,0.8001615,0.14618942,0.48056135
1.07462,-0.1334711,-14.578994,0.20749049,0.76190144,-0.44921052,0.4179281
0.8936469,-1.4769406,-14.941953,0.32781264,0.8002658,0.14609344,0.4803856
1.0761029,-0.13361216,-14.579328,0.20752999,0.7615341,-0.4495058,0.41826043
0.893224,-1.477527,-14.941739,0.32792306,0.8003055,0.14610219,0.4802415
1.0774297,-0.13373835,-14.579627,0.20765443,0.7611759,-0.4497866,0.41854876
0.8932543,-1.477645,-14.9415455,0.3279785,0.8003308,0.14605516,0.48017573
1.0786127,-0.13385089,-14.579895,0.20785137,0.76081526,-0.45011458,0.41875404
0.89285576,-1.477762,-14.941355,0.3280055,0.80041647,0.14601743,0.4800257
1.0796621,-0.13395071,-14.580132,0.20815237,0.760488,-0.45027205,0.4190296
0.8929011,-1.4778682,-14.941181,0.3281204,0.8004688,0.14596632,0.4798756
1.0806211,-0.13545837,-14.580348,0.20876107,0.75999427,-0.45050249,0.4193747
0.8929425,-1.4779646,-14.941023,0.32826155,0.80049527,0.14598124,0.47973043
1.0814816,-0.13681105,-14.580542,0.2091828,0.7595033,-0.45082486,0.4197075
0.8925744,-1.4780629,-14.940862,0.3283666,0.8005842,0.14596091,0.4795162
1.0822057,-0.13646497,-14.580705,0.20939934,0.7591859,-0.45105734,0.41992378
0.89218885,-1.4781659,-14.940693,0.328548,0.8006288,0.14593838,0.47932437
1.0828165,-0.136173,-14.580843,0.20970008,0.7589023,-0.45131004,0.42001495
0.8922673,-1.4786944,-14.940538,0.32867107,0.8006551,0.14600387,0.479176
1.083353,-0.13745409,-14.580963,0.2102247,0.7585621,-0.45140818,0.42026165
