ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-23-39
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-23-39 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 2000 ; 2000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. next to each other, second was pencil points

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.88076043,-1.4736075,-14.966026,0.3528279,0.78664225,0.1398086,0.48699072
1.0338359,-0.12926869,-14.570656,0.2023676,0.7710621,-0.4531507,0.39895523
0.8796084,-1.4730461,-14.966038,0.3529441,0.78676176,0.13962069,0.4867674
1.034658,-0.13028839,-14.570911,0.20255156,0.7708985,-0.45339668,0.39889833
0.8787221,-1.4726142,-14.966046,0.35300416,0.7869515,0.13939139,0.48648277
1.035292,-0.12754345,-14.571109,0.2024203,0.7708964,-0.45364648,0.39868507
0.8780322,-1.4706279,-14.966053,0.35303915,0.7871079,0.13918719,0.4862629
1.0358119,-0.13061251,-14.571271,0.20255645,0.77078986,-0.45378414,0.39866528
0.87748945,-1.4722,-14.966058,0.35322207,0.7872032,0.13903825,0.48601827
1.0362397,-0.13134937,-14.571404,0.20255709,0.77075464,-0.45394322,0.3985517
0.87705785,-1.4734498,-14.964572,0.35338214,0.78727573,0.13894102,0.48581216
1.0365788,-0.13193324,-14.569768,0.20246404,0.77077144,-0.4540584,0.39843526
0.87671137,-1.4730387,-14.964795,0.35348946,0.7873727,0.13879739,0.485618
1.0368437,-0.1307267,-14.568489,0.20230643,0.77087057,-0.45409963,0.39827666
0.87508667,-1.4740494,-14.963632,0.3536567,0.78744334,0.13870002,0.48540938
1.0370598,-0.13302383,-14.567446,0.20236897,0.7708627,-0.45412332,0.39823315
0.8763126,-1.4735986,-14.963958,0.3537796,0.7874751,0.13856174,0.48530778
1.037231,-0.13170911,-14.56662,0.2022311,0.77100104,-0.45408806,0.39807558
0.8761096,-1.4732273,-14.964226,0.353864,0.7875693,0.13838421,0.4851441
1.0373689,-0.1306499,-14.565954,0.20215029,0.7711171,-0.45410436,0.39787307
0.8759411,-1.472919,-14.964449,0.3539227,0.7876405,0.13824564,0.4850251
1.0374843,-0.1312607,-14.565397,0.20213927,0.7712141,-0.45402744,0.39777836
0.87580013,-1.4737558,-14.963541,0.35407645,0.7877354,0.13807955,0.48480603
1.0375813,-0.13326389,-14.564929,0.20227894,0.7713726,-0.4538349,0.3976198
0.87366,-1.4731363,-14.96405,0.3542253,0.788021,0.13761821,0.4843641
1.0363774,-0.13252172,-14.565595,0.20229712,0.77186275,-0.4533883,0.39716858
0.87282336,-1.4719555,-14.964249,0.35422075,0.78817624,0.13737184,0.48418495
1.0366076,-0.13151632,-14.566443,0.20231785,0.7720496,-0.4532405,0.3969635
0.87210613,-1.4709433,-14.964418,0.3541782,0.7883347,0.137132,0.48402593
1.0355836,-0.13190189,-14.567144,0.20236093,0.7722362,-0.4530711,0.396772
0.870641,-1.4709179,-14.964565,0.35414445,0.78849703,0.1369479,0.4838382
1.0347335,-0.13106886,-14.567725,0.20235303,0.77245027,-0.45290834,0.39654502
0.87017643,-1.470896,-14.964692,0.35411987,0.78862906,0.13677718,0.48368946
1.0351183,-0.12927699,-14.568211,0.20231698,0.77261347,-0.45285904,0.39630166
0.869772,-1.4701123,-14.964802,0.35401443,0.78878796,0.13660872,0.48355505
1.0344015,-0.12985002,-14.568621,0.20239666,0.77273,-0.45277318,0.39613184
0.8686921,-1.4701535,-14.9649,0.35388562,0.7889457,0.13647275,0.48343047
1.0347884,-0.13034227,-14.568971,0.20249574,0.77284336,-0.45279652,0.3958332
0.86774373,-1.4701895,-14.964984,0.3537601,0.78907907,0.13637975,0.48333067
1.0341651,-0.12885638,-14.56927,0.20249595,0.7730348,-0.45279536,0.39546043
0.8669075,-1.4702213,-14.965059,0.35362512,0.7892127,0.13627192,0.48324168
1.0336317,-0.12939416,-14.569526,0.20256065,0.7731834,-0.45278233,0.39515156
0.8667899,-1.4696268,-14.965126,0.35346267,0.7893235,0.13617167,0.48320788
1.0331726,-0.12899746,-14.568887,0.20261766,0.7733321,-0.45277888,0.39483523
0.86668533,-1.4690986,-14.965185,0.3533045,0.7894296,0.13606006,0.48318177
1.0327755,-0.12865427,-14.569151,0.20264356,0.77344257,-0.45276594,0.39462054
0.86659217,-1.4691896,-14.965238,0.35320413,0.7895206,0.13598455,0.48312762
1.0324303,-0.12835595,-14.5686035,0.20264408,0.77356446,-0.45272654,0.39442623
0.86650884,-1.4692711,-14.965284,0.35309383,0.78957033,0.13594277,0.48313883
1.0321288,-0.12809542,-14.568127,0.20263141,0.7736608,-0.45271313,0.39425933
0.86643404,-1.4688369,-14.965326,0.3529417,0.78964496,0.13586654,0.4831495
1.0325644,-0.1278669,-14.567707,0.20262067,0.77372986,-0.45269862,0.39414594
0.8668486,-1.46941,-14.965364,0.35291222,0.789625,0.13587968,0.48319998
1.032948,-0.12700051,-14.567339,0.20257913,0.77379555,-0.45270157,0.39403483
0.8667649,-1.4690117,-14.965398,0.35279995,0.7896502,0.13586308,0.48324528
1.0326556,-0.12686624,-14.567013,0.20258835,0.7738427,-0.45269522,0.39394477
0.8666206,-1.4687372,-14.965457,0.3526515,0.7896357,0.13609505,0.48331216
1.0327293,-0.12550604,-14.566464,0.20251794,0.7740763,-0.45249537,0.39375156
0.8669506,-1.4688156,-14.965483,0.3525944,0.7896289,0.13624503,0.48332268
1.0319492,-0.12601684,-14.566775,0.20255765,0.7742603,-0.45225602,0.39364445
