ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-25-14
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-25-14 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-3000-3001-3004-3005 ; 200 ; 200 ; 2000 ; 2000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved down, group of at least 2, slightly to the right of the one below, looked like peas

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.76547074,-1.4823458,-14.944304,0.38644862,0.8037858,0.092777655,0.4426943
0.9784393,-0.11623602,-14.572168,0.18612053,0.7900126,-0.4143703,0.41174817
0.76449615,-1.4804819,-14.944712,0.38622758,0.8039029,0.09273157,0.44268423
0.97774094,-0.11615436,-14.572152,0.18604015,0.79010385,-0.41431698,0.4116631
0.7636887,-1.4819589,-14.945049,0.38626382,0.80384994,0.09286386,0.44272113
0.9771384,-0.11608389,-14.572138,0.1859276,0.7902513,-0.41421616,0.41153234
0.7629945,-1.4801471,-14.945339,0.38603395,0.80392325,0.09292792,0.4427751
0.9766158,-0.11602277,-14.5721245,0.18581855,0.7904459,-0.41405448,0.4113704
0.7624035,-1.4801668,-14.945587,0.38588214,0.80394644,0.09300245,0.4428494
0.97616047,-0.1152137,-14.572114,0.18574904,0.7906301,-0.41390273,0.4112005
0.7619027,-1.4801834,-14.945797,0.38575575,0.80397975,0.093084596,0.4428819
0.97504383,-0.11450551,-14.572105,0.18564598,0.79078794,-0.4138222,0.41102457
0.761497,-1.4817295,-14.945967,0.38572162,0.8039477,0.09312571,0.44296107
0.97474444,-0.11388299,-14.572097,0.18559387,0.7908803,-0.41375208,0.410941
0.7611539,-1.4799532,-14.94611,0.38553542,0.8039635,0.09311219,0.44309753
0.9744802,-0.11462962,-14.57209,0.18565449,0.7909222,-0.4136484,0.41093737
0.762345,-1.4800011,-14.946225,0.38539556,0.80393153,0.09309613,0.4432803
0.97424614,-0.115291096,-14.5720825,0.18573391,0.79097503,-0.4135294,0.4109197
0.76190823,-1.4800401,-14.944912,0.3853585,0.80390096,0.09312077,0.44336292
0.97403795,-0.11587926,-14.572077,0.18577607,0.79100156,-0.4134746,0.41090474
0.7628893,-1.4787364,-14.945183,0.38525572,0.8039037,0.09305164,0.44346175
0.9738523,-0.11529282,-14.572072,0.18577218,0.79101753,-0.41347128,0.4108791
0.76369184,-1.47767,-14.945405,0.38517094,0.8039198,0.09303119,0.44351056
0.97368604,-0.114767894,-14.572067,0.18576908,0.7910257,-0.41346893,0.41086718
0.76310635,-1.4767224,-14.945602,0.38504413,0.8039844,0.09297822,0.4435147
0.9735368,-0.114798024,-14.5720625,0.18580519,0.7909829,-0.4135088,0.41089296
0.76386243,-1.4759402,-14.945764,0.3850617,0.80397,0.09291879,0.44353804
0.9734024,-0.11530151,-14.57206,0.18586148,0.7909433,-0.41352323,0.41092914
0.76329386,-1.4764866,-14.944689,0.38511372,0.8039757,0.09287449,0.4434917
0.973281,-0.11485104,-14.572056,0.18586966,0.790887,-0.4135968,0.4109599
0.76397455,-1.47694,-14.94495,0.3852234,0.8039108,0.09281798,0.443526
0.9736011,-0.11401333,-14.572052,0.18585587,0.79082805,-0.4136965,0.41097924
0.7645437,-1.4773191,-14.944072,0.38530722,0.8038543,0.092735864,0.44357273
0.97348315,-0.11406993,-14.57205,0.18590121,0.79075676,-0.41378525,0.41100654
0.76502275,-1.4776384,-14.943334,0.38537538,0.80378366,0.092742644,0.4436401
0.97337586,-0.11450942,-14.572047,0.1860177,0.79065025,-0.41387478,0.41106853
0.76443684,-1.4769162,-14.943699,0.38536936,0.8038144,0.09267426,0.44360387
0.97364664,-0.11417289,-14.572045,0.18605672,0.7905386,-0.41403872,0.41110054
0.7648823,-1.4772456,-14.94401,0.3854129,0.80377054,0.09259803,0.44366142
0.9735438,-0.114565775,-14.572042,0.18620074,0.7904407,-0.414126,0.41113573
0.7643228,-1.4765781,-14.944299,0.38537228,0.8037948,0.09252932,0.44366708
0.97378236,-0.11492543,-14.572041,0.18636294,0.7902906,-0.41426787,0.41120782
0.7647762,-1.4760003,-14.944549,0.38535357,0.8037723,0.092501566,0.44372994
0.9740012,-0.11462321,-14.57204,0.18640652,0.79015267,-0.41447324,0.4112462
0.76424307,-1.4764203,-14.944776,0.38539872,0.80375016,0.0924683,0.44373778
0.9742022,-0.11464577,-14.572038,0.18647394,0.78994286,-0.41473666,0.41135305
0.7637578,-1.4768025,-14.9449835,0.3854142,0.80374885,0.092421286,0.4437364
0.974392,-0.11495964,-14.5723295,0.18662721,0.7897521,-0.41495606,0.41142848
0.76424974,-1.4771296,-14.945161,0.38546282,0.8036552,0.09242471,0.44386306
0.97495395,-0.114628516,-14.572317,0.18661709,0.78954077,-0.4153018,0.41148987
0.7637793,-1.476507,-14.945324,0.38543025,0.8036467,0.092413776,0.44390908
0.9751648,-0.11465608,-14.572305,0.18666147,0.78933877,-0.41559076,0.41156545
0.7623304,-1.4768952,-14.945482,0.38546818,0.80359906,0.09247005,0.44395065
0.9753971,-0.115109995,-14.572714,0.18682076,0.78907424,-0.4159211,0.4116667
0.76202303,-1.4772439,-14.945625,0.38551685,0.80353206,0.09249976,0.44402337
0.9756114,-0.114302605,-14.572683,0.18666226,0.78891885,-0.4162737,0.41168004
0.7627056,-1.4765967,-14.945746,0.38546133,0.8034296,0.09255198,0.44424614
0.9758204,-0.113515005,-14.572653,0.18657751,0.7887233,-0.41666493,0.41169742
0.76329035,-1.4769393,-14.94585,0.38544995,0.80331945,0.092633024,0.44443828
0.9760213,-0.114012815,-14.572623,0.18684462,0.78852135,-0.4168818,0.41174358
0.763794,-1.4772344,-14.94594,0.38544437,0.8032212,0.09272209,0.44460213
0.9762178,-0.11449985,-14.572596,0.18707877,0.7883111,-0.41708636,0.41183263
0.76423,-1.47749,-14.945208,0.38546276,0.80313724,0.09279998,0.44472152
0.976915,-0.11357344,-14.572565,0.18692146,0.78817445,-0.41740242,0.41184554
0.7646094,-1.4777123,-14.94534,0.38547906,0.80304533,0.09288533,0.4448556
0.9776556,-0.114215374,-14.572532,0.18711644,0.78796834,-0.41757786,0.41197345
0.7649409,-1.4771757,-14.9454565,0.38542837,0.8030074,0.09295166,0.44495416
0.97781634,-0.1142807,-14.5725,0.18723437,0.78790325,-0.41763163,0.41198996
0.7652319,-1.4773991,-14.945558,0.38541096,0.8029537,0.093017,0.44505247
0.9779686,-0.11378413,-14.572471,0.18727626,0.7879219,-0.4177204,0.41184503
0.76548845,-1.4775959,-14.945646,0.38541535,0.8028879,0.09307031,0.44515625
0.9781105,-0.11442654,-14.572443,0.18743329,0.78785056,-0.41780257,0.41182673
0.76508886,-1.47777,-14.945725,0.38546908,0.8028333,0.09309256,0.4452034
0.9782442,-0.1139271,-14.572417,0.18738937,0.7878919,-0.4178445,0.411725
