ICVP Direct Stim Program 4.0.0+v4.0.0 - RelativeLocations
Updated at: 2022-08-22--16-31-10
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-31-10 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 2000 ; 2000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, 1st grouping of 4 pencil points, to the left 3 peas & brighter

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7887366,-1.4864918,-14.9499,0.34643963,0.8108238,0.13853858,0.45094505
0.9049786,-0.12149831,-14.57745,0.20284536,0.81536955,-0.38423744,0.38260671
0.7899258,-1.486936,-14.949501,0.3465468,0.81069887,0.13865755,0.45105082
0.9048732,-0.1217518,-14.577049,0.20272051,0.81519663,-0.38433537,0.38294294
0.78969294,-1.4873321,-14.949145,0.34663004,0.81062335,0.13875057,0.451094
0.90477353,-0.122710206,-14.576671,0.20273449,0.8149136,-0.3844661,0.38340655
0.79080033,-1.4876798,-14.948833,0.34677866,0.81047624,0.13884494,0.45121503
0.90542233,-0.12288425,-14.576308,0.2025349,0.81459963,-0.38476488,0.38387915
0.7917713,-1.4879848,-14.94856,0.34690794,0.81033903,0.13895765,0.45132738
0.9060448,-0.123051204,-14.57596,0.2024379,0.8142874,-0.3850013,0.3843553
0.79130036,-1.4869689,-14.948336,0.3468697,0.81029606,0.1390185,0.45141527
0.906629,-0.12241779,-14.575634,0.20218477,0.8141228,-0.38522828,0.38460982
0.7909119,-1.4861307,-14.948152,0.3468502,0.81024545,0.13906175,0.45150757
0.90718096,-0.12181945,-14.575326,0.20215121,0.8138274,-0.3855481,0.38493198
0.79174,-1.486581,-14.947997,0.3470303,0.81005096,0.13918246,0.45168087
0.9077033,-0.12125313,-14.575033,0.20203973,0.8135392,-0.38593796,0.38520887
0.7924845,-1.4869859,-14.947857,0.34713864,0.8099343,0.13918519,0.4518061
0.9081935,-0.12158642,-14.5747595,0.20201324,0.81330615,-0.38615558,0.38549665
0.79310507,-1.4862027,-14.947741,0.34708327,0.8098534,0.13925382,0.45197242
0.9086524,-0.12189842,-14.574502,0.20197545,0.81306374,-0.3863552,0.38582766
0.7937031,-1.4866704,-14.946407,0.34720305,0.8097037,0.13936113,0.45211563
0.9090787,-0.12127767,-14.574264,0.20182082,0.81286454,-0.38659024,0.38609275
0.7958207,-1.4864004,-14.944093,0.34735042,0.8094893,0.13954535,0.4523295
0.91080487,-0.12196672,-14.573837,0.20191488,0.81237864,-0.3870819,0.3865735
0.79611546,-1.4869167,-14.943077,0.34743568,0.80937845,0.13969488,0.45241603
0.9110445,-0.12227199,-14.5736475,0.20190583,0.8122263,-0.3872733,0.38670656
