ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-39-24
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-39-24 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, 4 pinpoint ones, to the left 3 not all the same size - 2 peas and 1 larger pea

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7756363,-1.4626408,-14.981101,0.38126418,0.789061,0.12574176,0.46498334
0.901938,-0.11583914,-14.628407,0.23941971,0.7984572,-0.38310838,0.39796025
0.775503,-1.4626088,-14.981185,0.38127783,0.7890477,0.12579438,0.4649804
0.9021604,-0.11577063,-14.62858,0.23992991,0.7982659,-0.3833509,0.3978033
0.7755646,-1.4625776,-14.981267,0.38130236,0.78902763,0.12584145,0.4649815
0.90378094,-0.115707956,-14.62874,0.24034129,0.7980819,-0.3836136,0.3976708
0.77562493,-1.4627392,-14.981348,0.38134876,0.78899455,0.12589344,0.46498555
0.90374523,-0.11707974,-14.630301,0.24084513,0.7979006,-0.3837664,0.39758235
0.77549183,-1.4628977,-14.981428,0.38137648,0.78898203,0.1259433,0.46497053
0.90519434,-0.1168126,-14.630203,0.24127527,0.79774535,-0.38387135,0.39753178
0.7755537,-1.4630527,-14.981505,0.3814102,0.7889615,0.125966,0.46497163
0.9064698,-0.11811807,-14.630116,0.24171084,0.7975788,-0.3838939,0.39757946
0.77542204,-1.4632049,-14.981389,0.3814538,0.78894454,0.12598813,0.4649586
0.90760076,-0.11927563,-14.631666,0.2421412,0.7974012,-0.3838781,0.397689
0.77567744,-1.4631616,-14.981468,0.3814622,0.7889185,0.12600437,0.46499154
0.90858305,-0.120280996,-14.633012,0.24259838,0.7972022,-0.3838835,0.39780402
0.77573556,-1.4631193,-14.981353,0.38146898,0.78890574,0.12602355,0.46500248
0.9093781,-0.119422175,-14.632429,0.24291646,0.79696506,-0.38396168,0.3980097
0.7759847,-1.4630777,-14.98124,0.38149053,0.7888713,0.12601908,0.46504444
0.91002697,-0.11872134,-14.631952,0.24318863,0.7967785,-0.38396353,0.39821517
0.7760366,-1.4630371,-14.981131,0.3814957,0.78884447,0.12602013,0.46508536
0.91056603,-0.119796984,-14.631557,0.2434665,0.796573,-0.38398913,0.3984319
0.7760875,-1.4631895,-14.981021,0.38151184,0.7888133,0.12602532,0.46512362
0.9110139,-0.120690696,-14.631228,0.2436463,0.7963139,-0.3840945,0.39873824
0.7761374,-1.4633387,-14.980914,0.38151923,0.78877693,0.12603311,0.4651771
0.9113858,-0.12143277,-14.630957,0.24385862,0.7960823,-0.38414076,0.3990262
0.7761863,-1.4632928,-14.98081,0.38150814,0.7887341,0.12600501,0.46526653
