ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-41-55
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-41-55 ; 5603-5602-5606-5607 , 5603-5602-5606-5607-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, 1st = 4 pencil points with small space between 1 and 2 about a dime. dont remember what 2 looked like

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7364774,-1.4934037,-14.956021,0.3845678,0.7962875,0.14622803,0.44345397
0.9051255,-0.10339562,-14.582848,0.20697959,0.80161864,-0.39800757,0.39516705
0.73602784,-1.4938631,-14.95533,0.38486218,0.79634833,0.1463371,0.44305298
0.9050525,-0.10394604,-14.58279,0.20703863,0.8015654,-0.39789054,0.39536205
0.7356153,-1.494285,-14.954696,0.38516963,0.7963976,0.1463869,0.44268054
0.9054223,-0.10402765,-14.582736,0.20704713,0.8014956,-0.39784864,0.39554116
0.7352344,-1.4946743,-14.95411,0.38535103,0.79644775,0.14643396,0.44241697
0.90580493,-0.10411208,-14.58268,0.20701322,0.80141723,-0.39781153,0.395755
0.734881,-1.4950355,-14.953567,0.38552994,0.79647076,0.14644876,0.4422147
0.9061965,-0.104198486,-14.582623,0.20703098,0.80128807,-0.39781296,0.39600578
0.73455215,-1.4953717,-14.953061,0.38563463,0.79650444,0.1464915,0.4420486
0.90657777,-0.10375566,-14.582566,0.2068903,0.8011304,-0.3978897,0.39632094
0.73424554,-1.4956851,-14.952589,0.38572773,0.79650307,0.14647143,0.44197655
0.90696603,-0.10443998,-14.582509,0.20687537,0.8009501,-0.3979237,0.39665893
0.7339593,-1.4959778,-14.952149,0.38582042,0.79651105,0.14644422,0.44189003
0.9080006,-0.103895225,-14.582449,0.20672762,0.80074626,-0.3980509,0.39701977
0.73441017,-1.4962344,-14.951763,0.38589776,0.7964977,0.14640637,0.4418592
0.9083535,-0.10402117,-14.582391,0.2066508,0.8005761,-0.39812157,0.39733198
0.7348072,-1.4964604,-14.951423,0.38589022,0.796501,0.14637983,0.4418687
0.90947425,-0.10490187,-14.58233,0.20667385,0.80029684,-0.3982357,0.39776793
0.7345176,-1.4966654,-14.951115,0.38595468,0.79648757,0.14633724,0.44185066
0.9097572,-0.104226544,-14.582273,0.20650591,0.8001174,-0.39839324,0.3980584
0.7342342,-1.4961841,-14.950812,0.38599375,0.7964781,0.14625168,0.44186196
0.9108334,-0.103555925,-14.582218,0.20634085,0.7999118,-0.3985708,0.39837903
0.7339588,-1.4957163,-14.95052,0.38599208,0.7964776,0.14624144,0.4418676
0.9119086,-0.10375216,-14.582163,0.20632042,0.79966694,-0.3986749,0.39877695
0.7337004,-1.4960002,-14.950245,0.3861087,0.7964046,0.1463071,0.44187555
0.9120205,-0.10479523,-14.582112,0.20632474,0.799433,-0.3987582,0.39916041
0.73345816,-1.4962662,-14.949986,0.3861796,0.796312,0.14634123,0.44196928
0.91303325,-0.10397761,-14.582064,0.2060603,0.7992788,-0.39891985,0.39944413
0.73322624,-1.4957619,-14.94974,0.38618124,0.79626405,0.14636464,0.4420465
0.9140115,-0.104154125,-14.582017,0.2059652,0.7991437,-0.39889756,0.39978567
0.733011,-1.4960587,-14.949512,0.38621855,0.79615295,0.14641052,0.4421988
0.913928,-0.105242506,-14.5829115,0.20605054,0.7990001,-0.39884913,0.40007693
0.73354954,-1.4963183,-14.949311,0.386275,0.7959998,0.14644788,0.4424127
0.914839,-0.107275315,-14.583767,0.20617695,0.79884374,-0.39867365,0.40049857
0.73402256,-1.4958559,-14.949825,0.38623962,0.79585844,0.14651093,0.4426769
0.9146687,-0.108090214,-14.584518,0.20628832,0.7987436,-0.39852703,0.40078676
0.7344396,-1.496104,-14.950279,0.38618812,0.79552716,0.1467217,0.4432473
0.9136012,-0.107864134,-14.58516,0.20615904,0.79889697,-0.39806846,0.4010033
0.73480874,-1.4963237,-14.95068,0.38606787,0.79526633,0.14687806,0.44376782
0.9135603,-0.106794,-14.585712,0.20589061,0.7990086,-0.39771688,0.40126774
0.7351367,-1.4959269,-14.951036,0.3859325,0.79503435,0.14698431,0.44426566
0.9135249,-0.10587002,-14.586188,0.20567583,0.79914266,-0.39733005,0.4014939
0.7359915,-1.4961355,-14.951355,0.38578206,0.7947926,0.14713001,0.44478056
0.9134943,-0.10506823,-14.586601,0.20550743,0.7992658,-0.3969312,0.40172935
0.73622173,-1.4963219,-14.951639,0.3856455,0.79456645,0.14727557,0.4452547
0.9134676,-0.10436918,-14.586962,0.20538852,0.79937625,-0.39661074,0.401887
0.73693585,-1.4959818,-14.951895,0.3854546,0.79436237,0.14738171,0.44574875
0.9134442,-0.10447044,-14.587277,0.2053327,0.79945624,-0.39631566,0.4020475
0.73757845,-1.496158,-14.952125,0.3852881,0.7941674,0.14749254,0.44620323
0.9134236,-0.105237305,-14.586877,0.20531128,0.7994759,-0.39607418,0.40225735
0.7386164,-1.4963168,-14.9523325,0.3851603,0.7939469,0.14761749,0.44666433
0.9134054,-0.10591445,-14.586524,0.20528848,0.7995015,-0.39586872,0.40242028
0.7395554,-1.4964606,-14.952085,0.385024,0.79376125,0.14772315,0.44707653
0.9127776,-0.10712636,-14.586822,0.20536348,0.799526,-0.39558217,0.40261504
0.73999375,-1.496591,-14.95186,0.38489062,0.79362124,0.14785646,0.44739592
0.9134563,-0.10833817,-14.586468,0.20532654,0.7993597,-0.39553964,0.4030057
0.7407849,-1.4967095,-14.951656,0.3847933,0.79345644,0.14796402,0.44773623
0.9134357,-0.108813904,-14.586137,0.20514911,0.7993233,-0.39557496,0.4031334
0.74113274,-1.4964445,-14.951843,0.3847579,0.7933369,0.14800763,0.44796395
0.91341746,-0.10799528,-14.585845,0.20497529,0.79903114,-0.39595267,0.4034301
0.7414503,-1.4965568,-14.952014,0.38476634,0.793219,0.14804815,0.44815212
