ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-44-33
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-44-33 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. 1st = 4 in a diamond, tot he right 4 pencil points in square pattern. close to each other

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.9926743,-1.4644547,-14.977301,0.34628814,0.7454018,0.11700346,0.5574683
1.057788,-0.13039595,-14.597935,0.17739083,0.7481904,-0.41638777,0.48514432
0.99306387,-1.4642644,-14.977748,0.34624705,0.7452943,0.11684964,0.55766994
1.0576985,-0.13121945,-14.598505,0.17764723,0.7479541,-0.41639212,0.48541105
0.99345267,-1.4640746,-14.978193,0.34621856,0.7451781,0.11667881,0.5578786
1.0595746,-0.12994903,-14.598975,0.1776916,0.747576,-0.41661954,0.48578197
0.9938259,-1.4644701,-14.9786215,0.34622207,0.7450333,0.11656481,0.5580934
1.0591418,-0.12898453,-14.599333,0.17782834,0.7473406,-0.41675964,0.4859738
0.99419767,-1.4642519,-14.979048,0.34621966,0.744919,0.116375014,0.5582872
1.0606979,-0.12818153,-14.59963,0.17778735,0.74712825,-0.4169138,0.486183
0.9945659,-1.4640357,-14.97947,0.34617195,0.74489146,0.116212144,0.55838746
1.0619788,-0.12949106,-14.599875,0.17787087,0.74687535,-0.41687575,0.48657364
0.9942767,-1.4638442,-14.979844,0.3460987,0.7449483,0.11606184,0.55838823
1.06302,-0.13055559,-14.600075,0.1781546,0.7465993,-0.41682768,0.48693433
0.994641,-1.4630044,-14.980214,0.34602553,0.74495846,0.115924194,0.55844873
1.0638578,-0.13141213,-14.600234,0.1784144,0.7463662,-0.41678563,0.48723263
0.9957883,-1.4628507,-14.980614,0.3461043,0.7448721,0.115796395,0.55854154
1.0625354,-0.13205221,-14.600354,0.1785809,0.74614847,-0.41694617,0.4873678
0.9961046,-1.4627031,-14.980998,0.34618995,0.7448669,0.11566376,0.5585229
1.0634227,-0.13255863,-14.600449,0.17865546,0.74591255,-0.41707426,0.4875919
0.9956348,-1.4625744,-14.981332,0.34626627,0.7449063,0.115524195,0.55845195
1.0641207,-0.13105293,-14.600523,0.1785663,0.7456768,-0.41726547,0.48782134
0.9959352,-1.4631772,-14.981628,0.3464256,0.74487996,0.115455575,0.55840236
1.0646877,-0.13175875,-14.600584,0.17865756,0.7455989,-0.4172073,0.4879569
0.9962261,-1.4630105,-14.981916,0.34655625,0.7449311,0.11530955,0.55828327
1.065146,-0.13232897,-14.600633,0.17847766,0.7454494,-0.41733027,0.48814592
0.995768,-1.4628646,-14.982167,0.34667283,0.74498343,0.115205556,0.55816257
1.0655143,-0.1327875,-14.600672,0.17837541,0.7453767,-0.41733882,0.48828688
0.9953651,-1.4627362,-14.982389,0.34680006,0.7450967,0.11501792,0.55797094
1.0657974,-0.13123965,-14.600702,0.17816144,0.74522316,-0.4174441,0.48850942
0.99566597,-1.4626178,-14.982594,0.3469356,0.7452153,0.114786044,0.557776
1.0660248,-0.13189873,-14.600727,0.1782228,0.7451207,-0.41735303,0.48872104
0.99529225,-1.4631525,-14.982774,0.34711125,0.7453519,0.11459425,0.5575235
1.0662074,-0.13242806,-14.600746,0.17803092,0.744984,-0.41735134,0.48900086
0.9949609,-1.4630193,-14.982935,0.34722614,0.7455387,0.11434498,0.5572533
1.0645369,-0.1310217,-14.600761,0.17788926,0.74499136,-0.417248,0.4891294
