ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-45-21
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-45-21 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1502-1503-1506-1507 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved up. group of at least 3 @ 2, 3 and 9 oclock; 2nd group directly above. little space between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.9195902,-1.412932,-14.993822,0.2920379,0.78302497,0.13579479,0.5321142
1.0054606,-0.11538745,-14.601512,0.27061462,0.7539151,-0.4364076,0.4097906
0.91894746,-1.4119775,-14.993933,0.29204413,0.78317046,0.13568905,0.53192365
1.006679,-0.116256036,-14.60145,0.2706991,0.75391144,-0.43624905,0.40991032
0.9193343,-1.4120796,-14.994032,0.2921261,0.78326565,0.13554305,0.5317757
1.006914,-0.116173595,-14.601394,0.27074948,0.75394225,-0.4361145,0.4099633
0.9187391,-1.4121665,-14.994118,0.2922334,0.78339064,0.13548882,0.53154635
1.0062901,-0.11610236,-14.601344,0.2708891,0.75399446,-0.43590528,0.4099977
0.9182281,-1.4122411,-14.993312,0.29232755,0.78351325,0.13542576,0.5313299
1.0065415,-0.11684861,-14.601301,0.27101272,0.7539673,-0.4357994,0.41007861
0.9177871,-1.4131408,-14.992616,0.2924986,0.78360635,0.13545285,0.5310916
1.00678,-0.11755674,-14.601259,0.27114746,0.7539771,-0.43564007,0.41014063
0.91819793,-1.4139212,-14.992013,0.2926814,0.7836632,0.1354929,0.5308967
1.0061895,-0.1173733,-14.601223,0.27120242,0.75401664,-0.43551582,0.41016358
0.9178023,-1.4138476,-14.9914875,0.29278085,0.7838033,0.13556406,0.5306169
1.0064476,-0.117203586,-14.6019945,0.27129585,0.7539582,-0.43548417,0.4102427
0.91745585,-1.4137832,-14.991743,0.29290316,0.7839258,0.13554789,0.53037244
1.0067,-0.11703756,-14.602749,0.27140927,0.7539166,-0.4354292,0.41030252
0.91715133,-1.4137266,-14.991287,0.29311758,0.7840196,0.13555436,0.5301135
1.0069442,-0.116877064,-14.6034775,0.27152896,0.75385314,-0.43545568,0.41031197
0.9175287,-1.4143227,-14.990885,0.29336542,0.7840442,0.13563019,0.52992076
1.0071775,-0.11672375,-14.604175,0.27164584,0.75375557,-0.43548733,0.41038033
