ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-46-21
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-46-21 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-5603-5602-5606-5607 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. 1st diamond of 4 bright peas, to the right 4 pencil points in square pattern.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.9998882,-1.4193692,-14.994842,0.27391633,0.77132607,0.14504717,0.5558663
1.0898752,-0.16809368,-14.639271,0.25075597,0.72645,-0.45898008,0.44579053
1.0010927,-1.4185497,-14.994852,0.27399847,0.7713372,0.14491229,0.5558456
1.0992687,-0.16942513,-14.64187,0.25176477,0.72346675,-0.4615431,0.44742417
1.002223,-1.4177805,-14.994862,0.2740374,0.7713619,0.14484997,0.55580837
1.103777,-0.17045441,-14.643879,0.25266647,0.72159934,-0.46309564,0.4483264
1.0018867,-1.4184126,-14.99487,0.27426744,0.77144575,0.14478415,0.5555956
1.104229,-0.1738552,-14.645277,0.25334835,0.7202476,-0.46424636,0.44892472
1.0016093,-1.4189341,-14.994876,0.27444804,0.77149296,0.14475691,0.55544794
1.1073531,-0.17361261,-14.646322,0.25360614,0.7192321,-0.46523675,0.44938174
1.0013785,-1.4193678,-14.994882,0.274477,0.77165097,0.1448018,0.55520236
1.1096292,-0.17343588,-14.647083,0.25377148,0.718269,-0.46613106,0.44990176
1.0011853,-1.4197309,-14.994886,0.27458468,0.771768,0.14484748,0.5549746
1.1143043,-0.17330566,-14.647646,0.2537267,0.7175768,-0.46678212,0.4503564
0.9999949,-1.4200372,-14.994889,0.2746026,0.7719764,0.14480628,0.5546865
1.1145235,-0.17321602,-14.648031,0.25385246,0.7169442,-0.46734348,0.45071074
0.99900466,-1.4196366,-14.995778,0.2745987,0.77234864,0.14478217,0.5541763
1.1178753,-0.17311054,-14.648487,0.25390977,0.71617025,-0.4680544,0.4511709
0.99906486,-1.4190267,-14.995699,0.2746459,0.77258456,0.14459604,0.5538726
1.1200905,-0.17308025,-14.648617,0.2541751,0.7158639,-0.46823317,0.45132223
0.99827987,-1.4185005,-14.996469,0.2746546,0.77280027,0.14449614,0.5535933
1.1215982,-0.17305963,-14.648706,0.25433826,0.71570957,-0.46833736,0.45136684
0.9968039,-1.4180441,-14.997136,0.27463108,0.77307665,0.14436229,0.55325395
1.1226131,-0.17304575,-14.6487665,0.2544064,0.71551454,-0.46848497,0.4514845
0.9955177,-1.4176463,-14.996963,0.2746811,0.7732872,0.14422384,0.5529709
1.1232911,-0.17303647,-14.648807,0.25446647,0.7154358,-0.46864215,0.45141226
0.99510944,-1.4180158,-14.99681,0.2747867,0.77343637,0.14415972,0.55272627
1.1237417,-0.17303032,-14.648833,0.2544078,0.7153607,-0.46877292,0.45142868
0.99406886,-1.4176588,-14.997358,0.27483934,0.773612,0.14400905,0.55249363
1.1240402,-0.17302622,-14.64885,0.25431868,0.71534216,-0.46882474,0.4514544
0.9944456,-1.4173437,-14.997194,0.2749455,0.77369034,0.14392638,0.5523527
1.1242313,-0.17619734,-14.648863,0.254364,0.7154039,-0.46874067,0.4514183
0.9947795,-1.4176799,-14.997048,0.27508903,0.77374524,0.14384545,0.5522254
1.124357,-0.17828229,-14.6488695,0.2545508,0.71540064,-0.46860585,0.45145807
0.99368453,-1.4165844,-14.996804,0.2751429,0.774024,0.14363138,0.55186343
1.1276069,-0.175457,-14.648878,0.2542011,0.7154495,-0.46875408,0.45142385
0.9934851,-1.4163866,-14.996701,0.27520856,0.77409655,0.14360769,0.55173516
1.1266885,-0.1776621,-14.64888,0.25421414,0.7156617,-0.46855125,0.45129067
0.9933059,-1.4167104,-14.996609,0.27530622,0.77414113,0.14356913,0.5516339
1.1232772,-0.17630601,-14.648881,0.25413662,0.71595967,-0.4684047,0.45101362
0.99314463,-1.4165257,-14.996525,0.27535814,0.7741846,0.1435499,0.55155194
1.1209829,-0.17539391,-14.648882,0.2540009,0.7161811,-0.4682315,0.45091856
0.99250144,-1.4163463,-14.99693,0.27534717,0.7743195,0.14346635,0.5513898
1.1219412,-0.17476782,-14.648884,0.25382584,0.7164429,-0.4680112,0.45082995
0.99237424,-1.4161718,-14.996825,0.27528375,0.7744102,0.14341368,0.55130786
1.120205,-0.17432979,-14.648884,0.25371876,0.7168229,-0.46763697,0.45067433
0.9917859,-1.4164884,-14.996732,0.2752935,0.774442,0.14343251,0.5512534
1.1189687,-0.17401785,-14.646598,0.25336695,0.7173132,-0.4671082,0.4506406
0.99168515,-1.4157275,-14.997185,0.27508318,0.77450746,0.14339598,0.5512759
1.1180735,-0.175964,-14.647114,0.25319365,0.717672,-0.4666997,0.45059
0.991595,-1.4161059,-14.997061,0.2750674,0.774463,0.14340718,0.55134326
1.1194786,-0.17533165,-14.645431,0.25274318,0.7179407,-0.46645027,0.45067307
0.9915141,-1.4159424,-14.996949,0.2750072,0.7744242,0.14341657,0.55142534
1.1185666,-0.17682011,-14.646134,0.25271943,0.7182275,-0.46609598,0.45059597
0.99143744,-1.4157875,-14.996843,0.27494982,0.7743758,0.14342003,0.551521
1.1197393,-0.17608356,-14.644805,0.2524794,0.71834916,-0.4659748,0.45066196
0.9913631,-1.4156374,-14.99674,0.27490196,0.7743143,0.14344215,0.55162555
1.1188684,-0.1755194,-14.643786,0.25239152,0.71852225,-0.46583802,0.45057657
0.99073654,-1.415485,-14.996635,0.27487388,0.77429044,0.14349055,0.55166036
1.1181931,-0.1750821,-14.642997,0.25224856,0.7186926,-0.4657227,0.45050424
0.9906991,-1.4158725,-14.996542,0.2748789,0.7742457,0.14348826,0.55172133
1.1176639,-0.17473929,-14.642379,0.25206903,0.7188071,-0.46574724,0.45039672
0.9911629,-1.4157228,-14.996458,0.27480948,0.7741998,0.14345965,0.55182785
1.1187614,-0.17446773,-14.641889,0.2520586,0.7187103,-0.46585622,0.45044416
0.9911081,-1.415588,-14.996384,0.27475983,0.7741467,0.14342229,0.55193657
1.1196395,-0.17425044,-14.641497,0.25195435,0.7185219,-0.4661247,0.45052525
0.99150765,-1.4159154,-14.996315,0.27477282,0.7740431,0.14335047,0.5520941
1.1189798,-0.17270605,-14.641179,0.2518743,0.71845835,-0.4663251,0.4504641
0.991443,-1.4157853,-14.996253,0.27474168,0.77397835,0.14327051,0.5522212
1.1197428,-0.1727483,-14.640922,0.25182104,0.7182813,-0.466457,0.45063964
0.9917894,-1.4156673,-14.996197,0.27474093,0.77388245,0.1431896,0.5523768
1.1203997,-0.17407967,-14.640699,0.25178903,0.717999,-0.46663174,0.45092645
0.9917197,-1.4159447,-14.996145,0.27474636,0.77378184,0.14312957,0.5525307
1.1209861,-0.17393215,-14.640501,0.25173175,0.71783054,-0.46675333,0.4511007
0.99202186,-1.4161978,-14.9960985,0.27474198,0.7736511,0.14306322,0.55273294
1.1215048,-0.17380172,-14.6403265,0.25162473,0.7177054,-0.4668929,0.45121506
0.99229795,-1.4160815,-14.996056,0.27467653,0.7735291,0.14301507,0.5529486
1.1219596,-0.17368732,-14.640173,0.25157806,0.717548,-0.46698973,0.4513912
0.99246347,-1.4158776,-14.995982,0.27441695,0.7732369,0.14278391,0.5535457
1.1214727,-0.17478544,-14.639946,0.2517859,0.71724325,-0.46691683,0.4518348
0.99268657,-1.4157878,-14.995949,0.27423513,0.7730337,0.14266233,0.5539508
1.1206632,-0.1757677,-14.639862,0.2517934,0.7171734,-0.46690732,0.45195135
