ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--16-47-04
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--16-47-04 ; 1502-1503-1506-1507 , 1502-1503-1506-1507-3000-3001-3004-3005 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved down, 3 phosphenes size of pea, 2nd is group of 4 with little distance between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.86655337,-1.4251267,-14.985095,0.32159486,0.7957821,0.11845992,0.4992745
1.0338321,-0.10861048,-14.604203,0.21909963,0.75018,-0.43480656,0.44740203
0.8662865,-1.4264194,-14.985133,0.32179567,0.79578525,0.118529946,0.49912328
1.0340259,-0.10891567,-14.604486,0.21918844,0.75003964,-0.4346509,0.44774497
0.86607176,-1.4240053,-14.986893,0.32182214,0.79592055,0.11836102,0.4989306
1.0342243,-0.10876109,-14.604774,0.21924813,0.7499103,-0.4345057,0.4480733
0.8658974,-1.4237543,-14.988321,0.321908,0.79603606,0.118298575,0.49870566
1.0344284,-0.10910695,-14.605072,0.2193431,0.74974006,-0.43438432,0.4484293
0.8657532,-1.4218256,-14.989503,0.32198516,0.79611766,0.11812981,0.49856555
1.034637,-0.10946047,-14.605375,0.21945946,0.7495858,-0.43424013,0.44876978
0.8656359,-1.4219621,-14.990464,0.32204872,0.79618603,0.11807608,0.4984281
1.0348486,-0.109818935,-14.605684,0.2195601,0.74939543,-0.43414927,0.4491263
0.86554015,-1.4220736,-14.991249,0.32227272,0.7962058,0.117961235,0.49827895
1.0350611,-0.11017923,-14.605994,0.21962063,0.7492143,-0.4340912,0.4494549
0.8654616,-1.4221648,-14.991892,0.32242575,0.796234,0.117901,0.49814892
1.0360657,-0.110589124,-14.607109,0.21967155,0.7490248,-0.4340431,0.4497921
0.86539704,-1.4222399,-14.99242,0.322399,0.79628915,0.11786307,0.49808714
1.0362288,-0.11020157,-14.607374,0.21967696,0.74887776,-0.4340349,0.4500422
0.86534643,-1.4238907,-14.992834,0.32261258,0.79627544,0.117821835,0.4979805
1.0363909,-0.11064475,-14.608466,0.21973129,0.74877006,-0.43395966,0.45026731
0.86530495,-1.4236798,-14.993175,0.32257903,0.79633194,0.11767781,0.49794596
1.0365431,-0.111061074,-14.608641,0.21981193,0.7486537,-0.4338991,0.45047966
0.86527014,-1.4235028,-14.99346,0.32250205,0.79632366,0.11758617,0.4980308
1.0366856,-0.11145049,-14.608804,0.21975774,0.74857026,-0.43382668,0.45071456
0.8652425,-1.4233621,-14.992196,0.32243738,0.7963295,0.1175232,0.49807814
1.0359786,-0.11178681,-14.608945,0.21970667,0.7485609,-0.43374085,0.45083755
0.8652196,-1.4232457,-14.99261,0.3223274,0.7963165,0.1173934,0.49820074
1.0361533,-0.11129026,-14.609067,0.21963483,0.74854815,-0.43371627,0.45091736
0.8652001,-1.4231466,-14.992962,0.32224897,0.7963121,0.11724075,0.49829453
1.0363178,-0.11163101,-14.609182,0.21957408,0.7484808,-0.43370593,0.45106867
0.86664474,-1.4230627,-14.991799,0.32217395,0.7962573,0.11715344,0.49845096
1.03733,-0.11110757,-14.609293,0.21944018,0.74842316,-0.4337209,0.45121497
0.86642045,-1.4229952,-14.990862,0.3221559,0.79630786,0.11699781,0.49841842
1.0374001,-0.11148904,-14.609397,0.21933237,0.74840534,-0.43366143,0.45135427
0.8662382,-1.4229404,-14.9901,0.32218745,0.7963157,0.11686544,0.49841645
1.0374622,-0.11098547,-14.6094885,0.21918029,0.74839807,-0.43370217,0.45140108
0.8673928,-1.4228933,-14.989447,0.32217446,0.7963545,0.11663695,0.4984165
1.0375196,-0.111371204,-14.609571,0.2191143,0.748388,-0.43364564,0.45150405
0.86709124,-1.4215947,-14.988905,0.3220956,0.7964549,0.11643571,0.4983541
1.0375702,-0.110886976,-14.609646,0.21905877,0.74837065,-0.4336225,0.45158193
0.8668423,-1.4217192,-14.988458,0.32204437,0.79660034,0.116221674,0.49820465
1.037617,-0.11127323,-14.609714,0.21902129,0.7483895,-0.4335051,0.4516816
