ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-07-52
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-07-52 ; 3000 , 3000-3003 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; unsure if seeing first or second

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.77835727,-1.3109498,-15.24271,0.21505341,0.8075653,0.2545794,0.48660013
0.9574436,-0.52999717,-14.932568,0.6379069,0.52748865,-0.515299,0.22203018
0.7783786,-1.3105997,-15.242002,0.21501407,0.80758923,0.25451115,0.48661348
0.95763254,-0.5294487,-14.932802,0.6378523,0.5274682,-0.5154334,0.22192392
0.77839756,-1.3102875,-15.24137,0.21495911,0.80761445,0.2544285,0.4866392
0.95780766,-0.5289404,-14.93255,0.637831,0.5274235,-0.51553553,0.2218544
0.77841467,-1.3100071,-15.240804,0.214918,0.8076482,0.25433505,0.48665014
0.95748913,-0.52892643,-14.932298,0.6379053,0.5272871,-0.515607,0.22179848
0.77843004,-1.3097541,-15.240292,0.21493676,0.80764323,0.25429234,0.4866724
0.95768017,-0.5284201,-14.932551,0.6378769,0.52717847,-0.51576644,0.22176784
0.77928096,-1.3103735,-15.239851,0.21493746,0.8076182,0.25430456,0.4867072
0.95786375,-0.52793354,-14.932796,0.6379022,0.5270405,-0.5159032,0.22170529
0.7792231,-1.310115,-15.239469,0.21494068,0.80761427,0.2543031,0.48671323
0.95802903,-0.5279697,-14.932541,0.6379301,0.5269087,-0.51601386,0.22168058
0.7791727,-1.3106456,-15.239135,0.21495517,0.8075921,0.25431114,0.48673946
0.95817834,-0.52800244,-14.932311,0.6379464,0.5267689,-0.5161272,0.22170158
0.7791286,-1.3103919,-15.239561,0.21494119,0.8075815,0.25432497,0.48675597
0.95831347,-0.5284602,-14.932103,0.6379898,0.526619,-0.51620746,0.22174631
0.77835107,-1.3101513,-15.2399645,0.2149244,0.8075771,0.2543486,0.48675832
0.9584362,-0.5288757,-14.931914,0.63800496,0.52648747,-0.516307,0.22178313
0.7783679,-1.3106393,-15.240319,0.21495543,0.80756,0.254357,0.4867685
0.9581614,-0.5288673,-14.932129,0.63802916,0.52633965,-0.51644623,0.22174037
0.7783831,-1.3103995,-15.240638,0.2149572,0.8075535,0.25437313,0.48677003
0.95827794,-0.52849257,-14.932324,0.6380238,0.52617013,-0.5166425,0.22170047
0.77765185,-1.3101548,-15.240964,0.21498716,0.807559,0.25436744,0.48675066
0.9583844,-0.52815014,-14.932503,0.6380197,0.52602434,-0.5168228,0.22163819
0.7777247,-1.3099275,-15.241267,0.21502712,0.8075558,0.2543438,0.48675075
0.9588132,-0.5278366,-14.932666,0.63798976,0.525885,-0.51701045,0.22161762
0.7770461,-1.310465,-15.241544,0.21505015,0.80756515,0.25434414,0.48672482
0.9588918,-0.52786386,-14.9328165,0.6380032,0.5257553,-0.5171307,0.22160624
0.7778671,-1.3109361,-15.241787,0.21510763,0.80754244,0.25433087,0.4867441
0.95896405,-0.52788883,-14.932955,0.6380283,0.52561235,-0.5172464,0.22160263
0.7772446,-1.3106781,-15.242001,0.21511137,0.80759853,0.2542826,0.4866747
0.95903045,-0.52819586,-14.933082,0.63808423,0.5254762,-0.5173111,0.22161366
0.7766176,-1.3104182,-15.242215,0.21510847,0.807721,0.25414577,0.48654395
0.9590918,-0.5284789,-14.932929,0.6381153,0.52536577,-0.51738,0.22162516
0.776759,-1.3108822,-15.241712,0.2151291,0.8078356,0.25402132,0.48640978
0.9591483,-0.52874035,-14.933044,0.6381562,0.5252617,-0.51743937,0.2216156
0.7768838,-1.3106337,-15.241925,0.21509649,0.8080015,0.2538125,0.48625746
0.95920056,-0.528982,-14.932907,0.6381928,0.52516836,-0.5174846,0.22162572
0.77566916,-1.3094355,-15.2423725,0.2150784,0.8083794,0.25329033,0.4859095
0.95973974,-0.5294133,-14.932663,0.63821256,0.52502793,-0.5176066,0.2216165
0.77589846,-1.3092635,-15.241809,0.21515158,0.80852646,0.25304577,0.48575985
0.9597717,-0.5293971,-14.932553,0.6382245,0.52498835,-0.51764035,0.22159733
0.7753221,-1.309096,-15.242062,0.21511804,0.80870026,0.25280988,0.48560822
0.9598015,-0.52958035,-14.932452,0.6382497,0.5249444,-0.5176612,0.22157979
0.7747608,-1.3089327,-15.242307,0.21508203,0.80889356,0.2526084,0.48540702
0.9598297,-0.52956206,-14.932357,0.63826007,0.5249261,-0.5176792,0.22155114
0.775086,-1.3087895,-15.242522,0.2151253,0.8090431,0.25235903,0.48526838
0.95985734,-0.52973646,-14.932262,0.63829273,0.5248935,-0.51767296,0.22154883
0.7745916,-1.309442,-15.241932,0.21518835,0.80920786,0.25225675,0.4850188
0.95988446,-0.52971506,-14.932363,0.6383244,0.52487075,-0.5176667,0.22152637
0.77321476,-1.3092439,-15.242195,0.21519409,0.80932975,0.25226462,0.4848087
0.95991105,-0.5298863,-14.93246,0.63835883,0.5248974,-0.51759654,0.2215278
0.77325594,-1.3089099,-15.242638,0.21522956,0.8094693,0.2521393,0.48462516
0.9597703,-0.529838,-14.93265,0.6384338,0.52498066,-0.5174267,0.22151129
0.7718038,-1.3077321,-15.242867,0.21512322,0.80959,0.25204736,0.48451856
0.95960695,-0.5298146,-14.932741,0.63846844,0.52503455,-0.51733464,0.22149871
0.771501,-1.3076805,-15.243077,0.21508567,0.80965716,0.25202182,0.48443633
0.9596391,-0.52979165,-14.932832,0.63850415,0.52508533,-0.51723856,0.22150013
0.7712152,-1.306546,-15.243276,0.21497443,0.80972135,0.251892,0.48444593
0.9594783,-0.5297692,-14.9329195,0.63856125,0.5251512,-0.5171118,0.22147521
0.7709593,-1.3066262,-15.243454,0.21497485,0.8097235,0.2517921,0.48449406
0.9593208,-0.52993935,-14.933006,0.63860774,0.52522534,-0.51698166,0.22146894
0.77073073,-1.3066978,-15.243612,0.21488157,0.8097012,0.25175813,0.48459035
0.9591664,-0.5301062,-14.933091,0.63866466,0.52530575,-0.5168318,0.2214638
0.7705269,-1.3067617,-15.243754,0.21488242,0.80967474,0.2516747,0.48467752
0.95901513,-0.5302696,-14.933174,0.6387138,0.525394,-0.5166783,0.22147109
0.7703388,-1.3056593,-15.243886,0.21471623,0.80967224,0.2516138,0.48478702
0.95905906,-0.53042984,-14.9330635,0.6387686,0.5254752,-0.5165178,0.22149463
0.7710326,-1.3059955,-15.244086,0.21455216,0.80951583,0.2516763,0.48508835
0.95895594,-0.5307407,-14.932848,0.63886136,0.52568376,-0.51618767,0.22150214
0.7708112,-1.30613,-15.244167,0.21444866,0.8094508,0.2517348,0.48521215
0.9590013,-0.53089213,-14.932744,0.63892055,0.5257889,-0.5160176,0.221478
0.7716037,-1.305264,-15.244235,0.21433868,0.8093494,0.2517996,0.48539618
0.95853,-0.53109676,-14.932602,0.6389923,0.5259198,-0.51582724,0.22140376
0.7713206,-1.304444,-15.2443,0.21421124,0.80926657,0.25191972,0.48552826
0.9583033,-0.5313317,-14.93244,0.6390396,0.5260273,-0.5156866,0.22133943
0.77206224,-1.3057123,-15.244355,0.21426418,0.80910856,0.25206286,0.4856939
0.9580766,-0.53124166,-14.932603,0.6390766,0.52616733,-0.5155473,0.22122401
0.7726949,-1.3058615,-15.244402,0.21423921,0.80899364,0.25210845,0.48587266
0.9581774,-0.5308502,-14.932752,0.63907045,0.5263062,-0.5154827,0.22106163
0.77323765,-1.3068755,-15.244442,0.21424723,0.80885375,0.252244,0.4860316
0.9579767,-0.5304902,-14.932889,0.63906455,0.5264261,-0.5154373,0.22089927
0.7728639,-1.3077499,-15.244477,0.21423337,0.8087335,0.25237134,0.48617175
0.9577918,-0.5301587,-14.933016,0.63904494,0.5265458,-0.515402,0.22075306
0.7733396,-1.3085078,-15.244508,0.21424809,0.8086102,0.2524495,0.48632964
0.9576205,-0.53011745,-14.933133,0.6390803,0.52665013,-0.51531327,0.2206092
0.77375394,-1.3084084,-15.244534,0.21414508,0.80845404,0.2525836,0.48656505
0.9570623,-0.5300656,-14.93328,0.63915205,0.5267281,-0.5152056,0.22046643
0.77445036,-1.3096006,-15.2445755,0.21399376,0.8080673,0.25293154,0.48709288
0.9569943,-0.53032607,-14.9335575,0.6391984,0.52680826,-0.515025,0.22056252
0.7753817,-1.3094413,-15.244594,0.21392557,0.80786306,0.2530504,0.48739997
0.9567764,-0.530259,-14.933707,0.6392539,0.526845,-0.5149065,0.22059037
0.7762065,-1.3093002,-15.244609,0.21375757,0.80766827,0.25311548,0.48776245
0.95694673,-0.5301979,-14.933843,0.63922733,0.52690035,-0.51481014,0.22075996
0.7775274,-1.308587,-15.244622,0.21361838,0.8074912,0.25313845,0.4881046
0.956737,-0.5305149,-14.9335985,0.63927,0.5269241,-0.51468045,0.22088209
0.7781712,-1.3073788,-15.244646,0.21326198,0.8072425,0.25313222,0.48867482
0.95668817,-0.5307645,-14.933878,0.6392824,0.5270827,-0.5143795,0.22116897
0.7786967,-1.3068681,-15.244657,0.21304391,0.80708987,0.25313503,0.4890205
0.95645607,-0.5311073,-14.9340315,0.63930523,0.5272121,-0.51415724,0.22131136
0.7791698,-1.3064083,-15.244666,0.21282968,0.80697066,0.25307295,0.4893425
0.95624024,-0.53057164,-14.9341755,0.6393136,0.52734417,-0.5140025,0.22133169
0.7795968,-1.3059932,-15.244675,0.2126366,0.8068438,0.25300348,0.48967144
0.9560338,-0.53005916,-14.934313,0.6392994,0.5274717,-0.5138879,0.22133507
0.7799833,-1.3056176,-15.244681,0.21242693,0.80670893,0.25299507,0.48998883
0.95582306,-0.529993,-14.934452,0.6392783,0.52761704,-0.51370585,0.22147205
0.7808842,-1.3052143,-15.244689,0.21228206,0.80656314,0.25295648,0.4903114
0.9560665,-0.53036726,-14.934145,0.6392793,0.5277551,-0.5134694,0.22168817
0.78178895,-1.3053231,-15.244698,0.21219088,0.8064476,0.25301966,0.4905083
0.95537376,-0.5302836,-14.934298,0.63932705,0.5278924,-0.51331586,0.22157909
