ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-08-17
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-08-17 ; 2503 , 2503-2500 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left, both iridescent

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6234202,-1.375081,-15.176109,0.15403317,0.8315897,0.34195584,0.4096323
0.85868865,-0.48316947,-14.926525,0.6884805,0.5346753,-0.48611844,0.061691716
0.62552434,-1.3737036,-15.176879,0.15350465,0.83096796,0.3416376,0.41135442
0.859418,-0.48287755,-14.926652,0.6884479,0.534361,-0.48649657,0.061797928
0.62738407,-1.3731226,-15.178195,0.15303865,0.8303935,0.34136766,0.41290927
0.8600751,-0.48261452,-14.926765,0.6884221,0.53407496,-0.48683935,0.06185873
0.6284296,-1.372607,-15.17876,0.15269151,0.8298814,0.3412015,0.41420245
0.86066484,-0.48237842,-14.9268675,0.6884028,0.5338015,-0.4871444,0.062032197
0.62993443,-1.3715739,-15.179835,0.1523325,0.82936895,0.34095314,0.41556343
0.86119,-0.48330864,-14.926959,0.68839103,0.53351676,-0.4874481,0.06222598
0.6325816,-1.3703012,-15.181728,0.15221885,0.82825303,0.3408903,0.41787592
0.8632742,-0.48587987,-14.927113,0.6882868,0.53300864,-0.48808944,0.06270481
0.6342503,-1.3700085,-15.182547,0.15220617,0.82780725,0.34085402,0.4187924
0.86349875,-0.48760363,-14.927177,0.6882796,0.5327377,-0.48836666,0.06292764
0.63480335,-1.3691758,-15.183353,0.1520795,0.82764304,0.3406863,0.4192992
0.864942,-0.48794043,-14.927236,0.68820417,0.5325445,-0.48866257,0.06309021
0.63534606,-1.3683585,-15.184144,0.15201586,0.82754254,0.3405207,0.4196549
0.8662453,-0.48952794,-14.92729,0.6881921,0.53229105,-0.48893046,0.063284814
0.6364127,-1.3681581,-15.18488,0.15207152,0.8274131,0.340366,0.4200154
0.86609274,-0.4896193,-14.927336,0.6881777,0.53208494,-0.4891668,0.06334811
0.637412,-1.3679702,-15.185572,0.15201688,0.82733774,0.34023365,0.42029068
0.8659657,-0.4896953,-14.928594,0.68819404,0.5319336,-0.4893182,0.06327282
0.6383878,-1.3672081,-15.186247,0.15183237,0.8273176,0.34000015,0.42058596
0.86711687,-0.49103048,-14.928468,0.6882441,0.53176177,-0.4894287,0.06331719
0.63986844,-1.3670719,-15.186874,0.15188934,0.82720613,0.33987588,0.420885
0.8668634,-0.48972598,-14.929567,0.688254,0.531661,-0.4895345,0.06323795
0.64069176,-1.3669432,-15.187467,0.15193959,0.82719016,0.3396886,0.42104927
0.8678209,-0.48861226,-14.930506,0.6882446,0.5315773,-0.48964643,0.063177556
0.6414998,-1.3662163,-15.188048,0.15196782,0.8272153,0.33943745,0.42119223
0.8663891,-0.48768348,-14.931289,0.6882765,0.53151536,-0.48967922,0.063096344
0.64231414,-1.3648385,-15.188635,0.15188429,0.82729614,0.33914825,0.42129645
0.8673055,-0.4890223,-14.931946,0.68831056,0.53140324,-0.48974603,0.06315111
0.64243305,-1.3641711,-15.189879,0.15191045,0.8273632,0.33876926,0.42146027
0.8670695,-0.48914984,-14.932511,0.688302,0.53136367,-0.48980206,0.06314321
0.6425475,-1.3635296,-15.190379,0.15213588,0.8272738,0.3385473,0.42173275
0.8658956,-0.48731107,-14.932991,0.6882704,0.53136134,-0.48986676,0.063004546
0.64337987,-1.3629119,-15.191582,0.15227209,0.8270818,0.33849385,0.42210284
0.8648934,-0.48666596,-14.933401,0.6882517,0.53137606,-0.48988372,0.062953085
0.64417744,-1.3623202,-15.192734,0.15233389,0.82683486,0.33849427,0.42256382
0.8649115,-0.48786926,-14.933753,0.6882261,0.53135103,-0.4899283,0.06309654
0.6449379,-1.361756,-15.193833,0.1524519,0.8265936,0.33853412,0.42296118
0.8649271,-0.48723862,-14.934056,0.68819267,0.5313361,-0.48998982,0.06310946
0.6456594,-1.3612206,-15.194876,0.15251432,0.82631373,0.33869183,0.42335913
0.8641478,-0.4866915,-14.9343195,0.6881728,0.53133285,-0.49002907,0.06304855
0.6463107,-1.3615234,-15.195031,0.15264131,0.826083,0.33883193,0.4236515
0.8634684,-0.48696795,-14.934549,0.68817043,0.5313555,-0.4899995,0.063113324
0.64690036,-1.3617973,-15.195172,0.15272737,0.82590014,0.33889583,0.42392573
0.8643049,-0.48720995,-14.93475,0.6881537,0.5313395,-0.49002293,0.06324839
0.6481974,-1.3620455,-15.1953,0.15297675,0.82569385,0.3389749,0.4241745
0.8643606,-0.48674288,-14.934927,0.6881208,0.531375,-0.49002913,0.06326112
0.6493776,-1.3622712,-15.1954155,0.15308689,0.8255845,0.33903342,0.4243008
0.8644097,-0.4876223,-14.935083,0.6881377,0.53138137,-0.48998258,0.06338327
0.6497189,-1.3617119,-15.195525,0.15311858,0.8255737,0.33892116,0.4243999
0.86445385,-0.48779026,-14.934601,0.6881049,0.53142494,-0.4899627,0.063527755
0.6515578,-1.3619671,-15.195624,0.15335795,0.8254931,0.33887935,0.42450374
0.86449397,-0.48733848,-14.934163,0.68802553,0.5315125,-0.48997328,0.063573934
0.6525116,-1.3614235,-15.195719,0.15340658,0.82545966,0.33880118,0.42461348
0.8645307,-0.4869245,-14.933762,0.6879434,0.53159976,-0.48998865,0.06361491
0.6542205,-1.3609098,-15.195807,0.15351486,0.82537985,0.33874395,0.42477518
0.86456513,-0.4877178,-14.933386,0.68791884,0.5316152,-0.4899852,0.06377672
0.65499616,-1.3604282,-15.195891,0.1535139,0.8253423,0.33878893,0.42481267
