ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-09-00
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-09-00 ; 5B00 , 5B00-5B03 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; cant differentiate

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.613775,-1.3554044,-15.16317,0.12706798,0.8267585,0.34768417,0.42360348
0.79639995,-0.4648884,-14.8859215,0.70782596,0.5275447,-0.4638773,0.074141204
0.61762226,-1.3589727,-15.165852,0.1289455,0.8256474,0.34763023,0.4252444
0.7948795,-0.4637689,-14.8862,0.70780224,0.527801,-0.46369076,0.073709525
0.62059546,-1.3617303,-15.167925,0.13041723,0.82472837,0.34743395,0.42673662
0.79353416,-0.4635719,-14.886447,0.7078234,0.52793217,-0.46355468,0.07342265
0.6245376,-1.3622677,-15.169545,0.13205016,0.8237409,0.3464331,0.42894977
0.79230607,-0.46260253,-14.886672,0.70780504,0.52794266,-0.46359426,0.07327437
0.62765217,-1.3626922,-15.170825,0.1333271,0.8229544,0.3455013,0.43081176
0.7919708,-0.46250302,-14.886877,0.7077615,0.52786106,-0.46375975,0.07323515
0.6315982,-1.363031,-15.171847,0.13424446,0.8223686,0.34456617,0.43239155
0.7916753,-0.46316737,-14.887058,0.7078044,0.5276908,-0.4638738,0.07332446
0.63477737,-1.3619168,-15.172671,0.13482758,0.8219499,0.3436739,0.4337144
0.792131,-0.46446356,-14.886502,0.70780873,0.5274619,-0.46408793,0.07357415
0.6386796,-1.3610109,-15.17334,0.13532314,0.821587,0.3428399,0.43490613
0.7925318,-0.4656034,-14.886013,0.70776683,0.52717876,-0.46443343,0.0738259
0.6406264,-1.3602684,-15.173889,0.13565992,0.82135034,0.34208184,0.43584397
0.7935855,-0.4653046,-14.885557,0.70762265,0.5269094,-0.4649206,0.07406409
0.6434244,-1.3596549,-15.174342,0.13590653,0.8211414,0.34134573,0.43673715
0.79458886,-0.46502006,-14.885123,0.70742005,0.52654517,-0.46560058,0.07431816
0.64575356,-1.3591442,-15.17472,0.13611516,0.8209799,0.3406561,0.43751347
0.7955116,-0.46544972,-14.884725,0.707242,0.5260623,-0.466358,0.07468212
0.6466327,-1.3576424,-15.173963,0.13625273,0.820904,0.33998978,0.43813097
0.797013,-0.46650714,-14.884365,0.7070674,0.5254863,-0.4671778,0.075264916
0.64839435,-1.3563751,-15.173324,0.13639937,0.82083565,0.3393162,0.43873534
0.79837716,-0.467468,-14.884039,0.7068924,0.5248488,-0.46806544,0.0758399
0.6508592,-1.3552989,-15.173749,0.13656954,0.8207725,0.3386385,0.43932357
0.7997069,-0.46703416,-14.883721,0.70667714,0.5241874,-0.46905747,0.076290235
0.6520444,-1.3543797,-15.173193,0.1366923,0.8207896,0.33802378,0.43972692
0.80099446,-0.46661407,-14.883412,0.70647854,0.5235452,-0.47000647,0.07669779
0.65219694,-1.3535417,-15.172687,0.1368201,0.8208441,0.337428,0.4400428
0.8030035,-0.46620426,-14.883112,0.70630246,0.5228153,-0.4710055,0.07716783
0.6541759,-1.351869,-15.173152,0.13690448,0.82087624,0.33685723,0.44039366
0.80411047,-0.46658224,-14.882833,0.7062625,0.5220619,-0.47181898,0.07766355
0.65412253,-1.3512723,-15.173578,0.13713823,0.82108974,0.33624047,0.44039425
0.8051319,-0.46693105,-14.883335,0.70646876,0.5207692,-0.47288057,0.0780093
0.6531105,-1.3497522,-15.173976,0.13729544,0.8212964,0.33576116,0.44032568
0.8060457,-0.46798128,-14.883784,0.70667505,0.51952237,-0.4738776,0.078402966
0.6521894,-1.3493416,-15.174338,0.13750058,0.82146376,0.33538592,0.44023547
0.8076092,-0.46893966,-14.884925,0.7067682,0.5184608,-0.47484633,0.07872809
0.6513594,-1.3489717,-15.175641,0.13785756,0.82167965,0.33511144,0.43992987
0.8090469,-0.46982086,-14.885973,0.7067735,0.51714873,-0.47624463,0.07886447
0.6506266,-1.349604,-15.175831,0.13822867,0.82192403,0.3349073,0.43951207
0.81120235,-0.4699138,-14.886989,0.706587,0.5160293,-0.47774765,0.07877737
0.6499771,-1.3501644,-15.176,0.13855642,0.8221471,0.33473632,0.43912187
0.8133222,-0.46919188,-14.887988,0.7064569,0.515112,-0.47897258,0.07850956
0.64845914,-1.3506659,-15.176151,0.13881743,0.82237154,0.33462682,0.43870234
0.8163019,-0.46847686,-14.888979,0.706361,0.5142419,-0.48008394,0.07828706
0.64801985,-1.350175,-15.17629,0.13906392,0.822542,0.33453363,0.4383757
0.8172593,-0.46870995,-14.889888,0.7064699,0.51344126,-0.48082134,0.07803357
0.6466849,-1.3506783,-15.17547,0.13931186,0.8227239,0.33446854,0.43800506
0.81811756,-0.46979803,-14.889824,0.7068444,0.5125352,-0.4812844,0.07774387
0.64548844,-1.3511295,-15.1756735,0.13950992,0.82287073,0.3344049,0.43771473
0.81888974,-0.470777,-14.889766,0.7073436,0.5117084,-0.48146924,0.07750537
0.6471486,-1.3506215,-15.176748,0.1396306,0.8226307,0.33426797,0.4382317
0.8196012,-0.47079694,-14.890595,0.7074177,0.51101714,-0.4822544,0.07650126
0.64860195,-1.3501768,-15.17769,0.13972363,0.82241046,0.3341291,0.4387211
0.8212096,-0.4698877,-14.890459,0.70743394,0.51057345,-0.48281905,0.07574856
0.6490632,-1.3488828,-15.17856,0.13975921,0.8222256,0.33398107,0.43916875
0.8217461,-0.4690478,-14.890334,0.70741385,0.5103303,-0.48320973,0.07508049
0.6502997,-1.3494434,-15.179311,0.13984819,0.82201153,0.3338887,0.4396111
0.8232401,-0.4682585,-14.891206,0.7074445,0.51013386,-0.48345086,0.07457255
0.65058553,-1.3491216,-15.179986,0.13987519,0.8218319,0.33378738,0.4400152
0.82359564,-0.46754014,-14.890995,0.7074724,0.510111,-0.4835038,0.074119985
0.65240717,-1.3488414,-15.180573,0.13987035,0.8216316,0.33373013,0.44043392
0.8239129,-0.46789983,-14.890807,0.7076588,0.5102168,-0.4831667,0.07380954
0.6539961,-1.3493441,-15.181087,0.13987365,0.82145125,0.33367038,0.44081438
0.82419646,-0.4682212,-14.890639,0.7077379,0.5104094,-0.4829003,0.07346192
0.65538836,-1.3490748,-15.181536,0.13983738,0.82128686,0.33359638,0.44118807
0.8234896,-0.46944302,-14.890496,0.7079217,0.5105588,-0.48250318,0.07326282
0.6559758,-1.3481027,-15.181956,0.13975315,0.8211418,0.33351466,0.44154647
0.82378715,-0.4704965,-14.890372,0.70803785,0.51069295,-0.48221645,0.07309283
0.65579855,-1.3479214,-15.18235,0.13967735,0.82101154,0.3334472,0.44186354
0.8240505,-0.47142872,-14.890264,0.70809054,0.51087695,-0.4819731,0.07290096
0.6570445,-1.3477589,-15.182702,0.13962682,0.82085514,0.33337393,0.44222522
0.8242912,-0.47138837,-14.890163,0.7081065,0.5110899,-0.48176146,0.072651476
0.6588159,-1.3476152,-15.183013,0.13960978,0.82068247,0.3333414,0.44257548
0.8245131,-0.47044474,-14.890072,0.7080029,0.5113545,-0.4816778,0.07235264
0.65912193,-1.3474826,-15.182635,0.13956459,0.82057106,0.33329448,0.44283137
0.82471687,-0.4695776,-14.889988,0.7079492,0.51160026,-0.48153344,0.07210196
0.6594152,-1.3466703,-15.182272,0.13951895,0.8204781,0.33323118,0.4430657
0.8249052,-0.4678366,-14.889909,0.70789665,0.51181173,-0.48141968,0.071876414
0.659674,-1.3472553,-15.181953,0.13956651,0.8203709,0.3332177,0.44325936
0.8260601,-0.46717983,-14.889835,0.7078653,0.5119711,-0.48130187,0.0718387
0.65991265,-1.347151,-15.181659,0.1395994,0.8202893,0.33318153,0.44342715
0.82611674,-0.46848336,-14.889772,0.70796424,0.51202184,-0.4810938,0.07189625
0.66012424,-1.3476704,-15.181397,0.13967957,0.8202172,0.33318156,0.44353524
0.82527876,-0.46960148,-14.889718,0.7081112,0.51206607,-0.48082206,0.071951985
0.6597104,-1.3475449,-15.181151,0.13974878,0.8201772,0.33316523,0.44359967
0.82539827,-0.47056574,-14.889671,0.70823,0.5120626,-0.48064324,0.072002195
0.6599346,-1.3474275,-15.180923,0.13983297,0.82015634,0.33315006,0.4436231
0.825502,-0.47140184,-14.889631,0.7082874,0.5120897,-0.48052073,0.07206285
0.6595315,-1.3473171,-15.180707,0.13992023,0.82028735,0.33302358,0.44344833
0.82483184,-0.47213,-14.889596,0.7083878,0.5119563,-0.48049802,0.07217546
0.65853566,-1.3472133,-15.180504,0.14000762,0.8204278,0.33288252,0.44326678
0.82424563,-0.47348934,-14.889565,0.7084845,0.51187193,-0.48042205,0.07233043
0.6569735,-1.3471152,-15.180313,0.14008881,0.82057554,0.33271948,0.44308993
0.8244168,-0.47399747,-14.889539,0.7084976,0.5117632,-0.48049995,0.07245341
0.6560892,-1.3463626,-15.180124,0.14020495,0.82071775,0.3325125,0.44294524
0.8245712,-0.47312284,-14.889514,0.7083782,0.5116787,-0.4807593,0.07249665
0.6552592,-1.346317,-15.179947,0.14032848,0.8208732,0.33228764,0.44278678
0.8254223,-0.47296777,-14.88949,0.70829606,0.51149786,-0.48105815,0.0725934
0.65514237,-1.3455861,-15.179775,0.14043555,0.8210214,0.3320637,0.442646
