ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-09-58
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-09-58 ; 0D00 , 0D00-0D03 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Didn't see anything

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7201065,-1.3195671,-15.226345,0.1374764,0.80449694,0.32487643,0.47784972
0.8643565,-0.51013136,-14.943608,0.6626249,0.50950056,-0.5323895,0.13378683
0.7229905,-1.3188179,-15.228804,0.1373976,0.80424285,0.32487532,0.4783006
0.8645929,-0.50991,-14.941564,0.66245264,0.50925326,-0.53279537,0.13396536
0.722413,-1.3156074,-15.227918,0.13724957,0.80400157,0.3248893,0.478739
0.86475253,-0.51283723,-14.940183,0.662548,0.5090058,-0.5328363,0.13427152
0.733651,-1.3135042,-15.226808,0.1367606,0.8030503,0.324989,0.48040497
0.87543994,-0.5172911,-14.93858,0.66227406,0.50675505,-0.5352158,0.13467215
0.73547745,-1.3117421,-15.229179,0.13645546,0.8025725,0.3249827,0.4812937
0.875199,-0.5178683,-14.938145,0.6622721,0.5060936,-0.5357601,0.1350038
0.7367899,-1.310476,-15.230883,0.13615106,0.8020776,0.3250188,0.48217982
0.87820685,-0.51825976,-14.937849,0.66219777,0.50552493,-0.53633255,0.13522625
0.73773277,-1.3095663,-15.232107,0.13582358,0.8015619,0.32497564,0.48315772
0.87706786,-0.5216436,-14.937654,0.6622522,0.5048314,-0.5368598,0.13545804
0.7384129,-1.3061873,-15.23299,0.1354463,0.80105525,0.32494992,0.48412013
0.8763067,-0.5239049,-14.937524,0.66232336,0.5042915,-0.5372218,0.1356858
0.738899,-1.3064873,-15.233622,0.13516042,0.80056924,0.32486767,0.48505828
0.8758027,-0.52238005,-14.940459,0.6622828,0.50383836,-0.53772324,0.1355807
0.74196464,-1.3067027,-15.234075,0.13491543,0.80003196,0.3248396,0.48603088
0.8815897,-0.52438736,-14.942503,0.66225857,0.50322,-0.5382166,0.13603702
0.74144983,-1.3068565,-15.234398,0.13470452,0.7995772,0.32477838,0.48687792
0.88245267,-0.52269953,-14.943883,0.6622635,0.5027398,-0.5386248,0.1361732
0.7410812,-1.3069667,-15.23463,0.13447115,0.79925835,0.32462502,0.48756766
0.88302857,-0.5186014,-14.944804,0.6622138,0.50236523,-0.5391274,0.13580778
0.74347305,-1.3096981,-15.234794,0.13431552,0.79889655,0.32458758,0.488228
0.88342476,-0.518741,-14.94248,0.66237336,0.501916,-0.5393849,0.13566841
0.7425515,-1.3063695,-15.234912,0.1340514,0.79863596,0.32442153,0.48883697
0.88083434,-0.5245445,-14.940927,0.66268057,0.5015874,-0.53924125,0.13595381
0.74453783,-1.3066126,-15.234998,0.13388641,0.7983772,0.32426918,0.48940548
0.8818638,-0.52292126,-14.939838,0.662834,0.5011682,-0.53946584,0.13586064
0.7459762,-1.3067884,-15.23506,0.13368341,0.7982279,0.32403445,0.48985985
0.8825594,-0.51637065,-14.939104,0.6626254,0.5009935,-0.5400172,0.13533159
0.74702483,-1.304243,-15.2351055,0.13351245,0.7980923,0.32379454,0.4902859
0.88582975,-0.5199079,-14.93857,0.6626155,0.50066346,-0.5402369,0.13572416
0.7477782,-1.3050753,-15.235139,0.13343383,0.7979363,0.3236045,0.49068648
0.88818276,-0.52245295,-14.938187,0.66262585,0.5003999,-0.5403525,0.13618447
0.7432002,-1.305652,-15.235161,0.13340713,0.7981366,0.32308716,0.49070898
0.887087,-0.5242139,-14.940645,0.6627515,0.49949944,-0.5408838,0.13676853
0.7423947,-1.3060716,-15.235177,0.13346294,0.7982669,0.32264465,0.490773
0.8863218,-0.5227895,-14.942361,0.66263497,0.4990219,-0.54144853,0.13684162
0.74180055,-1.3038552,-15.23519,0.13345213,0.798378,0.32219326,0.49089172
0.8857784,-0.52177787,-14.943581,0.6624919,0.49892256,-0.54164475,0.13711946
0.73889244,-1.3022519,-15.235198,0.13343334,0.7984863,0.32191384,0.490904
0.88538885,-0.52617276,-14.944454,0.66260993,0.49885067,-0.54141206,0.13772872
0.73921376,-1.3010577,-15.235206,0.1334226,0.7985744,0.32163176,0.49094856
0.8851091,-0.52431715,-14.945083,0.66240084,0.49898544,-0.54154044,0.13774091
0.7394538,-1.2976581,-15.23521,0.13339832,0.7986311,0.32136124,0.49103996
0.8849101,-0.5205847,-14.945528,0.66230255,0.4990954,-0.5416252,0.13748182
0.73962677,-1.3000976,-15.235213,0.13347818,0.79866505,0.32123265,0.49104714
0.8847619,-0.5202035,-14.94586,0.66219586,0.49920824,-0.54158354,0.13775033
0.739756,-1.2994705,-15.235216,0.13353533,0.7986818,0.32110205,0.49108985
0.88465184,-0.5222926,-14.943734,0.6622135,0.49932408,-0.54135,0.13816293
0.7374514,-1.2990131,-15.235218,0.1335231,0.798765,0.32097742,0.49103925
0.8845717,-0.51922786,-14.94448,0.6621085,0.49936712,-0.541476,0.13801679
0.74053836,-1.2986678,-15.23522,0.1335572,0.7987321,0.3208086,0.49119386
0.8868396,-0.5215159,-14.942727,0.6620713,0.4994476,-0.54145575,0.13798322
0.7404363,-1.2959807,-15.235221,0.1335266,0.7987775,0.3205783,0.49127856
