ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-10-32
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-10-32 ; 5B0F , 5B0F-5B00 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Couldn't differentiate between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7075263,-1.3177752,-15.194491,0.14668502,0.8132446,0.30427268,0.4738511
0.8664603,-0.51008487,-14.914187,0.6714519,0.5231291,-0.5130824,0.11061138
0.7085065,-1.3225342,-15.197583,0.14710279,0.812563,0.3051067,0.47435433
0.8661894,-0.5099578,-14.916849,0.6713744,0.5224472,-0.5139621,0.11021949
0.71168476,-1.3235438,-15.19984,0.14742753,0.81199247,0.30560595,0.4749088
0.8678837,-0.5079426,-14.918995,0.67127043,0.521928,-0.5146825,0.10995077
0.7115857,-1.3218343,-15.201515,0.14737128,0.8116026,0.30571914,0.4755196
0.8673278,-0.50632775,-14.918801,0.6712869,0.52144593,-0.5152055,0.10968821
0.71397394,-1.3205606,-15.202764,0.1473661,0.81125075,0.30572405,0.4761181
0.8688052,-0.5050264,-14.918645,0.6712761,0.52112323,-0.5155648,0.1095993
0.72129023,-1.3207382,-15.204366,0.14733177,0.8107436,0.30544618,0.47716972
0.87094474,-0.5031418,-14.918421,0.67120695,0.5208371,-0.5159788,0.10943444
0.72119313,-1.3172952,-15.204883,0.14713427,0.81069607,0.30509475,0.47753614
0.87170696,-0.50247043,-14.91834,0.6712137,0.5208667,-0.5159508,0.10938448
0.7211209,-1.3171848,-15.205266,0.14704938,0.81055,0.30495274,0.47790068
0.87230974,-0.50387293,-14.918277,0.6713221,0.52082366,-0.5158425,0.1094348
0.7235131,-1.3171026,-15.205552,0.14695652,0.81040287,0.30474326,0.47831216
0.8708812,-0.50497526,-14.918226,0.67153895,0.5208704,-0.51552474,0.10937898
0.7223572,-1.3151627,-15.205924,0.14670661,0.8102421,0.30445054,0.47884738
0.86883676,-0.5050271,-14.918155,0.6718353,0.52102953,-0.5149696,0.10941633
0.72198915,-1.3131506,-15.206042,0.14662796,0.81020695,0.3043021,0.47902536
0.8699733,-0.50588244,-14.918129,0.671895,0.52120715,-0.5146597,0.109661184
0.72414106,-1.3140864,-15.206129,0.14662513,0.8101653,0.30432963,0.4790792
0.8708738,-0.5083901,-14.918109,0.6720593,0.52124053,-0.5144016,0.10970686
0.7233354,-1.3147784,-15.206194,0.14650437,0.81012654,0.30429894,0.47920108
