ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-10-59
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-10-59 ; 0D00 , 0D00-0D0F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Couldn't differentiate between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.76344675,-1.2475932,-15.236332,0.13288744,0.80443513,0.288262,0.5021256
0.9292896,-0.53048533,-14.9274845,0.6737502,0.4712386,-0.55125177,0.14183198
0.7622108,-1.245287,-15.235997,0.1328504,0.80486566,0.28803962,0.5015727
0.92793113,-0.53210795,-14.927517,0.67364776,0.47060642,-0.55183536,0.14214838
0.76426244,-1.2436714,-15.235763,0.13297217,0.80517775,0.2877038,0.50123215
0.9308866,-0.5354263,-14.927541,0.6733893,0.4697794,-0.5526872,0.1427973
0.7627828,-1.2425531,-15.2356,0.13308276,0.80551374,0.28748453,0.5007887
0.9311955,-0.532032,-14.927561,0.67305166,0.4690994,-0.55367947,0.14278089
0.761754,-1.2417755,-15.235488,0.1332782,0.8056684,0.28727815,0.50060636
0.9354688,-0.52931434,-14.927576,0.6726282,0.4684376,-0.5547213,0.14290465
0.7610428,-1.2440913,-15.23541,0.13342655,0.80577797,0.28720367,0.5004332
0.93482727,-0.53117406,-14.927589,0.6725888,0.46796775,-0.5550567,0.14332697
0.76054376,-1.2428688,-15.235354,0.13346812,0.8058551,0.287075,0.5003717
0.9363211,-0.5326562,-14.927599,0.6724315,0.4676163,-0.5554287,0.14377059
0.760196,-1.2448367,-15.235316,0.13368541,0.80579793,0.28705522,0.5004171
0.9355151,-0.529877,-14.927607,0.67218536,0.46736044,-0.5559696,0.1436625
0.75995046,-1.2434089,-15.235289,0.13372342,0.80583364,0.28694516,0.5004126
0.9368353,-0.52767,-14.927612,0.6719855,0.46720892,-0.55634135,0.14365137
0.7597784,-1.2452006,-15.2352705,0.13383196,0.8057715,0.28696164,0.5004741
0.9378883,-0.52983797,-14.927617,0.6719016,0.4671127,-0.55638766,0.14417665
0.7596564,-1.2436807,-15.235257,0.13401383,0.80579513,0.28663814,0.5005727
0.94072336,-0.5295959,-14.927621,0.67166394,0.46645817,-0.5570691,0.1447703
0.7623745,-1.2425963,-15.235248,0.13426475,0.8055839,0.28637016,0.50099885
0.9429934,-0.5294021,-14.927625,0.67138237,0.46568465,-0.5579265,0.14526446
0.7656637,-1.2440808,-15.235236,0.13465585,0.8051306,0.28619525,0.5017219
0.9442164,-0.5327277,-14.927629,0.6712263,0.4645377,-0.55877787,0.14638084
0.7666284,-1.2428799,-15.235232,0.13467032,0.8049375,0.2861528,0.50205195
0.9457527,-0.5378822,-14.92763,0.67112,0.46415827,-0.5589992,0.14722489
0.7701384,-1.242024,-15.23523,0.134681,0.804692,0.28612092,0.5024606
0.94697416,-0.5399729,-14.927631,0.6709769,0.4639326,-0.55923504,0.14769195
0.76979595,-1.2414203,-15.235229,0.13467331,0.8045157,0.28605807,0.5027806
0.94793457,-0.53762597,-14.927632,0.67064553,0.46378464,-0.55973303,0.14777511
0.7723831,-1.2409917,-15.235228,0.13478377,0.80430096,0.28602725,0.503112
0.95068645,-0.5337772,-14.927634,0.6703322,0.46353906,-0.56033176,0.14769769
0.7713845,-1.2406912,-15.235227,0.13473438,0.8040062,0.28621277,0.50349075
0.95288664,-0.53672725,-14.927634,0.6701345,0.46312615,-0.5607106,0.14845084
0.7706813,-1.2404796,-15.235226,0.13471323,0.8037175,0.28638312,0.50386035
0.9546391,-0.539077,-14.927634,0.67002857,0.46268702,-0.56106794,0.14894728
0.77299154,-1.2403289,-15.235226,0.1345965,0.80340314,0.286184,0.50450563
0.9580784,-0.536865,-14.927634,0.668618,0.46296924,-0.56218827,0.15017918
0.77463067,-1.2402222,-15.235226,0.13449319,0.8031889,0.28598735,0.50498563
0.9587467,-0.53716654,-14.927634,0.6677615,0.46337286,-0.5625247,0.15147986
0.77579147,-1.2401465,-15.235226,0.13440801,0.80299586,0.2858008,0.5054208
0.9572568,-0.53940266,-14.927634,0.6671401,0.46391517,-0.56250113,0.15264106
0.77661353,-1.2372618,-15.235226,0.13425036,0.8027444,0.28547353,0.5060467
0.95806605,-0.53524005,-14.927634,0.66623825,0.46476606,-0.5627372,0.15312073
0.777192,-1.2380558,-15.235226,0.13415685,0.80246305,0.28521433,0.5066635
0.95676845,-0.53585,-14.927634,0.6658277,0.4655155,-0.5624009,0.15386383
0.7804355,-1.2386186,-15.235226,0.13412645,0.8020438,0.2851156,0.5073904
0.95575094,-0.5382209,-14.927634,0.6655974,0.46612895,-0.5620052,0.15444803
