ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-11-22
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-11-22 ; 0D0F , 0D0F-0D00 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; Nothing

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.77274585,-1.2039844,-15.244798,0.08571583,0.7936515,0.31205878,0.5151596
0.9004972,-0.53497857,-14.932364,0.6807087,0.46690482,-0.54934704,0.129821
0.77410185,-1.2011777,-15.24704,0.08595276,0.7934613,0.31099132,0.5160579
0.90149665,-0.5359984,-14.932751,0.680829,0.46556628,-0.5502767,0.13005988
0.7729228,-1.1968384,-15.248742,0.08597676,0.79339945,0.3099943,0.5167484
0.9024496,-0.53697073,-14.933904,0.68099743,0.46430355,-0.551095,0.13022712
0.7720291,-1.1957226,-15.250032,0.08604043,0.7932747,0.30927256,0.51736146
0.9033559,-0.53789556,-14.935001,0.6811569,0.4632346,-0.55174035,0.13046722
0.77355134,-1.1903701,-15.251059,0.08608399,0.79312146,0.30848622,0.51805806
0.90416455,-0.5363404,-14.93598,0.68116534,0.46237785,-0.55246526,0.13039465
0.7747171,-1.1907254,-15.251844,0.086257204,0.79289806,0.30801928,0.5186487
0.9049364,-0.5381579,-14.9369135,0.6813508,0.4616859,-0.5527314,0.13074903
0.77632457,-1.1872183,-15.252928,0.08653806,0.7925389,0.30696887,0.5197725
0.9063135,-0.53733623,-14.9385805,0.68151253,0.4608633,-0.5531511,0.13103299
0.7768633,-1.186043,-15.25329,0.08652864,0.7923101,0.3065325,0.5203801
0.9069325,-0.53829163,-14.93846,0.68165255,0.46069744,-0.55301327,0.13146873
0.77727574,-1.185143,-15.253568,0.08656545,0.792081,0.30607492,0.52099174
0.90664077,-0.5366375,-14.939183,0.6816944,0.46067253,-0.5529835,0.13146438
0.7775929,-1.1821178,-15.253781,0.08644565,0.79169583,0.305568,0.5218938
0.9063875,-0.53520113,-14.939024,0.6817142,0.4606923,-0.55294997,0.13143367
0.7801877,-1.1821605,-15.253944,0.08624748,0.7911878,0.30537853,0.52280706
0.9069281,-0.5362153,-14.938883,0.68183726,0.46059823,-0.55278534,0.1318169
0.7821728,-1.1798099,-15.2564535,0.08601125,0.7906659,0.30512106,0.5237849
0.90742964,-0.53560704,-14.938751,0.68184364,0.46050626,-0.552849,0.13183844
0.7860783,-1.1804299,-15.255952,0.08581611,0.790059,0.30502447,0.52478814
0.90789485,-0.5350428,-14.938629,0.68179727,0.46043447,-0.5529657,0.13183928
0.7890266,-1.1808981,-15.255574,0.085603245,0.78943974,0.30507356,0.52572536
0.9083326,-0.5361125,-14.938514,0.6818523,0.460365,-0.5528968,0.13208586
0.7888194,-1.1812453,-15.255294,0.08527846,0.78896534,0.30513445,0.52645445
0.90873486,-0.53549105,-14.938409,0.6818044,0.4603298,-0.55301505,0.13196035
0.7910936,-1.1790779,-15.257513,0.084925644,0.7883561,0.30526733,0.52734643
0.9083176,-0.535715,-14.938315,0.6818721,0.46024257,-0.55300516,0.13195628
0.7953304,-1.1774174,-15.259212,0.08464863,0.78777087,0.30548802,0.5281372
0.90794677,-0.5366601,-14.938232,0.68196744,0.4602021,-0.552886,0.13210438
