ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-12-12
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-12-12 ; 250F , 250F-2500 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6916475,-1.3270303,-15.223432,0.16518247,0.814938,0.3072625,0.4627965
0.91760063,-0.51974034,-14.936947,0.6672764,0.52248645,-0.51581687,0.12523283
0.69171864,-1.3253307,-15.223796,0.16509376,0.8148168,0.30714437,0.4631199
0.9186986,-0.51755065,-14.937011,0.667125,0.52253157,-0.5159815,0.12517227
0.69342864,-1.3238777,-15.224109,0.16498733,0.8147055,0.30698842,0.4634569
0.9175658,-0.5178579,-14.937059,0.66710275,0.5225221,-0.515991,0.12529208
0.69319963,-1.3243164,-15.224363,0.16495875,0.814588,0.3068641,0.46375588
0.9186436,-0.5181061,-14.937099,0.6670707,0.5225143,-0.51603377,0.12531848
0.6930088,-1.3230536,-15.224574,0.1648834,0.8144784,0.3067003,0.4640834
0.91755134,-0.5182948,-14.937128,0.6670802,0.52247053,-0.51605755,0.12535271
0.694481,-1.3236339,-15.2247505,0.16477747,0.8143342,0.30661643,0.4644293
0.9149038,-0.5184384,-14.937151,0.6671637,0.5224336,-0.5159856,0.1253579
0.6957056,-1.3241166,-15.224896,0.16471313,0.8141931,0.30650684,0.4647717
0.9128639,-0.5185491,-14.937168,0.66725004,0.5223203,-0.51601046,0.12526888
0.695092,-1.3228911,-15.225018,0.16458231,0.8141873,0.30607098,0.46511546
0.91291314,-0.51863533,-14.937182,0.6672438,0.52200055,-0.51629,0.12548243
0.696228,-1.3218522,-15.22512,0.16451162,0.81410694,0.30576006,0.4654855
0.91454,-0.51711726,-14.937193,0.66716504,0.52176064,-0.51662266,0.1255299
0.69890606,-1.3209654,-15.225207,0.164498,0.8139046,0.30540308,0.46607804
0.91764176,-0.5157827,-14.937202,0.6669615,0.5214096,-0.51723975,0.12552924
0.6994093,-1.3184819,-15.225281,0.16431804,0.81380475,0.30512145,0.4665002
0.9203374,-0.5163813,-14.93721,0.6667953,0.521031,-0.5178279,0.12555894
0.699824,-1.3181868,-15.225342,0.1642315,0.81363845,0.30493277,0.4669439
0.9207845,-0.5168739,-14.937218,0.6668005,0.5206664,-0.5182124,0.12545785
0.70016474,-1.3179442,-15.22539,0.16406561,0.8134401,0.3049248,0.46735275
