ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-12-50
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-12-50 ; 5B03 , 5B03-5B0F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; can only make out 1 of them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.60725564,-1.3281349,-15.186978,0.15557906,0.8335057,0.31145245,0.42902324
0.82714623,-0.4832297,-14.913356,0.65769243,0.5660623,-0.4800971,0.12853433
0.60928434,-1.3277094,-15.187025,0.15585813,0.83351594,0.3109806,0.42924416
0.82705,-0.48456693,-14.914248,0.6578138,0.5660173,-0.47997904,0.1285521
0.6107974,-1.3273921,-15.18706,0.1567861,0.83373725,0.3098785,0.4292735
0.8288342,-0.4856624,-14.914981,0.65795374,0.56592536,-0.47989526,0.12855332
0.60946614,-1.3271585,-15.187086,0.15751109,0.83391094,0.30904934,0.42926857
0.82665455,-0.48650375,-14.915543,0.6581098,0.5657989,-0.47983816,0.12852472
0.60608643,-1.3245833,-15.187106,0.157773,0.83411145,0.30855408,0.42913893
0.82665247,-0.48543304,-14.915994,0.6582446,0.5656803,-0.47979733,0.12850852
0.60595644,-1.3250537,-15.18712,0.15836285,0.8340634,0.30825922,0.4292269
0.82499236,-0.48460028,-14.916344,0.65837467,0.56557804,-0.4797497,0.12847053
0.60820955,-1.3277496,-15.187131,0.15892833,0.8339846,0.30795255,0.42939118
0.8252752,-0.4839161,-14.916632,0.65848047,0.5654782,-0.47972068,0.12847558
0.60988903,-1.3297592,-15.1871395,0.15953748,0.83387804,0.3074653,0.42972124
0.82550967,-0.48499668,-14.916871,0.6585908,0.5653677,-0.47969183,0.12850428
0.61117035,-1.328963,-15.187145,0.1597961,0.8338271,0.3070288,0.43003607
0.8257038,-0.48753703,-14.9170685,0.658684,0.5652673,-0.47967237,0.12854056
0.61214507,-1.3283573,-15.18715,0.1600244,0.8338537,0.3064266,0.4303289
0.82586485,-0.4879968,-14.9172325,0.6587693,0.56516916,-0.47966275,0.128571
0.6105639,-1.3279047,-15.187154,0.16020665,0.8338859,0.30580762,0.43063897
0.8259982,-0.49002534,-14.917369,0.65886,0.56505316,-0.47966948,0.12859103
0.6116838,-1.3252233,-15.187156,0.16041444,0.8338598,0.30513403,0.4310896
0.8261088,-0.4900585,-14.917481,0.65894127,0.564936,-0.4796937,0.12859927
0.6125305,-1.3231962,-15.189488,0.16052999,0.83386075,0.3045206,0.43147838
