ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-13-13
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-13-13 ; 1C03 , 1C03-1C0F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right - unsure

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7556507,-1.2950248,-15.254439,0.1789452,0.8090477,0.27262837,0.48897257
0.9283143,-0.52147776,-14.946857,0.6630287,0.5145103,-0.5226403,0.15006436
0.75428903,-1.2934105,-15.254442,0.17923105,0.8092537,0.2721811,0.4887762
0.92764115,-0.52001804,-14.946857,0.66300774,0.51429635,-0.52296275,0.14976658
0.75545484,-1.2943827,-15.254443,0.17951448,0.80935234,0.27183083,0.4887037
0.9282102,-0.5199023,-14.946857,0.662908,0.5140946,-0.52329624,0.1497359
0.7541991,-1.2950987,-15.254444,0.17975676,0.8094271,0.27163154,0.48860174
0.9275885,-0.5220004,-14.946857,0.66292596,0.51386756,-0.523485,0.1497761
0.75325394,-1.2956375,-15.254446,0.18002768,0.8094927,0.2713839,0.4885308
0.9293165,-0.5216469,-14.946857,0.66273296,0.51371783,-0.5238614,0.14982769
0.7506083,-1.2960408,-15.254447,0.18020882,0.80957764,0.2711914,0.4884302
0.929688,-0.5224992,-14.946857,0.66266084,0.51356304,-0.52409065,0.14987528
0.75232905,-1.2963549,-15.254447,0.18049748,0.8095666,0.2709873,0.4884552
0.930018,-0.52325624,-14.946857,0.6625808,0.5134914,-0.524233,0.14997697
0.7537476,-1.2946739,-15.254447,0.18069397,0.80963373,0.27069888,0.48843122
0.9315682,-0.52395695,-14.946857,0.662425,0.51340026,-0.5245123,0.15000117
0.7529563,-1.293359,-15.254447,0.18081386,0.8097417,0.27040732,0.48836946
0.93167305,-0.5245679,-14.946857,0.6623525,0.51326287,-0.5247307,0.15002723
0.7523314,-1.2923208,-15.254447,0.18096526,0.80985093,0.27009112,0.48830715
0.93300855,-0.5226097,-14.946857,0.66218585,0.5131948,-0.5250651,0.14982529
0.75183445,-1.2914951,-15.254447,0.18104422,0.8099486,0.2697804,0.4882876
0.9329282,-0.5221576,-14.946857,0.662098,0.5131192,-0.5252691,0.1497576
0.7514496,-1.2926271,-15.254447,0.18115398,0.81004244,0.2694515,0.48827294
0.93285877,-0.5229768,-14.946857,0.6621234,0.5129324,-0.5254041,0.14981176
0.75294924,-1.2917544,-15.254447,0.1811605,0.8101059,0.26908797,0.48836562
0.93279856,-0.5236869,-14.946857,0.6621133,0.51272583,-0.525466,0.1503455
0.7518733,-1.2905017,-15.254447,0.18116339,0.81022555,0.26849338,0.48849344
0.9327022,-0.52379334,-14.946857,0.66214705,0.5124725,-0.5255064,0.15091817
0.75148684,-1.2900518,-15.254447,0.18117611,0.81028944,0.2682083,0.48853922
0.9338806,-0.52441186,-14.946857,0.66212875,0.51234335,-0.52558136,0.15117578
0.7506844,-1.2876811,-15.254447,0.18122534,0.81035745,0.26766264,0.48870748
0.9358937,-0.52418125,-14.946857,0.6619941,0.5122865,-0.52564055,0.15175128
0.7503907,-1.2877887,-15.254447,0.18139872,0.8103118,0.2671576,0.48899516
0.9362953,-0.52294725,-14.946857,0.6619268,0.5121308,-0.52574086,0.15222245
0.7487294,-1.2862701,-15.254447,0.18141308,0.81032073,0.26689363,0.48911917
0.9358056,-0.52366185,-14.946857,0.6619755,0.51197195,-0.52578455,0.15239412
0.7488957,-1.2849848,-15.254447,0.18140562,0.81035876,0.26658422,0.48922762
0.93659174,-0.5230761,-14.946857,0.66189367,0.5118438,-0.5259975,0.15244481
0.7505445,-1.2869787,-15.254447,0.1815021,0.8103024,0.26638344,0.48939463
0.9360779,-0.52375764,-14.946857,0.661915,0.51164705,-0.5261388,0.15252519
0.75196326,-1.2871472,-15.254447,0.18161465,0.81023824,0.26613098,0.4895962
0.9356493,-0.5232131,-14.946857,0.6618847,0.51158094,-0.5262366,0.15254094
0.7516143,-1.2872853,-15.254447,0.18162322,0.8102329,0.2658765,0.4897402
0.93640846,-0.52386624,-14.946857,0.6618844,0.5113371,-0.5264479,0.15263021
0.74989766,-1.287396,-15.254447,0.18159476,0.8102525,0.26566437,0.4898334
0.937096,-0.52564204,-14.946857,0.6619097,0.5110653,-0.5266476,0.15274227
0.74987584,-1.2861043,-15.254447,0.18160278,0.810229,0.26537955,0.49002367
0.937716,-0.5272434,-14.946857,0.66183496,0.5108584,-0.5268896,0.15292338
0.7512684,-1.2863865,-15.254447,0.1815742,0.81017435,0.2651309,0.49025917
0.9382698,-0.5274279,-14.946857,0.6617419,0.5106692,-0.5271827,0.15294768
0.7510444,-1.2852136,-15.254447,0.18144123,0.81004316,0.26480708,0.4907
0.9387432,-0.52636206,-14.946857,0.661477,0.5105613,-0.5276573,0.15281734
0.75232667,-1.2841648,-15.254447,0.18135633,0.80981994,0.2645509,0.4912377
0.9391641,-0.52666104,-14.946857,0.66121775,0.51040065,-0.52811563,0.15289246
0.75345415,-1.2832426,-15.254447,0.18131755,0.8096161,0.26422948,0.49176055
0.94088084,-0.5269379,-14.946857,0.6609529,0.51020443,-0.52861553,0.15296537
0.75439376,-1.2840037,-15.254447,0.18130633,0.80925965,0.26404956,0.4924477
0.9410347,-0.5271781,-14.946857,0.6607359,0.51009536,-0.5289437,0.15313193
0.7573918,-1.2851833,-15.255988,0.18136688,0.8086383,0.26364982,0.4936588
0.94127387,-0.5264357,-14.946857,0.6601943,0.5100816,-0.5295948,0.1532638
0.75770783,-1.2840952,-15.257286,0.18128817,0.80847716,0.26336607,0.49410293
0.9427413,-0.5267527,-14.946857,0.6599196,0.51003504,-0.5299077,0.15351984
0.75797415,-1.2831784,-15.25838,0.18124989,0.8083358,0.26305026,0.49451634
0.9440577,-0.5270372,-14.946857,0.6597862,0.509961,-0.53009015,0.15370889
0.76144487,-1.2839948,-15.259336,0.18134975,0.80803335,0.2629113,0.49504754
0.94522387,-0.5287752,-14.946857,0.65975684,0.50992477,-0.5300742,0.15401019
0.7627183,-1.2846768,-15.258509,0.18143664,0.8078219,0.2626838,0.49548143
0.94623727,-0.52875805,-14.946857,0.6596527,0.50996363,-0.5301194,0.15417172
0.7630566,-1.284126,-15.258841,0.18129484,0.80768156,0.26214996,0.49604446
0.94649816,-0.5274996,-14.946857,0.65955156,0.510092,-0.5300825,0.15430668
0.76578116,-1.2831235,-15.25807,0.18136448,0.80750483,0.261944,0.49641547
