ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-13-39
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-13-39 ; 0D03 , 0D03-0D00 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; nothing

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.68256956,-1.2953949,-15.234838,0.16769648,0.81685495,0.2855384,0.47232798
0.9018418,-0.5241914,-14.941385,0.6591056,0.50395215,-0.53997326,0.14156635
0.6839435,-1.2943295,-15.234894,0.16743316,0.8166193,0.28535032,0.47294217
0.9020087,-0.5236865,-14.940979,0.6588276,0.5041218,-0.54003024,0.1420384
0.68514305,-1.2933995,-15.234942,0.16719688,0.81637245,0.28515443,0.4735696
0.9031517,-0.5232115,-14.940597,0.65849966,0.50424844,-0.5401977,0.14247212
0.68618417,-1.292592,-15.234985,0.16690305,0.8161822,0.28496766,0.47411335
0.90319175,-0.52278304,-14.940251,0.65841603,0.5044131,-0.5400979,0.14265347
0.68561065,-1.2904078,-15.236504,0.16653611,0.8160123,0.28473902,0.4746718
0.9032268,-0.52337533,-14.939949,0.6582467,0.50463444,-0.54003567,0.14288765
0.6881573,-1.2885076,-15.2378235,0.1662678,0.815787,0.2844798,0.47530818
0.90428144,-0.5218949,-14.939662,0.6578637,0.5049423,-0.54018086,0.14301534
0.6887672,-1.2884325,-15.238915,0.16600144,0.8155768,0.2843569,0.47583532
0.905228,-0.5226175,-14.9394045,0.65776575,0.50505793,-0.5401374,0.14322174
0.689281,-1.2883692,-15.238341,0.16575429,0.8153783,0.2842597,0.47631952
0.9061004,-0.5222253,-14.939168,0.65770775,0.50518453,-0.5400725,0.1432858
0.69126797,-1.2867744,-15.239383,0.16555072,0.81520563,0.28410268,0.47677928
0.9068771,-0.52293485,-14.938956,0.6576621,0.50531995,-0.5399331,0.14354318
0.69441694,-1.2869711,-15.238729,0.16540985,0.81493896,0.2840658,0.47730577
0.90758693,-0.522496,-14.938763,0.65745944,0.5055443,-0.5399545,0.14360136
0.6955501,-1.2871355,-15.238182,0.16523023,0.8147351,0.2839854,0.47776362
0.9082314,-0.5220975,-14.938588,0.65736187,0.5056361,-0.5399457,0.14375731
0.69653267,-1.2857386,-15.239247,0.16494413,0.81457466,0.2839346,0.4781661
0.9088131,-0.5217378,-14.93843,0.65730864,0.5057004,-0.5399209,0.14386797
0.698845,-1.2860968,-15.240123,0.16479743,0.81430084,0.28400546,0.4786407
0.90933555,-0.5214149,-14.938288,0.6572967,0.5057199,-0.5399031,0.14392057
0.69930327,-1.284857,-15.239332,0.1645841,0.8141584,0.2840415,0.478935
0.9086605,-0.52114,-14.938167,0.6573136,0.505759,-0.53987277,0.14381966
0.6981493,-1.2838286,-15.240211,0.16432853,0.8140609,0.2841414,0.4791291
0.90917647,-0.5220047,-14.938061,0.6574347,0.50563234,-0.53982455,0.14389244
0.6986934,-1.2844744,-15.240923,0.16428462,0.8139203,0.28418657,0.4793562
0.9096417,-0.5216595,-14.937966,0.65735525,0.5056204,-0.53992957,0.14390327
0.700591,-1.285009,-15.240066,0.16426194,0.8137708,0.28432438,0.47953606
0.91005933,-0.52134967,-14.9378805,0.6574121,0.5055826,-0.5398985,0.14389291
0.70074755,-1.2868152,-15.240748,0.16429567,0.8137121,0.2843991,0.47957975
0.9104204,-0.52220404,-14.937806,0.6575296,0.50548184,-0.5398361,0.14394444
0.7008778,-1.2856487,-15.241316,0.16430536,0.8139483,0.28418845,0.47930047
0.910744,-0.52183104,-14.93774,0.65763444,0.5055226,-0.53965205,0.14401276
0.6984489,-1.2859621,-15.241781,0.16429634,0.8142246,0.28409344,0.47889045
0.9099295,-0.52151716,-14.937686,0.657747,0.5055566,-0.5394633,0.14408644
0.6976501,-1.2862208,-15.242164,0.16431965,0.8144109,0.28399363,0.47862467
0.9092432,-0.5222851,-14.937638,0.65781784,0.5055476,-0.53933805,0.14426348
0.6969858,-1.2852907,-15.242481,0.16435257,0.8146693,0.28382322,0.47827467
0.90965414,-0.52194554,-14.938608,0.65781987,0.50542647,-0.5394029,0.1444361
0.69534206,-1.2856002,-15.242747,0.16437922,0.81493235,0.2836691,0.4779086
0.90903705,-0.5216538,-14.938471,0.657832,0.50537926,-0.5394003,0.14455579
0.69395727,-1.2848276,-15.242971,0.16432309,0.81515586,0.28346726,0.47766635
