ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-13-59
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-13-59 ; 3003 , 3003-3000 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.75601345,-1.3453736,-15.224787,0.17825495,0.8049037,0.30817607,0.47474498
0.97439927,-0.47535646,-14.936512,0.6178131,0.55002874,-0.54428923,0.13973077
0.75649244,-1.3467968,-15.224905,0.17819278,0.804803,0.30823597,0.47490013
0.9753204,-0.47469097,-14.936625,0.61788476,0.54992354,-0.5443057,0.13976395
0.7569051,-1.3466384,-15.225007,0.17810792,0.8047133,0.30829784,0.47504377
0.97465914,-0.47414726,-14.936716,0.61799926,0.5498585,-0.54423743,0.13977931
0.7559051,-1.3465071,-15.225092,0.17800872,0.80465126,0.30834624,0.47515464
0.97410923,-0.4750737,-14.936792,0.6181285,0.5497539,-0.54418135,0.13983755
0.7550849,-1.3463993,-15.22644,0.17789853,0.80457616,0.30838194,0.47529992
0.9736482,-0.4758504,-14.936857,0.61822593,0.5496542,-0.54415894,0.1398858
0.7544027,-1.3463097,-15.227564,0.17776898,0.804509,0.30840614,0.47544646
0.9732644,-0.47519022,-14.93691,0.61831206,0.5495617,-0.5441523,0.13989434
0.75504255,-1.3462307,-15.227311,0.17762902,0.8043331,0.30842626,0.47578314
0.972942,-0.4746357,-14.9369545,0.61832106,0.5494377,-0.54428583,0.13982242
0.75561756,-1.3448792,-15.227085,0.17743905,0.80413646,0.3084603,0.47616413
