ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-14-20
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-14-20 ; 5B0F , 5B0F-5B03 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; unsure

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6659991,-1.2777823,-15.218279,0.12246143,0.8225613,0.30184355,0.46614012
0.8583344,-0.5007022,-14.932869,0.66970086,0.5200939,-0.5208111,0.09878776
0.6655883,-1.2778763,-15.21794,0.12246863,0.82258606,0.30181697,0.46611172
0.85910296,-0.5011126,-14.933075,0.6696343,0.52012455,-0.52081907,0.09903523
0.6667235,-1.2764574,-15.217637,0.12251969,0.82261795,0.30172092,0.46610433
0.859403,-0.5010484,-14.933284,0.66958094,0.52023935,-0.5207532,0.09913948
0.66768354,-1.2767639,-15.217381,0.12262539,0.8226038,0.30166605,0.46613693
0.8597058,-0.5009836,-14.933495,0.6695965,0.5203669,-0.5205913,0.09921423
0.66701776,-1.2770109,-15.217174,0.122625485,0.82272667,0.30156586,0.46598497
0.8594921,-0.5009253,-14.933684,0.6697455,0.52064216,-0.5201346,0.0991602
0.66789645,-1.2772223,-15.216997,0.12262093,0.8227646,0.30153272,0.4659407
0.85929865,-0.50040907,-14.933856,0.66982293,0.52098453,-0.5197175,0.09902587
0.6672002,-1.275964,-15.216847,0.12254405,0.8228269,0.30143145,0.46591634
0.85912365,-0.50038254,-14.9340105,0.6699312,0.52126986,-0.51929986,0.09898309
0.6666362,-1.2763125,-15.216727,0.12254287,0.82264245,0.30155432,0.46616286
0.8585468,-0.5003585,-14.934152,0.67006624,0.5219378,-0.5184763,0.09886586
0.66617286,-1.2765988,-15.216628,0.12246943,0.82249933,0.30160388,0.4664025
0.8580226,-0.5003367,-14.934279,0.67020273,0.5225229,-0.5177191,0.09881895
0.6670892,-1.2768478,-15.216542,0.12243021,0.82227397,0.30169243,0.4667528
0.8575452,-0.49993932,-14.934396,0.67027414,0.5230657,-0.51709616,0.098723985
0.6665614,-1.2757455,-15.216469,0.12231315,0.82215166,0.3016757,0.4670096
0.8571094,-0.49993524,-14.934503,0.67038316,0.5234843,-0.51653504,0.0987025
0.66742235,-1.2761108,-15.216404,0.122244686,0.82197565,0.30170935,0.4673156
0.8570517,-0.49993154,-14.9346,0.67043257,0.5238424,-0.5161188,0.098645024
0.6668528,-1.275116,-15.216349,0.12207461,0.8218598,0.30164364,0.46760607
0.85699874,-0.49992815,-14.934365,0.67048275,0.5241594,-0.5157342,0.098630995
0.6676636,-1.2755618,-15.216302,0.12195926,0.821698,0.30155897,0.46797496
0.8563351,-0.49992502,-14.934151,0.67058456,0.52444816,-0.5153138,0.098601796
0.66982377,-1.2745748,-15.216258,0.121892266,0.8215009,0.30144525,0.4684116
0.8563091,-0.49963003,-14.933952,0.6705522,0.52472216,-0.515075,0.098611414
0.6688924,-1.2737584,-15.216221,0.1217442,0.82143605,0.30130783,0.4686522
0.85600764,-0.49963585,-14.93377,0.6705781,0.5249812,-0.5147781,0.098606735
0.6708266,-1.2744219,-15.216189,0.1217246,0.8212564,0.30127162,0.46899524
0.8557296,-0.49964118,-14.933602,0.6705515,0.5252339,-0.51454556,0.098656185
0.67110795,-1.2749772,-15.216164,0.121721864,0.8211645,0.3011527,0.46923319
0.8554726,-0.49964613,-14.933448,0.6705639,0.5254057,-0.51435435,0.09865367
0.67135656,-1.2740953,-15.21614,0.12158776,0.8210892,0.301063,0.46945727
0.85547274,-0.49965072,-14.933303,0.6704738,0.52560675,-0.51425195,0.09872978
0.67295456,-1.2747167,-15.216121,0.1216479,0.8209261,0.30097702,0.46978194
0.85547286,-0.49965495,-14.933169,0.67040116,0.52575755,-0.51418257,0.09878162
0.67440236,-1.2738158,-15.216102,0.12158719,0.8208422,0.30080113,0.47005677
0.85525835,-0.49944413,-14.933046,0.6702954,0.52578425,-0.514299,0.0987503
0.67568773,-1.2730159,-15.216085,0.121566966,0.8207544,0.30076626,0.47023767
0.855059,-0.49924836,-14.932931,0.6702396,0.5257473,-0.5144145,0.098724246
0.67777526,-1.2717168,-15.21606,0.12166446,0.8206087,0.3006397,0.4705475
0.8550757,-0.49927148,-14.932721,0.67014337,0.5256083,-0.514655,0.0988642
0.67696214,-1.2712356,-15.21605,0.121730454,0.8206232,0.3005935,0.47053465
0.8548916,-0.49928266,-14.932619,0.67013484,0.525499,-0.51477146,0.09889728
0.67784065,-1.2723823,-15.216042,0.12190323,0.8205521,0.30060562,0.4706062
0.85490334,-0.49929363,-14.93252,0.6701235,0.52535003,-0.5149304,0.09893717
0.67707014,-1.2718295,-15.216036,0.12188827,0.82061815,0.30059516,0.47050154
0.85491484,-0.49930435,-14.932422,0.6701191,0.5251886,-0.51510143,0.098934166
0.67594934,-1.2722386,-15.217366,0.122055665,0.82064164,0.30046698,0.47049904
0.8549372,-0.4993252,-14.932232,0.6700511,0.5248369,-0.51557857,0.09877552
0.6755374,-1.2717818,-15.217184,0.1220794,0.8206269,0.30040184,0.47056022
0.85514027,-0.49933532,-14.93214,0.6699502,0.5246233,-0.51594365,0.09868865
0.67598003,-1.2721542,-15.216901,0.1219894,0.82058966,0.30026767,0.47073406
0.8553421,-0.49935493,-14.931962,0.6698223,0.52421266,-0.5165782,0.098418206
0.6768394,-1.2717096,-15.216781,0.12196881,0.82057196,0.30015197,0.47084397
0.8553448,-0.4995567,-14.931875,0.6698414,0.52397716,-0.51682067,0.09826944
0.677613,-1.2713093,-15.216673,0.1220504,0.82055056,0.30007413,0.4709097
0.8553475,-0.49956217,-14.931791,0.6697884,0.5237916,-0.5171069,0.09811386
0.67698234,-1.2709773,-15.216584,0.122152284,0.8205536,0.2999946,0.47092873
0.85535014,-0.4995675,-14.931707,0.66977286,0.5235953,-0.5173522,0.097974405
0.67645305,-1.2706985,-15.216509,0.122161865,0.820607,0.29983115,0.47093737
0.85558254,-0.49934453,-14.93161,0.66972345,0.5234269,-0.5176072,0.09786586
0.67719156,-1.271647,-15.216447,0.122336194,0.8205678,0.2998473,0.4709502
0.8555797,-0.49909234,-14.9314995,0.66966677,0.5232806,-0.51784676,0.097768925
0.677819,-1.2724526,-15.216393,0.122568,0.820555,0.29986513,0.47090074
0.8555768,-0.49911362,-14.931389,0.66965103,0.52311164,-0.5180451,0.097729385
0.6783947,-1.2719998,-15.216345,0.12263474,0.820652,0.2996765,0.47083443
0.8558682,-0.49913558,-14.931273,0.6696149,0.5229581,-0.5182534,0.09769449
0.6777414,-1.2727553,-15.216303,0.122691944,0.82074416,0.29958946,0.47071415
0.8561714,-0.49915844,-14.931154,0.66958183,0.52281916,-0.51844215,0.0976638
0.6782738,-1.2723093,-15.217354,0.12272837,0.8207797,0.29942998,0.47074428
0.85648835,-0.4991823,-14.931028,0.66959244,0.52265865,-0.518588,0.09767569
0.67769116,-1.2719325,-15.217208,0.12270625,0.82086986,0.29934782,0.47064507
0.85679245,-0.499545,-14.930908,0.6696227,0.52250135,-0.5187072,0.097676754
0.67719716,-1.271613,-15.218065,0.12269799,0.8209238,0.2992457,0.4706181
