ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-15-08
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-15-08 ; 1C00 , 1C00-1C0F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left - very faint

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7165427,-1.3844172,-15.21604,0.19435357,0.79901725,0.31586513,0.47331524
0.8603567,-0.5094475,-14.92993,0.6688544,0.5165385,-0.52523726,0.09973802
0.717174,-1.3843781,-15.216034,0.19446723,0.79878646,0.31595048,0.47360116
0.8614136,-0.51015526,-14.929761,0.6685631,0.5165136,-0.52560234,0.099896885
0.7177159,-1.3843445,-15.216029,0.19461697,0.7985498,0.31603107,0.4738849
0.86168915,-0.51010185,-14.929602,0.66828924,0.5164689,-0.52597564,0.099995755
0.719594,-1.3843154,-15.216024,0.19475576,0.7983427,0.3160785,0.47414508
0.86270624,-0.51005036,-14.929448,0.66797554,0.51637256,-0.52644426,0.1001226
0.71978974,-1.3828603,-15.216021,0.1948615,0.7981604,0.31608388,0.47440496
0.86289495,-0.5100023,-14.929305,0.66769093,0.51629406,-0.52685606,0.1002593
0.71995586,-1.383051,-15.216017,0.19496666,0.7979989,0.3161062,0.47461852
0.86306477,-0.5107021,-14.929175,0.66748995,0.5161385,-0.5272297,0.100434095
0.7200991,-1.3817724,-15.216015,0.19504827,0.79783684,0.3160954,0.47486448
0.864002,-0.5106007,-14.929051,0.6671845,0.5160005,-0.5277058,0.10067318
0.72166705,-1.3821295,-15.216012,0.19517243,0.79766184,0.31610018,0.4751042
0.86574733,-0.5105012,-14.928929,0.6668875,0.5158272,-0.5281976,0.100949906
0.7215523,-1.3809783,-15.21601,0.19524315,0.7975317,0.31608978,0.47530058
0.86652136,-0.5112405,-14.928818,0.66665405,0.5156248,-0.52863145,0.101253524
0.7229096,-1.3814578,-15.216009,0.1953489,0.7973538,0.3161395,0.47552252
0.8672504,-0.5110803,-14.928712,0.6663813,0.5154295,-0.529123,0.10147581
0.7240605,-1.3818643,-15.216007,0.19544794,0.79719454,0.3161593,0.47573563
0.8688583,-0.510926,-14.928611,0.66608036,0.5151843,-0.52967834,0.10179896
0.7250584,-1.3807322,-15.216006,0.19546936,0.7970335,0.3162045,0.47596648
0.8703587,-0.5117151,-14.928516,0.66578144,0.51496476,-0.53019196,0.1021911
0.72442085,-1.3797798,-15.216005,0.19548391,0.7968921,0.31628588,0.47614324
0.87177813,-0.511484,-14.928427,0.66550463,0.51477003,-0.5306661,0.102512866
0.7238834,-1.3789768,-15.216004,0.19552292,0.79679435,0.31627095,0.47630063
0.8741905,-0.51126176,-14.928341,0.6650267,0.51445293,-0.5314768,0.10300538
0.72344285,-1.3797425,-15.216004,0.19557264,0.7967145,0.31627655,0.4764101
0.87530917,-0.51212275,-14.928264,0.6646914,0.5140266,-0.53221494,0.10348559
0.72307825,-1.3803765,-15.216004,0.19558094,0.79665697,0.31628212,0.4764992
0.8774575,-0.5129226,-14.928191,0.6642493,0.5135042,-0.53315604,0.10407224
0.7225174,-1.3800288,-15.217326,0.19555286,0.7966175,0.31621057,0.47662416
0.88004833,-0.5132969,-14.928064,0.6635347,0.51259613,-0.534738,0.10498701
0.72229487,-1.3792684,-15.217143,0.1955511,0.7966159,0.31612834,0.47668216
0.88177395,-0.51281774,-14.929206,0.66321087,0.5121369,-0.5355102,0.10533847
0.7221084,-1.3799249,-15.2169895,0.1955977,0.7965902,0.31608793,0.47673267
0.88329875,-0.51360023,-14.930215,0.6629629,0.5116937,-0.5361541,0.10577565
0.72195494,-1.3804653,-15.218094,0.1956484,0.79656464,0.31602624,0.47679552
0.8846455,-0.51429135,-14.931107,0.6626866,0.51122564,-0.53683954,0.10629338
0.7218269,-1.3809161,-15.219015,0.19564387,0.7965246,0.31598434,0.47689205
