ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-16-26
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-16-26 ; 3000 , 3000-300F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; can't tell

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7760048,-1.3836441,-15.225607,0.1752758,0.7976708,0.32326895,0.4780136
0.9736016,-0.5199684,-14.946904,0.6380397,0.5130926,-0.5569556,0.13943423
0.7761289,-1.3832055,-15.225607,0.17510417,0.7975885,0.32329667,0.47819507
0.9748285,-0.5198044,-14.946897,0.6380798,0.51276135,-0.5571789,0.13957675
0.776248,-1.3832512,-15.225607,0.17499042,0.7975182,0.32328445,0.4783621
0.9741458,-0.5196766,-14.94689,0.63804704,0.5124669,-0.5574835,0.13959178
0.776887,-1.3832991,-15.225607,0.17489319,0.7974062,0.32326642,0.4785965
0.9752498,-0.51956755,-14.946886,0.6379792,0.5120391,-0.5579245,0.1397094
0.7776094,-1.3827392,-15.225607,0.1747663,0.7973377,0.3232046,0.4787987
0.9761855,-0.5194751,-14.946881,0.63786024,0.5116592,-0.5584083,0.13971213
0.77910566,-1.3828435,-15.225607,0.17474698,0.7972352,0.32312882,0.47902748
0.9769697,-0.5193976,-14.9468775,0.63786143,0.511158,-0.5588852,0.13963415
0.7798653,-1.382149,-15.225607,0.17467593,0.7971707,0.32303184,0.4792261
0.975893,-0.5193376,-14.946875,0.6380212,0.51062346,-0.5592251,0.13949947
0.78139937,-1.3807466,-15.225608,0.17463446,0.7971427,0.32270673,0.4795069
0.9807349,-0.5192409,-14.946871,0.63774437,0.50960255,-0.560486,0.13943814
0.78111726,-1.3801244,-15.225608,0.17461693,0.7971666,0.3225156,0.4796021
0.98067844,-0.52102906,-14.946868,0.6378405,0.50904566,-0.5609113,0.13932148
0.7808645,-1.3795671,-15.225608,0.17460115,0.797191,0.32231933,0.47969896
