ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-17-30
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-17-30 ; 1C00 , 1C00-1C03 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldn't see anything

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6694596,-1.3515025,-15.190167,0.12584347,0.8194978,0.3309497,0.45062077
0.87648326,-0.49665138,-14.927762,0.6533253,0.55265933,-0.49776152,0.14130588
0.66965044,-1.3511757,-15.190539,0.12584762,0.8194726,0.33087143,0.45072296
0.8770423,-0.49619222,-14.9277525,0.6533462,0.5523366,-0.49810505,0.14126056
0.66983527,-1.3508592,-15.1909,0.1258739,0.81946784,0.33078942,0.45078447
0.87836313,-0.49722865,-14.928495,0.653385,0.5519273,-0.49846214,0.14142075
0.67002344,-1.3499367,-15.191267,0.12589741,0.8194818,0.33064592,0.45085788
0.8780912,-0.49670774,-14.929145,0.65342915,0.5515886,-0.49879986,0.14134772
0.6695979,-1.3496709,-15.191612,0.1259211,0.8195038,0.3305406,0.45088845
0.8778496,-0.49761617,-14.929724,0.6535475,0.5512258,-0.4990185,0.14144395
0.6692005,-1.3494226,-15.192535,0.12594977,0.8195292,0.3304253,0.45091882
0.8783293,-0.49778047,-14.930282,0.65361524,0.55085367,-0.49934366,0.14143309
0.6688269,-1.3491893,-15.193403,0.12598611,0.8195659,0.33030486,0.45093018
0.8787888,-0.49793786,-14.931555,0.6536955,0.5504663,-0.49966216,0.1414458
0.6684536,-1.3483142,-15.194271,0.12599081,0.8196248,0.3301635,0.45092538
0.8792279,-0.49885175,-14.932007,0.65376693,0.5501044,-0.4999466,0.14151865
0.6681033,-1.3481385,-15.195085,0.12602149,0.81971353,0.32999286,0.45088044
0.8796455,-0.49893212,-14.933226,0.65387446,0.5496688,-0.5003002,0.14146474
0.6677736,-1.3479731,-15.195851,0.12607874,0.8197972,0.32982215,0.45083705
0.8800357,-0.49820432,-14.934365,0.6539138,0.5493137,-0.50066054,0.14138679
0.6668632,-1.3484453,-15.196529,0.12612881,0.81988645,0.3296787,0.4507658
0.8796117,-0.49986228,-14.934594,0.65410346,0.54896355,-0.50076,0.14151728
0.6666293,-1.348268,-15.1971655,0.12617695,0.81996816,0.3295011,0.4507335
0.8799919,-0.4990828,-14.935585,0.6540536,0.5487823,-0.5010549,0.14140683
0.66578066,-1.3481003,-15.197767,0.12622562,0.8200508,0.32935235,0.45067826
0.8803504,-0.4991448,-14.935724,0.654107,0.5486312,-0.5011199,0.14151594
0.66561115,-1.3479401,-15.198342,0.12625311,0.82014227,0.32919934,0.45061594
0.88068694,-0.499203,-14.935853,0.6541575,0.5485439,-0.50113744,0.14155884
0.665452,-1.3477898,-15.198237,0.12628917,0.82022834,0.3290511,0.4505573
0.8818675,-0.49840194,-14.935977,0.6541344,0.5484812,-0.5012203,0.14161548
0.6659716,-1.3469677,-15.198134,0.12631665,0.82031155,0.32889226,0.45051408
0.88208747,-0.49939364,-14.936091,0.6542475,0.5484524,-0.5010793,0.14170346
0.66644996,-1.3468795,-15.198039,0.12635298,0.8203796,0.32877102,0.45046842
0.88228947,-0.5003047,-14.936195,0.65430814,0.54849005,-0.50090593,0.14189018
0.66622674,-1.3467973,-15.197951,0.12639135,0.8204668,0.3286455,0.45039058
0.88246936,-0.49940917,-14.93629,0.6542481,0.5486423,-0.5008332,0.1418352
0.6660192,-1.346721,-15.197869,0.12643182,0.82054263,0.32853144,0.45032427
