ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-20-35
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-20-35 ; 2500 , 2500-2503 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left - little pencil points iridescent

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.68023837,-1.3637087,-15.205256,0.121202104,0.82497877,0.3450658,0.43087098
0.8569607,-0.49135736,-14.954764,0.64697176,0.57540715,-0.48783964,0.111115806
0.6807974,-1.3637661,-15.205311,0.12149124,0.82494724,0.34479126,0.43106955
0.8601632,-0.49288675,-14.955073,0.64706415,0.5750123,-0.48810324,0.111463405
0.680872,-1.3638179,-15.2053585,0.12170443,0.82493937,0.34453508,0.43122923
0.86289275,-0.4923859,-14.955336,0.6470967,0.57471657,-0.4883861,0.11156092
0.68094105,-1.3638659,-15.205403,0.12191919,0.8249499,0.34428006,0.43135208
0.8615707,-0.49028528,-14.955539,0.6471164,0.57456595,-0.48856336,0.11144638
0.6810065,-1.3639114,-15.205445,0.122104585,0.8249297,0.34410667,0.43147662
0.8639856,-0.49027303,-14.95571,0.64714277,0.57446265,-0.48862237,0.111566745
0.6810659,-1.3643456,-15.205484,0.12233041,0.8248803,0.3440164,0.43157914
0.8641852,-0.4919978,-14.955848,0.6472888,0.57437056,-0.48847878,0.111822315
0.68112016,-1.364368,-15.20552,0.12249945,0.82484764,0.34387583,0.4317057
0.86434746,-0.48995876,-14.95768,0.6472544,0.57435036,-0.48855376,0.11179722
0.68081516,-1.3643883,-15.205551,0.12268275,0.824852,0.3437402,0.43175334
0.8644804,-0.4900052,-14.959182,0.64734274,0.5742769,-0.48849368,0.111925974
0.68053603,-1.3644071,-15.205581,0.12277207,0.8248149,0.34375417,0.4317876
0.86458653,-0.49171138,-14.958712,0.6474583,0.574198,-0.48837084,0.11219791
0.6802796,-1.3644242,-15.205607,0.1228777,0.8247953,0.3436822,0.43185234
0.86308414,-0.49146512,-14.9599285,0.64751124,0.57413757,-0.48838466,0.11214163
0.6807216,-1.3647591,-15.205657,0.12316159,0.82454073,0.34354594,0.43236563
0.8636852,-0.48977247,-14.960214,0.64755654,0.5741194,-0.4883179,0.11226304
0.68110144,-1.3650483,-15.205699,0.12330416,0.82432145,0.34346807,0.43280476
0.86701643,-0.49281338,-14.959083,0.6475445,0.5741965,-0.4881231,0.112785116
0.6814008,-1.365045,-15.205718,0.12332394,0.8242731,0.3433453,0.4329886
0.8667049,-0.49239337,-14.95866,0.64754075,0.57423556,-0.48808813,0.11275858
0.68172616,-1.365299,-15.205754,0.12339806,0.824157,0.3433085,0.4332177
0.8690901,-0.4935084,-14.958008,0.6475625,0.5743294,-0.48790458,0.112950586
0.6820026,-1.3652889,-15.2057705,0.123442814,0.82409173,0.34329307,0.43334135
0.86847556,-0.49448007,-14.957771,0.6476559,0.5743761,-0.4877127,0.113006085
0.68229556,-1.3652681,-15.205806,0.12347223,0.8240049,0.3432459,0.4335353
0.86756337,-0.4919659,-14.957421,0.6475152,0.5745699,-0.48772657,0.11276711
0.68374527,-1.3649117,-15.205849,0.12310797,0.82322526,0.3436699,0.4347824
0.86827385,-0.4928648,-14.957174,0.6473547,0.5746074,-0.48778465,0.113244854
0.68517923,-1.364412,-15.206377,0.12295627,0.822875,0.34378773,0.43539464
0.86919,-0.49111834,-14.957075,0.64719945,0.5745877,-0.48799133,0.113341995
0.68616796,-1.3638668,-15.206378,0.12282015,0.8226122,0.3438943,0.4358453
0.8714482,-0.4881139,-14.9569845,0.64703614,0.5746,-0.4881856,0.11337528
0.68718415,-1.3639358,-15.207008,0.12271935,0.82236606,0.34398973,0.43626267
0.8705467,-0.4884124,-14.956912,0.64710623,0.57450783,-0.48818615,0.11343977
0.68825966,-1.3632962,-15.207675,0.12261965,0.82218647,0.34401605,0.4366084
0.8698096,-0.4873577,-14.958151,0.64708394,0.57443076,-0.48832008,0.113381
0.68936753,-1.3626372,-15.208363,0.12253454,0.822029,0.34402972,0.4369178
0.8691983,-0.4877284,-14.959179,0.6471423,0.5742755,-0.48840025,0.113489196
0.69048166,-1.3619744,-15.209053,0.12241213,0.8219161,0.34404507,0.43715248
0.8686928,-0.48921812,-14.958845,0.6472983,0.57407534,-0.48838404,0.11368181
0.6915782,-1.3613222,-15.209733,0.12233913,0.82182586,0.34398142,0.43739262
0.8682717,-0.49045914,-14.958569,0.64743185,0.57389903,-0.4883594,0.11391695
0.6916278,-1.3607204,-15.210361,0.122280695,0.821828,0.34387913,0.4374854
0.8690185,-0.48931515,-14.959441,0.64738274,0.57379687,-0.4885544,0.11387482
0.69167334,-1.3601675,-15.210937,0.12220368,0.8218333,0.3438028,0.43755692
0.86969507,-0.48713487,-14.960232,0.64727,0.57366234,-0.48887494,0.1138175
0.6927617,-1.3596394,-15.211487,0.12223101,0.82179904,0.34377432,0.437636
0.8691746,-0.4885702,-14.960894,0.6473647,0.573353,-0.48908478,0.11393634
0.6958755,-1.359833,-15.2124815,0.12228631,0.8215889,0.34379393,0.43799964
0.8704723,-0.48875737,-14.96105,0.64727503,0.57269907,-0.48991016,0.11418844
0.6965715,-1.3604428,-15.212903,0.122282244,0.8214113,0.34388986,0.43825838
0.87093335,-0.48996386,-14.960551,0.64723885,0.57233685,-0.4903255,0.11442603
0.6971867,-1.3609816,-15.213276,0.12225503,0.82122344,0.34399018,0.43853927
0.8713463,-0.4910444,-14.961157,0.6471831,0.5720354,-0.49068272,0.114716895
0.6989556,-1.3614756,-15.213617,0.12223658,0.8210337,0.3440325,0.4388662
0.8728621,-0.48982453,-14.961733,0.64700794,0.5718086,-0.49115267,0.11482511
0.7005609,-1.3619239,-15.213927,0.12222574,0.8208431,0.3441121,0.43916315
0.8730797,-0.48987108,-14.962247,0.6469129,0.5715775,-0.4915457,0.11482932
0.70203596,-1.3610153,-15.214212,0.12212346,0.8206151,0.34418592,0.4395598
0.8744317,-0.49106953,-14.961553,0.64687526,0.5714119,-0.4917192,0.11512197
0.7019876,-1.3602293,-15.214458,0.122011565,0.8204701,0.34419322,0.43985575
0.87446326,-0.492085,-14.960963,0.64691323,0.5711897,-0.49186063,0.11540685
0.7048465,-1.3580338,-15.214692,0.12188525,0.82029766,0.34417278,0.4402283
0.8756669,-0.49185702,-14.961589,0.6468296,0.5709868,-0.4922052,0.11541088
0.7074154,-1.3575982,-15.214901,0.12182983,0.820138,0.34413064,0.44057387
0.8767613,-0.49043342,-14.962157,0.64671445,0.57077837,-0.4925906,0.11544302
0.70653427,-1.3572463,-15.21507,0.12175711,0.8200509,0.3441213,0.44076344
0.8777485,-0.4891492,-14.96267,0.64663386,0.57055897,-0.4929427,0.11547561
0.70728195,-1.3569424,-15.215216,0.12194915,0.8201078,0.34391242,0.44076726
0.8773628,-0.48806697,-14.963103,0.6467447,0.5698014,-0.49366522,0.11550886
0.705014,-1.356699,-15.215333,0.12200135,0.8202885,0.3436998,0.44058254
0.8782724,-0.48834842,-14.963492,0.64687914,0.5690775,-0.494299,0.115614355
