ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-22-37
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-22-37 ; 3003 , 3003-300F ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; nothing

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.65234774,-1.3453437,-15.1986685,0.15831652,0.83247,0.30780205,0.4326518
0.8901299,-0.50176334,-14.926351,0.6524562,0.55010104,-0.49757516,0.15526994
0.6467725,-1.3434708,-15.196341,0.15846668,0.83343875,0.30699646,0.43130213
0.8913673,-0.50069803,-14.926469,0.65226394,0.54895115,-0.4988356,0.15610078
0.6440801,-1.3459823,-15.193223,0.15900014,0.8345751,0.30610862,0.42953575
0.8947653,-0.5015627,-14.926697,0.6520914,0.5470426,-0.50051093,0.15814552
0.6424012,-1.3459331,-15.192172,0.15908442,0.8349609,0.30585858,0.42893258
0.8957581,-0.50354177,-14.925715,0.652228,0.5462259,-0.5009298,0.15907638
0.64108294,-1.3474782,-15.191347,0.1593243,0.83522487,0.3057237,0.42842537
0.89666975,-0.50423306,-14.9259405,0.65230024,0.5456437,-0.5012727,0.15969703
0.64003694,-1.3471994,-15.190692,0.1594983,0.8354765,0.30551764,0.42801684
0.8974847,-0.50371087,-14.926142,0.65219307,0.5451594,-0.50181013,0.1601001
0.6391987,-1.3469763,-15.190167,0.15967257,0.83565414,0.30544373,0.42765763
0.8994918,-0.5069079,-14.926332,0.6522908,0.54470587,-0.50187707,0.16103284
0.6385053,-1.3467915,-15.1897335,0.1597941,0.8357981,0.305417,0.42734998
0.90002126,-0.5084965,-14.926503,0.65239465,0.5443501,-0.5019589,0.16155955
0.6379417,-1.3479611,-15.189381,0.15997414,0.8359179,0.30534807,0.4270974
0.9004873,-0.5086219,-14.926653,0.6524178,0.544094,-0.50210655,0.16186976
0.63746995,-1.3476596,-15.190366,0.16009408,0.8359961,0.30530664,0.426929
0.902193,-0.5074379,-14.926785,0.65227324,0.54391724,-0.5024596,0.16195069
0.6383242,-1.3486586,-15.189948,0.16027,0.83601826,0.30530134,0.42682317
0.903694,-0.506396,-14.926902,0.6520752,0.54383874,-0.50271606,0.16221586
0.63905454,-1.3495126,-15.18959,0.1604377,0.8360024,0.30530575,0.4267882
0.9050384,-0.506829,-14.927006,0.6520934,0.5437808,-0.50260836,0.16267006
0.63848567,-1.3502213,-15.189294,0.16053155,0.83598715,0.30533913,0.42675894
0.90482813,-0.5085447,-14.927094,0.6521589,0.5437218,-0.5024434,0.16311358
