ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-26-12
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-26-12 ; 6900-6901-6904-6905 , 6900-6901-6904-6905-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left, exact opposite of last one.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.68858546,-1.2619226,-15.202759,0.105851926,0.83130324,0.2982268,0.4569368
0.91312075,-0.5248019,-14.93318,0.6737574,0.5057234,-0.51099825,0.17080927
0.6900372,-1.2616196,-15.203161,0.10586246,0.8310204,0.29798707,0.45760462
0.91312253,-0.52557486,-14.932862,0.67387176,0.5057575,-0.51080835,0.17082465
0.6913908,-1.26022,-15.203536,0.10580575,0.8307841,0.29766172,0.45825815
0.9131242,-0.5252129,-14.933106,0.6739374,0.50579697,-0.5107359,0.17066564
0.69383216,-1.2589148,-15.203886,0.105866864,0.83049065,0.29731813,0.45899832
0.9131257,-0.5248801,-14.933331,0.6739428,0.5058852,-0.5106546,0.1706262
0.6961269,-1.256425,-15.205479,0.10583347,0.8301945,0.29654205,0.46004277
0.9131271,-0.5250796,-14.93303,0.6739788,0.50602543,-0.51051146,0.17049657
0.69819343,-1.2554922,-15.206912,0.10585734,0.8299037,0.2957375,0.4610784
0.9131284,-0.5247781,-14.93276,0.6740436,0.50613236,-0.51036763,0.17035317
0.7000304,-1.254663,-15.206839,0.10590511,0.8297035,0.295041,0.4618735
0.9126725,-0.52404904,-14.932974,0.6741115,0.50623333,-0.51023656,0.17017715
0.7030723,-1.253922,-15.208174,0.10602428,0.829409,0.2945431,0.46269214
0.91269416,-0.5238235,-14.932734,0.67416793,0.5063102,-0.5101133,0.17009462
0.704318,-1.2518083,-15.209358,0.10610784,0.8292508,0.29400873,0.46329597
0.9127138,-0.5232065,-14.932927,0.67420864,0.506389,-0.5100413,0.16991416
0.7053894,-1.2514657,-15.210378,0.10624073,0.8291421,0.29362836,0.4637012
0.91233987,-0.5238209,-14.932711,0.6743164,0.506429,-0.5098706,0.16987953
0.706307,-1.2511723,-15.211251,0.10638672,0.8290729,0.29327947,0.46401212
0.9119991,-0.5236363,-14.932887,0.6743675,0.5064709,-0.50980574,0.1697465
0.70708996,-1.250922,-15.211996,0.10649591,0.82910734,0.29281032,0.46422178
0.9120415,-0.5234678,-14.933047,0.67439276,0.50652075,-0.5097422,0.16968814
0.7083616,-1.246303,-15.213207,0.1065697,0.8294659,0.291677,0.4642777
0.9114721,-0.5228474,-14.93333,0.6744721,0.5066231,-0.5095897,0.16952543
0.70726377,-1.2452607,-15.213667,0.10673383,0.8296944,0.29117277,0.4641483
0.9115251,-0.5224246,-14.933453,0.6744673,0.5066493,-0.50960624,0.1694164
0.7041426,-1.2451994,-15.212861,0.10733403,0.8308763,0.2901058,0.46256092
0.9118924,-0.522784,-14.933671,0.6745231,0.50652444,-0.5096281,0.16950195
0.7037781,-1.244423,-15.211901,0.10773157,0.831582,0.28953546,0.46155667
0.9119265,-0.52268314,-14.933766,0.67456234,0.506375,-0.5097103,0.16954517
0.7007745,-1.2451491,-15.211124,0.107967116,0.8321731,0.28925824,0.46060923
0.911958,-0.5228369,-14.93361,0.67459613,0.5062495,-0.5097661,0.1696174
0.69960976,-1.2444551,-15.210491,0.10818073,0.8326321,0.28892472,0.45993823
0.91228026,-0.52243745,-14.933719,0.6745965,0.5061276,-0.5098784,0.16964234
0.6986514,-1.2438841,-15.209969,0.10827724,0.8329924,0.28884074,0.45931572
0.9120326,-0.52261394,-14.933546,0.6746212,0.5060226,-0.5099252,0.1697168
0.697836,-1.2433982,-15.209525,0.10840514,0.83327717,0.28872252,0.458843
0.91206276,-0.5222594,-14.933646,0.67460203,0.5059371,-0.51002765,0.16973959
0.6971574,-1.2441258,-15.209155,0.10852079,0.83351684,0.28873578,0.45837176
0.9120906,-0.52217746,-14.933493,0.6745901,0.50584733,-0.5101041,0.16982485
0.6965886,-1.2447357,-15.208846,0.10863188,0.8337086,0.28878516,0.4579653
0.9121175,-0.52209854,-14.933587,0.67459595,0.5057266,-0.5101971,0.16988204
0.6960905,-1.2442094,-15.208574,0.10863903,0.8338938,0.28870645,0.45767596
0.91214496,-0.5220177,-14.933684,0.67459655,0.5055894,-0.5103011,0.16997546
0.69566905,-1.2447724,-15.208345,0.10867486,0.834012,0.28873733,0.45743263
0.9124625,-0.52221656,-14.933791,0.6745832,0.5054542,-0.5104007,0.17013156
0.6943373,-1.2442877,-15.208149,0.10865917,0.8341304,0.28874665,0.4572145
0.91220903,-0.52212673,-14.93389,0.6746121,0.5053069,-0.51049167,0.17018151
0.6941191,-1.2447973,-15.207978,0.10864236,0.8342043,0.28880492,0.45704678
0.9125076,-0.5225836,-14.933985,0.67462504,0.50514513,-0.51056457,0.17039154
0.6939204,-1.2443279,-15.207824,0.10861002,0.8342626,0.28883868,0.4569267
0.91285247,-0.5221417,-14.934095,0.6746317,0.50497967,-0.5107052,0.17043461
0.6928628,-1.2448124,-15.207691,0.1085441,0.83428484,0.288926,0.45684657
0.91320837,-0.52272105,-14.934209,0.6746777,0.50482094,-0.5107366,0.17062825
0.69279355,-1.2452301,-15.207578,0.10854897,0.8342512,0.28902656,0.4568433
0.913599,-0.5221783,-14.934334,0.6746608,0.50471294,-0.51085895,0.17064816
0.6919329,-1.2455922,-15.207479,0.108464025,0.83423704,0.28913012,0.4568238
0.91400844,-0.52246815,-14.9344635,0.6747069,0.5045958,-0.5108659,0.17079172
0.69118345,-1.2451469,-15.207392,0.10837372,0.83421063,0.28919435,0.45685282
0.91356426,-0.5223233,-14.934582,0.6747742,0.5045243,-0.5108523,0.17077789
0.6919873,-1.245486,-15.207315,0.108365335,0.83410645,0.28928998,0.4569845
0.9135477,-0.522579,-14.93469,0.6748216,0.50448763,-0.51080465,0.1708413
0.691994,-1.2450532,-15.207243,0.10820298,0.833894,0.28935862,0.45736703
0.91353256,-0.52207595,-14.934789,0.6748366,0.5046528,-0.510658,0.17073284
0.6920004,-1.2446454,-15.207175,0.10801318,0.83369964,0.2893586,0.45776603
0.913169,-0.52161634,-14.934878,0.67487866,0.5048823,-0.5104172,0.17060767
0.69356847,-1.2438875,-15.207047,0.10770592,0.83325654,0.28932917,0.4586629
0.91285235,-0.52145237,-14.934398,0.67494416,0.5052956,-0.50994617,0.17053397
0.6943208,-1.2426331,-15.206986,0.107531875,0.83305454,0.28926414,0.45911136
0.9128617,-0.52107775,-14.934487,0.6749465,0.5055155,-0.5097537,0.17044844
0.69497645,-1.2432513,-15.206933,0.1074265,0.83285874,0.289286,0.45947742
0.9125855,-0.5215875,-14.934284,0.6750548,0.50568056,-0.50943893,0.17047046
0.69559,-1.2429508,-15.206884,0.10732076,0.83271396,0.28918874,0.4598256
0.91233087,-0.520975,-14.934367,0.6750915,0.5058725,-0.50924087,0.17034744
0.69525635,-1.2417552,-15.206837,0.10716506,0.8326336,0.2890725,0.46008056
0.9120958,-0.52143776,-14.934188,0.6751796,0.5060009,-0.508983,0.17038777
0.69682574,-1.2415801,-15.207733,0.10711,0.8324978,0.28895828,0.46041077
0.9121226,-0.521133,-14.934265,0.6752069,0.5061281,-0.50884384,0.17031766
0.6973288,-1.2404178,-15.208589,0.10697111,0.8324661,0.28874514,0.460634
0.9119154,-0.5208509,-14.934337,0.67525315,0.506243,-0.5087013,0.17021835
0.69677436,-1.239356,-15.209371,0.106835574,0.8324749,0.2885568,0.4607677
0.9117234,-0.5212505,-14.934403,0.6753432,0.5063081,-0.5085115,0.17023472
0.69626886,-1.2383881,-15.210084,0.106672294,0.8325006,0.28833398,0.46089828
0.9115451,-0.5207839,-14.934466,0.67537653,0.5063939,-0.50841784,0.17012675
0.69583136,-1.2385525,-15.210701,0.106594175,0.83252317,0.28814548,0.46099356
0.91137946,-0.52094704,-14.934524,0.6754295,0.5064485,-0.5082984,0.1701109
0.6951152,-1.2388215,-15.211711,0.10674105,0.83285624,0.28740132,0.46082255
0.9112573,-0.5212528,-14.934631,0.6755114,0.50651014,-0.50813156,0.17010075
0.69580203,-1.2379361,-15.212159,0.10675589,0.83305746,0.28698528,0.4607147
0.911103,-0.5210166,-14.934685,0.67554003,0.5065497,-0.5080698,0.17005363
0.6942418,-1.2373757,-15.211939,0.10688387,0.8335069,0.2863063,0.4602944
0.9109957,-0.52112347,-14.934787,0.67560846,0.5066145,-0.5079347,0.16999231
0.6949504,-1.2376221,-15.2114105,0.10704278,0.83368206,0.2860831,0.46007895
0.9110388,-0.5210821,-14.934643,0.67563057,0.5066642,-0.5078627,0.16997126
0.69468915,-1.2378348,-15.210954,0.10716842,0.83386755,0.28586885,0.4598466
0.91088885,-0.5208493,-14.934695,0.6756554,0.50671196,-0.5078113,0.16988382
0.69339556,-1.2373911,-15.210169,0.10731271,0.8342024,0.28555164,0.4594024
0.9107901,-0.5207744,-14.934416,0.67572373,0.5067783,-0.5076777,0.1698137
0.6924839,-1.2376057,-15.209853,0.10736067,0.8343204,0.28547838,0.45922244
0.9106451,-0.52054775,-14.934279,0.6757487,0.5068389,-0.5076047,0.1697514
0.6916901,-1.2370312,-15.209579,0.10735556,0.8344157,0.2854205,0.45908654
0.910503,-0.5207102,-14.934147,0.6757996,0.50690365,-0.5074874,0.16970591
0.6909685,-1.2365091,-15.209329,0.10739098,0.83450365,0.28532085,0.45898035
0.91036373,-0.5202926,-14.934209,0.67580986,0.50697887,-0.507436,0.16959421
0.69106305,-1.2351595,-15.209078,0.1073802,0.8345808,0.28518644,0.45892614
0.91022724,-0.52026784,-14.934077,0.6758389,0.50705874,-0.5073435,0.16951703
0.6911452,-1.2355502,-15.208859,0.10741876,0.8346181,0.28514546,0.45887452
0.9102858,-0.5204358,-14.9339485,0.6758723,0.5071354,-0.5072315,0.16948903
0.69047433,-1.2358912,-15.208669,0.10744512,0.8346772,0.28506038,0.45881373
0.9101508,-0.5202159,-14.934014,0.67587966,0.5072356,-0.5071696,0.16934505
0.69129705,-1.2361901,-15.208501,0.107460655,0.83469945,0.28498775,0.45881486
0.9098264,-0.52038497,-14.933887,0.67593735,0.50731564,-0.507033,0.16928402
0.6913546,-1.2357577,-15.209056,0.10741948,0.8347571,0.28485024,0.45880505
0.9098929,-0.5201661,-14.933953,0.6759093,0.5074018,-0.50702673,0.16915652
0.69140524,-1.2360542,-15.209545,0.10742036,0.8347641,0.2848491,0.4587928
0.9099581,-0.5205284,-14.934019,0.6759241,0.5074341,-0.5069808,0.16913839
0.69082725,-1.2359375,-15.209765,0.10745787,0.83477455,0.2848794,0.45874608
0.909704,-0.5202854,-14.933954,0.6759054,0.50760627,-0.50688106,0.16899534
0.6915465,-1.2362043,-15.209541,0.107526876,0.8347625,0.28489482,0.45874235
0.90958077,-0.5204531,-14.933827,0.675936,0.5077358,-0.5067036,0.16901623
0.69157964,-1.2364409,-15.209343,0.10758942,0.83476883,0.28493744,0.45868975
0.90945995,-0.52042514,-14.933703,0.6759538,0.50785846,-0.5065742,0.16896415
0.6916091,-1.2366515,-15.209166,0.10762508,0.8347784,0.28492346,0.45867258
0.9093415,-0.5203977,-14.933582,0.6759872,0.50796163,-0.5064386,0.1689267
0.6921814,-1.2368397,-15.209009,0.10768114,0.8347887,0.28488785,0.45866296
0.9092255,-0.5205631,-14.933464,0.6760055,0.50807816,-0.50629413,0.16893627
0.6926941,-1.2370083,-15.208868,0.107722096,0.8348057,0.28484485,0.45864886
0.9093041,-0.5207252,-14.933348,0.6759998,0.5082103,-0.5061438,0.16901214
0.69216967,-1.2371598,-15.208741,0.10772551,0.8348504,0.28481317,0.4585866
0.9091888,-0.5204995,-14.933234,0.6759822,0.50834817,-0.5060693,0.16889113
0.692633,-1.2372963,-15.208627,0.10774694,0.8348516,0.2847844,0.45859712
0.90905493,-0.5202376,-14.933102,0.6759468,0.5085129,-0.50598085,0.1688019
0.6935341,-1.2374251,-15.208518,0.1077918,0.8348126,0.28479362,0.45865184
0.90914714,-0.52042735,-14.932979,0.6759016,0.5086403,-0.5058852,0.16888586
0.69346017,-1.2370673,-15.20841,0.10780784,0.8348224,0.28472954,0.45867002
0.90923655,-0.5199678,-14.933073,0.67581826,0.50877935,-0.505893,0.16877659
0.6937904,-1.2373387,-15.2082205,0.10785965,0.834654,0.28461337,0.45903647
0.9091982,-0.5201343,-14.932841,0.6758023,0.5085682,-0.5061069,0.16883565
0.69416875,-1.2374644,-15.208133,0.107946955,0.8345441,0.28455272,0.45925316
0.90907675,-0.52031755,-14.93273,0.6758134,0.50839853,-0.5062607,0.16884163
0.694064,-1.2371091,-15.208046,0.10800527,0.8344643,0.28445205,0.45944664
0.9091628,-0.52029085,-14.932622,0.6757517,0.5082425,-0.5064849,0.1688858
0.69496304,-1.2372581,-15.207958,0.10805077,0.8343047,0.28440955,0.45975205
0.90943587,-0.52026606,-14.932522,0.67569315,0.50800073,-0.5067966,0.16891228
0.69534653,-1.2368642,-15.20787,0.10804273,0.83414984,0.2843522,0.4600702
0.9095102,-0.5200496,-14.932617,0.6756288,0.50777864,-0.5071161,0.16887824
0.6957342,-1.2364659,-15.208367,0.107988626,0.8339716,0.28431603,0.46042842
0.9093908,-0.5204142,-14.932517,0.6756638,0.50755626,-0.50726247,0.16896708
0.6961252,-1.2360644,-15.208237,0.107994616,0.8337936,0.28426695,0.46077967
0.90965825,-0.520387,-14.93242,0.6756332,0.50733095,-0.5075141,0.1690102
0.69836515,-1.2352213,-15.207965,0.10794584,0.8333758,0.2843091,0.4615201
0.90979666,-0.5203381,-14.932419,0.6756248,0.5069544,-0.5078894,0.16904725
0.7004054,-1.2347807,-15.208692,0.10797642,0.8331289,0.28426337,0.46198654
0.910056,-0.5201202,-14.932515,0.6756112,0.5067393,-0.5081392,0.16899498
0.7014569,-1.2343531,-15.209397,0.10792723,0.8329169,0.28427643,0.46237218
0.9101179,-0.52029115,-14.932418,0.6756151,0.5065551,-0.50830865,0.16902222
0.70341873,-1.2349191,-15.210064,0.10796735,0.8326491,0.28436628,0.46278977
0.9101786,-0.52045864,-14.932513,0.675634,0.5063577,-0.50848585,0.169005
0.704256,-1.2344338,-15.210695,0.10789728,0.8324988,0.28437832,0.46306896
0.9102381,-0.5200461,-14.932609,0.67559904,0.5061944,-0.50871915,0.16893233
0.70503974,-1.2339796,-15.211285,0.10784656,0.8323442,0.28441802,0.46333444
0.9102964,-0.5204107,-14.932509,0.6756127,0.5060221,-0.5088623,0.16896243
0.704673,-1.233583,-15.211801,0.10780308,0.8322118,0.2844422,0.46356744
0.91035354,-0.5205759,-14.932604,0.67561483,0.505849,-0.50903374,0.16895579
0.7065968,-1.2332002,-15.212297,0.10782241,0.83205026,0.284411,0.46387193
0.91060174,-0.5203532,-14.932696,0.6755828,0.5056978,-0.5092509,0.16888216
0.7071864,-1.2316375,-15.212762,0.107641146,0.83208066,0.2840633,0.46407256
0.910845,-0.52032727,-14.932788,0.67556643,0.5055116,-0.50945973,0.16887538
0.70821816,-1.2289025,-15.213575,0.10734426,0.83224565,0.28334537,0.46428436
0.91131705,-0.52065367,-14.932965,0.675617,0.5049956,-0.50986433,0.168996
0.70865655,-1.2277404,-15.213921,0.1071853,0.8323472,0.2829508,0.46437955
0.91135377,-0.52062166,-14.933051,0.6756842,0.50469875,-0.51006174,0.1690178
0.7090442,-1.2267131,-15.214226,0.10698546,0.8324156,0.28267574,0.46447054
0.91138977,-0.52020586,-14.933136,0.67571425,0.50439805,-0.5103346,0.16897184
0.7093693,-1.227238,-15.214481,0.10685654,0.832464,0.2825032,0.46451855
0.9116173,-0.5203751,-14.933218,0.6757792,0.50403833,-0.5105613,0.16910039
0.70966107,-1.2248001,-15.214711,0.10665059,0.8325079,0.28227252,0.46462727
0.9118402,-0.5207331,-14.933299,0.67585933,0.5037345,-0.5106833,0.16931738
0.70846975,-1.222758,-15.214904,0.10648302,0.83260334,0.28201443,0.46465153
0.91205865,-0.52050734,-14.933377,0.67589134,0.5034373,-0.5109278,0.16933616
0.7089113,-1.2209421,-15.215075,0.10639848,0.8326035,0.28176427,0.46482226
0.912465,-0.5204783,-14.9334545,0.6759075,0.5031519,-0.51115054,0.16944759
0.7092863,-1.2209104,-15.21522,0.10629125,0.83255315,0.28155735,0.4650623
0.9126872,-0.5208623,-14.933537,0.67601925,0.50287867,-0.5111804,0.16972232
0.70961386,-1.2193172,-15.216913,0.10610142,0.8325219,0.28136835,0.4652758
0.91269714,-0.52102923,-14.933617,0.6761261,0.5026865,-0.5111664,0.16990799
0.7098967,-1.2179415,-15.218374,0.1058946,0.83252966,0.28107062,0.46548906
0.9127068,-0.5207838,-14.933694,0.67619586,0.502579,-0.5111994,0.16984938
0.71388906,-1.215729,-15.220724,0.10505652,0.83163285,0.280685,0.46751037
0.91297215,-0.5207036,-14.933858,0.67626834,0.50246036,-0.5111144,0.17016749
0.7152614,-1.2129508,-15.22168,0.10440603,0.83082736,0.28051937,0.46918473
0.9129768,-0.5204128,-14.933947,0.6762684,0.5024803,-0.5110539,0.17028952
0.7193847,-1.2102393,-15.223131,0.10335469,0.82934904,0.2805902,0.4719822
0.91298556,-0.5203336,-14.934111,0.6763587,0.5024916,-0.51079357,0.17067856
0.7197159,-1.2083446,-15.223669,0.102742136,0.82889307,0.28042594,0.47301337
0.9136173,-0.5206051,-14.934213,0.6763675,0.5024689,-0.510691,0.17101689
0.7199846,-1.2046444,-15.224107,0.102004334,0.82852286,0.2804976,0.47377852
0.91330546,-0.52085465,-14.934306,0.67645514,0.50245947,-0.51053333,0.17116874
0.72019863,-1.2016965,-15.224456,0.101587184,0.8282083,0.28042176,0.47446257
0.9135999,-0.5202002,-14.934398,0.67642653,0.5024901,-0.5105067,0.17127149
0.72248244,-1.2037832,-15.224711,0.10142572,0.8278292,0.2806139,0.47504488
0.91392297,-0.52015984,-14.934499,0.6764204,0.5024782,-0.510454,0.17148767
0.7242975,-1.2032714,-15.227085,0.10124536,0.8275092,0.28070736,0.47558525
0.91425997,-0.52048403,-14.934604,0.6764603,0.502472,-0.5103089,0.17177948
0.7257262,-1.2028685,-15.228953,0.10103135,0.8273063,0.2806903,0.47599372
0.91421807,-0.5204301,-14.934703,0.67649204,0.50250006,-0.51016223,0.1720081
0.7246183,-1.2003465,-15.230395,0.10063297,0.82720846,0.28054726,0.47633234
0.9145992,-0.5195115,-14.9352455,0.6764463,0.50256515,-0.5101133,0.17214252
0.7259816,-1.2006166,-15.231509,0.10049676,0.8270427,0.28050253,0.4766752
0.9145343,-0.51905984,-14.935335,0.6764358,0.5025618,-0.5100885,0.17226708
0.72706443,-1.1985387,-15.232395,0.10013665,0.82698727,0.28035703,0.47693267
0.9144754,-0.5194693,-14.935417,0.67647123,0.5025684,-0.50995106,0.17251568
0.72790915,-1.1969177,-15.233087,0.099865,0.8268304,0.28033444,0.4772747
0.9144218,-0.52023095,-14.935492,0.67653865,0.50252926,-0.5097992,0.17281382
0.7262431,-1.1957242,-15.233596,0.09953842,0.8268213,0.28016242,0.47745964
0.914373,-0.5201857,-14.935559,0.67655915,0.50251204,-0.50973606,0.17296976
0.72728074,-1.1947979,-15.233991,0.09950169,0.8267095,0.279953,0.47778362
0.9139771,-0.51944184,-14.935972,0.6765497,0.5025495,-0.5097003,0.17300372
0.7287017,-1.1917256,-15.234532,0.098808505,0.82638973,0.27947566,0.47875917
0.91429615,-0.51940686,-14.93646,0.676646,0.5025757,-0.50941885,0.17337891
0.7291683,-1.1893071,-15.234709,0.09851109,0.82620037,0.27916887,0.47932592
0.9138916,-0.5193936,-14.936489,0.67674524,0.5026738,-0.5091477,0.17350386
0.73207104,-1.18745,-15.234845,0.09827477,0.8259291,0.27898568,0.4799482
0.9135217,-0.5193815,-14.936516,0.6768168,0.5027415,-0.50894594,0.17362036
0.73167735,-1.1885817,-15.2349415,0.098171294,0.82583636,0.27893823,0.48015648
0.9135092,-0.5196967,-14.936541,0.67688274,0.5028231,-0.50871307,0.17380978
0.7313928,-1.1894,-15.235011,0.09808274,0.8257728,0.27891812,0.48029548
0.9134977,-0.51998603,-14.936563,0.6769431,0.50285566,-0.50854003,0.1739866
0.73361534,-1.1875926,-15.2350645,0.09809685,0.8256652,0.27872074,0.48059225
0.9131926,-0.5193685,-14.936878,0.6769722,0.5029238,-0.50843,0.17399827
0.7328674,-1.188635,-15.235104,0.09807085,0.82570046,0.278748,0.4805211
0.91319144,-0.5187999,-14.936889,0.6770057,0.50296235,-0.50835097,0.17398685
0.7323002,-1.187101,-15.235133,0.0978473,0.8256656,0.27870768,0.4806498
0.91345614,-0.5193385,-14.936898,0.67707735,0.50292486,-0.5082155,0.17421229
0.7342425,-1.1859087,-15.235155,0.09780031,0.82555443,0.27850917,0.48096547
0.91344696,-0.5190406,-14.937199,0.67709357,0.5029215,-0.50818443,0.17424968
0.73333263,-1.1850241,-15.235171,0.09770157,0.8255189,0.2785948,0.4809969
