ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-27-50
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-27-50 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-7A00-7A01-7A04-7A05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved up and right. diamond pattern up at an angle, iridescent and unsure of grouping on 2nd one.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7582309,-1.284028,-15.231761,0.15324362,0.8196452,0.2836987,0.47351155
0.9637405,-0.47993186,-14.944793,0.6328528,0.5668792,-0.49290705,0.18758452
0.75931096,-1.2844301,-15.232109,0.15320376,0.81956726,0.28362775,0.4737019
0.96399105,-0.4799557,-14.944865,0.63280195,0.5666472,-0.4932334,0.18759917
0.7593159,-1.283808,-15.232431,0.15312837,0.819588,0.28350472,0.473764
0.96454346,-0.47997755,-14.944932,0.63274944,0.5663971,-0.49357283,0.1876393
0.75932014,-1.2842314,-15.232712,0.15313025,0.819622,0.2833802,0.47377917
0.96505064,-0.4799976,-14.944993,0.63270277,0.56617546,-0.49386787,0.18768898
0.7583537,-1.2836441,-15.232965,0.15308197,0.8197489,0.28322268,0.47366944
0.965517,-0.48001605,-14.945049,0.6326624,0.56597507,-0.49413228,0.18773347
0.75845194,-1.2840726,-15.233186,0.15313558,0.8198496,0.28306353,0.4735729
0.9662235,-0.48030987,-14.945378,0.6326093,0.5657516,-0.49442443,0.1878169
0.7575928,-1.2835141,-15.233387,0.15315334,0.82000446,0.28284904,0.47342712
0.9666124,-0.48031795,-14.945682,0.6325654,0.5655542,-0.49468014,0.18788613
0.75776124,-1.2839446,-15.2335615,0.15326704,0.8201314,0.2826668,0.47327933
