ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-28-37
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-28-37 ; 5600-5601-5604-5605 , 5600-5601-5604-5605-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. diamond pattern very tiny and lighter than background. to the left 4 pattern diamond. space between them

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6712087,-1.3181216,-15.213413,0.13795705,0.82907826,0.30174455,0.45005268
0.9186475,-0.49374354,-14.939673,0.6361741,0.5603621,-0.49717045,0.18465778
0.66985244,-1.3162719,-15.213854,0.13767327,0.82925206,0.30125517,0.4501473
0.918858,-0.49356332,-14.9395485,0.6360784,0.5603146,-0.49733952,0.18467622
0.67038375,-1.3146721,-15.214233,0.13738625,0.8293229,0.30081138,0.4504012
0.9190478,-0.49386775,-14.939438,0.63601685,0.560249,-0.49747133,0.18473226
0.6708511,-1.3114427,-15.214569,0.13707015,0.82938397,0.30051625,0.4505819
0.9187543,-0.49368608,-14.939328,0.6359794,0.5602182,-0.4975528,0.18473503
0.6694239,-1.3106568,-15.214838,0.13695513,0.8294737,0.3003593,0.4505565
0.91894394,-0.49352208,-14.939685,0.63592213,0.5601595,-0.49770826,0.18469122
0.6682733,-1.3100232,-15.215054,0.13667709,0.8296024,0.30015615,0.45053908
0.9186749,-0.49381512,-14.939572,0.63589936,0.5600872,-0.497821,0.1846851
0.6709391,-1.309502,-15.217038,0.13671117,0.82953596,0.30006135,0.4507143
0.9188553,-0.49408063,-14.939894,0.63587093,0.5600173,-0.4979355,0.18468636
0.67130136,-1.3090748,-15.218664,0.13679014,0.82960296,0.29999715,0.45060974
0.9190192,-0.49351573,-14.940186,0.6358271,0.5599536,-0.49808434,0.18462923
0.66980195,-1.3087354,-15.219955,0.13665496,0.82983035,0.29991028,0.4502898
0.91955125,-0.49376726,-14.940453,0.6357886,0.55988556,-0.49819854,0.18465976
0.6703736,-1.3084567,-15.221018,0.13669378,0.8298727,0.29985806,0.4502346
0.91967285,-0.49326926,-14.940695,0.6357544,0.55981946,-0.49833563,0.18460804
0.6708149,-1.3099548,-15.221837,0.13678868,0.8299786,0.2998482,0.4500173
0.91978395,-0.49350512,-14.940917,0.63572955,0.55976975,-0.49842244,0.18461016
0.6695044,-1.309487,-15.222489,0.13669693,0.83010906,0.29985732,0.4497983
0.9195575,-0.49339288,-14.94112,0.6357223,0.55973184,-0.49849308,0.18455945
0.66843045,-1.3091035,-15.223024,0.1366005,0.83026034,0.2998326,0.4495649
0.9193497,-0.49360174,-14.941306,0.63573116,0.55968595,-0.49854305,0.18453307
0.6675463,-1.308788,-15.223465,0.13659403,0.8304379,0.29969814,0.4493284
0.9194549,-0.49349746,-14.941478,0.63570184,0.5596699,-0.49860093,0.1845264
