ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-30-22
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-30-22 ; 2500-2501-2504-2505 , 2500-2501-2504-2505-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. some persistence from #21. 1st was small iridescent pinpoints, up and to the left at an angle was diamond pattern of 4 peas.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7269173,-1.3178779,-15.223178,0.18304113,0.8335249,0.27290544,0.44413385
0.95733035,-0.49483812,-14.949757,0.6420837,0.5570115,-0.4908584,0.19111474
0.72560275,-1.3155522,-15.22371,0.18305558,0.83353513,0.272681,0.4442465
0.9565491,-0.49551883,-14.949363,0.6422191,0.5573044,-0.49036875,0.19106297
0.72457653,-1.3137367,-15.224126,0.18309091,0.8335567,0.27244255,0.44433773
0.9558947,-0.49481788,-14.949032,0.6422754,0.5576111,-0.48999637,0.1909339
0.72379106,-1.314406,-15.222385,0.183167,0.83358514,0.27219826,0.44440278
0.9565978,-0.49420983,-14.948744,0.64232403,0.55792624,-0.48962802,0.1907948
0.72121656,-1.3149121,-15.22107,0.18324353,0.83364356,0.2719503,0.4444135
0.9559457,-0.49494338,-14.948499,0.6425333,0.55818295,-0.48910114,0.19069055
0.7211531,-1.3133264,-15.222011,0.183319,0.8337156,0.2716855,0.4444092
0.9553947,-0.49434426,-14.948291,0.6426926,0.5585092,-0.48857537,0.19054642
0.7191852,-1.3140322,-15.22081,0.1834192,0.8338037,0.27142733,0.44436032
0.95492584,-0.49383438,-14.948114,0.6428737,0.5588194,-0.4880076,0.1904808
0.7176552,-1.314581,-15.219877,0.18353902,0.8339067,0.27118465,0.44426557
0.9522783,-0.495667,-14.947968,0.6432153,0.5590271,-0.48731953,0.19047986
0.7124317,-1.3167882,-15.218609,0.18380405,0.83415157,0.27073267,0.4439721
0.9501529,-0.49652705,-14.947739,0.64365727,0.559388,-0.48628056,0.19058263
0.7106444,-1.3183991,-15.218175,0.18395993,0.8342874,0.27050394,0.44379157
0.94834685,-0.49686268,-14.947649,0.6438979,0.5594733,-0.48585874,0.19059497
0.70922893,-1.3196748,-15.217831,0.18412314,0.8344165,0.27029952,0.44360557
0.94771916,-0.49810475,-14.947572,0.644107,0.5595067,-0.4855042,0.19069386
0.7066539,-1.3192526,-15.217556,0.18428196,0.8345831,0.27007583,0.44336239
0.94628006,-0.49826664,-14.947505,0.64429843,0.5595441,-0.4851889,0.1907398
0.70411795,-1.3187518,-15.215793,0.184604,0.83495134,0.26962322,0.44281036
0.94555855,-0.49774745,-14.947397,0.64448196,0.5595397,-0.48481327,0.19108744
0.70251286,-1.319781,-15.21454,0.18475896,0.83510655,0.2694555,0.442555
0.9461037,-0.49880266,-14.94735,0.64458257,0.55946934,-0.484629,0.19142133
0.70240664,-1.3206396,-15.213494,0.18491678,0.8352473,0.26929307,0.44232234
0.94660705,-0.49889678,-14.947305,0.644653,0.55937916,-0.48452458,0.19171165
0.7023187,-1.3225222,-15.212628,0.18506354,0.8353677,0.2691624,0.4421131
0.9470801,-0.49989566,-14.947262,0.64477885,0.55923426,-0.48440853,0.19200455
0.703378,-1.3229885,-15.211893,0.18517798,0.83547366,0.26902053,0.44195133
0.9475122,-0.49988946,-14.947224,0.644849,0.5591395,-0.48433083,0.19224066
0.70317495,-1.3222536,-15.211232,0.18526612,0.8355683,0.26889935,0.441809
0.9479147,-0.50082994,-14.947188,0.6449214,0.5589972,-0.4842864,0.19252342
0.703,-1.3227493,-15.210663,0.18536617,0.83564293,0.2688022,0.4416851
0.9482873,-0.5017006,-14.947156,0.64499754,0.55883306,-0.48426762,0.19279224
0.7039842,-1.3220508,-15.211297,0.18542172,0.8356895,0.26870722,0.44163156
0.9476746,-0.50151867,-14.947127,0.645043,0.55871254,-0.48426074,0.1930064
0.7059446,-1.3225632,-15.211842,0.18547712,0.8356548,0.2686753,0.44169325
0.9480573,-0.5013541,-14.947102,0.6450193,0.5585017,-0.484417,0.19330342
0.70657223,-1.3218946,-15.212329,0.18546867,0.8356355,0.26864794,0.44175
0.948412,-0.50216377,-14.947077,0.6450096,0.5582614,-0.48460808,0.19355105
0.70713246,-1.3212979,-15.212765,0.1854624,0.83559924,0.26862547,0.44183475
0.9487304,-0.50193083,-14.947056,0.64500487,0.558016,-0.4847847,0.19383204
0.7087598,-1.3207738,-15.214282,0.18542421,0.8355637,0.2686059,0.44193
0.9490238,-0.5026987,-14.947036,0.6449713,0.5577763,-0.484983,0.19413704
0.71019465,-1.3203118,-15.215619,0.18538493,0.8355282,0.26857805,0.4420306
0.9492796,-0.50241405,-14.947972,0.644938,0.5575553,-0.48517156,0.19441089
0.7103183,-1.3210032,-15.216741,0.1853573,0.83549076,0.26857778,0.442113
0.94951123,-0.50311553,-14.94882,0.6449309,0.5573323,-0.4852915,0.19477434
0.7104227,-1.3215864,-15.217687,0.18532245,0.835456,0.26857468,0.4421952
0.9506813,-0.50278705,-14.949586,0.6448714,0.5571061,-0.48549074,0.19512187
0.7115945,-1.3199843,-15.218573,0.18525615,0.83542675,0.26854607,0.4422956
0.9507737,-0.5034559,-14.950277,0.6448649,0.556868,-0.4856372,0.19545783
0.71156156,-1.3196377,-15.219354,0.18521266,0.83539146,0.26852635,0.44239238
0.95085907,-0.50506634,-14.950917,0.64490026,0.5565825,-0.4857372,0.19590558
0.71153367,-1.3203586,-15.220015,0.18518329,0.8353461,0.2685017,0.44250527
