ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-32-38
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-32-38 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-5300-5301-5304-5305 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. 1st was 4 peas, 2nd was on top of it like a tiny dark spot

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.5501269,-1.3926905,-15.160073,0.17067257,0.85610706,0.29895666,0.38545644
0.8170504,-0.5178775,-14.928183,0.6349398,0.60823184,-0.45169723,0.15124516
0.5508717,-1.3918278,-15.160868,0.17061341,0.8560251,0.29898518,0.38564232
0.81646955,-0.51736885,-14.92873,0.63493747,0.6083805,-0.4515803,0.15100601
0.55150783,-1.3920131,-15.161546,0.17058608,0.8559413,0.29900986,0.3858214
0.81650174,-0.5169148,-14.929217,0.6349103,0.60857433,-0.45141244,0.15084144
0.5511724,-1.3921751,-15.162138,0.17054749,0.8558794,0.29901403,0.38597217
0.8160074,-0.5165081,-14.929655,0.6349127,0.6087803,-0.45121336,0.15059525
0.55087703,-1.3923175,-15.162661,0.17048064,0.8558307,0.2990369,0.386092
0.8155633,-0.5161428,-14.930049,0.63491523,0.6089328,-0.45105767,0.15043473
0.5515232,-1.3905834,-15.163176,0.17037669,0.85578954,0.29895943,0.38628924
0.81563824,-0.51580054,-14.929925,0.63490146,0.60914683,-0.4507899,0.15042892
0.55207735,-1.3908776,-15.163616,0.17035839,0.8557453,0.29888293,0.38645446
0.81523514,-0.51596016,-14.9302845,0.63490534,0.60929644,-0.45058692,0.15041447
0.55259275,-1.3902383,-15.164027,0.17034198,0.85573167,0.29874358,0.3865998
0.8153247,-0.51515514,-14.930152,0.63479036,0.60948336,-0.4504985,0.15040721
0.5530703,-1.3896459,-15.164408,0.17032377,0.8557204,0.29860872,0.38673684
0.81541103,-0.5148662,-14.930025,0.63476294,0.60959953,-0.45035076,0.15049447
0.553511,-1.3890991,-15.164759,0.17028262,0.855721,0.29845622,0.38687128
0.8149777,-0.51457214,-14.929896,0.6348039,0.6096672,-0.45018554,0.15054253
0.5539162,-1.3885965,-15.165081,0.17024137,0.85572505,0.2982668,0.38702652
0.81509006,-0.51429147,-14.929772,0.63482213,0.6097076,-0.45007586,0.15062995
0.5543074,-1.3870631,-15.165393,0.17017569,0.85575646,0.2979332,0.38724282
0.81519735,-0.5140234,-14.929654,0.63481826,0.6097411,-0.44998455,0.15078287
0.55467796,-1.3856106,-15.1656885,0.17008786,0.8558125,0.29754832,0.38745347
0.81529987,-0.51376724,-14.929542,0.6348062,0.6097928,-0.44987613,0.15094788
0.55502313,-1.3842573,-15.165963,0.16998264,0.8558608,0.29712385,0.38771853
0.81485176,-0.51406795,-14.929434,0.63493866,0.6097722,-0.4496769,0.15106805
0.5553401,-1.3830149,-15.166216,0.16984484,0.8559314,0.29660696,0.38801873
0.8149764,-0.51380336,-14.929331,0.6349762,0.609795,-0.44954598,0.15120779
0.5556397,-1.3805095,-15.166455,0.16963772,0.85603946,0.29603925,0.3883044
0.81509477,-0.5135521,-14.929233,0.6350499,0.60978436,-0.44942844,0.15129042
0.55455077,-1.3796698,-15.166664,0.16942549,0.856184,0.2954366,0.38853738
0.8146123,-0.5126897,-14.929132,0.63509476,0.60981613,-0.44932365,0.15128529
0.5549742,-1.3789334,-15.166846,0.16924219,0.8562652,0.29488143,0.38885993
0.8141609,-0.5130892,-14.929038,0.63522065,0.60980725,-0.4491496,0.1513092
0.5539025,-1.3768135,-15.167012,0.16900466,0.85639775,0.2943047,0.38910812
0.81374866,-0.51286626,-14.929541,0.6352773,0.6098001,-0.44906846,0.15134142
0.55447006,-1.3749394,-15.1686735,0.16888517,0.8564813,0.29375252,0.38939318
0.81393933,-0.5126674,-14.929989,0.63531375,0.6098127,-0.44899055,0.15136895
0.554965,-1.3733048,-15.170123,0.1687473,0.85656404,0.29320982,0.38967997
0.8141099,-0.5124895,-14.930388,0.6353339,0.60978186,-0.4489844,0.15142679
0.55283046,-1.3723286,-15.172365,0.16860205,0.8566863,0.29242855,0.39006096
0.81342876,-0.5121793,-14.931088,0.63548017,0.609735,-0.44884756,0.15140744
0.55201066,-1.3710992,-15.173226,0.1685077,0.8567734,0.29209283,0.39016193
0.8126042,-0.5125422,-14.931413,0.63557756,0.609718,-0.448727,0.15142417
0.54971284,-1.3700656,-15.17395,0.16837965,0.8569042,0.29179233,0.39015487
0.8123426,-0.5128708,-14.931707,0.635669,0.6097025,-0.44859704,0.15148792
0.5494199,-1.3707845,-15.17453,0.16851851,0.85699075,0.29150715,0.39011773
0.8120888,-0.51269406,-14.931993,0.6357983,0.6096108,-0.4485171,0.15155107
0.5506564,-1.3713582,-15.174992,0.16865504,0.85702837,0.29127982,0.39014602
0.81184226,-0.5125224,-14.932271,0.63593763,0.6094909,-0.44846633,0.15159896
0.55024594,-1.3718296,-15.175372,0.16876979,0.857096,0.29107958,0.39009732
0.8116026,-0.51235557,-14.932541,0.636043,0.60938215,-0.4484366,0.15168203
0.55262494,-1.3722111,-15.174324,0.1689404,0.85696715,0.2910892,0.39029944
0.811882,-0.5131951,-14.932288,0.6361616,0.6092095,-0.44844893,0.1518418
0.55456626,-1.3725224,-15.173469,0.16906713,0.8568475,0.29109034,0.3905063
0.8121337,-0.51395166,-14.932061,0.63625926,0.60904944,-0.44846958,0.15201317
0.5549401,-1.3727784,-15.172765,0.16921017,0.8567778,0.29104233,0.39063305
0.81236124,-0.5141887,-14.931855,0.63631016,0.60891193,-0.44854006,0.15214314
0.55641216,-1.3729908,-15.172182,0.16934536,0.856604,0.2910705,0.39093447
0.8125673,-0.51440346,-14.931669,0.63637716,0.6087455,-0.44861746,0.15230015
0.5576416,-1.3731681,-15.171695,0.1694457,0.85645795,0.2911395,0.3911595
0.81275445,-0.5150014,-14.9314995,0.6364476,0.6085739,-0.44869903,0.15245135
0.55867565,-1.3733172,-15.171286,0.16958018,0.8562943,0.29123843,0.391386
0.8133076,-0.5151629,-14.931346,0.6364855,0.6084251,-0.4487961,0.15260139
0.5603644,-1.3735609,-15.170615,0.16973075,0.85612077,0.2913692,0.3916028
0.8139278,-0.51579535,-14.931078,0.63658464,0.608147,-0.4489608,0.1528118
