ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-34-27
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-34-27 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-5300-5301-5304-5305 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. 4 peas in diamond pattern. 2nd single dark phosphene that overshadowed the 1st one.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6206786,-1.275668,-15.205153,0.086762555,0.8508679,0.30622962,0.41799447
0.8859965,-0.5162085,-14.958142,0.65862054,0.5402326,-0.49987245,0.15650989
0.6177503,-1.2748548,-15.2053,0.087370306,0.85165846,0.30478576,0.41731286
0.8863653,-0.5163409,-14.958512,0.65863705,0.54007614,-0.49999952,0.15657447
0.6162417,-1.2741053,-15.205435,0.087940164,0.85226786,0.3034585,0.41691604
0.8862689,-0.5164685,-14.958868,0.6586663,0.5399416,-0.5000858,0.15663995
0.614816,-1.2721136,-15.205563,0.088359416,0.8527159,0.30242026,0.4166656
0.8866699,-0.5166039,-14.959246,0.6586516,0.53979063,-0.5002427,0.15672068
0.6148646,-1.2716671,-15.205674,0.08866175,0.85297,0.30161834,0.41666263
0.8870883,-0.5167452,-14.95964,0.65859836,0.53963554,-0.5004522,0.15680993
0.6135808,-1.2712716,-15.205772,0.08887253,0.8531163,0.30101624,0.41675344
0.8875184,-0.51689047,-14.960045,0.6585455,0.5395003,-0.50061774,0.15696849
0.6138081,-1.2695507,-15.205861,0.08885989,0.85311407,0.3006389,0.41703308
0.8886228,-0.51637703,-14.960461,0.6584113,0.539416,-0.5008337,0.1571328
0.6125732,-1.2679985,-15.205939,0.08874939,0.85306644,0.300439,0.417298
0.8890135,-0.51657426,-14.9608755,0.6583816,0.53928614,-0.5009474,0.15734029
0.6129558,-1.2681164,-15.206005,0.088706814,0.8528553,0.3004136,0.41775653
0.89021856,-0.5167801,-14.961307,0.65829974,0.5391895,-0.5010603,0.1576537
0.6132768,-1.2682154,-15.20606,0.08848025,0.8526386,0.30061647,0.4181009
0.89054024,-0.51697737,-14.961721,0.658302,0.5390653,-0.5011117,0.15790561
0.6148577,-1.2682958,-15.206105,0.08826113,0.8523934,0.30082852,0.41849452
0.8917802,-0.5171755,-14.962137,0.6582297,0.5389651,-0.5012188,0.1582089
0.61618483,-1.2670788,-15.206142,0.08799497,0.8521711,0.30103606,0.41885397
0.8919807,-0.51735103,-14.961609,0.6582273,0.5389006,-0.50120866,0.15847044
0.6172771,-1.2672974,-15.206174,0.08778637,0.8519223,0.3012954,0.4192174
0.89215946,-0.5175074,-14.961137,0.65823126,0.53886473,-0.50116724,0.15870692
0.6193496,-1.2663159,-15.2062,0.087525055,0.85164446,0.3015542,0.4196502
0.8932556,-0.5176564,-14.960688,0.65816784,0.5388795,-0.50116646,0.15892176
0.6200162,-1.2654424,-15.2062235,0.08718792,0.8514435,0.3018202,0.41993654
0.8933192,-0.51778865,-14.960288,0.65812176,0.53892434,-0.50115484,0.1589974
0.62425554,-1.2640729,-15.20626,0.08656599,0.85084367,0.30254084,0.4207618
