ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-35-22
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-35-22 ; 6900-6901-6904-6905 , 6900-6901-6904-6905-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. 1st indistiguishable. up and to the left 4 peas in the diamond pattern

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.63915163,-1.2792817,-15.196167,0.11730058,0.8568671,0.2837448,0.41413566
0.90425897,-0.48831186,-14.929762,0.64915156,0.5379293,-0.50910664,0.17333464
0.6399317,-1.2791424,-15.196264,0.11714114,0.8566062,0.28411013,0.4144699
0.90302044,-0.48854044,-14.929507,0.6492047,0.53795964,-0.50906664,0.17315899
0.64057946,-1.2790266,-15.196345,0.1170407,0.8563677,0.28443003,0.41477153
0.9030796,-0.48873153,-14.929294,0.64913356,0.5380221,-0.5091,0.1731331
0.6425513,-1.278934,-15.196409,0.11697293,0.856129,0.28477314,0.41504785
0.9031294,-0.48889244,-14.929114,0.6491298,0.53794783,-0.50923663,0.17297629
0.64277214,-1.2788552,-15.196465,0.11683477,0.8559599,0.2850875,0.4152198
0.90317166,-0.48902872,-14.928962,0.6491085,0.5378655,-0.5093694,0.17292091
0.6429596,-1.2787884,-15.196512,0.116786495,0.8557833,0.28538957,0.41538987
0.9032086,-0.48914796,-14.928829,0.6490708,0.53776985,-0.5095184,0.17292109
0.6445157,-1.2787337,-15.19655,0.11676109,0.85559547,0.2856407,0.41561124
0.9032417,-0.48925465,-14.928711,0.6490549,0.5375987,-0.5097343,0.17287695
0.6458115,-1.2786882,-15.196582,0.11673644,0.8554064,0.28586167,0.41585532
0.90426105,-0.4873764,-14.9286,0.64890945,0.53745306,-0.5101162,0.17274919
0.6469028,-1.2786497,-15.1966095,0.11673247,0.8552474,0.2860786,0.41603425
0.90522856,-0.48768565,-14.928496,0.6488579,0.5372381,-0.51039594,0.1727853
0.6490703,-1.2798939,-15.196631,0.11677919,0.8550616,0.28632256,0.41623524
0.9061342,-0.48797515,-14.928397,0.6488033,0.53702086,-0.51066995,0.17285617
0.6512723,-1.2806189,-15.196666,0.11666822,0.85484105,0.28662544,0.41651073
0.9090492,-0.48850274,-14.928219,0.64861196,0.5360507,-0.5119722,0.17273296
0.6515399,-1.280368,-15.195585,0.11662286,0.85476327,0.28669977,0.41663197
0.9109921,-0.48738417,-14.928137,0.6484092,0.53533524,-0.513041,0.17254192
0.65176666,-1.2801553,-15.195714,0.11651202,0.85473347,0.28674024,0.41669628
0.91273594,-0.48922792,-14.928063,0.64833575,0.53466195,-0.51380587,0.17262934
0.6519728,-1.2799621,-15.195831,0.11642653,0.8547291,0.28673005,0.41673622
0.9142837,-0.4908643,-14.927998,0.6482606,0.5339831,-0.5145318,0.17285064
0.65215915,-1.2797873,-15.195938,0.11638735,0.8547149,0.28672156,0.4167822
0.9156501,-0.4907603,-14.927938,0.6480854,0.53351873,-0.515258,0.17277843
0.65232706,-1.2796297,-15.196034,0.11635743,0.8547007,0.28670785,0.41682875
0.91683745,-0.49066988,-14.927889,0.6480072,0.53305,-0.515865,0.17270727
0.651422,-1.2794973,-15.1961155,0.116304845,0.85469466,0.2867014,0.41686046
0.91625315,-0.49212232,-14.927849,0.648029,0.5326935,-0.516068,0.17311849
0.6516648,-1.2793778,-15.196188,0.116243996,0.8546365,0.28672463,0.4169806
0.9173047,-0.49336722,-14.9278145,0.6478133,0.5325317,-0.5163732,0.17351319
0.6529603,-1.2792698,-15.196254,0.11621982,0.8545285,0.2867742,0.41717455
0.91820556,-0.49284774,-14.927785,0.64754885,0.53245884,-0.51669943,0.17375205
0.6541339,-1.2791721,-15.196314,0.11614452,0.85435814,0.28688782,0.4174662
0.9189715,-0.492406,-14.92776,0.64741653,0.5323903,-0.51687866,0.17392251
