ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-36-10
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-36-10 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-5B00-5B01-5B04-5B05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved down to the right. 1st 4 peas in diamond pattern. 2nd slightly darker than bakcground in shape of braille E. some space between

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.7700675,-1.307394,-15.222883,0.093758985,0.8143592,0.33899307,0.46164078
0.9672204,-0.51960474,-14.961295,0.64010006,0.5218169,-0.5379471,0.16909155
0.77,-1.3067933,-15.223051,0.09353367,0.8144425,0.3387507,0.46171737
0.9663297,-0.5195734,-14.961569,0.6401312,0.52196723,-0.53769666,0.16930625
0.77064687,-1.3053787,-15.223245,0.09328834,0.81449956,0.33850968,0.46184307
0.9660525,-0.51902455,-14.961814,0.64008623,0.5221289,-0.5375408,0.16947289
0.7705117,-1.3047546,-15.223436,0.093079485,0.8145455,0.33831638,0.46194586
0.96629816,-0.51902616,-14.961539,0.6400528,0.52227676,-0.53736144,0.16971184
0.7712687,-1.3031855,-15.22364,0.09282937,0.8145791,0.3380682,0.46211857
0.96557957,-0.5185576,-14.961291,0.64003676,0.5224099,-0.53721035,0.16984066
0.7729313,-1.3010368,-15.224029,0.09229773,0.8146075,0.3375614,0.4625452
0.965193,-0.518599,-14.960865,0.6399735,0.52256185,-0.5370405,0.1701486
0.7735722,-1.3006512,-15.224208,0.09208826,0.8145468,0.3373635,0.46283817
0.96542907,-0.51902103,-14.96068,0.63991183,0.522585,-0.5370178,0.17038089
0.77528065,-1.300299,-15.224372,0.091893785,0.8144475,0.33719313,0.46317554
0.96564394,-0.5194052,-14.960512,0.6398565,0.52261144,-0.5369841,0.17061357
0.77569914,-1.2987434,-15.224529,0.09165139,0.814418,0.33696747,0.46343967
0.96584,-0.51939195,-14.960361,0.63978374,0.5226488,-0.5369642,0.17083478
0.7774185,-1.2972685,-15.224678,0.09140412,0.8143627,0.33677444,0.46372598
0.9660191,-0.51937985,-14.960566,0.639724,0.52265096,-0.5369662,0.17104548
0.7762473,-1.2959871,-15.224808,0.09113561,0.81442624,0.33652204,0.4638503
0.965855,-0.51936877,-14.960754,0.6396709,0.52266276,-0.5369663,0.17120717
0.7780963,-1.2932674,-15.224932,0.09094301,0.8144244,0.33622417,0.46410736
0.966328,-0.5190468,-14.960927,0.63959605,0.522644,-0.5370144,0.17139362
0.77817357,-1.2924349,-15.2250395,0.09075805,0.8144278,0.33604527,0.4642672
0.9664666,-0.51875085,-14.961085,0.639519,0.5226461,-0.53705525,0.17154664
0.7782399,-1.2917193,-15.225133,0.0906733,0.8144486,0.3358736,0.4643715
0.9665942,-0.5187598,-14.961232,0.6394502,0.5226511,-0.5370679,0.17174797
0.7782927,-1.2926317,-15.225206,0.09067872,0.81448036,0.3357032,0.46443793
0.9667119,-0.518768,-14.9611,0.63938445,0.5226448,-0.53708315,0.17196396
0.77691424,-1.2919506,-15.225266,0.090614714,0.8145597,0.33556867,0.46440846
0.9665666,-0.5190295,-14.960978,0.63934547,0.5226121,-0.5370888,0.17219076
0.7771486,-1.2927495,-15.225314,0.09060378,0.8145711,0.33546215,0.4644675
0.96667355,-0.51927143,-14.960865,0.6392704,0.5225743,-0.53713715,0.17243357
0.77733994,-1.2934017,-15.225354,0.09057353,0.81461525,0.33532622,0.46449408
0.96677256,-0.5194954,-14.96076,0.63922,0.52252614,-0.5371729,0.17265446
0.7775082,-1.2926733,-15.2253895,0.09058546,0.8146387,0.33516872,0.4645644
0.96686435,-0.5197032,-14.960663,0.6391438,0.5224789,-0.5372437,0.17285927
0.7776579,-1.2920254,-15.22542,0.09054306,0.8147123,0.33488682,0.46464685
0.9669496,-0.5198961,-14.960572,0.639028,0.5223957,-0.5374406,0.17292671
0.77779,-1.2914541,-15.225447,0.09048692,0.814754,0.3346677,0.46474245
0.96702874,-0.5198789,-14.960489,0.6389241,0.5223335,-0.5376215,0.17293645
0.7779056,-1.2909539,-15.2254715,0.090564296,0.81478363,0.33442336,0.46485135
0.9671047,-0.5198624,-14.960409,0.6388337,0.52228594,-0.5377859,0.17290266
0.77800614,-1.290519,-15.2254925,0.09055703,0.814834,0.33420527,0.46492139
0.96737677,-0.51984596,-14.96033,0.63873994,0.522246,-0.5379447,0.17287575
0.77809244,-1.2901456,-15.22695,0.090571366,0.8148964,0.33395413,0.46498972
0.9674554,-0.5200471,-14.960241,0.63871133,0.5221664,-0.5380492,0.17289667
0.7781666,-1.2898248,-15.228202,0.09051709,0.81497395,0.33372837,0.46502644
0.96781105,-0.52001995,-14.960138,0.63863635,0.5221344,-0.5381794,0.17286496
0.77823406,-1.2879736,-15.2293415,0.090461306,0.81511176,0.33338094,0.46504498
0.9682195,-0.5199888,-14.96002,0.63855386,0.5220928,-0.53833747,0.17280318
0.77829385,-1.2863333,-15.2303505,0.09036759,0.81519437,0.3331081,0.46511382
0.9683064,-0.5199576,-14.959901,0.63853633,0.5220369,-0.53844,0.17271739
0.7783456,-1.2849122,-15.231224,0.09035214,0.81527555,0.33280268,0.46519315
0.9687445,-0.5195779,-14.960124,0.63844705,0.5219597,-0.5386465,0.1726368
0.7783897,-1.2837033,-15.231968,0.09024811,0.81536365,0.3325002,0.46527523
0.96922505,-0.5195564,-14.960369,0.6383686,0.5218441,-0.5388654,0.17259328
0.7784265,-1.2826906,-15.232592,0.090274796,0.815391,0.33222294,0.4654202
0.969291,-0.5195357,-14.960606,0.6383323,0.5217398,-0.53903645,0.1725088
0.78020287,-1.2836609,-15.23307,0.09035572,0.81536347,0.33200455,0.4656085
0.9697956,-0.5190788,-14.960853,0.63825065,0.5216642,-0.5392305,0.17243308
0.7782624,-1.2844149,-15.233442,0.090309106,0.8154171,0.33185565,0.4656298
0.9698411,-0.5186527,-14.961084,0.63819885,0.5215866,-0.5393934,0.17235
0.7783163,-1.2834028,-15.233743,0.090281345,0.8154188,0.33170983,0.46573618
0.96988416,-0.5182497,-14.961302,0.63816184,0.5215037,-0.53954357,0.17226776
0.77676445,-1.2825743,-15.233989,0.09025244,0.8154282,0.33160445,0.46580034
0.9699254,-0.517864,-14.961513,0.6381381,0.5214382,-0.5396475,0.1722282
0.7770742,-1.2818654,-15.234199,0.09025119,0.8154146,0.33152378,0.46588176
0.9704491,-0.5174445,-14.96174,0.6380826,0.521364,-0.53977937,0.17224568
0.77733666,-1.2812647,-15.234377,0.090239026,0.81539327,0.33150873,0.46593222
0.97100157,-0.5175336,-14.961981,0.6380158,0.5212628,-0.5399306,0.17232515
0.77755725,-1.2807598,-15.234528,0.09027974,0.8153694,0.33141157,0.46603498
0.971575,-0.5176261,-14.962231,0.63795966,0.52118266,-0.54003733,0.17244099
0.77611285,-1.281982,-15.234645,0.0902735,0.8153445,0.33142823,0.46606806
0.97153175,-0.5182636,-14.961898,0.63797027,0.52108437,-0.5400762,0.17257693
0.7749715,-1.2829478,-15.234737,0.09029032,0.8153352,0.33151752,0.4660175
0.97149295,-0.5188342,-14.962129,0.63796854,0.520977,-0.540138,0.17271411
0.7740605,-1.2837186,-15.234811,0.09029876,0.8153228,0.33150387,0.46604735
0.9720292,-0.51884747,-14.962365,0.63793975,0.52085614,-0.5402526,0.17282607
0.7733264,-1.2829535,-15.234871,0.09026754,0.8153582,0.33142754,0.46604562
0.9725609,-0.51946837,-14.961992,0.6379539,0.52070737,-0.5403331,0.17297058
0.7727296,-1.2836484,-15.23492,0.09032321,0.8153534,0.33141947,0.46604902
0.97245663,-0.5188661,-14.962238,0.637938,0.5205887,-0.5404625,0.17298186
0.7747425,-1.282967,-15.234959,0.090422824,0.8153044,0.33124468,0.46623975
0.9729747,-0.5188784,-14.962488,0.63791174,0.5202859,-0.54077256,0.17302138
0.7752256,-1.282394,-15.234992,0.090462,0.8152854,0.3310884,0.46637648
0.974266,-0.51889175,-14.962761,0.63782024,0.52002436,-0.541125,0.17304292
0.7756599,-1.281879,-15.235023,0.09041638,0.81530106,0.33087724,0.46650755
0.97475857,-0.51890475,-14.963026,0.6377792,0.5197932,-0.5413779,0.17309731
0.77604747,-1.2814194,-15.235049,0.09039589,0.81526047,0.33073688,0.46668202
0.97521746,-0.5196935,-14.962497,0.63773227,0.51941836,-0.54175574,0.17321324
0.77639097,-1.281012,-15.235073,0.09045982,0.81520915,0.33060446,0.4668531
0.9756481,-0.5196408,-14.961999,0.6376769,0.5191093,-0.54210556,0.17324954
0.77800614,-1.2806565,-15.235094,0.09051773,0.8151192,0.33050728,0.46706772
0.97605646,-0.52041036,-14.962348,0.63763666,0.5187998,-0.54241276,0.1733632
0.77808106,-1.2816143,-15.23511,0.09067138,0.815044,0.33048216,0.46718696
0.9764425,-0.5211381,-14.962677,0.63761437,0.51851517,-0.54267585,0.17347334
0.778143,-1.282406,-15.235125,0.09072794,0.815,0.33047873,0.46725506
0.9767961,-0.5209537,-14.962129,0.6375373,0.5182708,-0.54298425,0.17352173
0.7770669,-1.2819375,-15.235136,0.09071744,0.8149954,0.3304238,0.46730402
0.9771273,-0.52165544,-14.962488,0.6374941,0.5180263,-0.54322267,0.17366408
0.7772369,-1.2815423,-15.235146,0.09071467,0.814964,0.330321,0.46743202
0.9774368,-0.5223111,-14.962825,0.63744086,0.5177839,-0.5434903,0.17374535
0.7773917,-1.2811822,-15.235155,0.09071825,0.8149444,0.33027792,0.4674959
0.9777249,-0.52292144,-14.963139,0.6373908,0.517599,-0.5436925,0.17384681
0.77645195,-1.2808732,-15.235164,0.09069175,0.8149472,0.33017793,0.46756685
0.97798014,-0.5225575,-14.962511,0.63734317,0.51743835,-0.54390526,0.17383447
0.77669466,-1.2805929,-15.23517,0.09072374,0.81490886,0.33015677,0.4676423
0.9782165,-0.52314514,-14.962854,0.6373198,0.5171969,-0.5441299,0.17393537
0.77691376,-1.28034,-15.235176,0.09075561,0.81486034,0.33012196,0.46774518
0.97944033,-0.5227221,-14.963189,0.637258,0.51699847,-0.5443732,0.17399077
0.7782345,-1.2801143,-15.235182,0.09085161,0.81478566,0.33010572,0.46786812
0.9806293,-0.5233884,-14.963514,0.6372257,0.5167519,-0.5446076,0.17410795
0.779418,-1.2799122,-15.235187,0.09084639,0.8147824,0.33000803,0.4679438
0.98173785,-0.5228784,-14.963817,0.6372237,0.5165315,-0.544807,0.17414488
0.77931815,-1.2797331,-15.235191,0.090878196,0.81478006,0.32993522,0.46799308
0.9815895,-0.5224422,-14.964076,0.6372364,0.51632947,-0.5449836,0.1741453
0.78024125,-1.278308,-15.2352,0.09119167,0.8149606,0.329371,0.4680151
0.98246545,-0.52171427,-14.964508,0.6371069,0.51576173,-0.5456685,0.17415704
0.78003,-1.2783214,-15.235203,0.09127184,0.81507367,0.3291515,0.46795696
0.98339856,-0.5225697,-14.964702,0.6370773,0.5156026,-0.54577565,0.17440046
0.7798482,-1.278333,-15.235206,0.09137208,0.8151518,0.32890484,0.4679747
0.9830514,-0.52215767,-14.964863,0.6371443,0.51546955,-0.54580116,0.17446905
0.7796912,-1.278343,-15.235208,0.091372736,0.8152431,0.32873252,0.46793658
0.9839048,-0.5217793,-14.965013,0.637033,0.5153703,-0.5459944,0.17456388
0.7783517,-1.2771509,-15.23521,0.091355816,0.815337,0.3285149,0.46792924
0.98350304,-0.52146363,-14.965137,0.6370981,0.51520014,-0.5461124,0.17445943
0.77838,-1.2773052,-15.235211,0.09145155,0.8152886,0.32851982,0.46799135
0.9831642,-0.5222599,-14.965241,0.63708276,0.5152122,-0.5460923,0.17454273
0.77840644,-1.2761942,-15.235212,0.09147789,0.8152781,0.3284067,0.46808383
0.9828743,-0.52294105,-14.96533,0.63710934,0.51524705,-0.54598504,0.17467842
0.7784286,-1.2764734,-15.235213,0.091516145,0.8152515,0.32843184,0.46810496
0.9826236,-0.5235301,-14.965407,0.63708735,0.51528275,-0.54596144,0.17472708
0.7784491,-1.2754492,-15.235215,0.09150068,0.8152537,0.32834688,0.46816388
0.9824048,-0.52404416,-14.965476,0.63711417,0.51531625,-0.5459109,0.17468828
0.7784802,-1.2761384,-15.235217,0.09150861,0.81528234,0.32825008,0.4681804
0.98393476,-0.52304566,-14.965598,0.6369574,0.51528484,-0.546231,0.17435211
0.7784933,-1.275195,-15.235218,0.09150646,0.81536925,0.3280804,0.46814844
0.9846132,-0.52260286,-14.9656515,0.6368739,0.5152914,-0.54638416,0.1741576
0.7785042,-1.2755882,-15.23522,0.09152827,0.81543064,0.32798532,0.4681038
0.9852092,-0.52116,-14.965698,0.63675475,0.51532733,-0.5465417,0.17399247
0.7785133,-1.2759159,-15.23522,0.091616385,0.81541395,0.32794437,0.4681443
0.9857555,-0.5220074,-14.965742,0.63678885,0.51536584,-0.5464697,0.17398
0.7795804,-1.2772506,-15.23522,0.091714956,0.8153892,0.3279409,0.46817055
0.9851852,-0.5227215,-14.964748,0.63684654,0.5153748,-0.5463914,0.17398797
0.7804824,-1.2773725,-15.23522,0.09169093,0.8153727,0.32790452,0.4682294
0.98568076,-0.52234805,-14.963906,0.6368193,0.5153596,-0.5464663,0.17389724
0.78029346,-1.2765198,-15.23522,0.091688916,0.81543577,0.32773092,0.46824157
0.98613036,-0.52200913,-14.96413,0.63677007,0.5152631,-0.5466868,0.17367089
0.7810605,-1.2767035,-15.23522,0.09183169,0.8154395,0.32757244,0.46831802
0.98652804,-0.520734,-14.964328,0.6367336,0.5151212,-0.5469587,0.17336912
0.7818267,-1.2758547,-15.23522,0.09185671,0.8154965,0.3273346,0.46838018
0.98688436,-0.5195915,-14.964505,0.63667506,0.5150445,-0.5471572,0.17318499
0.7814666,-1.2750719,-15.23522,0.09191506,0.8156247,0.32702658,0.46836063
0.9872062,-0.5185596,-14.964666,0.6365368,0.5146884,-0.5476973,0.1730449
0.7811625,-1.2754241,-15.23522,0.09200743,0.8156716,0.3268308,0.46839747
0.98859924,-0.51861495,-14.964825,0.63644403,0.5142637,-0.5481599,0.1731841
