ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-37-01
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-37-01 ; 2500-2501-2504-2505 , 2500-2501-2504-2505-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. 1st iridescent, up and to the left diamond of 4 bright peas

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6262752,-1.330663,-15.1873255,0.13879146,0.84858614,0.2908706,0.41956267
0.89086485,-0.4967233,-14.945706,0.62639785,0.5889373,-0.48454645,0.16122478
0.62491095,-1.3301481,-15.187305,0.13867351,0.8488508,0.29059198,0.4192593
0.8940961,-0.49751547,-14.946001,0.62676555,0.5882667,-0.48486543,0.16128513
0.6236155,-1.32838,-15.187287,0.13859981,0.8491166,0.29025948,0.4189756
0.894054,-0.49568948,-14.946216,0.6271166,0.5879036,-0.48491415,0.16109739
0.62377185,-1.328126,-15.187271,0.13861157,0.8493337,0.2900115,0.4187034
0.89904314,-0.49426025,-14.946384,0.6271687,0.58761704,-0.4851545,0.16121656
0.622603,-1.3279012,-15.187257,0.13856366,0.84956336,0.2899155,0.41831952
0.8977639,-0.49565345,-14.946505,0.6275549,0.587321,-0.48504364,0.16112618
0.62289816,-1.3277086,-15.187243,0.1385768,0.84973705,0.28977734,0.41805798
0.8968358,-0.49666414,-14.946591,0.62775934,0.5871154,-0.4850807,0.16096742
0.62315196,-1.3275429,-15.187233,0.13853587,0.8498818,0.28969806,0.4178323
0.8984831,-0.49744225,-14.946658,0.6278234,0.58693576,-0.48523217,0.16091618
0.6220633,-1.3273969,-15.187223,0.13846165,0.850003,0.28973964,0.41758144
0.89972895,-0.49566263,-14.946709,0.6278479,0.5869289,-0.48526815,0.160737
0.62117016,-1.3285238,-15.187216,0.13849166,0.8500378,0.2898145,0.41744867
0.89836794,-0.49664056,-14.946745,0.62808573,0.5867428,-0.48516864,0.16078742
0.6204318,-1.3294554,-15.18721,0.13848592,0.85004306,0.28995654,0.41734132
0.8995958,-0.49739787,-14.946773,0.628205,0.58660924,-0.4851609,0.16083261
0.61977077,-1.3290803,-15.187203,0.13841781,0.85002375,0.29004258,0.41734335
0.8983121,-0.49794888,-14.946793,0.62846595,0.5864112,-0.48505864,0.16084391
0.6191547,-1.327442,-15.187198,0.1382751,0.8500107,0.29002488,0.41742963
0.8973555,-0.4983595,-14.946808,0.6287173,0.5862053,-0.4849857,0.16083166
0.6198817,-1.3273171,-15.187193,0.13838449,0.8498723,0.2901124,0.41761428
0.89871323,-0.49657226,-14.94682,0.6287566,0.5860627,-0.48507833,0.16091864
0.6204941,-1.3272119,-15.18719,0.13842088,0.8497058,0.29022864,0.41786027
0.8997855,-0.49729612,-14.94683,0.62901646,0.5856888,-0.48512512,0.16112316
0.6197877,-1.325837,-15.187186,0.13833715,0.849604,0.29024968,0.41808012
0.8985493,-0.49783102,-14.946836,0.6292157,0.5854533,-0.48510107,0.16127345
0.6204235,-1.325918,-15.187184,0.13832085,0.84946114,0.29028934,0.41834822
0.8996177,-0.49825904,-14.946841,0.62928426,0.5851737,-0.48527643,0.16149259
0.6209868,-1.3247492,-15.187181,0.13830258,0.8493115,0.29030252,0.41864893
0.8984606,-0.49857867,-14.946845,0.6294865,0.584916,-0.48525238,0.16171016
0.6226314,-1.3249607,-15.18718,0.13834187,0.84907705,0.29037142,0.41906357
0.89951056,-0.49883747,-14.948834,0.6295274,0.58471984,-0.48532197,0.1620513
0.6228826,-1.325137,-15.187177,0.1383476,0.84887534,0.2905025,0.41937932
0.90035516,-0.49904564,-14.950435,0.6295534,0.58450556,-0.4854746,0.16226587
0.623097,-1.3242062,-15.188256,0.13832311,0.84869623,0.29049507,0.4197549
