ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-37-38
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-37-38 ; 3000-3001-3004-3005 , 3000-3001-3004-3005-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. indistinguishable shape. up to the left diamond.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.5795322,-1.307727,-15.207324,0.18964513,0.8454713,0.25244352,0.43068016
0.9296677,-0.51590747,-14.946401,0.65688306,0.53020984,-0.50525516,0.17916305
0.5792879,-1.3076853,-15.207243,0.18973912,0.845596,0.2523129,0.43047035
0.9298916,-0.5161676,-14.946439,0.6569607,0.53011954,-0.50526,0.17913198
0.5782805,-1.3076493,-15.207172,0.18979323,0.8457738,0.25211954,0.43021047
0.9301014,-0.5164114,-14.946474,0.65706813,0.53002393,-0.50522965,0.17910685
0.5774027,-1.3076178,-15.20711,0.18981895,0.8459426,0.25196284,0.429959
0.9295128,-0.5166235,-14.946505,0.65715694,0.52997684,-0.5051624,0.17910962
0.577352,-1.3068674,-15.207056,0.1898105,0.8460839,0.25175947,0.4298038
0.92973125,-0.5160757,-14.946531,0.6571172,0.52999866,-0.5052121,0.1790508
0.57730544,-1.3068959,-15.207007,0.18992843,0.8461693,0.25163892,0.42965424
0.9292264,-0.515595,-14.946555,0.65714073,0.52997386,-0.5052531,0.17892258
0.5765022,-1.306166,-15.206958,0.18991227,0.84625626,0.25152227,0.4295583
0.92878145,-0.5158332,-14.946576,0.65713024,0.52997285,-0.5052898,0.17886028
0.5765197,-1.30625,-15.206913,0.18995926,0.8463081,0.2514082,0.42950204
0.9290166,-0.51604396,-14.946594,0.65706795,0.52995074,-0.50540644,0.17882502
0.5765356,-1.3063263,-15.206873,0.18997917,0.8463399,0.25127655,0.42950764
0.9292415,-0.5162455,-14.946612,0.65698177,0.5299094,-0.5055413,0.17888272
0.5765514,-1.3056122,-15.206834,0.18994325,0.84639263,0.2510644,0.4295437
0.93019325,-0.51645523,-14.946631,0.65686536,0.529858,-0.50573725,0.17890862
0.5765669,-1.3049123,-15.206795,0.18995522,0.8463859,0.25092825,0.42963126
0.9311299,-0.5158984,-14.94665,0.65670407,0.5298512,-0.505946,0.17893067
0.57658046,-1.3051103,-15.20676,0.19012405,0.8463357,0.250665,0.4298091
0.9320791,-0.5170146,-14.946669,0.65665925,0.5293339,-0.5064717,0.17913903
0.57659256,-1.3052856,-15.20673,0.19022141,0.8462848,0.25042814,0.4300043
0.9321052,-0.51719356,-14.946685,0.65670365,0.52888596,-0.5068676,0.17917955
0.5766033,-1.3054415,-15.206703,0.19034229,0.84621465,0.25022584,0.4302066
0.93212795,-0.51654375,-14.9467,0.65664536,0.5285086,-0.50734603,0.17915256
0.5766139,-1.3047775,-15.2066765,0.19035523,0.8461563,0.2500473,0.43041942
0.9330198,-0.5167709,-14.946714,0.6565013,0.5281515,-0.5078722,0.17924264
0.5766242,-1.3041316,-15.206651,0.19040647,0.84608245,0.2498466,0.43065822
0.9338864,-0.5169916,-14.946729,0.6565523,0.52775925,-0.50821155,0.1792494
0.57828516,-1.3043996,-15.207454,0.19046015,0.8458975,0.24974458,0.43105686
0.9337478,-0.51629865,-14.94674,0.65656984,0.52751243,-0.50845355,0.1792252
0.5789428,-1.3046322,-15.208152,0.19045654,0.8457373,0.24972066,0.4313866
0.933625,-0.5165455,-14.946751,0.6566206,0.52723783,-0.5086186,0.17937921
0.5795695,-1.3040395,-15.2088175,0.1904018,0.8456305,0.24970686,0.43162796
0.93442404,-0.5167852,-14.946761,0.65658855,0.5269856,-0.50889856,0.1794437
0.5793173,-1.3034713,-15.209455,0.19031283,0.8455366,0.249674,0.43187028
0.93423325,-0.5169967,-14.946771,0.65676117,0.52668107,-0.50898737,0.17945418
0.57909894,-1.3037899,-15.209196,0.19030806,0.84545124,0.24968033,0.43203568
0.9360152,-0.51622164,-14.94678,0.65669435,0.5265455,-0.50924957,0.17935215
0.5797347,-1.3032497,-15.209794,0.19020298,0.84536576,0.24965182,0.4322657
0.93665534,-0.51652527,-14.946788,0.6567083,0.52642065,-0.5093597,0.1793549
0.57945955,-1.3027363,-15.2103615,0.19007745,0.84532416,0.24957202,0.4324484
0.93621975,-0.5167828,-14.946795,0.6569062,0.5262034,-0.5093698,0.17923932
0.57917947,-1.3012279,-15.21094,0.18993613,0.8452979,0.2495189,0.4325925
0.9368325,-0.5180451,-14.946802,0.657015,0.52607435,-0.5093625,0.1792399
0.5798769,-1.3018144,-15.210497,0.18993333,0.8452074,0.24958105,0.4327344
0.938506,-0.5170703,-14.94681,0.6568843,0.5260328,-0.50961506,0.17912279
0.5804904,-1.3014178,-15.210107,0.18987595,0.8451297,0.24956022,0.4329234
0.938897,-0.516214,-14.9468155,0.6569118,0.5260257,-0.5096837,0.17884769
0.582028,-1.301042,-15.210693,0.1898673,0.84505206,0.24944088,0.43314734
0.9392516,-0.5165398,-14.94682,0.65691435,0.52595717,-0.50978637,0.17874707
0.58334345,-1.3016285,-15.210286,0.18995023,0.8449465,0.24946798,0.43330136
0.93957156,-0.51683384,-14.946825,0.65699965,0.5259,-0.5097955,0.17857584
0.58362746,-1.3012502,-15.209917,0.18993986,0.84487236,0.24949013,0.43343776
0.9410918,-0.5171146,-14.94683,0.6569603,0.52586526,-0.5098561,0.17864954
0.58391315,-1.2998573,-15.210558,0.18979296,0.84487075,0.24947439,0.4335143
0.9412016,-0.51617515,-14.946833,0.65698105,0.5259042,-0.50986266,0.17844023
0.58439606,-1.300399,-15.21164,0.18968925,0.84472525,0.24955304,0.43379787
0.9413831,-0.51683927,-14.94684,0.6571657,0.5258192,-0.50969785,0.17848107
0.58459425,-1.3001174,-15.212086,0.18967152,0.8446606,0.24960725,0.43390036
0.9414578,-0.5171124,-14.946842,0.6572983,0.52577865,-0.5095425,0.17855573
0.58381754,-1.2998724,-15.212471,0.18958515,0.8446432,0.24971655,0.43390906
0.94039446,-0.5184653,-14.946845,0.6575197,0.52572286,-0.50931114,0.17856528
0.5840738,-1.2996454,-15.212831,0.18959501,0.84457535,0.24985784,0.43395546
0.9405718,-0.5185309,-14.947916,0.6576028,0.52562773,-0.5093243,0.17850174
0.5833493,-1.2994474,-15.213142,0.18961664,0.84451544,0.2500215,0.43396842
0.9397057,-0.5185863,-14.94882,0.65774256,0.5255072,-0.5092947,0.17842609
0.58365184,-1.2992644,-15.213431,0.18963502,0.8444347,0.250142,0.4340481
0.9389699,-0.5186333,-14.949589,0.65780634,0.5254623,-0.50926393,0.17841077
0.58393013,-1.299096,-15.213697,0.18964079,0.84440386,0.25023586,0.43405142
0.9392578,-0.51867354,-14.950246,0.65785366,0.525318,-0.5093446,0.17843144
0.58418494,-1.2989419,-15.213942,0.18972996,0.8443599,0.25030223,0.43405974
0.93863434,-0.5187081,-14.95081,0.65797484,0.5251982,-0.5093241,0.17839605
0.5844171,-1.2988013,-15.214163,0.18980843,0.8443087,0.25036958,0.4340861
0.93809575,-0.5179106,-14.951298,0.6579786,0.5251287,-0.5094545,0.17821383
0.584614,-1.299666,-15.214351,0.18988316,0.8442927,0.25039074,0.4340723
0.93841404,-0.5180042,-14.951721,0.6579817,0.5250605,-0.50952625,0.17819823
0.5849445,-1.2992775,-15.214666,0.18992613,0.8442416,0.25041208,0.4341406
0.9389735,-0.5181686,-14.951685,0.6580497,0.524787,-0.50971776,0.17820522
0.58507967,-1.3000499,-15.214796,0.18995723,0.84419936,0.25043562,0.43419555
0.9384649,-0.5174959,-14.951313,0.6581171,0.52467793,-0.5098272,0.17796426
0.5861341,-1.299816,-15.214913,0.18992804,0.84412444,0.25044775,0.4343469
0.9387229,-0.5176101,-14.950987,0.6581359,0.5245782,-0.50995296,0.17782824
0.58703905,-1.3005012,-15.215013,0.18993531,0.8440417,0.25048316,0.43448403
0.9389502,-0.51837945,-14.950699,0.6582885,0.524336,-0.5100332,0.17774786
0.58783275,-1.301102,-15.2151,0.18982448,0.84388053,0.25055856,0.43480206
0.9391519,-0.5177864,-14.950444,0.6589703,0.5237221,-0.5099543,0.17725697
0.58770645,-1.3016222,-15.215177,0.18973221,0.84376425,0.25063992,0.43502095
0.939344,-0.5185232,-14.950201,0.6596098,0.52317077,-0.50977945,0.17700896
0.5893495,-1.3012555,-15.215253,0.18962403,0.84358776,0.25069186,0.43538037
0.93952495,-0.51855963,-14.949973,0.66009825,0.52275836,-0.50963557,0.17682108
0.5890756,-1.3009262,-15.215322,0.18943988,0.84347403,0.25074285,0.4356515
0.9390602,-0.5192168,-14.949771,0.6606159,0.5224058,-0.5093767,0.17667577
0.58973986,-1.3006085,-15.215387,0.18929297,0.84332526,0.25080034,0.43597016
0.9392495,-0.5198277,-14.949583,0.66096413,0.5221299,-0.5092216,0.17663616
0.5903724,-1.300306,-15.215449,0.18922259,0.8431585,0.25086552,0.4362856
0.93882746,-0.5197803,-14.9500065,0.66117954,0.521951,-0.50917184,0.17650191
0.5909193,-1.3009866,-15.215503,0.18919885,0.8429853,0.25096038,0.43657586
0.9390119,-0.51973796,-14.949823,0.661282,0.5218329,-0.5091962,0.17639711
0.59250647,-1.3006237,-15.215557,0.1890946,0.8427989,0.25102976,0.43694094
0.9391957,-0.52028936,-14.94964,0.6612916,0.52178854,-0.50922143,0.17641896
0.59404826,-1.300271,-15.21561,0.18906485,0.84259516,0.25114056,0.43728292
0.93937165,-0.5202116,-14.950071,0.6613631,0.52172196,-0.50929064,0.17614791
0.59542435,-1.301105,-15.215657,0.18899235,0.8423576,0.25136936,0.43764046
0.938953,-0.5207176,-14.950455,0.66151786,0.5216117,-0.5092378,0.17604622
0.5954882,-1.3006858,-15.215698,0.18889375,0.8422255,0.25146803,0.4378805
0.9391447,-0.5212197,-14.950229,0.66154736,0.52163607,-0.5092178,0.17592129
0.5955449,-1.3003132,-15.215735,0.1887524,0.84214777,0.25155056,0.43804353
0.93933433,-0.52171636,-14.950005,0.66166526,0.5215952,-0.5091628,0.17575803
0.5968535,-1.2999637,-15.215771,0.18865383,0.84198534,0.25164795,0.43834218
0.939508,-0.5215422,-14.949799,0.661632,0.5216815,-0.5092063,0.17550068
0.59673625,-1.2996613,-15.2158,0.18855038,0.841858,0.25181818,0.43853322
0.9396704,-0.5213794,-14.950235,0.6616435,0.521789,-0.5091097,0.17541787
0.5966346,-1.299399,-15.215826,0.18845895,0.8417312,0.25193208,0.43875057
0.939217,-0.5212349,-14.950026,0.6617006,0.52194786,-0.50893843,0.17522709
0.5992972,-1.299146,-15.215851,0.1883694,0.84158707,0.2519331,0.43906486
0.93938065,-0.5205385,-14.950407,0.66167027,0.52210146,-0.50889945,0.17499678
0.6001751,-1.3002812,-15.215872,0.1883685,0.8414513,0.252078,0.43924227
0.9389877,-0.52099454,-14.950208,0.6617896,0.52217937,-0.5087223,0.17482845
