ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-38-23
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-38-23 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-1C00-1C01-1C04-1C05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.64660215,-1.3033943,-15.195878,0.110693775,0.832134,0.32434326,0.43600625
0.8588657,-0.4843126,-14.955863,0.6536237,0.5519671,-0.5058278,0.11066453
0.6471197,-1.3029702,-15.195944,0.11073642,0.83220845,0.3241655,0.4359856
0.859289,-0.48471415,-14.955904,0.65365076,0.55141383,-0.50635856,0.11083492
0.64622927,-1.3025969,-15.196003,0.11072979,0.83234733,0.32395527,0.43587816
0.85904294,-0.48506966,-14.95594,0.6537725,0.5507674,-0.50687504,0.11097138
0.6467459,-1.3022505,-15.196056,0.11078823,0.8324546,0.32372952,0.43582615
0.86018044,-0.48544365,-14.955979,0.6537428,0.5501449,-0.5075269,0.111253925
0.64723116,-1.3026032,-15.196107,0.11085488,0.83252645,0.3235459,0.43580845
0.8605564,-0.48507333,-14.956017,0.6537223,0.5494902,-0.50821346,0.11147606
0.6470078,-1.3022587,-15.196154,0.110874064,0.83262205,0.32330537,0.43579954
0.86179274,-0.48552296,-14.956057,0.6536577,0.54861784,-0.5091708,0.1117828
0.64680266,-1.3019422,-15.196197,0.11086647,0.8326959,0.3230577,0.435844
0.8641843,-0.48602155,-14.9561,0.6535709,0.5477434,-0.51013726,0.11217126
0.6466068,-1.3009653,-15.196238,0.11079788,0.8327575,0.32282424,0.43591675
0.86428,-0.48646393,-14.95614,0.6536082,0.54692155,-0.5109467,0.11227978
0.6471513,-1.2999613,-15.19628,0.11070267,0.8326979,0.32265475,0.4361801
0.8667449,-0.48692584,-14.956181,0.6534415,0.5461337,-0.51198065,0.112375356
0.6469119,-1.2997842,-15.196317,0.110607296,0.83262634,0.32255003,0.43641827
0.86917543,-0.48605168,-14.956221,0.6532042,0.54553866,-0.5129261,0.11233321
0.6482708,-1.2996055,-15.196356,0.110528246,0.832474,0.32247287,0.43678573
0.87143546,-0.48810852,-14.956258,0.6532482,0.54495573,-0.5134438,0.11254116
0.6487524,-1.2985637,-15.196393,0.11033472,0.832361,0.32233998,0.437148
0.8719229,-0.4869897,-14.95629,0.65320987,0.54455227,-0.51395595,0.112378836
0.65014595,-1.2984746,-15.196429,0.11020035,0.83216816,0.32233298,0.43755403
0.8723425,-0.48747692,-14.956318,0.65331435,0.54428,-0.5141294,0.112297505
0.6514857,-1.298389,-15.196465,0.11004665,0.83198375,0.32231325,0.43795782
0.8727025,-0.48789486,-14.956342,0.6534307,0.5441113,-0.51418054,0.11220409
0.6507465,-1.2973639,-15.196495,0.109744765,0.83189577,0.32223648,0.4382571
0.87301034,-0.4882523,-14.956362,0.6535248,0.544074,-0.51411456,0.112138964
0.65204513,-1.2973924,-15.196525,0.10956508,0.8317222,0.3222715,0.4386056
0.8732729,-0.4885572,-14.956379,0.65361255,0.5441726,-0.51389015,0.11217789
0.65124285,-1.2964568,-15.196549,0.10929804,0.8316482,0.32226005,0.43882075
0.8720678,-0.48738605,-14.956393,0.6537164,0.5443715,-0.51354647,0.112181276
0.65149754,-1.2955554,-15.197601,0.10905716,0.8315488,0.32218266,0.43912575
0.87243664,-0.48643735,-14.956405,0.6538308,0.54450756,-0.5132112,0.112388276
0.65289056,-1.2946618,-15.198645,0.10886624,0.8314381,0.3221203,0.43942845
0.8727388,-0.48566028,-14.957694,0.6538221,0.5447665,-0.5128737,0.11272437
0.65297705,-1.2950122,-15.199556,0.10875164,0.83132553,0.32201904,0.4397439
0.8729988,-0.4849917,-14.958804,0.6538496,0.5450568,-0.5124158,0.11324251
0.65429395,-1.2941154,-15.200433,0.10859271,0.8312056,0.32189855,0.440098
0.87200505,-0.48444057,-14.95972,0.65398276,0.54538316,-0.51179343,0.11371571
0.6541252,-1.2912477,-15.201935,0.10801802,0.83114046,0.3211969,0.44087437
0.8693989,-0.48570752,-14.961116,0.6544929,0.54631364,-0.50980407,0.11524025
0.65552944,-1.2892696,-15.204103,0.10762919,0.8311215,0.32069585,0.44136974
0.86893475,-0.48619363,-14.961651,0.6547259,0.5468008,-0.5087887,0.11609093
0.6538195,-1.2876576,-15.204442,0.10711154,0.8312849,0.32016376,0.44157428
0.86657345,-0.48660564,-14.962105,0.6550499,0.5471787,-0.50784147,0.116628915
0.6523064,-1.2847482,-15.206225,0.106539406,0.8314858,0.31957957,0.44175753
0.86549455,-0.48789173,-14.962492,0.6552545,0.54753214,-0.50705945,0.11722181
0.65251917,-1.2837259,-15.207803,0.10606281,0.8316456,0.31899974,0.44199044
0.8636814,-0.48810673,-14.962824,0.6554041,0.54789066,-0.5063928,0.11759163
0.6511043,-1.2812433,-15.209166,0.105413064,0.832043,0.31799906,0.44211894
0.8621179,-0.48744845,-14.96311,0.6554596,0.54834574,-0.50578564,0.11777385
0.65154964,-1.2790449,-15.210373,0.10501841,0.8323158,0.31717777,0.44228926
0.860763,-0.48767942,-14.963358,0.65553087,0.5487444,-0.50521314,0.11797747
0.6501578,-1.2753783,-15.211413,0.104543686,0.83265096,0.31631625,0.44238797
0.8595832,-0.4871192,-14.963573,0.65555495,0.5491504,-0.5047248,0.11804464
0.65082115,-1.27412,-15.212291,0.104315296,0.8328767,0.31558773,0.4425373
0.8585511,-0.4866291,-14.963762,0.6555211,0.5495242,-0.5043515,0.11808832
0.65137273,-1.2730734,-15.21302,0.10413084,0.8331093,0.31493443,0.44260818
0.85764444,-0.4868857,-14.963928,0.65555817,0.5498139,-0.50398165,0.1181131
0.6498945,-1.2702847,-15.213619,0.10384317,0.83340895,0.31436488,0.44251657
0.8574974,-0.48711205,-14.964075,0.6554978,0.55009824,-0.50374013,0.11815497
0.6486911,-1.2680147,-15.214106,0.10369846,0.8336773,0.31384265,0.44241568
0.8573672,-0.48731247,-14.963584,0.6554833,0.55035007,-0.5034865,0.1181432
0.64973474,-1.2661477,-15.214507,0.10358935,0.8338968,0.31346354,0.4422962
0.85725147,-0.48749056,-14.963149,0.65544987,0.55059254,-0.5032792,0.11808255
0.6505446,-1.264699,-15.212816,0.10356598,0.8340924,0.31314927,0.4421555
0.8571483,-0.48708975,-14.962761,0.6554246,0.55079913,-0.503115,0.11795849
0.6491853,-1.261552,-15.211478,0.10341805,0.8343747,0.31278995,0.4419117
0.8575877,-0.48726282,-14.962414,0.65544564,0.55091244,-0.502977,0.117901005
0.6500954,-1.2610675,-15.210436,0.10341389,0.8345663,0.31257775,0.44170102
0.8574769,-0.48691303,-14.962101,0.65546113,0.55103195,-0.5028529,0.11778613
0.64891076,-1.2625736,-15.209647,0.10357492,0.8347362,0.31246284,0.44142348
0.85689735,-0.48707804,-14.961821,0.65550506,0.55112183,-0.50271916,0.11769182
0.6497829,-1.2619474,-15.209044,0.10367695,0.8348609,0.3123131,0.44126973
0.8568301,-0.48677114,-14.961567,0.6555491,0.5511566,-0.5026577,0.11754604
0.6487687,-1.2631521,-15.208577,0.103857115,0.83497816,0.31225404,0.44104722
0.85676926,-0.4864934,-14.961337,0.65557986,0.5512096,-0.5025849,0.11743727
0.6479745,-1.2624904,-15.208212,0.10408378,0.8351991,0.3121786,0.44062862
0.8563026,-0.48665282,-14.96113,0.6556758,0.55130076,-0.5023701,0.117392965
0.6473461,-1.2634915,-15.207922,0.10432554,0.83535403,0.3122314,0.44024026
0.85548747,-0.48718867,-14.960941,0.65579444,0.5513876,-0.50212204,0.11738351
0.6450623,-1.2663133,-15.207504,0.1048682,0.8356583,0.31237805,0.43942904
0.8547765,-0.4874126,-14.960611,0.65591866,0.55165386,-0.5016566,0.11742844
0.6449196,-1.2679589,-15.207354,0.10518698,0.835828,0.31242144,0.438999
0.8541308,-0.4875104,-14.960466,0.65597224,0.5518274,-0.5013945,0.11743283
0.64356047,-1.2680677,-15.207229,0.10544507,0.8360862,0.31238964,0.43846777
0.8535388,-0.4876001,-14.960334,0.6560537,0.5520392,-0.50105214,0.117443606
0.64243615,-1.2681577,-15.207126,0.10567035,0.83634853,0.31239155,0.4379115
0.8532518,-0.48769808,-14.96019,0.6561264,0.5522856,-0.5006877,0.11743375
0.6414991,-1.2682327,-15.20704,0.105921,0.83664054,0.31233686,0.4373318
0.8529409,-0.48780417,-14.960033,0.65615356,0.55261445,-0.5002862,0.117445536
0.6385831,-1.2682956,-15.206968,0.106121935,0.83698255,0.31228068,0.4366683
0.85138476,-0.48851588,-14.959823,0.65629286,0.5529878,-0.4997052,0.11738384
0.63713133,-1.2683488,-15.206907,0.10635662,0.83731234,0.3121681,0.43605912
0.85039586,-0.48799893,-14.960232,0.6563528,0.5534603,-0.49912032,0.117310315
0.63493633,-1.268394,-15.206856,0.106624775,0.83767456,0.31199422,0.43542185
0.8484985,-0.4874084,-14.959931,0.6564628,0.55405873,-0.4983382,0.11719493
0.6330596,-1.2684327,-15.206811,0.10695013,0.83800316,0.31177628,0.43486556
0.8464499,-0.48767182,-14.960509,0.6566047,0.5546593,-0.49749663,0.117134355
0.6305788,-1.268466,-15.206774,0.107223816,0.8383319,0.311576,0.43430763
0.84433347,-0.48999813,-14.961105,0.65687275,0.5551657,-0.49656606,0.11718091
0.6292585,-1.2684948,-15.20674,0.107552305,0.83864003,0.31129867,0.4338303
0.8408791,-0.4912422,-14.961735,0.6570795,0.5557157,-0.49568787,0.11713335
0.62811184,-1.2693025,-15.206713,0.10793929,0.8389655,0.3109772,0.4333352
0.8389478,-0.49110335,-14.962325,0.6571838,0.55630493,-0.49487936,0.11716959
0.626271,-1.2700462,-15.206686,0.10830888,0.83937836,0.3105517,0.432748
0.8356473,-0.4909701,-14.962891,0.65724725,0.5568833,-0.4941009,0.11735235
0.62530994,-1.2699385,-15.20666,0.10855574,0.8398438,0.30994502,0.4322178
0.8342377,-0.49085245,-14.96339,0.6573664,0.557351,-0.49337357,0.11752429
0.62334126,-1.2688668,-15.206633,0.10872344,0.8403464,0.3092335,0.43170816
0.8330098,-0.49074996,-14.963826,0.6574189,0.55774885,-0.49277437,0.117856264
0.621427,-1.2688597,-15.206607,0.10893452,0.8407526,0.30855787,0.4313471
0.8302295,-0.49232998,-14.964219,0.65756106,0.5580102,-0.4922045,0.11820652
0.61959857,-1.268853,-15.206582,0.108991854,0.84111434,0.3078965,0.4311
0.8295995,-0.4919591,-14.964546,0.657513,0.55831623,-0.49183822,0.1185531
0.6190792,-1.2688468,-15.20656,0.10906473,0.8413503,0.30726305,0.4310731
0.8290849,-0.4916561,-14.9631405,0.6575146,0.55855554,-0.49148148,0.1188964
0.6197162,-1.2688416,-15.206541,0.10908579,0.8414513,0.30671102,0.4312637
0.8286582,-0.49140492,-14.9636545,0.6574908,0.55870664,-0.49124378,0.11929994
0.6179944,-1.2676673,-15.206523,0.108974755,0.84160423,0.30610374,0.43142486
0.82831705,-0.489577,-14.9640665,0.6573907,0.55886626,-0.49113068,0.1195689
0.6176495,-1.267806,-15.206506,0.109041594,0.841637,0.3055431,0.43174133
0.828037,-0.4896843,-14.962796,0.6573692,0.55894387,-0.49099398,0.11988551
0.6173334,-1.2654763,-15.2064905,0.10872607,0.8415803,0.3047937,0.43246058
0.8278074,-0.49135563,-14.961754,0.657253,0.5587844,-0.49124688,0.120229185
0.6182628,-1.2634941,-15.206478,0.108516686,0.8415093,0.30421352,0.43305945
0.82761717,-0.4911699,-14.960892,0.6570575,0.5586123,-0.4916747,0.12034889
0.6190419,-1.2629801,-15.206468,0.108377725,0.8413849,0.30380353,0.4336232
0.8289576,-0.48953062,-14.960206,0.65682477,0.55846775,-0.49212798,0.12043761
0.6185665,-1.2625138,-15.206458,0.108212516,0.84134763,0.30348986,0.43395638
0.8300335,-0.488215,-14.959656,0.65661687,0.5582832,-0.49264354,0.12031877
0.61932474,-1.2609372,-15.2064495,0.10809404,0.84128517,0.30329058,0.43424627
0.83090484,-0.4884956,-14.95921,0.6564903,0.5580221,-0.49313536,0.1202056
0.6199638,-1.2607327,-15.206443,0.108136356,0.84114826,0.3032639,0.43451947
0.83161664,-0.48872483,-14.958846,0.65645343,0.5576708,-0.49361238,0.12007964
0.62156814,-1.259493,-15.206437,0.10818592,0.8409855,0.30333865,0.4347701
0.832203,-0.4876987,-14.958546,0.6563116,0.55737925,-0.4941806,0.11987145
0.6219081,-1.2604756,-15.206432,0.10840579,0.84083724,0.3035458,0.4348572
0.8326895,-0.48800126,-14.958298,0.6562383,0.5570633,-0.49468574,0.11965739
0.622197,-1.2603465,-15.206428,0.108583234,0.84071624,0.30374885,0.43490526
0.83419275,-0.4882542,-14.95809,0.6561318,0.55673087,-0.4952339,0.11952065
0.62335974,-1.2602363,-15.206424,0.10877204,0.8405727,0.30403033,0.4349388
0.83337456,-0.48846707,-14.957915,0.6561334,0.5564109,-0.495647,0.119289026
0.62435913,-1.2610115,-15.206421,0.10895529,0.8404224,0.30434752,0.43496162
0.83466077,-0.4886474,-14.957766,0.6560868,0.5560784,-0.4961227,0.11911869
0.62522256,-1.2616813,-15.206418,0.109155126,0.84026814,0.3046897,0.43497008
0.83481675,-0.48880106,-14.957639,0.65602887,0.5557666,-0.49658483,0.11896751
0.62597233,-1.263048,-15.205631,0.1093801,0.84012336,0.30509716,0.43490756
0.83584344,-0.48893276,-14.957531,0.6559843,0.5554162,-0.49708477,0.1187615
0.6258805,-1.2634946,-15.205689,0.10949009,0.8400302,0.30546653,0.43480033
0.8367282,-0.48819783,-14.9574375,0.65590405,0.55515236,-0.49754438,0.118513435
0.62579995,-1.2645944,-15.205032,0.10959231,0.83996046,0.305817,0.43466306
0.83749455,-0.48836726,-14.957356,0.6559003,0.55483055,-0.49794236,0.11836929
0.62505585,-1.2655622,-15.204454,0.109670796,0.8399047,0.30612788,0.43453214
0.83739585,-0.48851475,-14.957286,0.65589684,0.55451983,-0.49833676,0.11818482
0.6244147,-1.2665764,-15.20349,0.10986904,0.8397542,0.30666846,0.43439174
0.83929104,-0.48808175,-14.957171,0.6558396,0.55394626,-0.49911085,0.117925115
0.62443715,-1.2672871,-15.203087,0.109972216,0.8396575,0.30690697,0.43438408
0.84039676,-0.48757118,-14.957123,0.6557883,0.55366856,-0.4995111,0.117819905
0.6244571,-1.2679219,-15.202727,0.11004925,0.8395713,0.30713496,0.4343701
0.8407517,-0.48836663,-14.957081,0.65581733,0.55336976,-0.4998152,0.11777266
0.6259751,-1.2680124,-15.202114,0.11012605,0.83928597,0.30744863,0.43468004
0.8430266,-0.48802477,-14.95701,0.65568286,0.5528854,-0.5005498,0.11767662
0.6263129,-1.2671908,-15.202512,0.10993404,0.83910847,0.30761623,0.4349528
0.84383446,-0.4882563,-14.956954,0.65557814,0.5526209,-0.50099534,0.117606126
0.6266699,-1.2668376,-15.202683,0.10984216,0.8390244,0.30765978,0.43510714
0.8444191,-0.48787224,-14.956929,0.65549916,0.5525681,-0.50115967,0.11759463
0.6269941,-1.2673231,-15.2024355,0.10979537,0.8389454,0.3077198,0.4352289
0.8449467,-0.48798415,-14.956907,0.65544903,0.55253917,-0.50125515,0.117602356
0.6269062,-1.2673819,-15.202593,0.10971968,0.8388992,0.30773237,0.4353282
0.84542394,-0.4880854,-14.956887,0.6553987,0.5525285,-0.5013266,0.11762812
0.6274491,-1.2674847,-15.202521,0.109578155,0.8388028,0.30773878,0.435545
0.8454566,-0.4878676,-14.956853,0.6553396,0.5525484,-0.50137776,0.1176462
0.62801486,-1.2672013,-15.202654,0.10953073,0.8387384,0.30775538,0.43566918
0.845846,-0.4879589,-14.956838,0.6553169,0.5525469,-0.5013969,0.11769841
0.6282221,-1.2672533,-15.202463,0.10948168,0.83868235,0.30780965,0.435751
0.84620154,-0.4880423,-14.956825,0.65528697,0.5525469,-0.50142306,0.117753014
0.62841254,-1.2675973,-15.202288,0.109471835,0.8386223,0.30785984,0.4358337
0.8461898,-0.4881186,-14.956812,0.65525436,0.5525706,-0.50142646,0.11780965
0.6285879,-1.2676326,-15.2021265,0.10945713,0.8385791,0.30788907,0.4358997
0.8464992,-0.48818856,-14.9568,0.6552209,0.5525741,-0.50144637,0.1178943
0.6287496,-1.2676651,-15.201977,0.10944381,0.83852875,0.30792668,0.43597338
0.84678334,-0.4882528,-14.95679,0.6552012,0.55256134,-0.5014696,0.117964424
0.628899,-1.2674412,-15.202093,0.109431654,0.83849716,0.30793247,0.4360331
0.84675586,-0.4883119,-14.95678,0.65518594,0.5525587,-0.50148094,0.11801313
