ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-40-43
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-40-43 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-7A00-7A01-7A04-7A05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved to right. 4 peas in diamond. 2nd iridecent

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.61837816,-1.345228,-15.188291,0.13733639,0.84479946,0.3127964,0.41183868
0.9109946,-0.5177055,-14.966418,0.64973915,0.5622179,-0.4822218,0.17091587
0.61823046,-1.3456931,-15.188239,0.13741063,0.84477025,0.3127808,0.41188574
0.9128514,-0.5179184,-14.966365,0.64960694,0.5618071,-0.4828408,0.17102186
0.61809665,-1.3452722,-15.188191,0.1374206,0.84475297,0.3127335,0.4119537
0.9144571,-0.51965946,-14.966319,0.649522,0.56138235,-0.4833557,0.17128445
0.61797506,-1.34569,-15.188149,0.13748343,0.844726,0.3126985,0.41201454
0.91424865,-0.5195629,-14.966282,0.6495268,0.561042,-0.48375088,0.17126557
0.61824447,-1.3456903,-15.18811,0.13753313,0.84467584,0.3126616,0.4121289
0.91566104,-0.5194786,-14.9662485,0.64940965,0.56078035,-0.48417878,0.17135796
0.6184903,-1.3460517,-15.188076,0.13760446,0.8446193,0.3126101,0.41226012
0.9152559,-0.51941025,-14.966222,0.64941293,0.5605274,-0.48445475,0.17139329
0.61871505,-1.346039,-15.188043,0.13762619,0.84458077,0.31250554,0.41241077
0.9165102,-0.5193509,-14.966199,0.6494938,0.5599916,-0.48497704,0.1713608
0.61894166,-1.3456677,-15.18801,0.13763206,0.8445737,0.31237596,0.4125216
0.9175674,-0.52092564,-14.96618,0.6495942,0.5595077,-0.4853514,0.171501
0.6191891,-1.3452623,-15.187974,0.1376258,0.8445711,0.3122197,0.41264722
0.9184652,-0.52060246,-14.966164,0.64957064,0.5592181,-0.48571166,0.1715149
0.6194391,-1.3452818,-15.187937,0.13766742,0.84456354,0.31210148,0.41273826
0.9192214,-0.52033025,-14.966149,0.64956355,0.55889326,-0.48610705,0.17148049
0.6192583,-1.3452995,-15.187904,0.13767551,0.84460676,0.31195986,0.41275412
0.92164373,-0.5183255,-14.966138,0.6495202,0.558595,-0.4865165,0.1714553
0.6190887,-1.3449166,-15.187874,0.13761908,0.8446861,0.31180665,0.41272637
0.9218447,-0.52018017,-14.966128,0.6497546,0.5583151,-0.48646063,0.1716375
0.61892426,-1.3445455,-15.187844,0.13759924,0.8447724,0.311615,0.41270122
0.92200553,-0.51830256,-14.966121,0.649732,0.5582111,-0.48665094,0.17152126
0.6192031,-1.3441433,-15.187812,0.13759786,0.84482414,0.31146055,0.4127121
0.9205348,-0.51842755,-14.966115,0.6499395,0.55799824,-0.48666316,0.1713932
0.61948717,-1.3437335,-15.188268,0.1375816,0.8448887,0.3112865,0.4127168
0.9208921,-0.5185281,-14.96611,0.6500149,0.55775714,-0.48683843,0.1713947
0.619777,-1.3433154,-15.188733,0.13757382,0.8449473,0.31110156,0.41273904
0.9211888,-0.5186116,-14.96763,0.6500561,0.5576224,-0.48695052,0.17135817
0.61953044,-1.342928,-15.189163,0.13756418,0.84501696,0.31094664,0.41271633
0.91997916,-0.5201251,-14.967398,0.65026844,0.5575043,-0.48675632,0.17148821
0.6192984,-1.3425634,-15.189569,0.1375318,0.84509486,0.31076327,0.4127055
0.91900295,-0.51859766,-14.968585,0.65028054,0.5574207,-0.48687443,0.17137903
0.6190897,-1.342722,-15.189934,0.13753869,0.8451567,0.31062257,0.4126825
0.91951394,-0.5186598,-14.969551,0.6503612,0.5572893,-0.48683858,0.17160226
0.61843926,-1.3424029,-15.190263,0.1374975,0.8452453,0.3104592,0.41263768
0.91869295,-0.5199512,-14.970344,0.65055233,0.557134,-0.48674095,0.17165874
0.6182726,-1.3415891,-15.190596,0.13746043,0.8453088,0.31023386,0.4126895
0.92044544,-0.51860535,-14.971029,0.6503995,0.557098,-0.4869531,0.17175311
0.6180915,-1.3407054,-15.190957,0.13737558,0.8453912,0.31001723,0.4127118
0.9207461,-0.51866364,-14.971635,0.6504352,0.5570904,-0.48681593,0.17203084
0.6192272,-1.3397144,-15.190693,0.13726068,0.8453149,0.30987453,0.41301325
0.92100465,-0.5187138,-14.970923,0.65032244,0.55732757,-0.48648608,0.1726215
0.6189236,-1.3387223,-15.19043,0.13708197,0.8452703,0.30976662,0.41324502
0.9212234,-0.5199508,-14.970322,0.65029514,0.5574847,-0.4861009,0.17330039
0.61937916,-1.3385177,-15.190922,0.13691546,0.84518325,0.30965635,0.41356066
0.92269003,-0.519833,-14.969764,0.650176,0.5576621,-0.48594394,0.17361648
0.62225056,-1.3353946,-15.19204,0.13638474,0.84479177,0.3095517,0.41461304
0.9227076,-0.52071846,-14.968895,0.6500714,0.55798894,-0.48548344,0.17424525
0.62365186,-1.3343657,-15.192586,0.13604763,0.8445388,0.30959192,0.41520858
0.9227145,-0.51936597,-14.968558,0.65001625,0.55818915,-0.48529765,0.17432743
0.62490124,-1.3345656,-15.193072,0.13584465,0.8441948,0.30972624,0.4158738
0.92272025,-0.5204446,-14.968272,0.65000075,0.5583766,-0.48500487,0.17459948
0.6273429,-1.3335317,-15.193545,0.13553298,0.8438287,0.30987635,0.41660613
0.9227253,-0.5202851,-14.96802,0.6499548,0.5585608,-0.48475456,0.17487638
0.6282968,-1.3325778,-15.193982,0.13522802,0.8434778,0.30995932,0.41735336
0.9227296,-0.51908726,-14.967807,0.649824,0.5588132,-0.4846067,0.17496575
0.62916046,-1.3317142,-15.195738,0.13481362,0.8430981,0.31010923,0.41814268
0.9217244,-0.51908386,-14.967627,0.6498545,0.5590191,-0.4842899,0.17507204
0.6299326,-1.3309419,-15.197308,0.13445881,0.84271747,0.31030992,0.41887465
0.9218281,-0.51908094,-14.967473,0.6498373,0.5592456,-0.48399028,0.17524095
0.63064134,-1.3287084,-15.198749,0.13410726,0.84235066,0.31043127,0.41963446
0.92191756,-0.5190785,-14.968259,0.64981997,0.55942136,-0.48377734,0.17533211
0.63125,-1.3283466,-15.199985,0.13377634,0.8419855,0.31063452,0.42032188
0.92112184,-0.51907635,-14.968935,0.6498485,0.5596088,-0.4834806,0.17544647
0.6333958,-1.3280317,-15.201062,0.13346915,0.8415015,0.31090438,0.42118856
0.92043453,-0.5190745,-14.969518,0.6498391,0.5598233,-0.4832131,0.17553398
0.6335729,-1.3260624,-15.203696,0.13306856,0.8410545,0.3110955,0.422066
0.9198379,-0.51749784,-14.970025,0.649804,0.5600281,-0.48303285,0.17550719
0.6354604,-1.3261368,-15.20592,0.13285206,0.8405035,0.3114116,0.42299777
0.9200657,-0.5168709,-14.970466,0.64976686,0.56019604,-0.4828648,0.17557083
0.6388792,-1.3262002,-15.207818,0.13271242,0.83990014,0.31171647,0.42401418
0.9195545,-0.5170324,-14.970853,0.6497841,0.56031656,-0.48266244,0.17567909
0.6438749,-1.324285,-15.209496,0.1324811,0.8393536,0.31184053,0.42507622
0.91910475,-0.5164993,-14.971193,0.6497187,0.56049216,-0.48255068,0.1756677
0.6439037,-1.3227305,-15.210858,0.13213931,0.83903486,0.31191832,0.4257543
0.9187075,-0.51602834,-14.971494,0.6496797,0.56063235,-0.48243284,0.17568801
0.6460248,-1.32145,-15.21198,0.13185664,0.83869666,0.31191447,0.42651048
0.91835535,-0.5168296,-14.97176,0.64967835,0.56074446,-0.4822727,0.17577504
0.64557743,-1.3182924,-15.212873,0.13157848,0.838494,0.31177956,0.42709318
0.918042,-0.5163847,-14.971997,0.6496269,0.56086797,-0.48220968,0.17574379
0.6474014,-1.3179681,-15.213582,0.13147607,0.8381941,0.31173635,0.42774433
0.9177622,-0.5159876,-14.972208,0.6496195,0.56099313,-0.4820806,0.17572545
0.6488334,-1.3177135,-15.214139,0.13117234,0.8380152,0.31173256,0.42819068
0.91698927,-0.5156318,-14.972399,0.6496208,0.5611141,-0.4819419,0.17571497
0.6477292,-1.3153169,-15.214564,0.13085593,0.8379644,0.31158137,0.42849666
0.91629475,-0.51531225,-14.9725685,0.6496166,0.5612109,-0.48183736,0.17570846
0.651442,-1.3133855,-15.214909,0.13067955,0.8378508,0.31137937,0.42891932
0.9161406,-0.5150243,-14.972722,0.64961386,0.5612835,-0.4817594,0.17570059
0.6542575,-1.3142153,-15.215169,0.13056695,0.8378244,0.31098303,0.4292927
0.9160014,-0.5152122,-14.972412,0.64961535,0.56134623,-0.48167667,0.17572151
0.6541107,-1.3125995,-15.213132,0.13014272,0.83806425,0.31044078,0.42934573
0.9163008,-0.5153823,-14.972132,0.64963675,0.5613748,-0.4816109,0.17573105
0.65400034,-1.3113837,-15.211599,0.12991579,0.8381645,0.31018862,0.42940107
0.91616833,-0.515941,-14.971877,0.6496766,0.5614041,-0.4815192,0.17574151
0.6555606,-1.309719,-15.209501,0.1299446,0.83860135,0.30945587,0.42906794
0.91630286,-0.5154446,-14.971435,0.6496676,0.56147575,-0.48148903,0.17562865
0.65730417,-1.3091581,-15.208794,0.13013116,0.8388078,0.30911636,0.42885265
0.9165358,-0.5152282,-14.971243,0.6496804,0.5614771,-0.4814955,0.17555887
0.65443623,-1.3087462,-15.208276,0.13017142,0.8391199,0.30893612,0.42835945
0.91641986,-0.5156886,-14.9710655,0.64972997,0.56145126,-0.48146898,0.17553094
0.6542696,-1.3084389,-15.209862,0.13021488,0.83937734,0.30871904,0.42799813
0.9163135,-0.51579815,-14.970903,0.64976627,0.5614476,-0.48145008,0.17546023
0.6541375,-1.3081952,-15.211119,0.13026802,0.8396653,0.30850768,0.42756933
0.916513,-0.51560163,-14.971051,0.64979666,0.5614236,-0.48146823,0.17537479
0.650298,-1.3098812,-15.212068,0.13036104,0.8400167,0.30838785,0.4269367
0.9164143,-0.515703,-14.971188,0.6498385,0.56139135,-0.4814726,0.1753109
0.64913636,-1.3093948,-15.212794,0.13041049,0.840362,0.30826774,0.42632836
0.9163233,-0.5157966,-14.9713125,0.64989346,0.56135553,-0.4814656,0.17524064
0.6465493,-1.3090181,-15.213357,0.13055192,0.8407051,0.30807266,0.4257493
0.91623926,-0.51588297,-14.971429,0.6499424,0.5613155,-0.4814729,0.17516777
0.644523,-1.3087232,-15.2137985,0.13058324,0.8410887,0.30786058,0.42513502
0.91616154,-0.5157208,-14.971537,0.64997387,0.56128,-0.48150325,0.17508127
0.6429191,-1.3084898,-15.214147,0.13065149,0.84144276,0.30766937,0.42455134
0.9163195,-0.51580054,-14.971637,0.65000474,0.56124157,-0.48152238,0.1750372
0.64163685,-1.3097498,-15.214426,0.13078372,0.8417076,0.3075578,0.4240662
0.9162475,-0.5158745,-14.971729,0.6500367,0.5612057,-0.4815378,0.1749914
0.6392275,-1.3093923,-15.214651,0.13087294,0.8420081,0.3074559,0.42351562
0.9161807,-0.5157356,-14.971815,0.6500578,0.5611713,-0.48158064,0.17490499
0.63857174,-1.3104072,-15.214834,0.13098648,0.84233624,0.30730793,0.42293513
0.91611856,-0.51600087,-14.971895,0.6501024,0.56111145,-0.48160696,0.17485885
0.6367929,-1.3099997,-15.213744,0.1310869,0.84272814,0.30714032,0.42224455
0.91605926,-0.51606196,-14.9719715,0.6501554,0.56101346,-0.48166692,0.17481075
0.63532114,-1.310841,-15.212842,0.13121073,0.8430641,0.30699947,0.42163718
0.91619337,-0.5163141,-14.972046,0.65023404,0.5608721,-0.4817276,0.17480513
0.6352139,-1.3115422,-15.21209,0.1314301,0.84325165,0.30693725,0.421239
0.9165171,-0.51617664,-14.972119,0.650268,0.56072813,-0.48186037,0.17477474
0.6340603,-1.3121307,-15.211459,0.13155642,0.8434262,0.30686307,0.420904
0.916642,-0.5162342,-14.971998,0.65036607,0.56052923,-0.48197728,0.17472559
0.63308567,-1.312628,-15.210926,0.13164257,0.8435773,0.30683807,0.42059255
0.9165722,-0.51629066,-14.972073,0.65049803,0.56027794,-0.48213264,0.17461132
0.633217,-1.312091,-15.210473,0.13173914,0.843662,0.30679986,0.4204202
0.9165038,-0.516346,-14.971952,0.6506009,0.5600436,-0.48229104,0.17454268
0.6333293,-1.3125436,-15.209173,0.13187024,0.84370655,0.3067877,0.42029852
0.91662896,-0.51640016,-14.971835,0.65068614,0.5598161,-0.48245016,0.17451462
0.6325595,-1.3129327,-15.208922,0.13188006,0.84378844,0.30677733,0.42013863
0.9167516,-0.5166455,-14.97172,0.65078473,0.55954164,-0.4826282,0.17453487
0.6327171,-1.3132691,-15.208705,0.13193049,0.84380734,0.3067956,0.42007157
0.9168719,-0.5168859,-14.971607,0.650864,0.5592626,-0.48282444,0.17459095
0.632854,-1.3127795,-15.208516,0.13194782,0.84382796,0.306768,0.4200449
0.9170006,-0.5171432,-14.971487,0.6509495,0.55898196,-0.4830208,0.17462775
0.6337162,-1.3130951,-15.208352,0.13202246,0.84380025,0.30676886,0.42007637
0.9171449,-0.51719105,-14.971592,0.6510358,0.55865383,-0.48331013,0.1745556
0.6337665,-1.3126659,-15.208207,0.13203816,0.8437918,0.3067799,0.42008048
0.9173045,-0.51724404,-14.971708,0.65111893,0.55834234,-0.48357543,0.17450742
0.6331404,-1.3129585,-15.20808,0.13205694,0.84377605,0.30679247,0.420097
0.9174787,-0.5173018,-14.971835,0.6511446,0.55806893,-0.4838458,0.17453665
0.63322383,-1.3125802,-15.207968,0.13205251,0.84373724,0.3068362,0.42014426
0.91765016,-0.51704675,-14.971961,0.6511419,0.5578649,-0.4840917,0.17451711
0.6326929,-1.3128496,-15.207869,0.13203959,0.8436974,0.30689836,0.42018285
0.9175044,-0.51742333,-14.972081,0.65124995,0.5575957,-0.48422328,0.17460954
0.632795,-1.3130896,-15.20778,0.132064,0.8436319,0.30695766,0.4202635
0.9181059,-0.5174894,-14.972228,0.6511757,0.5573373,-0.48458236,0.17471546
0.63288623,-1.3138499,-15.207702,0.13212319,0.84355444,0.30703744,0.42034197
0.9183317,-0.5184969,-14.972396,0.65128845,0.5570365,-0.484738,0.17482233
0.6329679,-1.3140124,-15.207631,0.13213973,0.84348714,0.30709678,0.42042848
0.9191697,-0.51910377,-14.972593,0.651288,0.5567305,-0.48505715,0.17491373
0.6330413,-1.3136657,-15.208061,0.13213131,0.84342843,0.30712318,0.42052963
0.920105,-0.519781,-14.972813,0.651233,0.5564612,-0.4854445,0.1749003
0.63310754,-1.3138213,-15.20798,0.13213576,0.8433675,0.3071622,0.42062184
0.92030686,-0.5204556,-14.973032,0.65126926,0.55616283,-0.4857373,0.17490186
0.6331674,-1.3135173,-15.20835,0.1320944,0.8433167,0.30716166,0.42073724
0.9205057,-0.52111995,-14.973248,0.6513364,0.5559039,-0.48596406,0.17484497
0.63364404,-1.3132418,-15.208688,0.13207251,0.8432595,0.3071779,0.42084688
0.9206993,-0.5217668,-14.973458,0.65141845,0.5556207,-0.48618257,0.17483199
0.63367563,-1.3133931,-15.208992,0.13205718,0.8432022,0.3072102,0.4209429
0.9208749,-0.5215362,-14.973648,0.65144354,0.5554003,-0.48641914,0.17478082
0.63408566,-1.3135307,-15.208889,0.13205576,0.8431347,0.30722955,0.42106435
0.9228737,-0.52130127,-14.973842,0.6513655,0.5551619,-0.48678786,0.17480259
0.6344597,-1.3132939,-15.208796,0.1320453,0.8430778,0.3072353,0.4211773
0.9238147,-0.5210788,-14.974026,0.6512473,0.5550242,-0.48708165,0.17486145
0.6344576,-1.3130776,-15.20871,0.13203073,0.84301823,0.3072354,0.4213011
0.9257955,-0.5208582,-14.974208,0.65117687,0.554706,-0.48752648,0.17489414
0.6347825,-1.3132062,-15.208631,0.13203363,0.842928,0.3072388,0.42147827
0.9265354,-0.5206555,-14.974376,0.6511287,0.5544569,-0.487881,0.17487492
0.6354775,-1.3127975,-15.208477,0.13195902,0.8427142,0.30725184,0.42191947
0.92782354,-0.52030253,-14.974667,0.6512728,0.5539231,-0.48831168,0.17482825
0.63583964,-1.3125622,-15.208388,0.13191691,0.84258527,0.30727696,0.4221717
0.92837584,-0.5201512,-14.974792,0.6512532,0.5536542,-0.48866346,0.17476939
0.6361394,-1.3120644,-15.2082,0.13182163,0.8423089,0.30726835,0.42275885
0.92928624,-0.5187632,-14.974998,0.651216,0.5531264,-0.48928592,0.17483814
0.63713694,-1.3117898,-15.208097,0.13173741,0.8421214,0.30730155,0.42313427
0.9309434,-0.5200553,-14.97509,0.6512402,0.5528249,-0.4894682,0.17519085
0.63752323,-1.3120747,-15.208001,0.13173215,0.8419376,0.30731282,0.42349342
0.93247074,-0.519917,-14.975174,0.6511362,0.55261683,-0.48973957,0.17547505
0.6386548,-1.3110601,-15.207887,0.13164271,0.84172606,0.30729538,0.42395404
0.9338528,-0.51979184,-14.97525,0.651082,0.552395,-0.48992488,0.17585726
0.63905454,-1.3107759,-15.207776,0.13152844,0.8415312,0.3073004,0.42437255
0.93510014,-0.52115256,-14.975319,0.65106004,0.55222714,-0.49000812,0.17623325
0.639445,-1.3104982,-15.207666,0.13145678,0.841341,0.30736458,0.42472532
0.934694,-0.5222732,-14.975375,0.651104,0.5520375,-0.49009493,0.17642353
0.63981944,-1.3102318,-15.208349,0.13135383,0.8411837,0.30736363,0.42506924
0.9358368,-0.52327484,-14.975426,0.65118897,0.55185336,-0.4900671,0.17676274
0.64098114,-1.3107897,-15.208994,0.131299,0.84099275,0.30746928,0.42538753
0.93530935,-0.52556175,-14.975467,0.6513084,0.5516878,-0.48998883,0.17705645
0.6421597,-1.3104597,-15.209647,0.13123582,0.8408465,0.30755422,0.42563462
0.9348847,-0.5246196,-14.9755,0.65130174,0.55159867,-0.4900812,0.17710312
0.64324325,-1.3110647,-15.20934,0.1312725,0.8407012,0.3076372,0.42585024
0.93593544,-0.52521825,-14.97553,0.65134627,0.5514918,-0.49006373,0.17732051
0.64331234,-1.3115853,-15.209075,0.13124934,0.84064895,0.3077057,0.42591113
