ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-41-25
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-41-25 ; 5B00-5B01-5B04-5B05 , 5B00-5B01-5B04-5B05-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved top left. 1st dark purple. up to the left 4 peas in diamond. space between

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.67720723,-1.2772963,-15.201811,0.12139721,0.8515449,0.29502213,0.416048
0.85841423,-0.50583744,-14.955824,0.6631812,0.5675744,-0.45603535,0.17344116
0.6752876,-1.2774497,-15.202439,0.121331185,0.85162467,0.29490042,0.41599035
0.8581031,-0.5072386,-14.9558935,0.6633468,0.56742585,-0.4559198,0.1735975
0.67495096,-1.2762558,-15.202985,0.12119283,0.85167795,0.29484087,0.4159638
0.85687083,-0.50746065,-14.955952,0.6635428,0.5673397,-0.45573932,0.17360397
0.6746669,-1.2765474,-15.2034445,0.12119318,0.85169226,0.29486144,0.41591984
0.85765934,-0.5076508,-14.956002,0.66358113,0.56725156,-0.45576963,0.17366575
0.6744104,-1.2754548,-15.20386,0.12104952,0.8517828,0.29478663,0.41582927
0.8574569,-0.50870997,-14.956046,0.6637076,0.5671544,-0.4557209,0.17362767
0.6741966,-1.2758598,-15.204206,0.12098794,0.85180277,0.29478052,0.41581067
0.8564343,-0.5087747,-14.956083,0.6637811,0.5671291,-0.4556906,0.17350885
0.67400485,-1.2748554,-15.204517,0.12091485,0.85184944,0.29470456,0.4157902
0.8563543,-0.50802493,-14.956116,0.6637169,0.5671841,-0.45576182,0.17338748
0.67517215,-1.2753465,-15.204776,0.12098573,0.85178584,0.2947671,0.4158556
0.8570558,-0.50813884,-14.956144,0.66366833,0.5671818,-0.4558183,0.17343251
0.6748637,-1.2757537,-15.20499,0.120931886,0.8517368,0.2948712,0.41589782
0.8562024,-0.50823826,-14.956169,0.66367126,0.56722,-0.4557976,0.17335078
0.67585284,-1.2760999,-15.205172,0.12091752,0.8516787,0.2948791,0.41601518
0.85689926,-0.50757915,-14.956947,0.6635458,0.56720936,-0.45600554,0.1733191
0.6767589,-1.2750992,-15.2053385,0.120772496,0.85163665,0.2949157,0.41611758
0.85754746,-0.5069661,-14.956909,0.6634369,0.56722075,-0.4561381,0.17335008
0.6758007,-1.2746425,-15.205597,0.120649755,0.85156554,0.29507473,0.41618598
0.85795534,-0.5080907,-14.956842,0.6635355,0.5670439,-0.4561572,0.17350109
