ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-42-17
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-42-17 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-6900-6901-6904-6905 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved bottom right. 1st 4 peas in diamond. to the right indistiguishable

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.44438243,-1.2310168,-15.123836,0.07221304,0.8714515,0.30788153,0.37492195
0.82802665,-0.49528915,-14.930065,0.68893236,0.5308094,-0.4763365,0.12929478
0.44417894,-1.2309561,-15.123474,0.07271934,0.87147164,0.30749625,0.37509358
0.8275311,-0.49506062,-14.929522,0.68894523,0.5309459,-0.47622585,0.12907323
0.4448387,-1.231739,-15.123161,0.073242694,0.8713696,0.30730888,0.37538233
0.82790464,-0.49485326,-14.9290285,0.6888721,0.53104854,-0.47625512,0.12893334
0.44541103,-1.2308309,-15.12289,0.07334581,0.87132,0.30696622,0.3757574
0.8278533,-0.49466473,-14.92858,0.6887881,0.53118414,-0.47625974,0.12880622
0.44515002,-1.2307925,-15.122649,0.073601775,0.8712199,0.3069985,0.3759132
0.82817954,-0.49449208,-14.928171,0.68869245,0.5312738,-0.47631192,0.12875506
0.44565466,-1.2314917,-15.1224375,0.073805384,0.8710689,0.30721837,0.37604344
0.82853675,-0.4947282,-14.927722,0.68863064,0.5313061,-0.47637525,0.12871808
0.44581455,-1.2306873,-15.122083,0.07382968,0.8708984,0.3073825,0.37629932
0.8283802,-0.4943553,-14.927317,0.68850374,0.53135026,-0.4765335,0.1286289
0.44622537,-1.2306641,-15.12193,0.07391455,0.8708717,0.30737266,0.37635246
0.82831156,-0.49419186,-14.92733,0.68847036,0.5313149,-0.47662228,0.1286245
0.4465946,-1.2306434,-15.121794,0.07402228,0.8707553,0.3075924,0.37642115
0.8286631,-0.494016,-14.927344,0.68841845,0.5312639,-0.4767401,0.12867695
0.4475301,-1.230625,-15.121673,0.07423852,0.87060755,0.30777574,0.37657052
0.8290359,-0.49382955,-14.927358,0.6883657,0.53120464,-0.4768667,0.1287347
0.44778493,-1.2306086,-15.121565,0.07444004,0.8705484,0.3080064,0.37647864
0.82892424,-0.49410945,-14.927371,0.688361,0.5311099,-0.4769632,0.12879275
0.44801244,-1.2311428,-15.121469,0.07456045,0.8704736,0.30830866,0.37638047
0.8292834,-0.4943898,-14.927383,0.6883147,0.5310167,-0.4770993,0.12892069
0.44821626,-1.2316213,-15.121383,0.07465879,0.8704057,0.3086146,0.3762673
0.82965654,-0.49416658,-14.927398,0.6882988,0.5308984,-0.47723386,0.12899409
0.44839936,-1.2320513,-15.121305,0.07481275,0.87036115,0.30877098,0.37621146
0.83003956,-0.49393743,-14.927412,0.6882484,0.53081936,-0.47736195,0.12911461
0.4490349,-1.231968,-15.121235,0.07484787,0.87023175,0.30894083,0.37636432
0.8304283,-0.49370486,-14.927426,0.6882468,0.5307198,-0.47745028,0.1292056
0.4491621,-1.23234,-15.121172,0.07482462,0.87011635,0.30919325,0.37642843
0.8307941,-0.49469283,-14.927439,0.6882647,0.5305682,-0.47755584,0.1293428
0.4492773,-1.2322521,-15.121114,0.07478163,0.87004846,0.3093743,0.37644523
0.8305465,-0.49499923,-14.927451,0.6882658,0.5304697,-0.47763038,0.12946573
0.44978535,-1.2329793,-15.121062,0.07493755,0.8698489,0.30970982,0.3765994
0.83090055,-0.49470276,-14.926867,0.6882116,0.5304202,-0.47774103,0.12954853
0.45024776,-1.2332578,-15.121016,0.07489123,0.8696958,0.30991238,0.37679562
0.8312587,-0.49504578,-14.926275,0.6881365,0.5303921,-0.47784463,0.12968045
0.45030543,-1.2335118,-15.120973,0.074834585,0.8695763,0.31011274,0.37691784
0.8324201,-0.49542618,-14.925619,0.6880552,0.5303568,-0.4779542,0.12985152
0.45035812,-1.233744,-15.120933,0.07474004,0.8694053,0.31033048,0.37715164
0.8327415,-0.4957953,-14.924983,0.68800235,0.5303929,-0.47794798,0.13000767
0.45106357,-1.2336282,-15.120896,0.0745619,0.8690659,0.31035918,0.37794483
0.83225596,-0.49611658,-14.92443,0.68803245,0.5306282,-0.4776249,0.13007532
0.45108652,-1.2335218,-15.120863,0.074362785,0.86893773,0.31038514,0.37825733
0.8325823,-0.4956353,-14.923907,0.688042,0.53084946,-0.47735485,0.13011342
0.45170072,-1.2337205,-15.120832,0.07431799,0.86879003,0.3103776,0.37861136
0.83212185,-0.4959605,-14.92345,0.68807036,0.53104305,-0.47708812,0.1301517
0.4520036,-1.2336153,-15.120803,0.074242845,0.86874765,0.3102494,0.37882838
0.83245367,-0.49549958,-14.923016,0.6880668,0.5312497,-0.47685185,0.13019328
0.45234516,-1.2334964,-15.1207695,0.07424536,0.8687596,0.31009644,0.3789257
0.8320106,-0.49582988,-14.922635,0.6881118,0.5314403,-0.47657955,0.13017425
0.45270693,-1.2333705,-15.121119,0.07415941,0.86878586,0.30993643,0.3790132
0.8316217,-0.49542335,-14.922301,0.6881333,0.5316136,-0.47635752,0.13016571
0.45310023,-1.2332338,-15.121062,0.074227795,0.8687975,0.309796,0.37908792
0.83127904,-0.49506512,-14.922668,0.6881547,0.5317767,-0.47615728,0.1301189
0.453481,-1.2335433,-15.121449,0.07435737,0.86877495,0.30972123,0.37917525
0.83097595,-0.49474826,-14.922994,0.68816453,0.53194755,-0.47596395,0.13007577
0.45385653,-1.2338485,-15.121832,0.07458438,0.8687313,0.30967024,0.3792723
0.83070683,-0.49446693,-14.923282,0.6882039,0.53209275,-0.47574967,0.13005787
0.45481372,-1.23419,-15.122261,0.07483142,0.8686685,0.30965135,0.3793828
0.82989985,-0.49478343,-14.923539,0.6882663,0.5322145,-0.4755252,0.13005061
0.45519713,-1.234527,-15.122683,0.07493833,0.8686554,0.3095658,0.37946168
0.8297173,-0.49452752,-14.923769,0.6882968,0.53232574,-0.4753604,0.13003606
0.45557603,-1.2348602,-15.123099,0.07505713,0.86865836,0.30946308,0.37951523
0.82904166,-0.49480993,-14.923975,0.68836796,0.5324189,-0.4751571,0.13002127
0.45595005,-1.235189,-15.123511,0.075148545,0.8685995,0.30942154,0.37966582
0.82843405,-0.49457765,-14.924161,0.6884115,0.5325127,-0.47499236,0.13000812
0.45569423,-1.2354813,-15.123878,0.07521871,0.8686017,0.30933762,0.37971514
0.8283479,-0.49436814,-14.924328,0.68843585,0.53260463,-0.47485155,0.13001688
0.45605558,-1.235766,-15.124234,0.075207286,0.86851305,0.3093399,0.3799182
0.8278312,-0.49461755,-14.924479,0.68848014,0.53268135,-0.4747032,0.13001022
0.45641458,-1.2360489,-15.124588,0.07526903,0.8683596,0.3093692,0.3802326
0.8273628,-0.49442673,-14.924616,0.6885086,0.5327624,-0.4745742,0.12999794
0.4567685,-1.2363279,-15.124938,0.07532925,0.86817276,0.30941823,0.38060722
0.826937,-0.4946494,-14.924741,0.6885327,0.5328325,-0.47445634,0.13001342
0.45711273,-1.235882,-15.125278,0.07530042,0.8680407,0.30934083,0.380977
0.82654923,-0.49447593,-14.924854,0.6885252,0.53293216,-0.4743553,0.13001339
0.458293,-1.2354119,-15.125636,0.07535878,0.8678358,0.30938146,0.38139895
0.82655275,-0.49431762,-14.924957,0.6884868,0.5330211,-0.47431055,0.13001521
0.45949262,-1.2358419,-15.126,0.075543486,0.86758685,0.3094932,0.3818381
0.82655597,-0.49417278,-14.924712,0.6884448,0.5331233,-0.47425237,0.13003072
0.45967332,-1.235317,-15.126334,0.07558159,0.8674655,0.3094744,0.38212132
0.8265589,-0.49404004,-14.92481,0.6883687,0.5332188,-0.47425196,0.13004388
0.45983577,-1.2339315,-15.126635,0.07555159,0.86738884,0.3093663,0.38238883
0.8262551,-0.4939182,-14.924595,0.68831635,0.53331614,-0.474225,0.13002011
0.46099675,-1.2335593,-15.126931,0.07560828,0.86728466,0.30919182,0.38275486
0.8259757,-0.49380615,-14.924396,0.688239,0.5333555,-0.47429147,0.13002568
