ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-45-08
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-45-08 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-0D00-0D01-0D04-0D05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; couldn't distinguish second one

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.59960204,-1.3267683,-15.196401,0.14235105,0.84909815,0.30524078,0.4069358
0.8689028,-0.5067142,-14.954249,0.66332436,0.5283905,-0.5095054,0.14563154
0.597933,-1.3267312,-15.196447,0.14233099,0.84923136,0.30506235,0.40679845
0.8686343,-0.50657654,-14.954294,0.66336936,0.52849233,-0.5093497,0.14560203
0.59768486,-1.3266989,-15.196488,0.14238667,0.84929675,0.3049036,0.4067616
0.86817896,-0.5066338,-14.954337,0.6634415,0.52857006,-0.50918025,0.145584
0.5974584,-1.3254132,-15.196526,0.14235426,0.84940755,0.30463403,0.4067435
0.867925,-0.5064978,-14.95438,0.6634872,0.5286447,-0.5090551,0.14554238
0.5972641,-1.3255501,-15.196558,0.14241046,0.849426,0.30453622,0.40675852
0.8676761,-0.50655663,-14.954422,0.6635284,0.5286953,-0.508947,0.1455487
0.5970968,-1.3256679,-15.196586,0.1425181,0.84944034,0.30433804,0.4068392
0.8676244,-0.5066144,-14.954463,0.6635552,0.5287392,-0.5088692,0.14553854
0.5969523,-1.3257695,-15.1966095,0.1425703,0.849468,0.30417293,0.40688655
0.8673815,-0.50667095,-14.954503,0.66357,0.5287859,-0.5088001,0.14554298
0.5968208,-1.3245978,-15.196631,0.14248171,0.84952605,0.3040151,0.40691438
0.86714345,-0.5067264,-14.954543,0.66358227,0.5288219,-0.5087427,0.14555742
0.5967088,-1.3248397,-15.1966505,0.14255151,0.8495263,0.30383185,0.40702635
0.8671024,-0.50678074,-14.954581,0.66358626,0.5288597,-0.50869304,0.14557548
0.5966075,-1.3237717,-15.196667,0.1424213,0.84958065,0.30360755,0.40712577
0.8668699,-0.506834,-14.954619,0.6635967,0.5288835,-0.5086465,0.1456036
0.59521496,-1.3228345,-15.196682,0.14230257,0.8496131,0.30346328,0.40720716
0.8666298,-0.506889,-14.954658,0.6636042,0.5289021,-0.50860745,0.14563821
