ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-48-12
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-48-12 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-0D00-0D01-0D04-0D05 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved bottom right. 4 diamond pattern peas. right and below it was disturbance slightly lighter than background

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.6663036,-1.3460568,-15.206334,0.15946195,0.83198386,0.30474654,0.43532094
0.9032711,-0.49063697,-14.933139,0.6574785,0.5624403,-0.4833401,0.13328671
0.6656602,-1.3419483,-15.206346,0.15940323,0.8323454,0.30376336,0.43533856
0.90360564,-0.49029738,-14.933279,0.65755,0.5622806,-0.48343047,0.13328043
0.6651425,-1.3386424,-15.206355,0.15936553,0.8326848,0.30281165,0.43536627
0.9036035,-0.490604,-14.933407,0.657663,0.5621,-0.48347977,0.13330594
0.6626043,-1.3359607,-15.206362,0.15922685,0.8330363,0.30190435,0.43537468
0.90389526,-0.49088594,-14.933524,0.6577711,0.5619337,-0.48351532,0.13334443
0.6648065,-1.3339214,-15.2063675,0.15917262,0.83327895,0.30106854,0.43550897
0.90388495,-0.49114558,-14.933632,0.6579008,0.56177956,-0.48350072,0.13340695
0.666503,-1.3323505,-15.206372,0.15908185,0.8334678,0.30027428,0.43572906
0.90414053,-0.49138507,-14.933732,0.6579968,0.5616519,-0.48349687,0.13348506
0.6678223,-1.3311288,-15.206376,0.15904188,0.8334858,0.2995798,0.43618715
0.9041248,-0.49160632,-14.933572,0.65810287,0.56150573,-0.4834996,0.13356742
0.66885555,-1.330172,-15.206378,0.15899847,0.8334619,0.29899052,0.43665266
0.9043495,-0.491811,-14.933424,0.6581693,0.5613706,-0.48353118,0.13369304
0.6696692,-1.3294185,-15.206381,0.15897366,0.83340925,0.29852057,0.43708345
0.9043304,-0.4920006,-14.933287,0.6582429,0.5612222,-0.4835723,0.13380519
0.6703125,-1.3288229,-15.206382,0.15893106,0.83331823,0.29815203,0.4375238
0.9043126,-0.49217647,-14.93316,0.6583237,0.5610682,-0.4836154,0.1338978
0.6726474,-1.3302188,-15.206383,0.15899277,0.83317804,0.2978638,0.43796453
0.9045012,-0.49213472,-14.933043,0.6583514,0.56090575,-0.4837443,0.13397658
0.6744393,-1.329535,-15.206384,0.15899472,0.83308035,0.29756543,0.43835232
0.9048714,-0.4920959,-14.933128,0.6583581,0.5607268,-0.48391291,0.13408408
0.6723729,-1.3289703,-15.206386,0.1589747,0.83305943,0.29735002,0.43854526
0.9048448,-0.4922506,-14.933018,0.65841424,0.5605131,-0.48405653,0.13418318
0.67416453,-1.328527,-15.206387,0.15903476,0.83299404,0.2971181,0.43880492
0.9048187,-0.49220997,-14.93291,0.65845764,0.5602813,-0.48424566,0.13425584
0.6755928,-1.3281735,-15.206387,0.15910788,0.832948,0.2969413,0.4389854
0.9051776,-0.49217016,-14.932997,0.65844643,0.56003296,-0.48451367,0.13438009
0.67510813,-1.3261755,-15.206387,0.15908457,0.8329796,0.29671773,0.43908504
0.90552926,-0.49232337,-14.93289,0.658446,0.55975795,-0.48478904,0.1345348
0.6747087,-1.3262283,-15.206387,0.15912978,0.832995,0.29658657,0.43912804
0.9056817,-0.4924735,-14.932785,0.65845865,0.5594811,-0.4850425,0.1347108
0.67602915,-1.3262701,-15.206387,0.15919457,0.8330165,0.2964434,0.43916044
0.9058311,-0.4928129,-14.932681,0.6584808,0.5591792,-0.48529807,0.1349354
0.67548645,-1.3263049,-15.206387,0.1592672,0.83303905,0.29637715,0.43913612
0.9061698,-0.49276102,-14.932581,0.6584201,0.5588736,-0.48568663,0.13509932
0.6766172,-1.3278906,-15.206387,0.15940969,0.83301896,0.2963122,0.43916637
0.90630937,-0.4929024,-14.932674,0.658438,0.5585056,-0.486043,0.13525231
0.6760369,-1.3291528,-15.206387,0.15968017,0.83299166,0.29632068,0.4391142
0.9066385,-0.49304098,-14.932766,0.658522,0.5577127,-0.4867857,0.13544396
