ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-48-55
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-48-55 ; 5300-5301-5304-5305 , 5300-5301-5304-5305-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. dark simlge phoshene. to the right were 3 peas at 3 6 and 9 oclock

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.50144815,-1.3239355,-15.15186,0.09626594,0.86158353,0.34208307,0.36247197
0.79726535,-0.4758646,-14.918055,0.6959062,0.5502946,-0.45492464,0.07703288
0.5011502,-1.3226323,-15.15128,0.096722394,0.8615035,0.3417359,0.3628679
0.7973242,-0.47533572,-14.918052,0.6959053,0.55064315,-0.45448312,0.07715658
0.50090927,-1.3233339,-15.150812,0.09700984,0.8613651,0.3415732,0.36327273
0.7963823,-0.4768711,-14.917057,0.695968,0.550908,-0.45404008,0.077307895
0.5023896,-1.3238785,-15.150449,0.09743896,0.8611222,0.341479,0.3638218
0.7965219,-0.4772372,-14.91621,0.69597405,0.55114394,-0.45372006,0.07745153
0.503552,-1.3274745,-15.150164,0.09799712,0.86080724,0.3414994,0.36439782
0.7966415,-0.47844583,-14.915484,0.6959815,0.5513318,-0.4534537,0.077606924
0.5044743,-1.3273178,-15.149937,0.0982712,0.860557,0.34142354,0.36498553
0.7967446,-0.47778675,-14.914859,0.695948,0.551526,-0.45324895,0.07772346
0.50664294,-1.328622,-15.149755,0.09859983,0.8602272,0.34138536,0.36570942
0.7960261,-0.47802368,-14.914316,0.69595194,0.55165696,-0.45306355,0.07784008
0.50703853,-1.3296766,-15.149609,0.0989135,0.859896,0.34134504,0.36644045
0.795401,-0.47899717,-14.913845,0.6959542,0.55176234,-0.45290586,0.0779895
0.5099418,-1.330537,-15.149488,0.09928851,0.8595044,0.34127024,0.36732626
0.7955834,-0.4791192,-14.913433,0.69592714,0.551864,-0.45280176,0.07811677
0.5111039,-1.3300189,-15.14939,0.0994839,0.8591694,0.34120718,0.36811486
0.79574406,-0.47853196,-14.913071,0.69588214,0.55195206,-0.4527444,0.078227915
0.51206714,-1.3295894,-15.149308,0.09969743,0.85881275,0.341207,0.36888877
0.7952257,-0.4793344,-14.91275,0.695885,0.55199087,-0.45267174,0.07834903
0.5128713,-1.3303372,-15.14924,0.099934034,0.8584546,0.3411978,0.36966604
0.7953969,-0.47941884,-14.912463,0.69587266,0.55200833,-0.45265123,0.078454085
