ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-49-44
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-49-44 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-6900-6901-6904-6905 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved down. 1st was 4 peas in diamond. couldnt determine second one. lighter than background

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.69919366,-1.2587671,-15.226823,0.15422237,0.8395175,0.25900438,0.4520428
0.9915445,-0.51689947,-14.966082,0.65736806,0.519746,-0.51737744,0.1733551
0.6983544,-1.2576839,-15.227814,0.15427567,0.8396048,0.25882417,0.4519656
0.9900755,-0.5171845,-14.966082,0.65743387,0.519608,-0.5173834,0.17350146
0.6970578,-1.2579944,-15.229343,0.1547998,0.8398554,0.25816014,0.45170063
0.98892224,-0.5176147,-14.967229,0.65750223,0.51952964,-0.51727605,0.17379653
0.69655406,-1.2590865,-15.229938,0.15520611,0.8400081,0.2577463,0.45151344
0.9890501,-0.51777804,-14.968188,0.6575126,0.51959497,-0.51713306,0.17398767
0.6952011,-1.2590964,-15.230445,0.15542316,0.8402423,0.25732884,0.45124093
0.98812234,-0.51791555,-14.968997,0.65760225,0.5197559,-0.51681775,0.17410505
0.69491583,-1.2599815,-15.230881,0.1556556,0.8403808,0.25716257,0.4509977
0.9883195,-0.5190158,-14.969682,0.6576103,0.5198897,-0.5165941,0.17433856
0.69466954,-1.2599128,-15.231257,0.15582499,0.84056824,0.2568754,0.45075342
0.98848957,-0.5190196,-14.970273,0.6575923,0.5199931,-0.5164801,0.17443594
0.69366467,-1.2598532,-15.231584,0.15591022,0.8407925,0.25665963,0.45042846
0.98773754,-0.51902294,-14.969883,0.6576736,0.5201267,-0.51626515,0.1743677
0.69278866,-1.2590498,-15.231869,0.15596293,0.84101236,0.25646386,0.45011115
0.9879427,-0.5190258,-14.969546,0.65761006,0.52027565,-0.5162046,0.17434229
0.6920214,-1.2597741,-15.231404,0.15613917,0.8411914,0.2564383,0.44972995
0.9873101,-0.5198384,-14.969254,0.6577197,0.5202885,-0.51606554,0.17430198
0.69134676,-1.2597327,-15.231674,0.15624845,0.8413948,0.25629488,0.4493932
0.98752946,-0.5205453,-14.969001,0.6576966,0.5202738,-0.5160979,0.17433709
0.69075114,-1.2596962,-15.231268,0.15638837,0.8415485,0.2562824,0.44906375
0.9877251,-0.5204296,-14.968774,0.6576746,0.5202938,-0.5161457,0.1742186
0.68961096,-1.2602761,-15.230907,0.15652749,0.84175384,0.2562728,0.44863564
0.9879045,-0.52032346,-14.968566,0.6576948,0.52010304,-0.51632315,0.17418602
0.68917835,-1.2602103,-15.230587,0.15670064,0.8418844,0.25625736,0.44833902
0.98894095,-0.52105904,-14.968348,0.6576426,0.51995516,-0.51647586,0.174372
0.68823975,-1.2601516,-15.230301,0.15675111,0.84202564,0.2562965,0.44803366
0.9890368,-0.5208857,-14.968152,0.65765446,0.5197251,-0.51670665,0.17432968
0.6873993,-1.2606239,-15.230045,0.15689893,0.8421425,0.25633588,0.44773957
0.9891266,-0.52157617,-14.967969,0.6577014,0.51953316,-0.5167954,0.1744613
0.68714315,-1.2610481,-15.2298155,0.15702993,0.84221774,0.25634572,0.44754645
0.9883942,-0.5221739,-14.967811,0.65781,0.5192786,-0.51690346,0.17448974
0.6869124,-1.2609564,-15.229608,0.15710887,0.84231025,0.25632858,0.44735456
0.98853236,-0.522716,-14.967667,0.6577654,0.51902163,-0.51714426,0.17470878
0.68651533,-1.2607987,-15.229252,0.15721896,0.84243786,0.25635853,0.44705823
0.9887718,-0.5229451,-14.967417,0.65783715,0.51841456,-0.5175029,0.17517838
0.686344,-1.2611368,-15.229505,0.15730941,0.84246206,0.25634703,0.4469874
0.9898007,-0.5234858,-14.967291,0.6577878,0.5180175,-0.51785004,0.17551206
0.68657404,-1.2614444,-15.229348,0.15737349,0.8424811,0.25631478,0.44694746
0.9898246,-0.52398396,-14.9681,0.6577612,0.5176825,-0.51813024,0.17577319
0.68641716,-1.2613585,-15.229572,0.15741962,0.8425105,0.25624347,0.4469166
0.9898467,-0.524444,-14.968845,0.65783566,0.51726955,-0.5183297,0.1761218
0.6862739,-1.26128,-15.229777,0.15737772,0.8425391,0.2561692,0.44692022
0.9898668,-0.52486277,-14.968572,0.65783715,0.51704663,-0.51848704,0.17630716
0.6861427,-1.2612079,-15.229965,0.15739542,0.8425698,0.25604457,0.44692743
