ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-52-18
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-52-18 ; 1C00-1C01-1C04-1C05 , 1C00-1C01-1C04-1C05-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. 1st single phosphene. slight pea sized space then 4 peas in diamond

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.5883521,-1.2784306,-15.170594,0.11353988,0.87448764,0.2665089,0.38904133
1.0217574,-0.4927317,-14.96585,0.60497946,0.5700011,-0.51850575,0.20062508
0.5889137,-1.2791396,-15.170399,0.11355284,0.8744981,0.2666259,0.38893384
1.0213732,-0.49368143,-14.965881,0.60512686,0.57020456,-0.5180743,0.20071737
0.58873296,-1.2797633,-15.170226,0.11353591,0.87451977,0.26677403,0.38878852
1.021057,-0.4932413,-14.965907,0.60511696,0.57047284,-0.5178099,0.20066684
0.58857334,-1.2796733,-15.1700735,0.11344883,0.87457347,0.2667994,0.3886757
1.0207897,-0.49286926,-14.96593,0.6050706,0.570718,-0.5176038,0.2006411
0.5890409,-1.2802025,-15.16933,0.11349001,0.8745664,0.2668331,0.38865647
1.0205654,-0.49255705,-14.964816,0.6049927,0.5709648,-0.5174468,0.20057903
0.5888783,-1.2806733,-15.168668,0.11354551,0.87455773,0.26687846,0.38862854
1.0203749,-0.4922918,-14.963869,0.6049735,0.57111025,-0.51733667,0.20050722
0.58873314,-1.2799945,-15.1680765,0.113460176,0.8745569,0.26685068,0.38867435
1.0213225,-0.49205,-14.963007,0.6048615,0.57123816,-0.51732564,0.2005086
0.5885959,-1.2799039,-15.167518,0.113449164,0.8745413,0.2668355,0.38872313
1.0210483,-0.49184397,-14.962273,0.6047393,0.5713901,-0.517272,0.2005829
0.5884647,-1.2798172,-15.166983,0.11338514,0.87452275,0.26681376,0.38879845
1.0208126,-0.49166682,-14.96164,0.6046005,0.57146174,-0.51734495,0.20060915
0.5883388,-1.279734,-15.166471,0.113376044,0.87446994,0.26682428,0.38891268
1.02168,-0.49150342,-14.961057,0.60446995,0.5714588,-0.5174772,0.20066972
0.5887673,-1.2802007,-15.166011,0.113368355,0.8744091,0.26681715,0.38905674
1.0224736,-0.49135384,-14.960524,0.60433996,0.5714557,-0.517596,0.20076384
0.58919543,-1.2800943,-15.165554,0.113361664,0.87430304,0.2668149,0.38929826
1.0220766,-0.49229172,-14.960075,0.6042743,0.57142085,-0.5176439,0.20093673
0.58901703,-1.2793887,-15.165703,0.11323214,0.87423855,0.26677978,0.38950482
1.0227985,-0.49097797,-14.95967,0.6041131,0.5713755,-0.5178422,0.20103954
0.590118,-1.2793237,-15.165213,0.113161854,0.8741046,0.26680642,0.38980767
1.0234497,-0.4919895,-14.959305,0.6040438,0.5712295,-0.5179953,0.20126848
0.59117204,-1.2792615,-15.165399,0.11310947,0.87396127,0.26683354,0.39012548
1.0240407,-0.49178213,-14.958973,0.6039978,0.5711441,-0.51805013,0.2015072
0.5921867,-1.2792016,-15.165579,0.1130813,0.8737712,0.2669477,0.39048117
1.0245687,-0.49273542,-14.958677,0.6039567,0.570977,-0.5181629,0.20181386
0.5924389,-1.2797925,-15.165737,0.11305725,0.87358576,0.26707882,0.39081326
1.0239292,-0.49353376,-14.95843,0.6039212,0.570892,-0.5181868,0.20209916
0.593937,-1.280335,-15.165882,0.11307428,0.87334746,0.26723623,0.39123315
1.0256203,-0.4931384,-14.958197,0.60376614,0.5707919,-0.5183426,0.20244507
0.59548545,-1.2801949,-15.166033,0.11298319,0.8728656,0.26756355,0.39210987
1.0259657,-0.4939416,-14.95799,0.6037257,0.57055885,-0.51853955,0.20271832
0.59946376,-1.2799014,-15.167195,0.11284187,0.8716664,0.2683824,0.39425287
1.0255339,-0.49411896,-14.957666,0.60370666,0.57021564,-0.5188382,0.2029762
0.6030339,-1.2797493,-15.168254,0.11287106,0.870783,0.2689086,0.39583507
1.0248238,-0.49370232,-14.958565,0.60375696,0.57005316,-0.51899475,0.20288308
0.60545415,-1.2796006,-15.169289,0.11280194,0.8699106,0.26943615,0.39741105
1.0251995,-0.49432907,-14.959333,0.6037265,0.5698443,-0.51923084,0.20295613
0.6077722,-1.2794582,-15.170279,0.112764426,0.86902905,0.26997915,0.39897877
1.0255382,-0.4948941,-14.960027,0.6036826,0.5696904,-0.5194458,0.20296876
0.6099488,-1.2793245,-15.171209,0.11271879,0.8682514,0.27042013,0.40038365
1.0258415,-0.494415,-14.960648,0.60372645,0.56958896,-0.5195558,0.2028413
0.6119273,-1.279203,-15.173336,0.1125375,0.8676156,0.2708542,0.401518
1.0251644,-0.49400648,-14.961177,0.603806,0.5694893,-0.5196219,0.20271505
0.61517054,-1.2790891,-15.175332,0.11238268,0.8669758,0.27118927,0.40271524
1.0254726,-0.49276733,-14.961631,0.6038301,0.5694646,-0.5197191,0.20246322
0.61659765,-1.2789888,-15.177088,0.11228622,0.8665826,0.27139497,0.40344933
1.025755,-0.49252936,-14.962046,0.60385513,0.5693999,-0.51980835,0.2023417
0.61934376,-1.2803828,-15.178642,0.11234913,0.8661648,0.27159184,0.40419573
1.0260144,-0.49231082,-14.962429,0.60385543,0.5693355,-0.51991093,0.20225836
0.61872005,-1.2786494,-15.179917,0.1121093,0.8659947,0.2716331,0.4045989
1.025374,-0.4921229,-14.962757,0.6039184,0.56934845,-0.51989526,0.2020739
0.6212035,-1.278612,-15.181065,0.11205555,0.86565554,0.2717981,0.40522835
1.0248203,-0.49196035,-14.963041,0.6039379,0.56936,-0.5199278,0.20189923
0.6233397,-1.2801358,-15.182052,0.11207548,0.86538625,0.27197015,0.4056821
1.0259873,-0.4918074,-14.963308,0.60381854,0.56935835,-0.520098,0.20182288
0.625206,-1.279845,-15.182914,0.11196856,0.86521584,0.2719572,0.4060836
1.0262115,-0.4916655,-14.963556,0.6037642,0.5694327,-0.5201363,0.2016768
0.6267755,-1.2812414,-15.18364,0.11200558,0.8650314,0.27194804,0.40647236
1.0273657,-0.49152514,-14.963801,0.6036809,0.56952786,-0.52016145,0.2015924
0.62644136,-1.2807658,-15.184232,0.111756265,0.8649088,0.2719418,0.40680587
1.0265843,-0.49140477,-14.964011,0.6037124,0.56968445,-0.5200094,0.20144808
0.6296068,-1.2786105,-15.18476,0.11148558,0.86468863,0.27185705,0.40740436
1.0267538,-0.49129972,-14.964195,0.6036793,0.5698666,-0.51985574,0.20142862
0.6287682,-1.2769033,-15.185179,0.11114667,0.8645656,0.2719059,0.40772524
1.0269079,-0.49035475,-14.964362,0.60358125,0.5700751,-0.5197708,0.20135179
0.63154465,-1.2771783,-15.18554,0.11103544,0.86430657,0.27185568,0.40833783
1.0270488,-0.48949075,-14.964515,0.6034693,0.570361,-0.5196012,0.20131522
0.63207006,-1.2756371,-15.18584,0.11074988,0.8641771,0.27187878,0.40867388
1.0263615,-0.48955202,-14.964647,0.60352314,0.5705526,-0.5193181,0.20134147
0.6343355,-1.2761638,-15.18609,0.110665865,0.8640587,0.27192357,0.40891725
1.0265343,-0.48960593,-14.964764,0.603506,0.57077366,-0.51907307,0.201398
0.6343478,-1.2765868,-15.186292,0.110340044,0.8640548,0.2718372,0.40907085
1.0266955,-0.48965624,-14.964871,0.6034535,0.5709984,-0.51885617,0.20147699
0.63435763,-1.2769277,-15.186456,0.11009342,0.8641879,0.27167794,0.4089619
1.0260863,-0.48895037,-14.964967,0.60345936,0.5712909,-0.51846963,0.20162538
0.6343656,-1.2754188,-15.186586,0.10969253,0.8643769,0.27147147,0.40880725
1.0255527,-0.4883321,-14.96505,0.6034642,0.5715252,-0.5181463,0.20177816
0.63437206,-1.2741945,-15.186693,0.10945274,0.864518,0.2713039,0.40868446
1.0250834,-0.48846492,-14.965122,0.60351485,0.57170266,-0.51783067,0.20193405
0.63437706,-1.2749387,-15.1850815,0.10944148,0.864557,0.27132604,0.40859017
1.0246689,-0.48793942,-14.965187,0.6035251,0.57183635,-0.5176018,0.20211178
0.6327701,-1.2755209,-15.18543,0.10927391,0.86469185,0.27131572,0.40835655
1.0243015,-0.48747358,-14.965244,0.60357606,0.57193995,-0.51737666,0.2022426
0.6330297,-1.2759814,-15.1841755,0.10922872,0.8647315,0.2713087,0.4082893
1.0239748,-0.48763922,-14.965295,0.6036564,0.57198226,-0.5171734,0.20240287
0.63481164,-1.276376,-15.18466,0.10926149,0.86470664,0.27142572,0.40825543
1.024234,-0.4877871,-14.965341,0.60369635,0.57197803,-0.51704365,0.20262729
0.63326675,-1.27669,-15.183564,0.10918952,0.8648157,0.27145258,0.40802574
1.0239427,-0.4884431,-14.965382,0.60378885,0.57196903,-0.51687413,0.20280913
0.63343275,-1.2755349,-15.182684,0.10905976,0.86489475,0.27141,0.40792117
1.0236812,-0.488535,-14.965418,0.60386133,0.5719538,-0.51673335,0.20299524
0.63357085,-1.274574,-15.181952,0.10911785,0.86490905,0.27136368,0.4079062
1.0239179,-0.48814526,-14.965451,0.6038814,0.57197255,-0.51662076,0.2031692
0.63510025,-1.2751364,-15.181308,0.10931872,0.8649268,0.27125424,0.40788755
1.0241318,-0.4882421,-14.965481,0.60397494,0.5719322,-0.5164871,0.2033447
0.63643676,-1.2756277,-15.180745,0.10942267,0.8649602,0.27117264,0.4078431
1.0243275,-0.48833066,-14.9655075,0.6040514,0.5719229,-0.51633763,0.2035229
0.6392213,-1.2745217,-15.180227,0.10940533,0.86499447,0.27100846,0.40788424
1.0240958,-0.4888203,-14.965532,0.604141,0.5719157,-0.51616627,0.20371212
