ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-52-57
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-52-57 ; 1500-1501-1504-1505 , 1500-1501-1504-1505-5600-5601-5604-5605 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved right. 1st 4 peas in diamond. 2nd pencil point of light spot slightly above and right of the first.

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.58864397,-1.3461109,-15.189329,0.16124444,0.8415651,0.28253672,0.43120947
0.8254826,-0.4987503,-14.920233,0.6316611,0.58428144,-0.48696658,0.1499435
0.5895905,-1.3448125,-15.190293,0.16124251,0.8415056,0.28233016,0.4314614
0.82587194,-0.49913678,-14.9205,0.6317628,0.58388436,-0.4872062,0.15028337
0.5916379,-1.344926,-15.189892,0.16127063,0.84140664,0.28225642,0.43169206
0.82626605,-0.4991631,-14.920771,0.6318028,0.5835173,-0.4875116,0.15055014
0.5921867,-1.3450243,-15.189545,0.16142498,0.8413679,0.28222454,0.43173078
0.8266644,-0.4991897,-14.921044,0.63189745,0.58308756,-0.48784015,0.1507533
0.5938775,-1.3451095,-15.189244,0.16157682,0.841319,0.28221804,0.43177345
0.8270866,-0.49964115,-14.921334,0.63205945,0.58264357,-0.48808947,0.15098375
0.5952924,-1.3463445,-15.188992,0.16180293,0.8412805,0.28225493,0.43173963
0.8279869,-0.49965024,-14.921636,0.6321735,0.58222467,-0.4883782,0.15118846
0.5953686,-1.3473808,-15.188781,0.16202055,0.8413451,0.28229746,0.4315045
0.8289578,-0.5001819,-14.921962,0.6323306,0.5817131,-0.48874176,0.15132576
0.59543324,-1.3482596,-15.1886015,0.16218086,0.8414403,0.28258356,0.43107095
0.8300224,-0.50137013,-14.922924,0.63251597,0.5811309,-0.4891738,0.15139188
0.59346384,-1.3490019,-15.18845,0.16230014,0.8415731,0.2828257,0.43060777
0.8304379,-0.5019083,-14.92388,0.63271254,0.58065534,-0.4894889,0.1513766
0.59178984,-1.3496327,-15.188321,0.16245906,0.84169364,0.2830218,0.43018323
0.8315233,-0.50176215,-14.92482,0.6327431,0.5802064,-0.4900145,0.15126969
0.59127206,-1.3501723,-15.1882105,0.16256987,0.8417944,0.28312415,0.42987674
0.83258694,-0.5016189,-14.925741,0.6327337,0.5798499,-0.49045607,0.15124518
0.58995914,-1.350636,-15.188115,0.1626835,0.8418736,0.28321728,0.4296172
0.8328713,-0.5022254,-14.926633,0.63285226,0.57945514,-0.4907732,0.15123329
0.5888245,-1.3510368,-15.188033,0.1627693,0.8419611,0.2832466,0.42939392
0.83395976,-0.50282985,-14.927523,0.63291174,0.57915217,-0.49104878,0.1512502
0.587839,-1.3506019,-15.187963,0.16283613,0.84203297,0.28324404,0.42922926
0.8350274,-0.50342274,-14.928394,0.6329452,0.57886976,-0.49133688,0.15125571
