ICVP Direct Stim Program 4.0.1+v4.0.1 - RelativeLocations
Updated at: 2022-08-22--20-53-49
Subject ID: CKT
Tester ID: kstipp
Direct Stimulation Input from the UI

UserID ; Time ; Electrodes ; Frequency (Hz) ; Cathodic Phase Duration (us) ; Train Length (ms) ; Duty On (ms); Duty Off (ms) ; Inter-train Length (ms) ; Amplitude (uA) ; Sent to Gateway ; Response ; Response Latency (ms) ; Response Duration (ms) ; Comments
kstipp ; 2022-08-22--20-53-49 ; 7A00-7A01-7A04-7A05 , 7A00-7A01-7A04-7A05-1500-1501-1504-1505 ; 200 ; 200 ; 1000 ; 1000 ; 0 ; 0 ; 40 ; True ;  ;  ;  ; moved left. 1st was disturbance. to the left 4 peas in a diamond

Position t,Position u,Position v,Orientation w,Orientation x,Orientation y,Orientation z
0.58828133,-1.3090062,-15.194954,0.11062337,0.84727484,0.30163324,0.4229719
0.9299624,-0.50856084,-14.959792,0.67059356,0.5326982,-0.4922366,0.15569225
0.58600485,-1.309851,-15.195149,0.11070361,0.84756064,0.30134737,0.42258194
0.9308296,-0.5093175,-14.960246,0.6709022,0.53215015,-0.49238876,0.15575586
0.5850397,-1.3095804,-15.195318,0.11072737,0.8477937,0.30106917,0.4223065
0.9316476,-0.5093267,-14.960674,0.6711154,0.5317401,-0.49252835,0.15579644
0.58517843,-1.3083059,-15.195475,0.1106836,0.8480005,0.30074203,0.42213565
0.9317009,-0.5093352,-14.96107,0.6713515,0.5313751,-0.4926101,0.15576625
0.5842685,-1.3071572,-15.195614,0.11070377,0.8481832,0.3004754,0.42195332
0.93250656,-0.5100964,-14.96071,0.6715145,0.5311142,-0.49263054,0.15588844
0.58344966,-1.3061233,-15.195741,0.11068483,0.84835625,0.30021736,0.42179397
0.9332519,-0.510045,-14.960377,0.67158496,0.53091717,-0.4927162,0.1559856
0.5837699,-1.305183,-15.195856,0.1106926,0.8484806,0.29997024,0.42171764
0.9339473,-0.50999707,-14.960831,0.6716434,0.5307295,-0.49281207,0.15607004
0.58299005,-1.3043474,-15.194894,0.110695906,0.8486207,0.29971313,0.42161763
0.9338244,-0.50995374,-14.961241,0.6717652,0.5305181,-0.49287933,0.15605114
0.58336735,-1.3035916,-15.1951065,0.110658884,0.8487239,0.29951584,0.4215598
0.93447334,-0.50991315,-14.961626,0.67181015,0.5302704,-0.49308732,0.15604301
0.58261764,-1.3029193,-15.195295,0.110636234,0.84883165,0.2993276,0.42148247
0.9358893,-0.5098743,-14.961994,0.6718871,0.53000647,-0.4932596,0.15606381
0.583053,-1.3011771,-15.195469,0.11059173,0.84892005,0.29915702,0.4214373
0.9364274,-0.5106842,-14.962356,0.67204225,0.5297774,-0.49329132,0.156073
0.5823154,-1.3007644,-15.1956215,0.11056909,0.8490286,0.29897836,0.4213514
0.93694687,-0.5114662,-14.962705,0.672193,0.5295378,-0.49330375,0.156198
0.58168805,-1.3014927,-15.19575,0.110581614,0.8491088,0.29886255,0.4212686
0.93649834,-0.5131545,-14.963037,0.67248905,0.5292395,-0.49318755,0.15630174
0.5811305,-1.3010592,-15.195866,0.1106076,0.849192,0.2987231,0.4211929
0.93605834,-0.51583636,-14.963362,0.67269814,0.5290379,-0.49307108,0.1564514
0.5817005,-1.3017366,-15.195965,0.11066559,0.8492383,0.29866642,0.42112467
0.93564993,-0.5172596,-14.963663,0.6728328,0.5288325,-0.49306414,0.15658869
0.58115536,-1.3012872,-15.196054,0.1107018,0.8492997,0.29859152,0.42104423
0.9363972,-0.5186044,-14.963948,0.67290545,0.52859604,-0.49320894,0.15661898
0.580669,-1.3008864,-15.196134,0.11070783,0.849372,0.2985083,0.4209559
0.9370623,-0.51865804,-14.964203,0.6728903,0.5284266,-0.49343544,0.15654255
0.58023524,-1.3005288,-15.196204,0.11075389,0.8494265,0.29843578,0.4208853
0.9376533,-0.51870567,-14.964428,0.67285484,0.528359,-0.49358633,0.15644747
0.57986426,-1.3012396,-15.196265,0.11078282,0.8494917,0.29836655,0.42079502
0.9369856,-0.52118236,-14.964638,0.67305535,0.5282434,-0.49342355,0.15648894
0.5795444,-1.3018526,-15.196317,0.11079104,0.8495511,0.2983098,0.42071322
0.93637395,-0.52345115,-14.96483,0.6732498,0.5281629,-0.49322987,0.15653451
0.5792549,-1.3014194,-15.196364,0.11076682,0.84961957,0.2982334,0.42063546
0.93584025,-0.52414757,-14.964998,0.6733267,0.52821875,-0.4930828,0.15647891
0.5780236,-1.3010356,-15.196406,0.11075427,0.8496846,0.29816493,0.42055592
0.9354009,-0.5235016,-14.965136,0.6733324,0.52827615,-0.49308068,0.15626669
0.57789105,-1.300688,-15.196444,0.110760145,0.84974337,0.29808015,0.42049587
0.93621093,-0.5229548,-14.965252,0.6733085,0.5283126,-0.4930984,0.15619054
0.5777285,-1.3010472,-15.196507,0.11080417,0.84983134,0.29798573,0.42037326
0.9363632,-0.52431655,-14.96545,0.6734556,0.528441,-0.49274,0.15625317
0.57667017,-1.2997487,-15.196534,0.11078647,0.8498957,0.29792538,0.42029053
0.93588054,-0.52251583,-14.965527,0.6734894,0.52863693,-0.49256828,0.15598579
0.57667595,-1.2995367,-15.196559,0.11081164,0.84993786,0.2978753,0.42023432
0.93547755,-0.5221178,-14.9655905,0.67352206,0.5288104,-0.49237415,0.15586951
0.57572854,-1.2993486,-15.19658,0.11079761,0.84998375,0.29784635,0.42016572
0.93408847,-0.5217831,-14.965645,0.673634,0.5289756,-0.49205798,0.15582393
0.5758282,-1.299178,-15.1966,0.110819586,0.8499991,0.29782975,0.4201403
0.9339108,-0.52349544,-14.965691,0.67376673,0.52904,-0.49175838,0.15597709
0.5759183,-1.2990235,-15.196617,0.110841915,0.85000527,0.2978126,0.4201342
0.93477356,-0.5240478,-14.965733,0.673832,0.529166,-0.4914983,0.15608776
0.5752146,-1.2987623,-15.196647,0.11087902,0.8500217,0.297733,0.42014766
0.9343228,-0.5231088,-14.965798,0.6739321,0.5294721,-0.49104932,0.15603063
0.57537067,-1.2976549,-15.19666,0.11088063,0.85002506,0.2976816,0.4201769
0.9332644,-0.52273756,-14.965824,0.6739874,0.5296317,-0.4908196,0.1559729
0.57551044,-1.2976531,-15.1966715,0.1109073,0.8500124,0.2976585,0.42021173
0.9331871,-0.52241725,-14.965846,0.674,0.5297904,-0.49062786,0.15598261
0.57563573,-1.2976515,-15.196682,0.110928714,0.849993,0.2976474,0.42025322
0.9323258,-0.5229337,-14.965866,0.674116,0.52990294,-0.490332,0.1560295
0.576727,-1.29765,-15.1966915,0.110971905,0.84996986,0.2976247,0.42030463
0.9315362,-0.52340716,-14.965884,0.67421067,0.5300096,-0.490045,0.15615967
0.5757962,-1.2985797,-15.196699,0.111137815,0.8499972,0.29747933,0.42030853
0.9308079,-0.5238439,-14.9659,0.6742552,0.53003985,-0.4899063,0.1562999
0.5758838,-1.2984911,-15.196707,0.11126798,0.8500154,0.29731798,0.42035156
0.93008745,-0.52513677,-14.965917,0.6743291,0.5300554,-0.4897267,0.1564907
0.5750352,-1.2974783,-15.196713,0.111373276,0.85006547,0.29710868,0.4203702
0.9302972,-0.5254602,-14.965932,0.67435384,0.53005594,-0.48963737,0.15666172
0.57519853,-1.2974937,-15.196719,0.1115037,0.85009533,0.29690066,0.42042238
0.93047816,-0.52490276,-14.965945,0.6743618,0.5300614,-0.48958728,0.15676537
0.57534575,-1.2975075,-15.196725,0.11167555,0.85012174,0.2966636,0.42049056
0.9306438,-0.5252312,-14.965957,0.67439556,0.5300218,-0.48954248,0.15689424
0.5754841,-1.2965583,-15.19673,0.11182547,0.8501465,0.29640973,0.4205798
0.93080837,-0.52647024,-14.965968,0.67443466,0.5299618,-0.48948342,0.15711254
0.57561296,-1.2956738,-15.196734,0.11199439,0.85018307,0.29605663,0.42070964
0.9309685,-0.52767634,-14.965981,0.67447823,0.52987033,-0.48946732,0.15728442
0.5757321,-1.2948565,-15.196739,0.11220332,0.8502083,0.29568398,0.4208651
0.93110514,-0.52683985,-14.965991,0.6744808,0.5297677,-0.4895556,0.15734446
0.5758363,-1.2951475,-15.196743,0.112517886,0.85020643,0.29533163,0.42103216
0.93123144,-0.52797574,-14.966001,0.6745277,0.5295929,-0.48961565,0.15754478
0.57592773,-1.295403,-15.196747,0.11289279,0.85021126,0.2948438,0.42126384
0.9322462,-0.52713424,-14.966008,0.67449105,0.5293774,-0.48986688,0.15764517
0.5769693,-1.2956265,-15.19675,0.11325902,0.8502048,0.29434186,0.4215295
0.9331896,-0.52821344,-14.966016,0.6745215,0.52906305,-0.49008122,0.1579036
0.5778874,-1.2958235,-15.196753,0.11360172,0.8501745,0.2938494,0.42184192
0.9331062,-0.52924603,-14.9660225,0.6745821,0.52868724,-0.49031535,0.15817618
0.57874686,-1.2950305,-15.196754,0.113984026,0.85013914,0.29331824,0.42217943
0.9330351,-0.5282529,-14.966028,0.6746025,0.52834135,-0.490628,0.15827534
0.5805534,-1.294295,-15.196757,0.11433357,0.8500505,0.2927938,0.42262724
0.93390846,-0.52923095,-14.966034,0.6746474,0.52789235,-0.4909695,0.15852301
0.5811798,-1.2936163,-15.196759,0.114697896,0.84995914,0.2923042,0.42305106
0.93575555,-0.53017557,-14.966039,0.6746158,0.5274214,-0.4913916,0.15891667
0.58282477,-1.2929937,-15.196762,0.115089715,0.8498346,0.291807,0.42353785
0.9363737,-0.52907264,-14.966043,0.674569,0.5269765,-0.4918809,0.15907764
0.5832403,-1.2912701,-15.1979,0.11528783,0.84973603,0.2913506,0.42399555
0.93690276,-0.52903444,-14.966047,0.67465645,0.5264607,-0.49223176,0.15932915
0.5836105,-1.2908826,-15.198914,0.11561496,0.8496101,0.29091746,0.42445618
0.93839455,-0.52997273,-14.966051,0.6746752,0.52590966,-0.49266005,0.15974511
0.58393973,-1.290538,-15.199816,0.11589301,0.8494606,0.29050186,0.42496377
0.9396679,-0.52892,-14.966981,0.6746914,0.5253012,-0.49322984,0.15992056
0.584244,-1.2890006,-15.200649,0.11602941,0.84932625,0.29015553,0.42543137
0.93989956,-0.5298544,-14.966892,0.6748714,0.52466756,-0.49356997,0.16019164
